,features_of_interest_in_go_term,features_of_interest_in_go_term_gene_symbols,go_domain,go_name,n_background_in_go_term,n_features_of_interest_in_go_term,n_features_total_in_go_term,negative_log_p_value,bonferonni_corrected_negative_log_p_value,modality,phenotype
GO:0006412,"ENSG00000166562,ENSG00000178982,ENSG00000243147,ENSG00000107581,ENSG00000172590,ENSG00000170445,ENSG00000090263,ENSG00000048544,ENSG00000116898,ENSG00000082515,ENSG00000181610,ENSG00000140105,ENSG00000122026,ENSG00000169288,ENSG00000116957,ENSG00000100664,ENSG00000162910,ENSG00000173674,ENSG00000174100,ENSG00000163319,ENSG00000136522,ENSG00000055950,ENSG00000136628,ENSG00000070785,ENSG00000096080,ENSG00000170889,ENSG00000243927,ENSG00000124783,ENSG00000145425,ENSG00000090621,ENSG00000204568,ENSG00000175581,ENSG00000118705,ENSG00000156976,ENSG00000134056","SEC11C,EIF3K,MRPL33,EIF3A,MRPL52,HARS,MRPS33,MRPS10,MRPS15,MRPL22,MRPS23,WARS,RPL21,MRPL1,TBCE,EIF5,MRPL55,EIF1AX,MRPL45,MRPS18C,MRPL47,MRPL43,EPRS,EIF2B3,MRPS18A,RPS9,MRPS6,SSR1,RPS3A,PABPC4,MRPS18B,MRPL48,RPN2,EIF4A2,MRPS36",biological_process,translation,43,35,310,18.1205049424,12.7592127767,bimodal,MN
GO:0006281,"ENSG00000151657,ENSG00000123562,ENSG00000134480,ENSG00000085224,ENSG00000147140,ENSG00000136824,ENSG00000067369,ENSG00000148153,ENSG00000095002,ENSG00000107949,ENSG00000047315,ENSG00000187778,ENSG00000169689,ENSG00000143748,ENSG00000077152,ENSG00000076242,ENSG00000104343,ENSG00000138138,ENSG00000108384,ENSG00000129484,ENSG00000138376,ENSG00000129197,ENSG00000116750,ENSG00000070501,ENSG00000139372,ENSG00000169189,ENSG00000168002,ENSG00000140455,ENSG00000248643,ENSG00000253729,ENSG00000187735","KIN,MORF4L2,CCNH,ATRX,NONO,SMC2,TP53BP1,INIP,MSH2,BCCIP,POLR2B,MCRS1,STRA13,NVL,UBE2T,MLH1,UBE2W,ATAD1,RAD51C,PARP2,BARD1,RPAIN,UCHL5,POLB,TDG,NSMCE1,POLR2G,USP3,RBM14-RBM4,PRKDC,TCEA1",biological_process,DNA repair,37,31,341,17.8307810282,12.4694888625,bimodal,MN
GO:0043066,"ENSG00000164924,ENSG00000160049,ENSG00000172113,ENSG00000164305,ENSG00000113161,ENSG00000196591,ENSG00000095002,ENSG00000149089,ENSG00000004487,ENSG00000102265,ENSG00000134248,ENSG00000198625,ENSG00000147649,ENSG00000092140,ENSG00000166333,ENSG00000124356,ENSG00000170242,ENSG00000134982,ENSG00000138376,ENSG00000213722,ENSG00000070501,ENSG00000135541,ENSG00000126432,ENSG00000097033,ENSG00000176171,ENSG00000082701,ENSG00000114125,ENSG00000114209,ENSG00000085063","YWHAZ,DFFA,NME6,CASP3,HMGCR,HDAC2,MSH2,APIP,KDM1A,TIMP1,LAMTOR5,MDM4,MTDH,G2E3,ILK,STAMBP,USP47,APC,BARD1,DDAH2,POLB,AHI1,PRDX5,SH3GLB1,BNIP3,GSK3B,RNF7,PDCD10,CD59",biological_process,negative regulation of apoptotic process,34,29,540,17.778899252,12.4176070863,bimodal,MN
GO:0006397,"ENSG00000151657,ENSG00000162664,ENSG00000173933,ENSG00000108848,ENSG00000088930,ENSG00000115875,ENSG00000117569,ENSG00000125835,ENSG00000111196,ENSG00000100461,ENSG00000163634,ENSG00000131051,ENSG00000182004,ENSG00000183431,ENSG00000112531,ENSG00000122566,ENSG00000054118,ENSG00000196504,ENSG00000132485,ENSG00000161265,ENSG00000145216,ENSG00000090060,ENSG00000116754,ENSG00000125676,ENSG00000147140,ENSG00000204392,ENSG00000185246,ENSG00000125944,ENSG00000248643,ENSG00000213782,ENSG00000153914,ENSG00000100320,ENSG00000126653","KIN,ZNF326,RBM4,LUC7L3,XRN2,SRSF7,PTBP2,SNRPB,MAGOHB,RBM23,THOC7,RBM39,SNRPE,SF3A3,QKI,HNRNPA2B1,THRAP3,PRPF40A,ZRANB2,U2AF1L4,FIP1L1,PAPOLA,SRSF11,THOC2,NONO,LSM2,PRPF39,HNRNPR,RBM14-RBM4,DDX47,SREK1,RBFOX2,NSRP1",biological_process,mRNA processing,41,33,240,16.6881514193,11.3268592536,bimodal,MN
GO:0006915,"ENSG00000197223,ENSG00000160049,ENSG00000100813,ENSG00000164885,ENSG00000110801,ENSG00000124207,ENSG00000172113,ENSG00000108294,ENSG00000164305,ENSG00000008128,ENSG00000159593,ENSG00000095002,ENSG00000149089,ENSG00000158019,ENSG00000114446,ENSG00000114209,ENSG00000197694,ENSG00000198625,ENSG00000092010,ENSG00000137776,ENSG00000108848,ENSG00000092140,ENSG00000185627,ENSG00000173692,ENSG00000111653,ENSG00000115539,ENSG00000134982,ENSG00000114416,ENSG00000087470,ENSG00000086666,ENSG00000128463,ENSG00000143106,ENSG00000253729,ENSG00000168002,ENSG00000184047,ENSG00000097033,ENSG00000176171,ENSG00000213782,ENSG00000116001,ENSG00000159352,ENSG00000003756,ENSG00000162604","C1D,DFFA,ACIN1,CDK5,PSMD9,CSE1L,NME6,PSMB3,CASP3,CDK11A,NAE1,MSH2,APIP,BRE,IFT57,PDCD10,SPTAN1,MDM4,PSME1,SLTM,LUC7L3,G2E3,PSMD13,PSMD1,ING4,PDCL3,APC,FXR1,DNM1L,ZFAND6,EMC4,PSMA5,PRKDC,POLR2G,DIABLO,SH3GLB1,BNIP3,DDX47,TIA1,PSMD4,RBM5,TM2D1",biological_process,apoptotic process,56,42,771,16.4657085284,11.1044163627,bimodal,MN
GO:0016070,"ENSG00000138303,ENSG00000088930,ENSG00000123737,ENSG00000110801,ENSG00000108294,ENSG00000171311,ENSG00000110367,ENSG00000111596,ENSG00000136261,ENSG00000182004,ENSG00000122026,ENSG00000092010,ENSG00000138668,ENSG00000100320,ENSG00000100664,ENSG00000164924,ENSG00000185627,ENSG00000145425,ENSG00000173692,ENSG00000205937,ENSG00000156976,ENSG00000170889,ENSG00000125835,ENSG00000143106,ENSG00000204392,ENSG00000142252,ENSG00000125351,ENSG00000169062,ENSG00000159352,ENSG00000167272","ASCC1,XRN2,EXOSC9,PSMD9,PSMB3,EXOSC1,DDX6,CNOT2,BZW2,SNRPE,RPL21,PSME1,HNRNPD,RBFOX2,EIF5,YWHAZ,PSMD13,RPS3A,PSMD1,RNPS1,EIF4A2,RPS9,SNRPB,PSMA5,LSM2,GEMIN7,UPF3B,UPF3A,PSMD4,POP5",biological_process,RNA metabolic process,37,30,324,15.7668203194,10.4055281537,bimodal,MN
GO:0000398,"ENSG00000096746,ENSG00000164548,ENSG00000115875,ENSG00000197111,ENSG00000240344,ENSG00000125835,ENSG00000165119,ENSG00000131876,ENSG00000153015,ENSG00000125351,ENSG00000182004,ENSG00000183431,ENSG00000138668,ENSG00000122566,ENSG00000003756,ENSG00000047315,ENSG00000123136,ENSG00000125944,ENSG00000060688,ENSG00000116754,ENSG00000205937,ENSG00000204392,ENSG00000090060,ENSG00000168002,ENSG00000142252,ENSG00000067596,ENSG00000135316,ENSG00000117614,ENSG00000092199","HNRNPH3,TRA2A,SRSF7,PCBP2,PPIL3,SNRPB,HNRNPK,SNRPA1,CWC27,UPF3B,SNRPE,SF3A3,HNRNPD,HNRNPA2B1,RBM5,POLR2B,DDX39A,HNRNPR,SNRNP40,SRSF11,RNPS1,LSM2,PAPOLA,POLR2G,GEMIN7,DHX8,SYNCRIP,SYF2,HNRNPC",biological_process,"mRNA splicing, via spliceosome",36,29,196,15.0492809975,9.68798883177,bimodal,MN
GO:0006366,"ENSG00000103363,ENSG00000134480,ENSG00000115875,ENSG00000125835,ENSG00000082258,ENSG00000196235,ENSG00000196233,ENSG00000182004,ENSG00000101654,ENSG00000128272,ENSG00000125351,ENSG00000047315,ENSG00000141027,ENSG00000205937,ENSG00000090060,ENSG00000115966,ENSG00000077809,ENSG00000120656,ENSG00000168002,ENSG00000113649,ENSG00000146109,ENSG00000116754,ENSG00000187735,ENSG00000154582","TCEB2,CCNH,SRSF7,SNRPB,CCNT2,SUPT5H,LCOR,SNRPE,RNMT,ATF4,UPF3B,POLR2B,NCOR1,RNPS1,PAPOLA,ATF2,GTF2I,TAF12,POLR2G,TCERG1,ABT1,SRSF11,TCEA1,TCEB1",biological_process,transcription from RNA polymerase II promoter,29,24,353,13.985162867,8.62387070127,bimodal,MN
GO:0006468,"ENSG00000134480,ENSG00000013441,ENSG00000114956,ENSG00000132670,ENSG00000008128,ENSG00000012983,ENSG00000113658,ENSG00000113712,ENSG00000180228,ENSG00000151422,ENSG00000047315,ENSG00000166333,ENSG00000069956,ENSG00000145216,ENSG00000164885,ENSG00000114388,ENSG00000159256,ENSG00000168002,ENSG00000082701,ENSG00000143776,ENSG00000075413,ENSG00000071054","CCNH,CLK1,DGUOK,PTPRA,CDK11A,MAP4K5,SMAD5,CSNK1A1,PRKRA,FER,POLR2B,ILK,MAPK6,FIP1L1,CDK5,NPRL2,MORC3,POLR2G,GSK3B,CDC42BPA,MARK3,MAP4K4",biological_process,protein phosphorylation,26,22,648,13.9141795555,8.55288738983,bimodal,MN
GO:0045944,"ENSG00000166477,ENSG00000123562,ENSG00000185630,ENSG00000134480,ENSG00000140395,ENSG00000165119,ENSG00000067369,ENSG00000082258,ENSG00000196591,ENSG00000099204,ENSG00000196235,ENSG00000004487,ENSG00000187735,ENSG00000113658,ENSG00000022840,ENSG00000054118,ENSG00000128272,ENSG00000115966,ENSG00000078403,ENSG00000135541,ENSG00000253729,ENSG00000188994,ENSG00000248643,ENSG00000082701,ENSG00000168214,ENSG00000101928,ENSG00000058272","LEO1,MORF4L2,PBX1,CCNH,WDR61,HNRNPK,TP53BP1,CCNT2,HDAC2,ABLIM1,SUPT5H,KDM1A,TCEA1,SMAD5,RNF10,THRAP3,ATF4,ATF2,MLLT10,AHI1,PRKDC,ZNF292,RBM14-RBM4,GSK3B,RBPJ,MOSPD1,PPP1R12A",biological_process,positive regulation of transcription from RNA polymerase II promoter,34,27,771,13.6314099475,8.27011778184,bimodal,MN
