,features_of_interest_in_go_term,features_of_interest_in_go_term_gene_symbols,go_domain,go_name,n_background_in_go_term,n_features_of_interest_in_go_term,n_features_total_in_go_term,negative_log_p_value,bonferonni_corrected_negative_log_p_value,modality,phenotype
GO:0044267,"ENSG00000120697,ENSG00000138674,ENSG00000178982,ENSG00000173171,ENSG00000100564,ENSG00000153037,ENSG00000205981,ENSG00000122026,ENSG00000204120,ENSG00000100883,ENSG00000116957,ENSG00000100664,ENSG00000151665,ENSG00000167397,ENSG00000156976,ENSG00000185808,ENSG00000070785,ENSG00000100417,ENSG00000095059,ENSG00000089157,ENSG00000128654,ENSG00000124783,ENSG00000145425,ENSG00000100575,ENSG00000112306,ENSG00000180398,ENSG00000151247","ALG5,SEC31A,EIF3K,MTX1,PIGH,SRP19,DNAJC19,RPL21,GIGYF2,SRP54,TBCE,EIF5,PIGF,VKORC1,EIF4A2,PIGP,EIF2B3,PMM1,DHPS,RPLP0,MTX2,SSR1,RPS3A,TIMM9,RPS12,MCFD2,EIF4E",biological_process,cellular protein metabolic process,37,27,438,15.0978657087,9.80456088393,bimodal,NPC
GO:0055085,"ENSG00000141349,ENSG00000047249,ENSG00000103415,ENSG00000111371,ENSG00000136243,ENSG00000164414,ENSG00000114120,ENSG00000141424,ENSG00000144136,ENSG00000151914,ENSG00000196950,ENSG00000033627,ENSG00000087460,ENSG00000094914,ENSG00000121073","G6PC3,ATP6V1H,HMOX2,SLC38A1,NUPL2,SLC35A1,SLC25A36,SLC39A6,SLC20A1,DST,SLC39A10,ATP6V0A1,GNAS,AAAS,SLC35B1",biological_process,transmembrane transport,17,15,723,14.7406233533,9.44731852857,bimodal,NPC
GO:0006915,"ENSG00000055163,ENSG00000197223,ENSG00000160049,ENSG00000108848,ENSG00000198625,ENSG00000108294,ENSG00000164305,ENSG00000106305,ENSG00000108561,ENSG00000126858,ENSG00000003756,ENSG00000158019,ENSG00000166913,ENSG00000114209,ENSG00000213523,ENSG00000149269,ENSG00000060339,ENSG00000137776,ENSG00000100813,ENSG00000157500,ENSG00000131467,ENSG00000172113,ENSG00000170633,ENSG00000185627,ENSG00000111653,ENSG00000114416,ENSG00000164885,ENSG00000128463,ENSG00000214253,ENSG00000253729,ENSG00000184047,ENSG00000097033,ENSG00000116001,ENSG00000197694,ENSG00000115561,ENSG00000162604","CYFIP2,C1D,DFFA,LUC7L3,MDM4,PSMB3,CASP3,AIMP2,C1QBP,RHOT1,RBM5,BRE,YWHAB,PDCD10,SRA1,PAK1,CCAR1,SLTM,ACIN1,APPL1,PSME3,NME6,RNF34,PSMD13,ING4,FXR1,CDK5,EMC4,FIS1,PRKDC,DIABLO,SH3GLB1,TIA1,SPTAN1,CHMP3,TM2D1",biological_process,apoptotic process,56,36,771,13.833564213,8.54025938831,bimodal,NPC
GO:0008150,"ENSG00000115685,ENSG00000121741,ENSG00000138698,ENSG00000048544,ENSG00000244754,ENSG00000156253,ENSG00000102390,ENSG00000213337,ENSG00000186566,ENSG00000266967,ENSG00000148950,ENSG00000122203,ENSG00000054267,ENSG00000106460,ENSG00000213593,ENSG00000137720,ENSG00000166797,ENSG00000171204,ENSG00000120860,ENSG00000043093,ENSG00000052126,ENSG00000108825,ENSG00000125037,ENSG00000163170,ENSG00000127603","PPP1R7,ZMYM2,RAP1GDS1,MRPS10,N4BP2L2,RWDD2B,PBDC1,ANKRD39,GPATCH8,AARSD1,IMMP1L,KIAA1191,ARID4B,TMEM106B,TMX2,C11orf1,FAM96A,TMEM126B,CCDC53,DCUN1D1,PLEKHA5,PTGES3L-AARSD1,EMC3,BOLA3,MACF1",biological_process,biological_process,35,25,749,13.4801734361,8.18686861141,bimodal,NPC
GO:0019048,"ENSG00000175575,ENSG00000151657,ENSG00000065427,ENSG00000160752,ENSG00000205339,ENSG00000196262,ENSG00000151247,ENSG00000135316,ENSG00000099956,ENSG00000108294,ENSG00000075151,ENSG00000165119,ENSG00000156976,ENSG00000108561,ENSG00000047249,ENSG00000154639,ENSG00000154582,ENSG00000089157,ENSG00000077380","PAAF1,KIN,KARS,FDPS,IPO7,PPIA,EIF4E,SYNCRIP,SMARCB1,PSMB3,EIF4G3,HNRNPK,EIF4A2,C1QBP,ATP6V1H,CXADR,TCEB1,RPLP0,DYNC1I2",biological_process,virus-host interaction,25,19,370,12.5770320811,7.28372725634,bimodal,NPC
GO:0019221,"ENSG00000135930,ENSG00000151422,ENSG00000151247,ENSG00000133703,ENSG00000142166,ENSG00000136243,ENSG00000075151,ENSG00000156976,ENSG00000102753,ENSG00000197372,ENSG00000068745,ENSG00000094914","EIF4E2,FER,EIF4E,KRAS,IFNAR1,NUPL2,EIF4G3,EIF4A2,KPNA3,ZNF675,IP6K2,AAAS",biological_process,cytokine-mediated signaling pathway,14,12,311,11.6918925684,6.39858774367,bimodal,NPC
GO:0008284,"ENSG00000151422,ENSG00000185630,ENSG00000102265,ENSG00000166333,ENSG00000124356,ENSG00000146247,ENSG00000133703,ENSG00000198625,ENSG00000129518,ENSG00000114209,ENSG00000187109,ENSG00000113161,ENSG00000095059,ENSG00000097046,ENSG00000124783","FER,PBX1,TIMP1,ILK,STAMBP,PHIP,KRAS,MDM4,EAPP,PDCD10,NAP1L1,HMGCR,DHPS,CDC7,SSR1",biological_process,positive regulation of cell proliferation,19,15,455,11.4652525275,6.1719477028,bimodal,NPC
GO:0007067,"ENSG00000204843,ENSG00000163939,ENSG00000166295,ENSG00000110200,ENSG00000169689,ENSG00000175203,ENSG00000147601,ENSG00000094880,ENSG00000156256,ENSG00000128989,ENSG00000141367,ENSG00000182628,ENSG00000113712,ENSG00000165416,ENSG00000141552,ENSG00000058272,ENSG00000122545","DCTN1,PBRM1,ANAPC16,ANAPC15,STRA13,DCTN2,TERF1,CDC23,USP16,ARPP19,CLTC,SKA2,CSNK1A1,SUGT1,ANAPC11,PPP1R12A,SEPT7",biological_process,mitosis,23,17,204,10.858439392,5.56513456723,bimodal,NPC
GO:0007165,"ENSG00000148484,ENSG00000113712,ENSG00000160049,ENSG00000198431,ENSG00000164615,ENSG00000112983,ENSG00000087460,ENSG00000144136,ENSG00000126858,ENSG00000158019,ENSG00000205339,ENSG00000160310,ENSG00000155366,ENSG00000168118,ENSG00000089289,ENSG00000185236,ENSG00000165119,ENSG00000131236,ENSG00000151422,ENSG00000186908,ENSG00000112186,ENSG00000077809,ENSG00000157500,ENSG00000133703,ENSG00000113658,ENSG00000127914,ENSG00000039319,ENSG00000058272","RSU1,CSNK1A1,DFFA,TXNRD1,CAMLG,BRD8,GNAS,SLC20A1,RHOT1,BRE,IPO7,PRMT2,RHOC,RAB4A,IGBP1,RAB11B,HNRNPK,CAP1,FER,ZDHHC17,CAP2,GTF2I,APPL1,KRAS,SMAD5,AKAP9,ZFYVE16,PPP1R12A",biological_process,signal transduction,45,28,1487,10.3723107662,5.07900594147,bimodal,NPC
GO:0010467,"ENSG00000178982,ENSG00000103363,ENSG00000166986,ENSG00000197323,ENSG00000197111,ENSG00000170445,ENSG00000108294,ENSG00000165119,ENSG00000171311,ENSG00000153037,ENSG00000003756,ENSG00000100354,ENSG00000146282,ENSG00000182004,ENSG00000166913,ENSG00000060339,ENSG00000122026,ENSG00000112306,ENSG00000100883,ENSG00000101654,ENSG00000196305,ENSG00000108590,ENSG00000100664,ENSG00000131467,ENSG00000185627,ENSG00000065427,ENSG00000106305,ENSG00000141027,ENSG00000175324,ENSG00000205937,ENSG00000125944,ENSG00000156976,ENSG00000070785,ENSG00000089157,ENSG00000140105,ENSG00000124783,ENSG00000145425,ENSG00000134440,ENSG00000138668,ENSG00000151247,ENSG00000142252,ENSG00000133226,ENSG00000160201,ENSG00000168214,ENSG00000169062,ENSG00000169045,ENSG00000154582,ENSG00000092199,ENSG00000138777","EIF3K,TCEB2,MARS,TRIM33,PCBP2,HARS,PSMB3,HNRNPK,EXOSC1,SRP19,RBM5,TNRC6B,RARS2,SNRPE,YWHAB,CCAR1,RPL21,RPS12,SRP54,RNMT,IARS,MED31,EIF5,PSME3,PSMD13,KARS,AIMP2,NCOR1,LSM1,RNPS1,HNRNPR,EIF4A2,EIF2B3,RPLP0,WARS,SSR1,RPS3A,NARS,HNRNPD,EIF4E,GEMIN7,SRRM1,U2AF1,RBPJ,UPF3A,HNRNPH1,TCEB1,HNRNPC,PPA2",biological_process,gene expression,91,49,771,10.323919441,5.03061461624,bimodal,NPC
