,features_of_interest_in_go_term,features_of_interest_in_go_term_gene_symbols,go_domain,go_name,n_background_in_go_term,n_features_of_interest_in_go_term,n_features_total_in_go_term,negative_log_p_value,bonferonni_corrected_negative_log_p_value
GO:0055114,"ENSG00000167792,ENSG00000129596,ENSG00000117054,ENSG00000113161,ENSG00000067829,ENSG00000052802,ENSG00000004487,ENSG00000178035,ENSG00000198431,ENSG00000117139,ENSG00000106605,ENSG00000136247,ENSG00000155463,ENSG00000147383,ENSG00000103415,ENSG00000065911,ENSG00000014919,ENSG00000084754,ENSG00000008311,ENSG00000100823,ENSG00000158864,ENSG00000106853,ENSG00000087263,ENSG00000131828,ENSG00000115286,ENSG00000101365,ENSG00000139697,ENSG00000126432,ENSG00000205758","NDUFV1,CDO1,ACADM,HMGCR,IDH3G,MSMO1,KDM1A,IMPDH2,TXNRD1,KDM5B,BLVRA,ZDHHC4,OXA1L,NSDHL,HMOX2,MTHFD2,COX15,HADHA,AASS,APEX1,NDUFS2,PTGR1,OGFOD1,PDHA1,NDUFS7,IDH3B,SBNO1,PRDX5,CRYZL1",biological_process,oxidation-reduction process,60,29,525,19.2164520689,13.3275741106
GO:0006886,"ENSG00000138069,ENSG00000184432,ENSG00000095139,ENSG00000124207,ENSG00000168118,ENSG00000152700,ENSG00000100568,ENSG00000185009,ENSG00000136631,ENSG00000213465,ENSG00000204764,ENSG00000205339,ENSG00000258466,ENSG00000185236,ENSG00000105438,ENSG00000136738,ENSG00000177879,ENSG00000166128,ENSG00000174100,ENSG00000141367,ENSG00000042753,ENSG00000164609,ENSG00000164885,ENSG00000070718,ENSG00000133703,ENSG00000101310,ENSG00000122705,ENSG00000128245","RAB1A,COPB2,ARCN1,CSE1L,RAB4A,SAR1B,VTI1B,AP3M1,VPS45,ARL2,RANBP17,IPO7,RP11-1012A1.4,RAB11B,KDELR1,STAM,AP3S1,RAB8B,MRPL45,CLTC,AP2S1,SLU7,CDK5,AP3M2,KRAS,SEC23B,CLTA,YWHAH",biological_process,intracellular protein transport,57,28,342,19.1408936789,13.2520157205
GO:0006470,"ENSG00000127947,ENSG00000081721,ENSG00000115241,ENSG00000144048,ENSG00000087053,ENSG00000132670,ENSG00000058272,ENSG00000172531,ENSG00000196396,ENSG00000163644,ENSG00000184007","PTPN12,DUSP12,PPM1G,DUSP11,MTMR2,PTPRA,PPP1R12A,PPP1CA,PTPN1,PPM1K,PTP4A2",biological_process,protein dephosphorylation,13,11,149,18.8445037569,12.9556257986
GO:0007411,"ENSG00000042753,ENSG00000166913,ENSG00000149557,ENSG00000141367,ENSG00000074054,ENSG00000133026,ENSG00000092841,ENSG00000197694,ENSG00000133703,ENSG00000155366,ENSG00000082701,ENSG00000132670,ENSG00000077254,ENSG00000149269,ENSG00000112186,ENSG00000164885,ENSG00000122705,ENSG00000131236,ENSG00000099204,ENSG00000163539","AP2S1,YWHAB,FEZ1,CLTC,CLASP1,MYH10,MYL6,SPTAN1,KRAS,RHOC,GSK3B,PTPRA,USP33,PAK1,CAP2,CDK5,CLTA,CAP1,ABLIM1,CLASP2",biological_process,axon guidance,34,20,341,18.8388877005,12.9500097422
GO:0006338,"ENSG00000196235,ENSG00000124177,ENSG00000163939,ENSG00000153147,ENSG00000099956,ENSG00000176171,ENSG00000048649,ENSG00000073584,ENSG00000171634,ENSG00000102038,ENSG00000139613,ENSG00000196591,ENSG00000163104","SUPT5H,CHD6,PBRM1,SMARCA5,SMARCB1,BNIP3,RSF1,SMARCE1,BPTF,SMARCA1,SMARCC2,HDAC2,SMARCAD1",biological_process,chromatin remodeling,17,13,64,18.7784684011,12.8895904428
GO:0006357,"ENSG00000204256,ENSG00000099956,ENSG00000112983,ENSG00000111596,ENSG00000196235,ENSG00000255526,ENSG00000004487,ENSG00000196233,ENSG00000153147,ENSG00000160199,ENSG00000073584,ENSG00000160563,ENSG00000128272,ENSG00000108946,ENSG00000141027,ENSG00000115966,ENSG00000159479,ENSG00000146109,ENSG00000173575,ENSG00000187735,ENSG00000154582,ENSG00000139613","BRD2,SMARCB1,BRD8,CNOT2,SUPT5H,NEDD8-MDP1,KDM1A,LCOR,SMARCA5,PKNOX1,SMARCE1,MED27,ATF4,PRKAR1A,NCOR1,ATF2,MED8,ABT1,CHD2,TCEA1,TCEB1,SMARCC2",biological_process,regulation of transcription from RNA polymerase II promoter,41,22,327,17.8959474743,12.007069516
GO:0008283,"ENSG00000104517,ENSG00000198431,ENSG00000013441,ENSG00000124207,ENSG00000100568,ENSG00000004487,ENSG00000132780,ENSG00000213523,ENSG00000198625,ENSG00000175203,ENSG00000186469,ENSG00000157500,ENSG00000078618,ENSG00000151422,ENSG00000133027,ENSG00000133026,ENSG00000166333,ENSG00000217555,ENSG00000138442,ENSG00000164885,ENSG00000163938,ENSG00000123975,ENSG00000138592","UBR5,TXNRD1,CLK1,CSE1L,VTI1B,KDM1A,NASP,SRA1,MDM4,DCTN2,GNG2,APPL1,NRD1,FER,PEMT,MYH10,ILK,CKLF,WDR12,CDK5,GNL3,CKS2,USP8",biological_process,cell proliferation,44,23,373,17.8651921641,11.9763142058
GO:0007283,"ENSG00000114374,ENSG00000144451,ENSG00000033800,ENSG00000204463,ENSG00000008294,ENSG00000108384,ENSG00000204256,ENSG00000121989,ENSG00000116741,ENSG00000076242,ENSG00000075151,ENSG00000131773,ENSG00000101079,ENSG00000108666,ENSG00000166171,ENSG00000088930","USP9Y,SPAG16,PIAS1,BAG6,SPAG9,RAD51C,BRD2,ACVR2A,RGS2,MLH1,EIF4G3,KHDRBS3,NDRG3,C17orf75,DPCD,XRN2",biological_process,spermatogenesis,25,16,367,17.6027251031,11.7138471448
GO:0006974,"ENSG00000151657,ENSG00000158019,ENSG00000076242,ENSG00000134982,ENSG00000104517,ENSG00000148153,ENSG00000156256,ENSG00000170242,ENSG00000073050,ENSG00000164305,ENSG00000138376,ENSG00000070501,ENSG00000067369,ENSG00000077152,ENSG00000095002","KIN,BRE,MLH1,APC,UBR5,INIP,USP16,USP47,XRCC1,CASP3,BARD1,POLB,TP53BP1,UBE2T,MSH2",biological_process,response to DNA damage stimulus,23,15,184,17.1352807613,11.246402803
GO:0006366,"ENSG00000103363,ENSG00000134480,ENSG00000115875,ENSG00000100815,ENSG00000125835,ENSG00000082258,ENSG00000196235,ENSG00000196233,ENSG00000182004,ENSG00000160199,ENSG00000101654,ENSG00000133226,ENSG00000128272,ENSG00000125351,ENSG00000047315,ENSG00000141027,ENSG00000205937,ENSG00000090060,ENSG00000115966,ENSG00000077809,ENSG00000120656,ENSG00000168002,ENSG00000113649,ENSG00000146109,ENSG00000116754,ENSG00000160201,ENSG00000137947,ENSG00000187735,ENSG00000154582","TCEB2,CCNH,SRSF7,TRIP11,SNRPB,CCNT2,SUPT5H,LCOR,SNRPE,PKNOX1,RNMT,SRRM1,ATF4,UPF3B,POLR2B,NCOR1,RNPS1,PAPOLA,ATF2,GTF2I,TAF12,POLR2G,TCERG1,ABT1,SRSF11,U2AF1,GTF2B,TCEA1,TCEB1",biological_process,transcription from RNA polymerase II promoter,65,29,353,16.8671489514,10.9782709931
GO:0006310,"ENSG00000151657,ENSG00000138138,ENSG00000187778,ENSG00000169189,ENSG00000085224,ENSG00000108384,ENSG00000248643,ENSG00000147140,ENSG00000100823,ENSG00000168214,ENSG00000136824,ENSG00000129197,ENSG00000116750,ENSG00000143748,ENSG00000211460,ENSG00000183207","KIN,ATAD1,MCRS1,NSMCE1,ATRX,RAD51C,RBM14-RBM4,NONO,APEX1,RBPJ,SMC2,RPAIN,UCHL5,NVL,TSN,RUVBL2",biological_process,DNA recombination,26,16,111,16.7156816311,10.8268036728
GO:0007010,"ENSG00000154096,ENSG00000196504,ENSG00000158427,ENSG00000157827,ENSG00000146247,ENSG00000163069,ENSG00000171634,ENSG00000112186,ENSG00000151914,ENSG00000131236,ENSG00000099204","THY1,PRPF40A,TMSB15B,FMNL2,PHIP,SGCB,BPTF,CAP2,DST,CAP1,ABLIM1",biological_process,cytoskeleton organization,15,11,131,15.6299431451,9.74106518679
GO:0000086,"ENSG00000074054,ENSG00000134480,ENSG00000147601,ENSG00000007168,ENSG00000078674,ENSG00000175216,ENSG00000128989,ENSG00000138107,ENSG00000175203,ENSG00000137100,ENSG00000204843,ENSG00000153575,ENSG00000166037,ENSG00000127914,ENSG00000077380","CLASP1,CCNH,TERF1,PAFAH1B1,PCM1,CKAP5,ARPP19,ACTR1A,DCTN2,DCTN3,DCTN1,TUBGCP5,CEP57,AKAP9,DYNC1I2",biological_process,G2/M transition of mitotic cell cycle,25,15,126,15.3613839036,9.4725059453
GO:0016567,"ENSG00000144848,ENSG00000103363,ENSG00000113851,ENSG00000166295,ENSG00000197323,ENSG00000169189,ENSG00000081154,ENSG00000114125,ENSG00000109046,ENSG00000138376,ENSG00000110906,ENSG00000141552,ENSG00000136536,ENSG00000198862,ENSG00000163743,ENSG00000159479,ENSG00000033178,ENSG00000121067,ENSG00000180008","ATG3,TCEB2,CRBN,ANAPC16,TRIM33,NSMCE1,PCNP,RNF7,WSB1,BARD1,KCTD10,ANAPC11,MARCH7,LTN1,RCHY1,MED8,UBA6,SPOP,SOCS4",biological_process,protein ubiquitination,37,19,308,14.917080086,9.02820212768
GO:0008285,"ENSG00000078304,ENSG00000163939,ENSG00000003756,ENSG00000134982,ENSG00000111653,ENSG00000099956,ENSG00000198625,ENSG00000055332,ENSG00000180228,ENSG00000213977,ENSG00000136754,ENSG00000106305,ENSG00000100532,ENSG00000074319,ENSG00000140105","PPP2R5C,PBRM1,RBM5,APC,ING4,SMARCB1,MDM4,EIF2AK2,PRKRA,TAX1BP3,ABI1,AIMP2,CGRRF1,TSG101,WARS",biological_process,negative regulation of cell proliferation,26,15,409,14.5788557279,8.68997776959
GO:0006464,"ENSG00000092140,ENSG00000144848,ENSG00000144744,ENSG00000187778,ENSG00000081721,ENSG00000253729,ENSG00000164414,ENSG00000168300,ENSG00000104517,ENSG00000166532,ENSG00000086758,ENSG00000118705,ENSG00000074319,ENSG00000100564,ENSG00000033178","G2E3,ATG3,UBA3,MCRS1,DUSP12,PRKDC,SLC35A1,PCMTD1,UBR5,RIMKLB,HUWE1,RPN2,TSG101,PIGH,UBA6",biological_process,cellular protein modification process,26,15,166,14.5788557279,8.68997776959
GO:0007050,"ENSG00000115241,ENSG00000005483,ENSG00000166333,ENSG00000111653,ENSG00000134982,ENSG00000138376,ENSG00000074319,ENSG00000100532,ENSG00000151914,ENSG00000095002,ENSG00000127603","PPM1G,KMT2E,ILK,ING4,APC,BARD1,TSG101,CGRRF1,DST,MSH2,MACF1",biological_process,cell cycle arrest,16,11,132,14.413738484,8.52486052562
GO:0000278,"ENSG00000134480,ENSG00000110801,ENSG00000175216,ENSG00000108294,ENSG00000176386,ENSG00000204843,ENSG00000117697,ENSG00000166037,ENSG00000097046,ENSG00000163539,ENSG00000074054,ENSG00000007168,ENSG00000175203,ENSG00000092010,ENSG00000117748,ENSG00000077380,ENSG00000127914,ENSG00000131467,ENSG00000185627,ENSG00000173692,ENSG00000078674,ENSG00000151422,ENSG00000182628,ENSG00000153575,ENSG00000138107,ENSG00000144744,ENSG00000143106,ENSG00000094880,ENSG00000140455,ENSG00000135336,ENSG00000137100,ENSG00000159352,ENSG00000141552","CCNH,PSMD9,CKAP5,PSMB3,CDC26,DCTN1,NSL1,CEP57,CDC7,CLASP2,CLASP1,PAFAH1B1,DCTN2,PSME1,RPA2,DYNC1I2,AKAP9,PSME3,PSMD13,PSMD1,PCM1,FER,SKA2,TUBGCP5,ACTR1A,UBA3,PSMA5,CDC23,USP3,ORC3,DCTN3,PSMD4,ANAPC11",biological_process,mitotic cell cycle,86,33,352,14.2966661444,8.40778818607
GO:0006284,"ENSG00000139372,ENSG00000129484,ENSG00000170242,ENSG00000073050,ENSG00000100823,ENSG00000086758,ENSG00000070501","TDG,PARP2,USP47,XRCC1,APEX1,HUWE1,POLB",biological_process,base-excision repair,8,7,35,14.1539946847,8.26511672639
GO:0016477,"ENSG00000078618,ENSG00000196504,ENSG00000134982,ENSG00000007168,ENSG00000082701,ENSG00000143776,ENSG00000077254,ENSG00000119185,ENSG00000164885,ENSG00000163539","NRD1,PRPF40A,APC,PAFAH1B1,GSK3B,CDC42BPA,USP33,ITGB1BP1,CDK5,CLASP2",biological_process,cell migration,14,10,140,14.077614089,8.18873613067
GO:0016055,"ENSG00000113712,ENSG00000166477,ENSG00000082701,ENSG00000140395,ENSG00000134982,ENSG00000213977,ENSG00000100281,ENSG00000163904,ENSG00000127603","CSNK1A1,LEO1,GSK3B,WDR61,APC,TAX1BP3,HMGXB4,SENP2,MACF1",biological_process,Wnt receptor signaling pathway,12,9,171,13.8417903945,7.95291243618
GO:0006917,"ENSG00000145425,ENSG00000160049,ENSG00000164305,ENSG00000184047,ENSG00000160310,ENSG00000133884,ENSG00000176171,ENSG00000147601,ENSG00000029363,ENSG00000180228,ENSG00000116001,ENSG00000132824","RPS3A,DFFA,CASP3,DIABLO,PRMT2,DPF2,BNIP3,TERF1,BCLAF1,PRKRA,TIA1,SERINC3",biological_process,induction of apoptosis,19,12,224,13.8301080325,7.94123007416
GO:0043687,"ENSG00000120697,ENSG00000138674,ENSG00000180398,ENSG00000151665,ENSG00000167397,ENSG00000185808,ENSG00000101901,ENSG00000152700,ENSG00000118705,ENSG00000100417,ENSG00000100564,ENSG00000095059","ALG5,SEC31A,MCFD2,PIGF,VKORC1,PIGP,ALG13,SAR1B,RPN2,PMM1,PIGH,DHPS",biological_process,post-translational protein modification,19,12,192,13.8301080325,7.94123007416
GO:0006511,"ENSG00000078140,ENSG00000102226,ENSG00000110801,ENSG00000101557,ENSG00000182670,ENSG00000077254,ENSG00000156256,ENSG00000104517,ENSG00000077721,ENSG00000114374,ENSG00000170242,ENSG00000116750,ENSG00000066427,ENSG00000143106,ENSG00000204463,ENSG00000094880,ENSG00000140455,ENSG00000187555,ENSG00000100225,ENSG00000138592,ENSG00000154582,ENSG00000033178","UBE2K,USP11,PSMD9,USP14,TTC3,USP33,USP16,UBR5,UBE2A,USP9Y,USP47,UCHL5,ATXN3,PSMA5,BAG6,CDC23,USP3,USP7,FBXO7,USP8,TCEB1,UBA6",biological_process,ubiquitin-dependent protein catabolic process,49,22,196,13.6366379753,7.74776001694
GO:0007596,"ENSG00000164924,ENSG00000196396,ENSG00000090621,ENSG00000154639,ENSG00000004487,ENSG00000102265,ENSG00000128595,ENSG00000196262,ENSG00000108384,ENSG00000133703,ENSG00000171988,ENSG00000117461,ENSG00000186469,ENSG00000108946,ENSG00000108561,ENSG00000085063,ENSG00000087460,ENSG00000164885,ENSG00000131236,ENSG00000196591,ENSG00000136631","YWHAZ,PTPN1,PABPC4,CXADR,KDM1A,TIMP1,CALU,PPIA,RAD51C,KRAS,JMJD1C,PIK3R3,GNG2,PRKAR1A,C1QBP,CD59,GNAS,CDK5,CAP1,HDAC2,VPS45",biological_process,blood coagulation,46,21,504,13.5019725197,7.6130945614
GO:0006406,"ENSG00000123136,ENSG00000160201,ENSG00000163634,ENSG00000125351,ENSG00000151247,ENSG00000115875,ENSG00000205937,ENSG00000116754,ENSG00000125676,ENSG00000133226,ENSG00000157349","DDX39A,U2AF1,THOC7,UPF3B,EIF4E,SRSF7,RNPS1,SRSF11,THOC2,SRRM1,DDX19B",biological_process,mRNA export from nucleus,17,11,72,13.3598435814,7.47096562308
GO:0030154,"ENSG00000145425,ENSG00000213523,ENSG00000204463,ENSG00000147548,ENSG00000173933,ENSG00000114416,ENSG00000099956,ENSG00000248643,ENSG00000136261,ENSG00000086758,ENSG00000137207,ENSG00000101079,ENSG00000074319,ENSG00000178878","RPS3A,SRA1,BAG6,WHSC1L1,RBM4,FXR1,SMARCB1,RBM14-RBM4,BZW2,HUWE1,YIPF3,NDRG3,TSG101,APOLD1",biological_process,cell differentiation,25,14,461,13.2838430756,7.39496511726
GO:0007420,"ENSG00000204463,ENSG00000032742,ENSG00000133026,ENSG00000075239,ENSG00000253729,ENSG00000115839,ENSG00000004455,ENSG00000007168,ENSG00000053438,ENSG00000171634,ENSG00000112972,ENSG00000102038,ENSG00000143156","BAG6,IFT88,MYH10,ACAT1,PRKDC,RAB3GAP1,AK2,PAFAH1B1,NNAT,BPTF,HMGCS1,SMARCA1,NME7",biological_process,brain development,23,13,216,12.7176217457,6.82874378739
GO:0051260,"ENSG00000168958,ENSG00000214253,ENSG00000008294,ENSG00000075239,ENSG00000147601,ENSG00000067715,ENSG00000110906,ENSG00000166037,ENSG00000163104","MFF,FIS1,SPAG9,ACAT1,TERF1,SYT1,KCTD10,CEP57,SMARCAD1",biological_process,protein homooligomerization,13,9,161,12.5429016545,6.65402369616
GO:0000226,"ENSG00000116957,ENSG00000074054,ENSG00000007168,ENSG00000151422,ENSG00000143776,ENSG00000140463,ENSG00000153575,ENSG00000168172,ENSG00000151914,ENSG00000066427,ENSG00000126756","TBCE,CLASP1,PAFAH1B1,FER,CDC42BPA,BBS4,TUBGCP5,HOOK3,DST,ATXN3,UXT",biological_process,microtubule cytoskeleton organization,18,11,76,12.4308976206,6.54201966222
GO:0018105,"ENSG00000159256,ENSG00000166333,ENSG00000013441,ENSG00000082701,ENSG00000253729,ENSG00000164885","MORC3,ILK,CLK1,GSK3B,PRKDC,CDK5",biological_process,peptidyl-serine phosphorylation,7,6,63,12.3836126863,6.49473472794
GO:0006144,"ENSG00000159131,ENSG00000178035,ENSG00000114956,ENSG00000138363,ENSG00000239900,ENSG00000198931","GART,IMPDH2,DGUOK,ATIC,ADSL,APRT",biological_process,purine nucleobase metabolic process,7,6,37,12.3836126863,6.49473472794
GO:0060271,"ENSG00000122545,ENSG00000032742,ENSG00000100578,ENSG00000140463,ENSG00000116747,ENSG00000135541","SEPT7,IFT88,KIAA0586,BBS4,TROVE2,AHI1",biological_process,cilium morphogenesis,7,6,46,12.3836126863,6.49473472794
GO:0051607,"ENSG00000241258,ENSG00000176171,ENSG00000197111,ENSG00000055332,ENSG00000142166,ENSG00000154639","CRCP,BNIP3,PCBP2,EIF2AK2,IFNAR1,CXADR",biological_process,defense response to virus,7,6,150,12.3836126863,6.49473472794
GO:0051262,"ENSG00000087053,ENSG00000198431,ENSG00000008311,ENSG00000113161,ENSG00000239900,ENSG00000155463","MTMR2,TXNRD1,AASS,HMGCR,ADSL,OXA1L",biological_process,protein tetramerization,7,6,30,12.3836126863,6.49473472794
GO:0044255,"ENSG00000023330,ENSG00000075239,ENSG00000141027,ENSG00000198431,ENSG00000084754,ENSG00000171720,ENSG00000117054,ENSG00000113161,ENSG00000112972,ENSG00000204310,ENSG00000177200,ENSG00000116171","ALAS1,ACAT1,NCOR1,TXNRD1,HADHA,HDAC3,ACADM,HMGCR,HMGCS1,AGPAT1,CHD9,SCP2",biological_process,cellular lipid metabolic process,21,12,156,12.1563408703,6.26746291201
GO:0007163,"ENSG00000074054,ENSG00000138071,ENSG00000082701,ENSG00000112186,ENSG00000163539,ENSG00000131236,ENSG00000127603","CLASP1,ACTR2,GSK3B,CAP2,CLASP2,CAP1,MACF1",biological_process,establishment or maintenance of cell polarity,9,7,24,12.1208198979,6.23194193961
GO:0016579,"ENSG00000114374,ENSG00000124356,ENSG00000187555,ENSG00000077254,ENSG00000116750,ENSG00000102226,ENSG00000138592","USP9Y,STAMBP,USP7,USP33,UCHL5,USP11,USP8",biological_process,protein deubiquitination,9,7,34,12.1208198979,6.23194193961
GO:0006461,"ENSG00000155438,ENSG00000103363,ENSG00000198625,ENSG00000134982,ENSG00000149269,ENSG00000136628,ENSG00000137806,ENSG00000102753,ENSG00000155463,ENSG00000108590","MKI67IP,TCEB2,MDM4,APC,PAK1,EPRS,NDUFAF1,KPNA3,OXA1L,MED31",biological_process,protein complex assembly,16,10,134,11.9299781005,6.04110014213
GO:0055086,"ENSG00000159131,ENSG00000178035,ENSG00000004455,ENSG00000198431,ENSG00000143774,ENSG00000138363,ENSG00000239900,ENSG00000122643,ENSG00000198931,ENSG00000114956","GART,IMPDH2,AK2,TXNRD1,GUK1,ATIC,ADSL,NT5C3A,APRT,DGUOK",biological_process,nucleobase-containing small molecule metabolic process,16,10,73,11.9299781005,6.04110014213
GO:0035556,"ENSG00000108946,ENSG00000180008,ENSG00000160049,ENSG00000169189,ENSG00000151422,ENSG00000140995,ENSG00000143776,ENSG00000109046,ENSG00000082701,ENSG00000128656","PRKAR1A,SOCS4,DFFA,NSMCE1,FER,DEF8,CDC42BPA,WSB1,GSK3B,CHN1",biological_process,intracellular signal transduction,16,10,320,11.9299781005,6.04110014213
GO:0019886,"ENSG00000166847,ENSG00000138674,ENSG00000175203,ENSG00000042753,ENSG00000138107,ENSG00000141367,ENSG00000137100,ENSG00000204843,ENSG00000152700,ENSG00000122705,ENSG00000077380","DCTN5,SEC31A,DCTN2,AP2S1,ACTR1A,CLTC,DCTN3,DCTN1,SAR1B,CLTA,DYNC1I2",biological_process,antigen processing and presentation of exogenous peptide antigen via MHC class II,19,11,159,11.6018157508,5.71293779242
