,features_of_interest_in_go_term,features_of_interest_in_go_term_gene_symbols,go_domain,go_name,n_background_in_go_term,n_features_of_interest_in_go_term,n_features_total_in_go_term,negative_log_p_value,bonferonni_corrected_negative_log_p_value
GO:0010467,"ENSG00000198791,ENSG00000166986,ENSG00000182899,ENSG00000170445,ENSG00000108294,ENSG00000111596,ENSG00000231500,ENSG00000140319,ENSG00000134480,ENSG00000118363,ENSG00000187735,ENSG00000166913,ENSG00000265681,ENSG00000157450,ENSG00000134419,ENSG00000133226,ENSG00000164924,ENSG00000065427,ENSG00000145425,ENSG00000100804,ENSG00000116754,ENSG00000113407,ENSG00000105372,ENSG00000113643,ENSG00000125835,ENSG00000140307,ENSG00000114126,ENSG00000168214,ENSG00000122406,ENSG00000118705,ENSG00000154582,ENSG00000197170,ENSG00000115524,ENSG00000115750,ENSG00000147677,ENSG00000083845,ENSG00000120798,ENSG00000124614,ENSG00000125743,ENSG00000130332,ENSG00000171311,ENSG00000082258,ENSG00000163479,ENSG00000143977,ENSG00000180879,ENSG00000109332,ENSG00000137947,ENSG00000256646,ENSG00000221983,ENSG00000188342,ENSG00000177954,ENSG00000100142,ENSG00000130520,ENSG00000060688,ENSG00000031698,ENSG00000156976,ENSG00000112081,ENSG00000170889,ENSG00000161016,ENSG00000138777,ENSG00000110700,ENSG00000241343,ENSG00000115268,ENSG00000182004,ENSG00000124802,ENSG00000138668,ENSG00000129084,ENSG00000122566,ENSG00000123737,ENSG00000141027,ENSG00000137818,ENSG00000136628,ENSG00000089157,ENSG00000140105,ENSG00000168002,ENSG00000151247,ENSG00000108064,ENSG00000172062,ENSG00000140612,ENSG00000135486,ENSG00000080802,ENSG00000092201,ENSG00000163636,ENSG00000115875,ENSG00000138326,ENSG00000120699,ENSG00000162244,ENSG00000176102,ENSG00000146282,ENSG00000100353,ENSG00000106588,ENSG00000122026,ENSG00000143742,ENSG00000145592,ENSG00000070785,ENSG00000125651,ENSG00000114942,ENSG00000126698,ENSG00000124783,ENSG00000109475,ENSG00000133706,ENSG00000100138,ENSG00000196305,ENSG00000104408,ENSG00000092199","CNOT7,MARS,RPL35A,HARS,PSMB3,CNOT2,RPS18,SRP14,CCNH,SPCS2,TCEA1,YWHAB,RPL17,RNF111,RPS15A,SRRM1,YWHAZ,KARS,RPS3A,PSMB5,SRSF11,TARS,RPS19,RARS,SNRPB,GTF2A2,TFDP2,RBPJ,RPL5,RPN2,TCEB1,PSMD12,SF3B1,TAF1B,EIF3H,RPS5,NR2C1,RPS10,SNRPD2,LSM7,EXOSC1,CCNT2,SSR2,SNRPG,SSR4,UBE2D3,GTF2B,PSMA2,UBA52,GTF2F2,RPS27,POLR2F,LSM4,SNRNP40,SARS,EIF4A2,SRSF3,RPS9,RPL8,PPA2,RPS13,RPL36A,RPS15,SNRPE,EEF1E1,HNRNPD,PSMA1,HNRNPA2B1,EXOSC9,NCOR1,RPLP1,EPRS,RPLP0,WARS,POLR2G,EIF4E,TFAM,SMN1,SEC11A,HNRNPA1,CNOT4,SUPT16H,PSMD6,SRSF7,RPS24,EXOSC8,RPL29,CSTF3,RARS2,EIF3D,PSMA2,RPL21,SRP9,RPL37,EIF2B3,GTF2F1,EEF1B2,DNAJC8,SSR1,RPL34,LARS,NHP2L1,IARS,EIF3E,HNRNPC",biological_process,gene expression,281,105,771,18.8197305629,12.9790889055
GO:0006397,"ENSG00000173933,ENSG00000108848,ENSG00000165630,ENSG00000147140,ENSG00000125835,ENSG00000111196,ENSG00000100461,ENSG00000143977,ENSG00000119707,ENSG00000131051,ENSG00000182004,ENSG00000130520,ENSG00000096063,ENSG00000176102,ENSG00000122566,ENSG00000054118,ENSG00000196504,ENSG00000106344,ENSG00000159140,ENSG00000161265,ENSG00000139218,ENSG00000116754,ENSG00000153006,ENSG00000125676,ENSG00000084463,ENSG00000112531,ENSG00000148843,ENSG00000172062,ENSG00000248643,ENSG00000133226,ENSG00000153914,ENSG00000100320,ENSG00000064607,ENSG00000135486,ENSG00000115875,ENSG00000121067,ENSG00000126653","RBM4,LUC7L3,PRPF18,NONO,SNRPB,MAGOHB,RBM23,SNRPG,RBM25,RBM39,SNRPE,LSM4,SRPK1,CSTF3,HNRNPA2B1,THRAP3,PRPF40A,RBM28,SON,U2AF1L4,SCAF11,SRSF11,SREK1IP1,THOC2,WBP11,QKI,PDCD11,SMN1,RBM14-RBM4,SRRM1,SREK1,RBFOX2,SUGP2,HNRNPA1,SRSF7,SPOP,NSRP1",biological_process,mRNA processing,71,37,240,18.0149702553,12.1743285979
GO:0008380,"ENSG00000115524,ENSG00000173933,ENSG00000108848,ENSG00000174891,ENSG00000165630,ENSG00000116754,ENSG00000147140,ENSG00000125743,ENSG00000138398,ENSG00000111196,ENSG00000143977,ENSG00000075292,ENSG00000112081,ENSG00000119707,ENSG00000131051,ENSG00000125835,ENSG00000182004,ENSG00000188342,ENSG00000100142,ENSG00000130520,ENSG00000138668,ENSG00000096063,ENSG00000176102,ENSG00000122566,ENSG00000133226,ENSG00000196504,ENSG00000106344,ENSG00000159140,ENSG00000161265,ENSG00000125651,ENSG00000139218,ENSG00000060688,ENSG00000153006,ENSG00000128739,ENSG00000125676,ENSG00000084463,ENSG00000126698,ENSG00000112531,ENSG00000168002,ENSG00000248643,ENSG00000054118,ENSG00000100138,ENSG00000153914,ENSG00000100320,ENSG00000064607,ENSG00000135486,ENSG00000115875,ENSG00000092199,ENSG00000126653","SF3B1,RBM4,LUC7L3,RSRC1,PRPF18,SRSF11,NONO,SNRPD2,PPIG,MAGOHB,SNRPG,ZNF638,SRSF3,RBM25,RBM39,SNRPB,SNRPE,GTF2F2,POLR2F,LSM4,HNRNPD,SRPK1,CSTF3,HNRNPA2B1,SRRM1,PRPF40A,RBM28,SON,U2AF1L4,GTF2F1,SCAF11,SNRNP40,SREK1IP1,SNRPN,THOC2,WBP11,DNAJC8,QKI,POLR2G,RBM14-RBM4,THRAP3,NHP2L1,SREK1,RBFOX2,SUGP2,HNRNPA1,SRSF7,HNRNPC,NSRP1",biological_process,RNA splicing,106,49,268,17.608333375,11.7676917177
GO:0044267,"ENSG00000120697,ENSG00000147677,ENSG00000138674,ENSG00000182899,ENSG00000083845,ENSG00000110700,ENSG00000138326,ENSG00000167552,ENSG00000123349,ENSG00000241343,ENSG00000152700,ENSG00000162244,ENSG00000100564,ENSG00000163479,ENSG00000115268,ENSG00000140319,ENSG00000118363,ENSG00000177954,ENSG00000101132,ENSG00000120438,ENSG00000221983,ENSG00000180879,ENSG00000122026,ENSG00000265681,ENSG00000150779,ENSG00000126768,ENSG00000128654,ENSG00000134419,ENSG00000143742,ENSG00000145592,ENSG00000105254,ENSG00000173726,ENSG00000204120,ENSG00000118705,ENSG00000145425,ENSG00000151665,ENSG00000124614,ENSG00000114942,ENSG00000137818,ENSG00000185808,ENSG00000156976,ENSG00000231500,ENSG00000070785,ENSG00000163468,ENSG00000170889,ENSG00000089157,ENSG00000105372,ENSG00000124783,ENSG00000129562,ENSG00000156261,ENSG00000100353,ENSG00000109475,ENSG00000135624,ENSG00000151247,ENSG00000157020,ENSG00000217930,ENSG00000161016,ENSG00000171530,ENSG00000127022,ENSG00000122406,ENSG00000140612,ENSG00000101901,ENSG00000104408,ENSG00000075624","ALG5,EIF3H,SEC31A,RPL35A,RPS5,RPS13,RPS24,TUBA1A,PFDN5,RPL36A,SAR1B,RPL29,PIGH,SSR2,RPS15,SRP14,SPCS2,RPS27,PFDN4,TCP1,UBA52,SSR4,RPL21,RPL17,TIMM8B,TIMM17B,MTX2,RPS15A,SRP9,RPL37,TBCB,TOMM20,GIGYF2,RPN2,RPS3A,PIGF,RPS10,EEF1B2,RPLP1,PIGP,EIF4A2,RPS18,EIF2B3,CCT3,RPS9,RPLP0,RPS19,SSR1,DAD1,CCT8,EIF3D,RPL34,CCT7,EIF4E,SEC13,PAM16,RPL8,TBCA,CANX,RPL5,SEC11A,ALG13,EIF3E,ACTB",biological_process,cellular protein metabolic process,156,64,438,16.3127136976,10.4720720402
GO:0008150,"ENSG00000109046,ENSG00000133983,ENSG00000121741,ENSG00000120699,ENSG00000119720,ENSG00000214265,ENSG00000138698,ENSG00000129625,ENSG00000139684,ENSG00000156411,ENSG00000109184,ENSG00000156253,ENSG00000186566,ENSG00000266967,ENSG00000148950,ENSG00000173436,ENSG00000154719,ENSG00000054267,ENSG00000115514,ENSG00000163463,ENSG00000022277,ENSG00000086666,ENSG00000171204,ENSG00000120860,ENSG00000134697,ENSG00000052126,ENSG00000071462,ENSG00000153774,ENSG00000128595,ENSG00000171159,ENSG00000060762,ENSG00000137726,ENSG00000125037,ENSG00000108825,ENSG00000127603","WSB1,COX16,ZMYM2,EXOSC8,NRDE2,SNURF,RAP1GDS1,REEP5,ESD,C14orf2,DCUN1D4,RWDD2B,GPATCH8,AARSD1,IMMP1L,MINOS1,MRPL39,ARID4B,TXNDC9,KRTCAP2,RTFDC1,ZFAND6,TMEM126B,CCDC53,GNL2,PLEKHA5,WBSCR22,CFDP1,CALU,C9orf16,MPC1,FXYD6,EMC3,PTGES3L-AARSD1,MACF1",biological_process,biological_process,70,35,749,15.8027381665,9.96209650917
GO:0044281,"ENSG00000198130,ENSG00000152234,ENSG00000256646,ENSG00000160752,ENSG00000075239,ENSG00000167774,ENSG00000243678,ENSG00000087053,ENSG00000114956,ENSG00000129596,ENSG00000108294,ENSG00000135821,ENSG00000143933,ENSG00000079459,ENSG00000164258,ENSG00000136521,ENSG00000239672,ENSG00000183648,ENSG00000067225,ENSG00000149089,ENSG00000128609,ENSG00000160194,ENSG00000067829,ENSG00000102893,ENSG00000163636,ENSG00000133027,ENSG00000118363,ENSG00000241837,ENSG00000102393,ENSG00000102900,ENSG00000173660,ENSG00000198431,ENSG00000147155,ENSG00000174886,ENSG00000143198,ENSG00000106605,ENSG00000011052,ENSG00000167283,ENSG00000186469,ENSG00000140374,ENSG00000198668,ENSG00000136243,ENSG00000131174,ENSG00000147383,ENSG00000165629,ENSG00000103415,ENSG00000141027,ENSG00000108946,ENSG00000139180,ENSG00000100804,ENSG00000119013,ENSG00000065154,ENSG00000110717,ENSG00000090266,ENSG00000129084,ENSG00000158864,ENSG00000130066,ENSG00000131828,ENSG00000115286,ENSG00000106588,ENSG00000127184,ENSG00000101558,ENSG00000008311,ENSG00000099797,ENSG00000178035,ENSG00000134333,ENSG00000006625,ENSG00000004455,ENSG00000163931,ENSG00000149925,ENSG00000117054,ENSG00000154723,ENSG00000149809,ENSG00000267855,ENSG00000156467,ENSG00000170906,ENSG00000140612,ENSG00000131143,ENSG00000135940,ENSG00000143753,ENSG00000197170,ENSG00000184752","HIBCH,ATP5A1,PSMA2,FDPS,ACAT1,NDUFA7,NME1-NME2,MTMR2,DGUOK,CDO1,PSMB3,GLUL,CALM2,FDFT1,NDUFS4,NDUFB5,NME1,NDUFB1,PKM,APIP,NDUFA5,NDUFV3,IDH3G,PHKB,PSMD6,PEMT,SPCS2,ATP5O,GLA,NUP93,UQCRH,TXNRD1,EBP,NDUFA11,MGST3,BLVRA,NME2,ATP5L,GNG2,ETFA,CALM1,NUPL2,COX7B,NSDHL,ATP5C1,HMOX2,NCOR1,PRKAR1A,NDUFA9,PSMB5,NDUFB3,OAT,NDUFS8,NDUFB2,PSMA1,NDUFS2,SAT1,PDHA1,NDUFS7,PSMA2,COX7C,VAPA,AASS,TECR,IMPDH2,LDHA,GGCT,AK2,TKT,ALDOA,ACADM,ATP5J,TM7SF2,NDUFA7,UQCRB,NDUFA3,SEC11A,COX4I1,COX5B,DEGS1,PSMD12,NDUFA12",biological_process,small molecule metabolic process,229,82,1384,13.167775971,7.32713431367
GO:0007265,"ENSG00000148484,ENSG00000166913,ENSG00000133703,ENSG00000145907,ENSG00000108061,ENSG00000138757,ENSG00000138592","RSU1,YWHAB,KRAS,G3BP1,SHOC2,G3BP2,USP8",biological_process,Ras protein signal transduction,8,7,81,11.8802704463,6.03962878892
GO:0022904,"ENSG00000152234,ENSG00000173660,ENSG00000174886,ENSG00000164258,ENSG00000183648,ENSG00000128609,ENSG00000160194,ENSG00000241837,ENSG00000131174,ENSG00000167283,ENSG00000140374,ENSG00000165629,ENSG00000139180,ENSG00000119013,ENSG00000115286,ENSG00000090266,ENSG00000158864,ENSG00000110717,ENSG00000127184,ENSG00000167774,ENSG00000136521,ENSG00000154723,ENSG00000267855,ENSG00000156467,ENSG00000170906,ENSG00000131143,ENSG00000135940,ENSG00000184752","ATP5A1,UQCRH,NDUFA11,NDUFS4,NDUFB1,NDUFA5,NDUFV3,ATP5O,COX7B,ATP5L,ETFA,ATP5C1,NDUFA9,NDUFB3,NDUFS7,NDUFB2,NDUFS2,NDUFS8,COX7C,NDUFA7,NDUFB5,ATP5J,NDUFA7,UQCRB,NDUFA3,COX4I1,COX5B,NDUFA12",biological_process,respiratory electron transport chain,59,28,113,11.8445722702,6.0039306128
GO:0015031,"ENSG00000138674,ENSG00000073969,ENSG00000126858,ENSG00000099246,ENSG00000111237,ENSG00000102900,ENSG00000132780,ENSG00000155366,ENSG00000131238,ENSG00000074319,ENSG00000116918,ENSG00000057608,ENSG00000177879,ENSG00000157349,ENSG00000166128,ENSG00000092108,ENSG00000067560,ENSG00000105669,ENSG00000070831,ENSG00000149196,ENSG00000117262,ENSG00000168397,ENSG00000166598,ENSG00000120805,ENSG00000133703,ENSG00000008952,ENSG00000126777,ENSG00000069329","SEC31A,NSF,RHOT1,RAB18,VPS29,NUP93,NASP,RHOC,PPT1,TSG101,TSNAX,GDI2,AP3S1,DDX19B,RAB8B,SCFD1,RHOA,COPE,CDC42,C11orf73,GPR89A,ATG4B,HSP90B1,ARL1,KRAS,SEC62,KTN1,VPS35",biological_process,protein transport,61,28,517,11.0242075402,5.18356588283
GO:0045116,"ENSG00000100387,ENSG00000114125,ENSG00000129559,ENSG00000159593,ENSG00000255526,ENSG00000184182","RBX1,RNF7,NEDD8,NAE1,NEDD8-MDP1,UBE2F",biological_process,protein neddylation,7,6,8,10.3944418513,4.55380019398
