,features_of_interest_in_go_term,features_of_interest_in_go_term_gene_symbols,go_domain,go_name,n_background_in_go_term,n_features_of_interest_in_go_term,n_features_total_in_go_term,negative_log_p_value,bonferonni_corrected_negative_log_p_value,modality,phenotype
GO:0019221,"ENSG00000196396,ENSG00000135930,ENSG00000151422,ENSG00000033800,ENSG00000133703,ENSG00000142166,ENSG00000075151,ENSG00000156976,ENSG00000197372,ENSG00000068745,ENSG00000136243","PTPN1,EIF4E2,FER,PIAS1,KRAS,IFNAR1,EIF4G3,EIF4A2,ZNF675,IP6K2,NUPL2",biological_process,cytokine-mediated signaling pathway,14,11,311,13.1946129879,8.10701665264,bimodal,iPSC
GO:0007411,"ENSG00000133703,ENSG00000074054,ENSG00000092841,ENSG00000197694,ENSG00000149557,ENSG00000155366,ENSG00000082701,ENSG00000132670,ENSG00000077254,ENSG00000149269,ENSG00000112186,ENSG00000164885,ENSG00000099204,ENSG00000163539","KRAS,CLASP1,MYL6,SPTAN1,FEZ1,RHOC,GSK3B,PTPRA,USP33,PAK1,CAP2,CDK5,ABLIM1,CLASP2",biological_process,axon guidance,20,14,341,13.141078051,8.05348171572,bimodal,iPSC
GO:0044281,"ENSG00000166562,ENSG00000117461,ENSG00000072042,ENSG00000160752,ENSG00000129596,ENSG00000087053,ENSG00000114956,ENSG00000110801,ENSG00000117054,ENSG00000113161,ENSG00000087460,ENSG00000149809,ENSG00000170899,ENSG00000067064,ENSG00000133027,ENSG00000198431,ENSG00000106605,ENSG00000152556,ENSG00000186469,ENSG00000140374,ENSG00000136243,ENSG00000147383,ENSG00000165629,ENSG00000185627,ENSG00000108946,ENSG00000155096,ENSG00000141027,ENSG00000171720,ENSG00000052802,ENSG00000177200,ENSG00000101365,ENSG00000023330,ENSG00000152904,ENSG00000143774,ENSG00000122643,ENSG00000204310,ENSG00000151552","SEC11C,PIK3R3,RDH11,FDPS,CDO1,MTMR2,DGUOK,PSMD9,ACADM,HMGCR,GNAS,TM7SF2,GSTA4,IDI1,PEMT,TXNRD1,BLVRA,PFKM,GNG2,ETFA,NUPL2,NSDHL,ATP5C1,PSMD13,PRKAR1A,AZIN1,NCOR1,HDAC3,MSMO1,CHD9,IDH3B,ALAS1,GGPS1,GUK1,NT5C3A,AGPAT1,QDPR",biological_process,small molecule metabolic process,80,37,1384,12.8191325579,7.73153622265,bimodal,iPSC
GO:0007165,"ENSG00000148484,ENSG00000198431,ENSG00000164615,ENSG00000112983,ENSG00000087460,ENSG00000126858,ENSG00000158019,ENSG00000113658,ENSG00000160310,ENSG00000155366,ENSG00000136738,ENSG00000157500,ENSG00000168734,ENSG00000108946,ENSG00000151422,ENSG00000186908,ENSG00000112186,ENSG00000128656,ENSG00000077809,ENSG00000136560,ENSG00000133703,ENSG00000137942,ENSG00000039319,ENSG00000058272","RSU1,TXNRD1,CAMLG,BRD8,GNAS,RHOT1,BRE,SMAD5,PRMT2,RHOC,STAM,APPL1,PKIG,PRKAR1A,FER,ZDHHC17,CAP2,CHN1,GTF2I,TANK,KRAS,FNBP1L,ZFYVE16,PPP1R12A",biological_process,signal transduction,45,24,1487,12.3345889241,7.24699258885,bimodal,iPSC
GO:0006695,"ENSG00000147383,ENSG00000160752,ENSG00000067064,ENSG00000152904,ENSG00000149809,ENSG00000113161,ENSG00000052802","NSDHL,FDPS,IDI1,GGPS1,TM7SF2,HMGCR,MSMO1",biological_process,cholesterol biosynthetic process,8,7,37,11.4558116995,6.3682153643,bimodal,iPSC
GO:0016477,"ENSG00000078618,ENSG00000119185,ENSG00000134982,ENSG00000082701,ENSG00000143776,ENSG00000077254,ENSG00000164885,ENSG00000163539","NRD1,ITGB1BP1,APC,GSK3B,CDC42BPA,USP33,CDK5,CLASP2",biological_process,cell migration,10,8,140,10.830953715,5.74335737974,bimodal,iPSC
GO:0035556,"ENSG00000180008,ENSG00000108946,ENSG00000109046,ENSG00000151422,ENSG00000140995,ENSG00000143776,ENSG00000082701,ENSG00000128656","SOCS4,PRKAR1A,WSB1,FER,DEF8,CDC42BPA,GSK3B,CHN1",biological_process,intracellular signal transduction,10,8,320,10.830953715,5.74335737974,bimodal,iPSC
GO:0016568,"ENSG00000158019,ENSG00000204256,ENSG00000258315,ENSG00000204463,ENSG00000141027,ENSG00000171988,ENSG00000181090,ENSG00000123562,ENSG00000171720,ENSG00000177200,ENSG00000163104","BRE,BRD2,C17orf49,BAG6,NCOR1,JMJD1C,EHMT1,MORF4L2,HDAC3,CHD9,SMARCAD1",biological_process,chromatin modification,16,11,124,10.689125882,5.60152954672,bimodal,iPSC
GO:0008543,"ENSG00000108946,ENSG00000108061,ENSG00000133703,ENSG00000082701,ENSG00000172500,ENSG00000166037","PRKAR1A,SHOC2,KRAS,GSK3B,FIBP,CEP57",biological_process,fibroblast growth factor receptor signaling pathway,7,6,122,10.019476881,4.93188054582,bimodal,iPSC
GO:0006468,"ENSG00000055332,ENSG00000151422,ENSG00000159256,ENSG00000113658,ENSG00000114956,ENSG00000013441,ENSG00000121989,ENSG00000145216,ENSG00000082701,ENSG00000132670,ENSG00000143776,ENSG00000149269,ENSG00000075413,ENSG00000164885,ENSG00000071054","EIF2AK2,FER,MORC3,SMAD5,DGUOK,CLK1,ACVR2A,FIP1L1,GSK3B,PTPRA,CDC42BPA,PAK1,MARK3,CDK5,MAP4K4",biological_process,protein phosphorylation,26,15,648,9.99838517194,4.91078883671,bimodal,iPSC
GO:0045892,"ENSG00000197223,ENSG00000120798,ENSG00000160310,ENSG00000197323,ENSG00000111653,ENSG00000141027,ENSG00000048649,ENSG00000082701,ENSG00000029363,ENSG00000074319,ENSG00000171720,ENSG00000100320,ENSG00000164885,ENSG00000181090,ENSG00000139613","C1D,NR2C1,PRMT2,TRIM33,ING4,NCOR1,RSF1,GSK3B,BCLAF1,TSG101,HDAC3,RBFOX2,CDK5,EHMT1,SMARCC2",biological_process,"negative regulation of transcription, DNA-dependent",27,15,496,9.34836466059,4.26076832536,bimodal,iPSC
GO:0008150,"ENSG00000122203,ENSG00000139697,ENSG00000244754,ENSG00000022277,ENSG00000109046,ENSG00000115685,ENSG00000213593,ENSG00000121741,ENSG00000156253,ENSG00000119720,ENSG00000060762,ENSG00000166797,ENSG00000148950,ENSG00000138698,ENSG00000054267,ENSG00000171204,ENSG00000137720,ENSG00000127603","KIAA1191,SBNO1,N4BP2L2,RTFDC1,WSB1,PPP1R7,TMX2,ZMYM2,RWDD2B,NRDE2,MPC1,FAM96A,IMMP1L,RAP1GDS1,ARID4B,TMEM126B,C11orf1,MACF1",biological_process,biological_process,35,18,749,9.22566496828,4.13806863305,bimodal,iPSC
GO:0009790,"ENSG00000164885,ENSG00000181090,ENSG00000204463,ENSG00000077809,ENSG00000113161","CDK5,EHMT1,BAG6,GTF2I,HMGCR",biological_process,embryo development,6,5,152,8.58439235576,3.49679602053,bimodal,iPSC
GO:0044255,"ENSG00000023330,ENSG00000141027,ENSG00000198431,ENSG00000117054,ENSG00000113161,ENSG00000171720,ENSG00000204310,ENSG00000177200","ALAS1,NCOR1,TXNRD1,ACADM,HMGCR,HDAC3,AGPAT1,CHD9",biological_process,cellular lipid metabolic process,12,8,156,8.21820900744,3.13061267221,bimodal,iPSC
GO:0045893,"ENSG00000197451,ENSG00000138293,ENSG00000005483,ENSG00000113658,ENSG00000160310,ENSG00000048649,ENSG00000157450,ENSG00000110801,ENSG00000022840,ENSG00000171634,ENSG00000062194,ENSG00000033800,ENSG00000102038,ENSG00000163104,ENSG00000139613","HNRNPAB,NCOA4,KMT2E,SMAD5,PRMT2,RSF1,RNF111,PSMD9,RNF10,BPTF,GPBP1,PIAS1,SMARCA1,SMARCAD1,SMARCC2",biological_process,"positive regulation of transcription, DNA-dependent",29,15,573,8.1937252871,3.10612895187,bimodal,iPSC
GO:0007179,"ENSG00000114374,ENSG00000197323,ENSG00000113658,ENSG00000141027,ENSG00000157450,ENSG00000116750","USP9Y,TRIM33,SMAD5,NCOR1,RNF111,UCHL5",biological_process,transforming growth factor beta receptor signaling pathway,8,6,124,8.17332142567,3.08572509044,bimodal,iPSC
GO:0016567,"ENSG00000144848,ENSG00000103363,ENSG00000166295,ENSG00000197323,ENSG00000109046,ENSG00000081154,ENSG00000110906,ENSG00000141552,ENSG00000033178,ENSG00000121067,ENSG00000180008","ATG3,TCEB2,ANAPC16,TRIM33,WSB1,PCNP,KCTD10,ANAPC11,UBA6,SPOP,SOCS4",biological_process,protein ubiquitination,19,11,308,8.10041733093,3.0128209957,bimodal,iPSC
