,features_of_interest_in_go_term,features_of_interest_in_go_term_gene_symbols,go_domain,go_name,n_background_in_go_term,n_features_of_interest_in_go_term,n_features_total_in_go_term,negative_log_p_value,bonferonni_corrected_negative_log_p_value,modality,phenotype
GO:0042981,"ENSG00000133112,ENSG00000179222,ENSG00000163636,ENSG00000100804,ENSG00000134982,ENSG00000256646,ENSG00000197170,ENSG00000108294,ENSG00000172687,ENSG00000167085,ENSG00000164305,ENSG00000129084,ENSG00000239672,ENSG00000086666,ENSG00000221983,ENSG00000159593,ENSG00000106588","TPT1,MAGED1,PSMD6,PSMB5,APC,PSMA2,PSMD12,PSMB3,ZNF738,PHB,CASP3,PSMA1,NME1,ZFAND6,UBA52,NAE1,PSMA2",biological_process,regulation of apoptotic process,18,17,254,18.9177435761,13.5754093242,excluded,iPSC
GO:0006511,"ENSG00000066427,ENSG00000113558,ENSG00000256646,ENSG00000104517,ENSG00000103194,ENSG00000140455,ENSG00000119048,ENSG00000156256,ENSG00000154582,ENSG00000129559,ENSG00000135108,ENSG00000089053,ENSG00000129084,ENSG00000118939,ENSG00000256206,ENSG00000106588,ENSG00000109332","ATXN3,SKP1,PSMA2,UBR5,USP10,USP3,UBE2B,USP16,TCEB1,NEDD8,FBXO21,ANAPC5,PSMA1,UCHL3,PSMA1,PSMA2,UBE2D3",biological_process,ubiquitin-dependent protein catabolic process,18,17,196,18.9177435761,13.5754093242,excluded,iPSC
GO:0007596,"ENSG00000164924,ENSG00000067560,ENSG00000070831,ENSG00000128595,ENSG00000131236,ENSG00000108384,ENSG00000149925,ENSG00000184009,ENSG00000085063,ENSG00000143933,ENSG00000196262,ENSG00000116489,ENSG00000150093,ENSG00000075624,ENSG00000186469,ENSG00000198668,ENSG00000196591,ENSG00000068796,ENSG00000198898","YWHAZ,RHOA,CDC42,CALU,CAP1,RAD51C,ALDOA,ACTG1,CD59,CALM2,PPIA,CAPZA1,ITGB1,ACTB,GNG2,CALM1,HDAC2,KIF2A,CAPZA2",biological_process,blood coagulation,21,19,504,18.3879179667,13.0455837148,excluded,iPSC
GO:0006886,"ENSG00000099246,ENSG00000095139,ENSG00000166128,ENSG00000129515,ENSG00000173726,ENSG00000184432,ENSG00000174100,ENSG00000141367,ENSG00000120805,ENSG00000157020,ENSG00000258466,ENSG00000164609,ENSG00000126768,ENSG00000136738,ENSG00000100568,ENSG00000122705,ENSG00000177879,ENSG00000128245,ENSG00000180879,ENSG00000079332,ENSG00000170348","RAB18,ARCN1,RAB8B,SNX6,TOMM20,COPB2,MRPL45,CLTC,ARL1,SEC13,RP11-1012A1.4,SLU7,TIMM17B,STAM,VTI1B,CLTA,AP3S1,YWHAH,SSR4,SAR1A,TMED10",biological_process,intracellular protein transport,24,21,342,18.3318218956,12.9894876436,excluded,iPSC
GO:0006468,"ENSG00000174891,ENSG00000113712,ENSG00000134480,ENSG00000139180,ENSG00000168002,ENSG00000069956,ENSG00000121989,ENSG00000100142,ENSG00000096063,ENSG00000143776,ENSG00000180228,ENSG00000140443,ENSG00000149269,ENSG00000008128,ENSG00000101266,ENSG00000114956","RSRC1,CSNK1A1,CCNH,NDUFA9,POLR2G,MAPK6,ACVR2A,POLR2F,SRPK1,CDC42BPA,PRKRA,IGF1R,PAK1,CDK11A,CSNK2A1,DGUOK",biological_process,protein phosphorylation,17,16,648,17.8620959465,12.5197616946,excluded,iPSC
GO:0045893,"ENSG00000120533,ENSG00000120837,ENSG00000179222,ENSG00000138293,ENSG00000005483,ENSG00000187735,ENSG00000244687,ENSG00000108064,ENSG00000125651,ENSG00000156256,ENSG00000083168,ENSG00000196591,ENSG00000108654,ENSG00000062194,ENSG00000167085,ENSG00000138668,ENSG00000172660,ENSG00000128245,ENSG00000054118,ENSG00000163104","ENY2,NFYB,MAGED1,NCOA4,KMT2E,TCEA1,UBE2V1,TFAM,GTF2F1,USP16,KAT6A,HDAC2,DDX5,GPBP1,PHB,HNRNPD,TAF15,YWHAH,THRAP3,SMARCAD1",biological_process,"positive regulation of transcription, DNA-dependent",23,20,573,17.3594282129,12.0170939609,excluded,iPSC
GO:0019048,"ENSG00000175575,ENSG00000108953,ENSG00000154582,ENSG00000067560,ENSG00000065427,ENSG00000133318,ENSG00000100387,ENSG00000100804,ENSG00000151247,ENSG00000196262,ENSG00000140307,ENSG00000160752,ENSG00000108294,ENSG00000096063,ENSG00000150093,ENSG00000082258,ENSG00000204628,ENSG00000077380,ENSG00000089157,ENSG00000135486","PAAF1,YWHAE,TCEB1,RHOA,KARS,RTN3,RBX1,PSMB5,EIF4E,PPIA,GTF2A2,FDPS,PSMB3,SRPK1,ITGB1,CCNT2,GNB2L1,DYNC1I2,RPLP0,HNRNPA1",biological_process,virus-host interaction,23,20,370,17.3594282129,12.0170939609,excluded,iPSC
GO:0000209,"ENSG00000092140,ENSG00000119048,ENSG00000163636,ENSG00000104517,ENSG00000100804,ENSG00000106588,ENSG00000256646,ENSG00000221983,ENSG00000108294,ENSG00000172687,ENSG00000169139,ENSG00000244687,ENSG00000129084,ENSG00000197170,ENSG00000109332","G2E3,UBE2B,PSMD6,UBR5,PSMB5,PSMA2,PSMA2,UBA52,PSMB3,ZNF738,UBE2V2,UBE2V1,PSMA1,PSMD12,UBE2D3",biological_process,protein polyubiquitination,16,15,132,16.8070001045,11.4646658525,excluded,iPSC
GO:0007049,"ENSG00000138758,ENSG00000132780,ENSG00000122545,ENSG00000159140,ENSG00000069956,ENSG00000152359,ENSG00000156256,ENSG00000135164,ENSG00000204628,ENSG00000166946,ENSG00000196504,ENSG00000101266,ENSG00000082258,ENSG00000159593,ENSG00000168385","SEPT11,NASP,SEPT7,SON,MAPK6,POC5,USP16,DMTF1,GNB2L1,CCNDBP1,PRPF40A,CSNK2A1,CCNT2,NAE1,SEPT2",biological_process,cell cycle,16,15,270,16.8070001045,11.4646658525,excluded,iPSC
GO:0034641,"ENSG00000198130,ENSG00000163636,ENSG00000075239,ENSG00000100804,ENSG00000106588,ENSG00000256646,ENSG00000065154,ENSG00000008311,ENSG00000108294,ENSG00000135821,ENSG00000130066,ENSG00000129084,ENSG00000197170,ENSG00000149089","HIBCH,PSMD6,ACAT1,PSMB5,PSMA2,PSMA2,OAT,AASS,PSMB3,GLUL,SAT1,PSMA1,PSMD12,APIP",biological_process,cellular nitrogen compound metabolic process,15,14,214,15.7524554211,10.4101211691,excluded,iPSC
