,features_of_interest_in_go_term,features_of_interest_in_go_term_gene_symbols,go_domain,go_name,n_background_in_go_term,n_features_of_interest_in_go_term,n_features_total_in_go_term,negative_log_p_value,bonferonni_corrected_negative_log_p_value,modality,phenotype
GO:0008284,"ENSG00000169714,ENSG00000198034,ENSG00000102265,ENSG00000146247,ENSG00000166333,ENSG00000254999,ENSG00000151422,ENSG00000005022,ENSG00000113161,ENSG00000257365,ENSG00000114209,ENSG00000187109,ENSG00000165672,ENSG00000134419,ENSG00000151465,ENSG00000170889,ENSG00000097046,ENSG00000196591,ENSG00000069345","CNBP,RPS4X,TIMP1,PHIP,ILK,BRK1,FER,SLC25A5,HMGCR,FNTB,PDCD10,NAP1L1,PRDX3,RPS15A,CDC123,RPS9,CDC7,HDAC2,DNAJA2",biological_process,positive regulation of cell proliferation,21,19,455,18.3521636924,12.3606991453,included,iPSC
GO:0006626,"ENSG00000138297,ENSG00000164924,ENSG00000214253,ENSG00000100575,ENSG00000100347,ENSG00000205981,ENSG00000217930,ENSG00000214736,ENSG00000104381,ENSG00000126768,ENSG00000113013,ENSG00000075336,ENSG00000196683,ENSG00000105819,ENSG00000134375,ENSG00000128654","TIMM23,YWHAZ,FIS1,TIMM9,SAMM50,DNAJC19,PAM16,TOMM6,GDAP1,TIMM17B,HSPA9,TIMM21,TOMM7,PMPCB,TIMM17A,MTX2",biological_process,protein targeting to mitochondrion,17,16,53,17.8381123401,11.846647793,included,iPSC
GO:0000226,"ENSG00000143776,ENSG00000116957,ENSG00000131462,ENSG00000159140,ENSG00000007168,ENSG00000151422,ENSG00000111640,ENSG00000167552,ENSG00000170296,ENSG00000135720,ENSG00000115355,ENSG00000074054,ENSG00000140463,ENSG00000151914,ENSG00000066427,ENSG00000126756","CDC42BPA,TBCE,TUBG1,SON,PAFAH1B1,FER,GAPDH,TUBA1A,GABARAP,DYNC1LI2,CCDC88A,CLASP1,BBS4,DST,ATXN3,UXT",biological_process,microtubule cytoskeleton organization,17,16,76,17.8381123401,11.846647793,included,iPSC
GO:0044255,"ENSG00000112972,ENSG00000149485,ENSG00000104325,ENSG00000131473,ENSG00000075239,ENSG00000138413,ENSG00000141027,ENSG00000198431,ENSG00000127884,ENSG00000171720,ENSG00000117054,ENSG00000079459,ENSG00000116906,ENSG00000137574,ENSG00000113161,ENSG00000084754,ENSG00000099797,ENSG00000116171","HMGCS1,FADS1,DECR1,ACLY,ACAT1,IDH1,NCOR1,TXNRD1,ECHS1,HDAC3,ACADM,FDFT1,GNPAT,TGS1,HMGCR,HADHA,TECR,SCP2",biological_process,cellular lipid metabolic process,20,18,156,17.3482432325,11.3567786854,included,iPSC
GO:0006464,"ENSG00000092140,ENSG00000144744,ENSG00000205629,ENSG00000187778,ENSG00000092148,ENSG00000253729,ENSG00000130985,ENSG00000164414,ENSG00000120265,ENSG00000221983,ENSG00000163902,ENSG00000131238,ENSG00000129559,ENSG00000074319,ENSG00000177889,ENSG00000086758,ENSG00000185651,ENSG00000118705","G2E3,UBA3,LCMT1,MCRS1,HECTD1,PRKDC,UBA1,SLC35A1,PCMT1,UBA52,RPN1,PPT1,NEDD8,TSG101,UBE2N,HUWE1,UBE2L3,RPN2",biological_process,cellular protein modification process,20,18,166,17.3482432325,11.3567786854,included,iPSC
GO:0006338,"ENSG00000163939,ENSG00000173473,ENSG00000153147,ENSG00000099956,ENSG00000176171,ENSG00000048649,ENSG00000073584,ENSG00000198900,ENSG00000171634,ENSG00000122565,ENSG00000102038,ENSG00000162521,ENSG00000196591,ENSG00000163104,ENSG00000139613","PBRM1,SMARCC1,SMARCA5,SMARCB1,BNIP3,RSF1,SMARCE1,TOP1,BPTF,CBX3,SMARCA1,RBBP4,HDAC2,SMARCAD1,SMARCC2",biological_process,chromatin remodeling,16,15,64,16.7871642233,10.7956996762,included,iPSC
GO:0006370,"ENSG00000163882,ENSG00000111358,ENSG00000134480,ENSG00000047315,ENSG00000020426,ENSG00000168002,ENSG00000147669,ENSG00000169612,ENSG00000188342,ENSG00000134058,ENSG00000100142,ENSG00000105258,ENSG00000099817,ENSG00000005075,ENSG00000101654","POLR2H,GTF2H3,CCNH,POLR2B,MNAT1,POLR2G,POLR2K,FAM103A1,GTF2F2,CDK7,POLR2F,POLR2I,POLR2E,POLR2J,RNMT",biological_process,7-methylguanosine mRNA capping,16,15,37,16.7871642233,10.7956996762,included,iPSC
GO:0006917,"ENSG00000145425,ENSG00000105185,ENSG00000160049,ENSG00000164305,ENSG00000184047,ENSG00000147601,ENSG00000186010,ENSG00000176171,ENSG00000029363,ENSG00000180228,ENSG00000116001,ENSG00000166681,ENSG00000132824,ENSG00000101109,ENSG00000183520,ENSG00000161526,ENSG00000149273","RPS3A,PDCD5,DFFA,CASP3,DIABLO,TERF1,NDUFA13,BNIP3,BCLAF1,PRKRA,TIA1,NGFRAP1,SERINC3,STK4,UTP11L,SAP30BP,RPS3",biological_process,induction of apoptosis,19,17,224,16.34690236,10.3554378129,included,iPSC
GO:0006928,"ENSG00000136810,ENSG00000026025,ENSG00000111229,ENSG00000077549,ENSG00000165209,ENSG00000136238,ENSG00000136754,ENSG00000163466,ENSG00000116489,ENSG00000198898,ENSG00000143549,ENSG00000138071,ENSG00000075624,ENSG00000172757","TXN,VIM,ARPC3,CAPZB,STRBP,RAC1,ABI1,ARPC2,CAPZA1,CAPZA2,TPM3,ACTR2,ACTB,CFL1",biological_process,cellular component movement,15,14,108,15.736422471,9.74495792393,included,iPSC
GO:0008286,"ENSG00000100554,ENSG00000159720,ENSG00000117410,ENSG00000147416,ENSG00000131100,ENSG00000151247,ENSG00000155097,ENSG00000113732,ENSG00000173473,ENSG00000166263,ENSG00000033627,ENSG00000136888,ENSG00000177885,ENSG00000177879,ENSG00000146247,ENSG00000137154","ATP6V1D,ATP6V0D1,ATP6V0B,ATP6V1B2,ATP6V1E1,EIF4E,ATP6V1C1,ATP6V0E1,SMARCC1,STXBP4,ATP6V0A1,ATP6V1G1,GRB2,AP3S1,PHIP,RPS6",biological_process,insulin receptor signaling pathway,18,16,159,15.348390405,9.35692585785,included,iPSC
