,features_of_interest_in_go_term,features_of_interest_in_go_term_gene_symbols,go_domain,go_name,n_background_in_go_term,n_features_of_interest_in_go_term,n_features_total_in_go_term,negative_log_p_value,bonferonni_corrected_negative_log_p_value
GO:0005739,"ENSG00000166986,ENSG00000106246,ENSG00000114956,ENSG00000164733,ENSG00000164305,ENSG00000117054,ENSG00000145247,ENSG00000116741,ENSG00000048544,ENSG00000109180,ENSG00000072210,ENSG00000181610,ENSG00000145439,ENSG00000171202,ENSG00000158528,ENSG00000256591,ENSG00000132153,ENSG00000116171,ENSG00000164924,ENSG00000170634,ENSG00000065427,ENSG00000164182,ENSG00000115286,ENSG00000167985,ENSG00000131828,ENSG00000096080,ENSG00000113643,ENSG00000068366,ENSG00000126432,ENSG00000204568,ENSG00000176171,ENSG00000153914,ENSG00000114120,ENSG00000111906,ENSG00000239900,ENSG00000136143,ENSG00000198130,ENSG00000108528,ENSG00000136003,ENSG00000172590,ENSG00000173171,ENSG00000090263,ENSG00000138363,ENSG00000109339,ENSG00000067225,ENSG00000178741,ENSG00000168958,ENSG00000067829,ENSG00000133027,ENSG00000198431,ENSG00000172113,ENSG00000115204,ENSG00000140374,ENSG00000110871,ENSG00000162910,ENSG00000120992,ENSG00000165629,ENSG00000166128,ENSG00000174100,ENSG00000014919,ENSG00000155906,ENSG00000136522,ENSG00000158864,ENSG00000203667,ENSG00000248919,ENSG00000101247,ENSG00000023330,ENSG00000205981,ENSG00000081181,ENSG00000160221,ENSG00000138777,ENSG00000197223,ENSG00000132676,ENSG00000103018,ENSG00000004455,ENSG00000241468,ENSG00000116898,ENSG00000113845,ENSG00000143158,ENSG00000156475,ENSG00000169288,ENSG00000160752,ENSG00000163607,ENSG00000065911,ENSG00000108384,ENSG00000214736,ENSG00000103121,ENSG00000008311,ENSG00000213722,ENSG00000101349,ENSG00000243927,ENSG00000072506,ENSG00000134440,ENSG00000136854,ENSG00000184047,ENSG00000175581,ENSG00000074582,ENSG00000243147,ENSG00000075239,ENSG00000102738,ENSG00000165775,ENSG00000112983,ENSG00000137500,ENSG00000067064,ENSG00000082515,ENSG00000160194,ENSG00000146282,ENSG00000182670,ENSG00000063854,ENSG00000150779,ENSG00000184117,ENSG00000076043,ENSG00000125375,ENSG00000256053,ENSG00000102078,ENSG00000138138,ENSG00000084754,ENSG00000163319,ENSG00000130349,ENSG00000055950,ENSG00000122643,ENSG00000196636,ENSG00000129351,ENSG00000122033,ENSG00000134056,ENSG00000151552","MARS,PTCD1,DGUOK,CTSB,CASP3,ACADM,OCIAD2,RGS2,MRPS10,OCIAD1,ALDH3A2,MRPS23,CBR4,TMEM126A,PPP1R9A,RP11-286N22.8,DHX30,SCP2,YWHAZ,ACYP2,KARS,NDUFAF2,NDUFS7,SDHAF2,PDHA1,MRPS18A,RARS,ACSL4,PRDX5,MRPS18B,BNIP3,SREK1,SLC25A36,HDDC2,ADSL,SUCLA2,HIBCH,SLC25A11,ISCU,MRPL52,MTX1,MRPS33,ATIC,MAPK10,PKM,COX5A,MFF,IDH3G,PEMT,TXNRD1,NME6,MPV17,ETFA,COQ5,MRPL55,LYPLA1,ATP5C1,RAB8B,MRPL45,COX15,RMND1,MRPL47,NDUFS2,COX20,ATP5J2-PTCD1,NDUFAF5,ALAS1,DNAJC19,ARG2,C21orf33,PPA2,C1D,DAP3,CYB5B,AK2,ATP5J2,MRPS15,TIMMDC1,MPC2,PPP2R2B,MRPL1,FDPS,GTPBP8,MTHFD2,RAD51C,TOMM6,CMC2,AASS,DDAH2,PAK7,MRPS6,HSD17B10,NARS,STXBP1,DIABLO,MRPL48,BCS1L,MRPL33,ACAT1,MRPS31,FUNDC2,BRD8,CCDC90B,IDI1,MRPL22,NDUFV3,RARS2,TTC3,HAGH,TIMM8B,NIPSNAP1,REXO2,ATP5S,APOPT1,SLC25A14,ATAD1,HADHA,MRPS18C,C6orf203,MRPL43,NT5C3A,ACN9,ILF3,MTIF3,MRPS36,QDPR",cellular_component,mitochondrion,340,126,1502,19.3634675527,13.5463563927
GO:0000166,"ENSG00000096746,ENSG00000185946,ENSG00000166986,ENSG00000173933,ENSG00000100813,ENSG00000115875,ENSG00000163714,ENSG00000117569,ENSG00000015479,ENSG00000155438,ENSG00000100461,ENSG00000180098,ENSG00000003756,ENSG00000147140,ENSG00000131051,ENSG00000075292,ENSG00000065427,ENSG00000178035,ENSG00000182944,ENSG00000198189,ENSG00000145439,ENSG00000116001,ENSG00000107105,ENSG00000137776,ENSG00000266967,ENSG00000122417,ENSG00000073792,ENSG00000143748,ENSG00000100320,ENSG00000101974,ENSG00000122566,ENSG00000090905,ENSG00000147383,ENSG00000153914,ENSG00000065911,ENSG00000074582,ENSG00000138138,ENSG00000161265,ENSG00000108384,ENSG00000135778,ENSG00000090621,ENSG00000138757,ENSG00000008311,ENSG00000205937,ENSG00000125944,ENSG00000116754,ENSG00000197451,ENSG00000136628,ENSG00000162374,ENSG00000159593,ENSG00000170445,ENSG00000140105,ENSG00000113643,ENSG00000072506,ENSG00000134440,ENSG00000138668,ENSG00000146282,ENSG00000205758,ENSG00000144744,ENSG00000146109,ENSG00000248643,ENSG00000133706,ENSG00000152795,ENSG00000125351,ENSG00000070961,ENSG00000169062,ENSG00000092199,ENSG00000104177,ENSG00000135316,ENSG00000122643,ENSG00000164548,ENSG00000108825,ENSG00000151552","HNRNPH3,RNPC3,MARS,RBM4,ACIN1,SRSF7,U2SURP,PTBP2,MATR3,MKI67IP,RBM23,TRNAU1AP,RBM5,NONO,RBM39,ZNF638,KARS,IMPDH2,EWSR1,HSD17B11,CBR4,TIA1,ELAVL2,SLTM,AARSD1,ODF2L,IGF2BP2,NVL,RBFOX2,ATP11C,HNRNPA2B1,TNRC6A,NSDHL,SREK1,MTHFD2,BCS1L,ATAD1,U2AF1L4,RAD51C,NTPCR,PABPC4,G3BP2,AASS,RNPS1,HNRNPR,SRSF11,HNRNPAB,EPRS,ELAVL4,NAE1,HARS,WARS,RARS,HSD17B10,NARS,HNRNPD,RARS2,CRYZL1,UBA3,ABT1,RBM14-RBM4,LARS,HNRNPDL,UPF3B,ATP2B1,UPF3A,HNRNPC,MYEF2,SYNCRIP,NT5C3A,TRA2A,PTGES3L-AARSD1,QDPR",molecular_function,nucleotide binding,170,73,818,19.0054888482,13.1883776882
GO:0005622,"ENSG00000138303,ENSG00000088930,ENSG00000164733,ENSG00000040341,ENSG00000048544,ENSG00000213465,ENSG00000189180,ENSG00000197013,ENSG00000124214,ENSG00000189042,ENSG00000003756,ENSG00000140386,ENSG00000116750,ENSG00000145675,ENSG00000096080,ENSG00000145425,ENSG00000181315,ENSG00000015153,ENSG00000185246,ENSG00000204568,ENSG00000067596,ENSG00000204138,ENSG00000152700,ENSG00000188994,ENSG00000109046,ENSG00000204977,ENSG00000143549,ENSG00000132485,ENSG00000010244,ENSG00000110200,ENSG00000113658,ENSG00000106701,ENSG00000182944,ENSG00000075292,ENSG00000077279,ENSG00000092140,ENSG00000166128,ENSG00000054267,ENSG00000117419,ENSG00000116731,ENSG00000138468,ENSG00000170889,ENSG00000167635,ENSG00000120656,ENSG00000256566,ENSG00000138069,ENSG00000032219,ENSG00000160049,ENSG00000108651,ENSG00000116898,ENSG00000180228,ENSG00000155366,ENSG00000198625,ENSG00000117139,ENSG00000186566,ENSG00000196693,ENSG00000186716,ENSG00000116957,ENSG00000083750,ENSG00000196914,ENSG00000109654,ENSG00000078018,ENSG00000145979,ENSG00000175581,ENSG00000175582,ENSG00000138757,ENSG00000138592,ENSG00000056097,ENSG00000151657,ENSG00000243147,ENSG00000184619,ENSG00000197323,ENSG00000108278,ENSG00000136754,ENSG00000139132,ENSG00000005801,ENSG00000182141,ENSG00000135241,ENSG00000129472,ENSG00000171988,ENSG00000167766,ENSG00000122026,ENSG00000076043,ENSG00000082515,ENSG00000197885,ENSG00000151789,ENSG00000196655,ENSG00000133026,ENSG00000163319,ENSG00000148516,ENSG00000115966,ENSG00000180957,ENSG00000109572,ENSG00000149196,ENSG00000128656,ENSG00000153975,ENSG00000147180,ENSG00000128581,ENSG00000243943,ENSG00000122034","ASCC1,XRN2,CTSB,STAU2,MRPS10,ARL2,ZNF33A,ZNF429,STAU1,ZNF567,RBM5,SCAPER,UCHL5,PIK3R1,MRPS18A,RPS3A,ZNF322,YAF2,PRPF39,MRPS18B,DHX8,PHACTR4,SAR1B,ZNF292,WSB1,TRIM13,TPM3,ZRANB2,ZNF207,ANAPC15,SMAD5,FSD1L,EWSR1,ZNF638,DCX,G2E3,RAB8B,ARID4B,ERI3,PRDM2,SENP7,RPS9,ZNF146,TAF12,RP4-734P14.4,RAB1A,ARID4A,DFFA,UTP6,MRPS15,PRKRA,RHOC,MDM4,KDM5B,GPATCH8,ZNF33B,BCR,TBCE,RRAGB,ARHGEF12,TRIM2,MAP2,TBC1D7,MRPL48,RAB6A,G3BP2,USP8,ZFR,KIN,MRPL33,KRBA2,TRIM33,ZNHIT3,ABI1,FGD4,ZNF195,ZNF708,PNPLA8,RAB2B,JMJD1C,ZNF83,RPL21,REXO2,MRPL22,NKIRAS1,ZNF385D,TRAPPC4,MYH10,MRPS18C,ZEB1,ATF2,PITPNB,CLCN3,C11orf73,CHN1,ZUFSP,ZNF711,RABL5,ZNF512,GTF3A",cellular_component,intracellular,258,100,2261,18.3828378827,12.5657267227
GO:0003723,"ENSG00000058799,ENSG00000096746,ENSG00000138303,ENSG00000173933,ENSG00000163714,ENSG00000111196,ENSG00000040341,ENSG00000009307,ENSG00000116747,ENSG00000131051,ENSG00000164548,ENSG00000137776,ENSG00000112531,ENSG00000132153,ENSG00000157349,ENSG00000124214,ENSG00000003756,ENSG00000161265,ENSG00000116754,ENSG00000128739,ENSG00000162374,ENSG00000211460,ENSG00000145425,ENSG00000146109,ENSG00000067596,ENSG00000100320,ENSG00000104177,ENSG00000185946,ENSG00000169612,ENSG00000197111,ENSG00000248643,ENSG00000171311,ENSG00000110367,ENSG00000178035,ENSG00000182944,ENSG00000101654,ENSG00000090905,ENSG00000173674,ENSG00000080608,ENSG00000145216,ENSG00000090060,ENSG00000138376,ENSG00000055917,ENSG00000180098,ENSG00000170889,ENSG00000197451,ENSG00000147140,ENSG00000213782,ENSG00000197223,ENSG00000107625,ENSG00000165119,ENSG00000198919,ENSG00000075292,ENSG00000182004,ENSG00000144048,ENSG00000169288,ENSG00000138668,ENSG00000122566,ENSG00000135930,ENSG00000115875,ENSG00000090621,ENSG00000205937,ENSG00000125944,ENSG00000125676,ENSG00000168002,ENSG00000152795,ENSG00000169062,ENSG00000138757,ENSG00000074582,ENSG00000056097,ENSG00000151657,ENSG00000163634,ENSG00000073792,ENSG00000123737,ENSG00000117569,ENSG00000015479,ENSG00000131876,ENSG00000100461,ENSG00000132466,ENSG00000107105,ENSG00000122026,ENSG00000132485,ENSG00000114416,ENSG00000155438,ENSG00000145912,ENSG00000122034,ENSG00000129351,ENSG00000135316,ENSG00000092199","YIPF1,HNRNPH3,ASCC1,RBM4,U2SURP,MAGOHB,STAU2,CSDE1,TROVE2,RBM39,TRA2A,SLTM,QKI,DHX30,DDX19B,STAU1,RBM5,U2AF1L4,SRSF11,SNRPN,ELAVL4,TSN,RPS3A,ABT1,DHX8,RBFOX2,MYEF2,RNPC3,FAM103A1,PCBP2,RBM14-RBM4,EXOSC1,DDX6,IMPDH2,EWSR1,RNMT,TNRC6A,EIF1AX,KIAA0020,FIP1L1,PAPOLA,BARD1,PUM2,TRNAU1AP,RPS9,HNRNPAB,NONO,DDX47,C1D,DDX50,HNRNPK,DZIP3,ZNF638,SNRPE,DUSP11,MRPL1,HNRNPD,HNRNPA2B1,EIF4E2,SRSF7,PABPC4,RNPS1,HNRNPR,THOC2,POLR2G,HNRNPDL,UPF3A,G3BP2,BCS1L,ZFR,KIN,THOC7,IGF2BP2,EXOSC9,PTBP2,MATR3,SNRPA1,RBM23,ANKRD17,ELAVL2,RPL21,ZRANB2,FXR1,MKI67IP,NHP2,GTF3A,ILF3,SYNCRIP,HNRNPC",molecular_function,RNA binding,228,89,703,16.9603590492,11.1432478892
GO:0008152,"ENSG00000198130,ENSG00000072210,ENSG00000075239,ENSG00000093144,ENSG00000072506,ENSG00000117054,ENSG00000120992,ENSG00000182220,ENSG00000138382,ENSG00000135241,ENSG00000198189,ENSG00000145439,ENSG00000101654,ENSG00000110871,ENSG00000135069,ENSG00000116171,ENSG00000123983,ENSG00000084754,ENSG00000068366,ENSG00000148335,ENSG00000131828,ENSG00000112972,ENSG00000101247,ENSG00000087995,ENSG00000023330,ENSG00000157426,ENSG00000105223,ENSG00000136143,ENSG00000151552","HIBCH,ALDH3A2,ACAT1,ECHDC1,HSD17B10,ACADM,LYPLA1,ATP6AP2,METTL5,PNPLA8,HSD17B11,CBR4,RNMT,COQ5,PSAT1,SCP2,ACSL3,HADHA,ACSL4,NTMT1,PDHA1,HMGCS1,NDUFAF5,METTL2A,ALAS1,AASDH,PLD3,SUCLA2,QDPR",biological_process,metabolic process,51,29,486,16.4513727312,10.6342615712
GO:0005886,"ENSG00000142864,ENSG00000132639,ENSG00000121989,ENSG00000164305,ENSG00000117697,ENSG00000116741,ENSG00000118473,ENSG00000205336,ENSG00000067445,ENSG00000122545,ENSG00000065427,ENSG00000124356,ENSG00000142875,ENSG00000028203,ENSG00000145675,ENSG00000155849,ENSG00000052802,ENSG00000121289,ENSG00000131236,ENSG00000082701,ENSG00000047249,ENSG00000075413,ENSG00000173114,ENSG00000184007,ENSG00000185774,ENSG00000072506,ENSG00000109339,ENSG00000104960,ENSG00000067225,ENSG00000182944,ENSG00000167720,ENSG00000186469,ENSG00000162706,ENSG00000070081,ENSG00000178878,ENSG00000166128,ENSG00000166333,ENSG00000134352,ENSG00000134982,ENSG00000102893,ENSG00000125841,ENSG00000062716,ENSG00000101557,ENSG00000179915,ENSG00000187764,ENSG00000134294,ENSG00000122705,ENSG00000011677,ENSG00000107625,ENSG00000134121,ENSG00000132670,ENSG00000012983,ENSG00000091972,ENSG00000155366,ENSG00000186716,ENSG00000047849,ENSG00000155097,ENSG00000112972,ENSG00000164885,ENSG00000136854,ENSG00000182718,ENSG00000006128,ENSG00000114209,ENSG00000169062,ENSG00000107560,ENSG00000108848,ENSG00000125386,ENSG00000157168,ENSG00000168385,ENSG00000109084,ENSG00000163539,ENSG00000154096,ENSG00000145147,ENSG00000129472,ENSG00000067715,ENSG00000076043,ENSG00000101974,ENSG00000182985,ENSG00000092108,ENSG00000138138,ENSG00000133026,ENSG00000095637,ENSG00000109572,ENSG00000159593,ENSG00000115310,ENSG00000174938,ENSG00000151150,ENSG00000070961,ENSG00000033627,ENSG00000085063","SERBP1,SNAP25,ACVR2A,CASP3,NSL1,RGS2,SGIP1,GPR56,TRO,SEPT7,KARS,STAMBP,PRKACB,VEZT,PIK3R1,ELMO1,MSMO1,CEP89,CAP1,GSK3B,ATP6V1H,MARK3,LRRN3,PTP4A2,KCNIP4,HSD17B10,MAPK10,PTOV1,PKM,EWSR1,SRR,GNG2,CADM3,NUCB2,APOLD1,RAB8B,ILK,IL6ST,APC,PHKB,NRSN2,VMP1,USP14,NRXN1,SEMA4D,SLC38A2,CLTA,GABRA3,DDX50,CHL1,PTPRA,MAP4K5,CD200,RHOC,BCR,MAP4,ATP6V1C1,HMGCS1,CDK5,STXBP1,ANXA2,TAC1,PDCD10,UPF3A,RAB11FIP2,LUC7L3,FAM193A,NRG1,SEPT2,TMEM97,CLASP2,THY1,SLIT2,RAB2B,SYT1,REXO2,ATP11C,CADM1,SCFD1,ATAD1,MYH10,SORBS1,CLCN3,NAE1,RTN4,SEZ6L2,ANK3,ATP2B1,ATP6V0A1,CD59",cellular_component,plasma membrane,238,90,3897,15.3839060232,9.56679486328
GO:0006351,"ENSG00000124177,ENSG00000124151,ENSG00000197223,ENSG00000115750,ENSG00000138293,ENSG00000185630,ENSG00000138303,ENSG00000197323,ENSG00000117139,ENSG00000167081,ENSG00000163159,ENSG00000180964,ENSG00000156256,ENSG00000140395,ENSG00000123562,ENSG00000005483,ENSG00000104960,ENSG00000082258,ENSG00000054267,ENSG00000152795,ENSG00000083168,ENSG00000075292,ENSG00000162664,ENSG00000147140,ENSG00000131051,ENSG00000004487,ENSG00000187778,ENSG00000182141,ENSG00000113658,ENSG00000182944,ENSG00000189180,ENSG00000171988,ENSG00000167766,ENSG00000022840,ENSG00000196591,ENSG00000117625,ENSG00000197013,ENSG00000163660,ENSG00000137776,ENSG00000196693,ENSG00000138668,ENSG00000134480,ENSG00000071794,ENSG00000204256,ENSG00000114439,ENSG00000147548,ENSG00000147180,ENSG00000189042,ENSG00000171634,ENSG00000047315,ENSG00000163166,ENSG00000079102,ENSG00000141027,ENSG00000116731,ENSG00000205937,ENSG00000090060,ENSG00000114446,ENSG00000181315,ENSG00000116750,ENSG00000062194,ENSG00000187735,ENSG00000078403,ENSG00000066427,ENSG00000165671,ENSG00000121931,ENSG00000163939,ENSG00000015153,ENSG00000148516,ENSG00000168002,ENSG00000141431,ENSG00000166477,ENSG00000029363,ENSG00000135164,ENSG00000243943,ENSG00000005801,ENSG00000129351,ENSG00000118482,ENSG00000151304,ENSG00000104177,ENSG00000025293,ENSG00000123636,ENSG00000171735,ENSG00000156650","CHD6,NCOA3,C1D,TAF1B,NCOA4,PBX1,ASCC1,TRIM33,KDM5B,PBX3,VPS72,TCEAL8,USP16,WDR61,MORF4L2,KMT2E,PTOV1,CCNT2,ARID4B,HNRNPDL,KAT6A,ZNF638,ZNF326,NONO,RBM39,KDM1A,MCRS1,ZNF708,SMAD5,EWSR1,ZNF33A,JMJD1C,ZNF83,RNF10,HDAC2,RCOR3,ZNF429,CCNL1,SLTM,ZNF33B,HNRNPD,CCNH,HLTF,BRD2,BBX,WHSC1L1,ZNF711,ZNF567,BPTF,POLR2B,IWS1,RUNX1T1,NCOR1,PRDM2,RNPS1,PAPOLA,IFT57,ZNF322,UCHL5,GPBP1,TCEA1,MLLT10,ATXN3,NSD1,LRIF1,PBRM1,YAF2,ZEB1,POLR2G,ASXL3,LEO1,BCLAF1,DMTF1,ZNF512,ZNF195,ILF3,PHF3,SRFBP1,MYEF2,PHF20,BAZ2B,CAMTA1,KAT6B",biological_process,"transcription, DNA-dependent",216,83,2018,15.1406769864,9.32356582641
GO:0004843,"ENSG00000114374,ENSG00000066427,ENSG00000124356,ENSG00000140455,ENSG00000156256,ENSG00000170242,ENSG00000187555,ENSG00000077254,ENSG00000116750,ENSG00000102226,ENSG00000138592,ENSG00000101557","USP9Y,ATXN3,STAMBP,USP3,USP16,USP47,USP7,USP33,UCHL5,USP11,USP8,USP14",molecular_function,ubiquitin-specific protease activity,15,12,48,14.6151991029,8.7980879429
GO:0042384,"ENSG00000144451,ENSG00000135541,ENSG00000198707,ENSG00000078674,ENSG00000160050,ENSG00000173226,ENSG00000214413,ENSG00000168385,ENSG00000131437","SPAG16,AHI1,CEP290,PCM1,CCDC28B,IQCB1,BBIP1,SEPT2,KIF3A",biological_process,cilium assembly,10,9,71,14.4357051093,8.61859394929
GO:0005654,"ENSG00000134480,ENSG00000173933,ENSG00000041357,ENSG00000108294,ENSG00000164305,ENSG00000067369,ENSG00000131051,ENSG00000187735,ENSG00000183431,ENSG00000108590,ENSG00000128272,ENSG00000164924,ENSG00000003756,ENSG00000047315,ENSG00000147601,ENSG00000173692,ENSG00000129484,ENSG00000142875,ENSG00000116754,ENSG00000125835,ENSG00000160563,ENSG00000253729,ENSG00000248643,ENSG00000168214,ENSG00000168002,ENSG00000154582,ENSG00000103363,ENSG00000115750,ENSG00000120798,ENSG00000197111,ENSG00000176171,ENSG00000176386,ENSG00000109339,ENSG00000082258,ENSG00000004487,ENSG00000153147,ENSG00000113658,ENSG00000196591,ENSG00000101654,ENSG00000159479,ENSG00000125351,ENSG00000090060,ENSG00000060688,ENSG00000159256,ENSG00000142252,ENSG00000077097,ENSG00000160049,ENSG00000110801,ENSG00000165119,ENSG00000075292,ENSG00000187778,ENSG00000182004,ENSG00000092010,ENSG00000138668,ENSG00000077152,ENSG00000148572,ENSG00000108384,ENSG00000141027,ENSG00000205937,ENSG00000125944,ENSG00000138442,ENSG00000120656,ENSG00000066427,ENSG00000163938,ENSG00000139372,ENSG00000122566,ENSG00000135336,ENSG00000124151,ENSG00000197323,ENSG00000115875,ENSG00000131876,ENSG00000196235,ENSG00000122034,ENSG00000171988,ENSG00000068745,ENSG00000185627,ENSG00000115966,ENSG00000070501,ENSG00000155438,ENSG00000143106,ENSG00000204392,ENSG00000138398,ENSG00000169251,ENSG00000159352,ENSG00000141552,ENSG00000135316,ENSG00000092199","CCNH,RBM4,PSMA4,PSMB3,CASP3,TP53BP1,RBM39,TCEA1,SF3A3,MED31,ATF4,YWHAZ,RBM5,POLR2B,TERF1,PSMD1,PARP2,PRKACB,SRSF11,SNRPB,MED27,PRKDC,RBM14-RBM4,RBPJ,POLR2G,TCEB1,TCEB2,TAF1B,NR2C1,PCBP2,BNIP3,CDC26,MAPK10,CCNT2,KDM1A,SMARCA5,SMAD5,HDAC2,RNMT,MED8,UPF3B,PAPOLA,SNRNP40,MORC3,GEMIN7,TOP2B,DFFA,PSMD9,HNRNPK,ZNF638,MCRS1,SNRPE,PSME1,HNRNPD,UBE2T,NRBF2,RAD51C,NCOR1,RNPS1,HNRNPR,WDR12,TAF12,ATXN3,GNL3,TDG,HNRNPA2B1,ORC3,NCOA3,TRIM33,SRSF7,SNRPA1,SUPT5H,GTF3A,JMJD1C,IP6K2,PSMD13,ATF2,POLB,MKI67IP,PSMA5,LSM2,PPIG,NMD3,PSMD4,ANAPC11,SYNCRIP,HNRNPC",cellular_component,nucleoplasm,236,87,1060,13.6477255334,7.83061437339
