,features_of_interest_in_go_term,features_of_interest_in_go_term_gene_symbols,go_domain,go_name,n_background_in_go_term,n_features_of_interest_in_go_term,n_features_total_in_go_term,negative_log_p_value,bonferonni_corrected_negative_log_p_value
GO:0045892,"ENSG00000121211,ENSG00000008083,ENSG00000197223,ENSG00000160310,ENSG00000080503,ENSG00000197323,ENSG00000117139,ENSG00000131263,ENSG00000074266,ENSG00000158796,ENSG00000083168,ENSG00000164885,ENSG00000150593,ENSG00000166913,ENSG00000032219,ENSG00000181090,ENSG00000123124,ENSG00000122779,ENSG00000100211,ENSG00000089685,ENSG00000130816,ENSG00000171720,ENSG00000100105,ENSG00000175197,ENSG00000163848,ENSG00000135679,ENSG00000103275,ENSG00000106462,ENSG00000111653,ENSG00000141027,ENSG00000170242,ENSG00000148516,ENSG00000108788,ENSG00000029363,ENSG00000068903,ENSG00000164190,ENSG00000174744,ENSG00000144744,ENSG00000015153,ENSG00000177565,ENSG00000148737,ENSG00000117724,ENSG00000124831,ENSG00000166164,ENSG00000150347,ENSG00000168214,ENSG00000256771,ENSG00000122565,ENSG00000156469,ENSG00000139613","MND1,JARID2,C1D,PRMT2,SMARCA2,TRIM33,KDM5B,RLIM,EED,DEDD,KAT6A,CDK5,PDCD4,YWHAB,ARID4A,EHMT1,WWP1,TRIM24,CBY1,BIRC5,DNMT1,HDAC3,PATZ1,DDIT3,ZNF148,MDM2,UBE2I,EZH2,ING4,NCOR1,USP47,ZEB1,MLX,BCLAF1,SIRT2,NIPBL,BRMS1,UBA3,YAF2,TBL1XR1,TCF7L2,CENPF,LRRFIP1,BRD7,ARID5B,RBPJ,ZNF253,CBX3,MTERFD1,SMARCC2",biological_process,"negative regulation of transcription, DNA-dependent",97,50,496,16.806574899,11.076475116
GO:0006468,"ENSG00000165304,ENSG00000149554,ENSG00000148053,ENSG00000013441,ENSG00000114956,ENSG00000132670,ENSG00000183765,ENSG00000169398,ENSG00000109339,ENSG00000176105,ENSG00000110768,ENSG00000097046,ENSG00000179335,ENSG00000144895,ENSG00000118260,ENSG00000149311,ENSG00000113712,ENSG00000010810,ENSG00000122779,ENSG00000149269,ENSG00000089685,ENSG00000087586,ENSG00000101782,ENSG00000163161,ENSG00000181929,ENSG00000130413,ENSG00000166333,ENSG00000145349,ENSG00000151422,ENSG00000145216,ENSG00000058729,ENSG00000113240,ENSG00000164885,ENSG00000113658,ENSG00000144231,ENSG00000211455,ENSG00000159256,ENSG00000065243,ENSG00000010219,ENSG00000115216,ENSG00000198586,ENSG00000071054,ENSG00000143776,ENSG00000065613,ENSG00000160551,ENSG00000075413,ENSG00000100749,ENSG00000154845","MELK,CHEK1,NTRK2,CLK1,DGUOK,PTPRA,CHEK2,PTK2,MAPK10,YES1,GTF2H1,CDC7,CLK3,EIF2A,CREB1,ATM,CSNK1A1,FYN,TRIM24,PAK1,BIRC5,AURKA,RIOK3,ERCC3,PRKAG1,STK33,ILK,CAMK2D,FER,FIP1L1,RIOK2,CLK4,CDK5,SMAD5,POLR2D,STK38L,MORC3,PKN2,DYRK4,NRBP1,TLK1,MAP4K4,CDC42BPA,SLK,TAOK1,MARK3,VRK1,PPP4R1",biological_process,protein phosphorylation,92,48,648,16.7434764024,11.0133766194
GO:0042384,"ENSG00000155755,ENSG00000134874,ENSG00000135541,ENSG00000173226,ENSG00000078674,ENSG00000160050,ENSG00000168385,ENSG00000138036,ENSG00000144451,ENSG00000133393,ENSG00000214413,ENSG00000140463,ENSG00000125863,ENSG00000100211","TMEM237,DZIP1,AHI1,IQCB1,PCM1,CCDC28B,SEPT2,DYNC2LI1,SPAG16,FOPNL,BBIP1,BBS4,MKKS,CBY1",biological_process,cilium assembly,17,14,71,15.4866699872,9.7565702042
GO:0045893,"ENSG00000138293,ENSG00000125954,ENSG00000005483,ENSG00000013561,ENSG00000080503,ENSG00000183765,ENSG00000258289,ENSG00000067369,ENSG00000083168,ENSG00000073614,ENSG00000006468,ENSG00000162664,ENSG00000073921,ENSG00000118260,ENSG00000146247,ENSG00000160310,ENSG00000156256,ENSG00000122779,ENSG00000172766,ENSG00000105821,ENSG00000138668,ENSG00000100105,ENSG00000196284,ENSG00000100644,ENSG00000175197,ENSG00000198363,ENSG00000165671,ENSG00000007372,ENSG00000166333,ENSG00000117000,ENSG00000177565,ENSG00000166164,ENSG00000063978,ENSG00000062194,ENSG00000102038,ENSG00000147180,ENSG00000162599,ENSG00000197451,ENSG00000015153,ENSG00000128245,ENSG00000108064,ENSG00000103671,ENSG00000113658,ENSG00000139618,ENSG00000171634,ENSG00000126226,ENSG00000125686,ENSG00000162601,ENSG00000140262,ENSG00000095787,ENSG00000139613","NCOA4,CHURC1-FNTB,KMT2E,RNF14,SMARCA2,CHEK2,CHURC1,TP53BP1,KAT6A,KDM5A,ETV1,ZNF326,PICALM,CREB1,PHIP,PRMT2,USP16,TRIM24,NAA16,DNAJC2,HNRNPD,PATZ1,SUPT3H,HIF1A,DDIT3,ASPH,NSD1,PAX6,ILK,RLF,TBL1XR1,BRD7,RNF4,GPBP1,SMARCA1,ZNF711,NFIA,HNRNPAB,YAF2,YWHAH,TFAM,TRIP4,SMAD5,BRCA2,BPTF,PCID2,MED1,MYSM1,TCF12,WAC,SMARCC2",biological_process,"positive regulation of transcription, DNA-dependent",103,51,573,15.3801200823,9.65002029931
GO:0046777,"ENSG00000179335,ENSG00000151422,ENSG00000010810,ENSG00000148053,ENSG00000013441,ENSG00000145349,ENSG00000149269,ENSG00000183765,ENSG00000065613,ENSG00000122779,ENSG00000149311,ENSG00000087586,ENSG00000130413,ENSG00000113240,ENSG00000176105,ENSG00000169398,ENSG00000164885,ENSG00000165304,ENSG00000100749","CLK3,FER,FYN,NTRK2,CLK1,CAMK2D,PAK1,CHEK2,SLK,TRIM24,ATM,AURKA,STK33,CLK4,YES1,PTK2,CDK5,MELK,VRK1",biological_process,protein autophosphorylation,27,19,165,14.789561131,9.059461348
GO:0045944,"ENSG00000136108,ENSG00000213523,ENSG00000080503,ENSG00000185630,ENSG00000079387,ENSG00000162599,ENSG00000198176,ENSG00000147862,ENSG00000165119,ENSG00000110768,ENSG00000067369,ENSG00000099204,ENSG00000183258,ENSG00000141380,ENSG00000118260,ENSG00000146247,ENSG00000160199,ENSG00000096872,ENSG00000089289,ENSG00000104064,ENSG00000137815,ENSG00000163904,ENSG00000063978,ENSG00000100644,ENSG00000175197,ENSG00000163848,ENSG00000163161,ENSG00000007372,ENSG00000253729,ENSG00000117000,ENSG00000123219,ENSG00000099956,ENSG00000148516,ENSG00000115966,ENSG00000112237,ENSG00000078403,ENSG00000113658,ENSG00000134138,ENSG00000025156,ENSG00000135541,ENSG00000177565,ENSG00000148737,ENSG00000095794,ENSG00000248643,ENSG00000114126,ENSG00000168214,ENSG00000147274,ENSG00000064490,ENSG00000125686,ENSG00000123562,ENSG00000111783,ENSG00000110888,ENSG00000101928,ENSG00000058272","CKAP2,SRA1,SMARCA2,PBX1,SENP1,NFIA,TFDP1,NFIB,HNRNPK,GTF2H1,TP53BP1,ABLIM1,DDX41,SS18,CREB1,PHIP,PKNOX1,IFT74,IGBP1,GABPB1,RTF1,SENP2,RNF4,HIF1A,DDIT3,ZNF148,ERCC3,PAX6,PRKDC,RLF,CENPK,SMARCB1,ZEB1,ATF2,CCNC,MLLT10,SMAD5,MEIS2,HSF2,AHI1,TBL1XR1,TCF7L2,CREM,RBM14-RBM4,TFDP2,RBPJ,RBMX,RFXANK,MED1,MORF4L2,RFX4,CAPRIN2,MOSPD1,PPP1R12A",biological_process,positive regulation of transcription from RNA polymerase II promoter,113,54,771,14.6293108604,8.89921107747
GO:0006974,"ENSG00000151657,ENSG00000115392,ENSG00000149554,ENSG00000121988,ENSG00000183765,ENSG00000164305,ENSG00000075131,ENSG00000067369,ENSG00000148153,ENSG00000095002,ENSG00000113456,ENSG00000158019,ENSG00000156256,ENSG00000104517,ENSG00000149311,ENSG00000160551,ENSG00000175197,ENSG00000076242,ENSG00000170242,ENSG00000134982,ENSG00000138376,ENSG00000179262,ENSG00000070501,ENSG00000164190,ENSG00000048028,ENSG00000012061,ENSG00000143476,ENSG00000198586,ENSG00000166803,ENSG00000139618,ENSG00000095787","KIN,FANCL,CHEK1,ZRANB3,CHEK2,CASP3,TIPIN,TP53BP1,INIP,MSH2,RAD1,BRE,USP16,UBR5,ATM,TAOK1,DDIT3,MLH1,USP47,APC,BARD1,RAD23A,POLB,NIPBL,USP28,ERCC1,DTL,TLK1,KIAA0101,BRCA2,WAC",biological_process,response to DNA damage stimulus,54,31,184,14.5906552009,8.86055541797
GO:0030900,"ENSG00000007372,ENSG00000010810,ENSG00000085224,ENSG00000147862,ENSG00000105290,ENSG00000148516,ENSG00000181555,ENSG00000164885,ENSG00000111783,ENSG00000084234","PAX6,FYN,ATRX,NFIB,APLP1,ZEB1,SETD2,CDK5,RFX4,APLP2",biological_process,forebrain development,11,10,83,14.5323995852,8.80229980225
GO:0000278,"ENSG00000121621,ENSG00000006634,ENSG00000138092,ENSG00000196510,ENSG00000094880,ENSG00000228716,ENSG00000198176,ENSG00000117697,ENSG00000105486,ENSG00000175216,ENSG00000142945,ENSG00000108294,ENSG00000101868,ENSG00000204843,ENSG00000004897,ENSG00000138346,ENSG00000174442,ENSG00000166037,ENSG00000097046,ENSG00000117748,ENSG00000040275,ENSG00000164162,ENSG00000123219,ENSG00000151849,ENSG00000114126,ENSG00000151422,ENSG00000151725,ENSG00000103540,ENSG00000112118,ENSG00000101639,ENSG00000054282,ENSG00000137814,ENSG00000213066,ENSG00000089685,ENSG00000160551,ENSG00000125450,ENSG00000117724,ENSG00000101057,ENSG00000131467,ENSG00000119397,ENSG00000082898,ENSG00000185627,ENSG00000175203,ENSG00000130779,ENSG00000078674,ENSG00000110713,ENSG00000184445,ENSG00000163539,ENSG00000174799,ENSG00000100479,ENSG00000182628,ENSG00000153575,ENSG00000158402,ENSG00000142856,ENSG00000069248,ENSG00000049541,ENSG00000136811,ENSG00000111581,ENSG00000068796,ENSG00000153207,ENSG00000139350,ENSG00000144744,ENSG00000166451,ENSG00000055130,ENSG00000127914,ENSG00000065328,ENSG00000140455,ENSG00000077380,ENSG00000035928,ENSG00000112984,ENSG00000101972,ENSG00000138778,ENSG00000114107,ENSG00000093009,ENSG00000137807,ENSG00000089053,ENSG00000141552,ENSG00000087586,ENSG00000148019,ENSG00000135336","KIF18A,DBF4,CENPO,ANAPC7,CDC23,DHFR,TFDP1,NSL1,LIG1,CKAP5,KIF2C,PSMB3,POLA1,DCTN1,CDC27,DNA2,ZWILCH,CEP57,CDC7,RPA2,SPDL1,ANAPC10,CENPK,CENPJ,TFDP2,FER,MLF1IP,CCP110,MCM3,CEP192,SDCCAG8,HAUS2,FGFR1OP,BIRC5,TAOK1,NUP85,CENPF,MYBL2,PSME3,CNTRL,XPO1,PSMD13,DCTN2,CLIP1,PCM1,NUP98,KNTC1,CLASP2,CEP135,POLE2,SKA2,TUBGCP5,CDC25C,ITGB3BP,NUP133,RFC2,ODF2,NUP107,KIF2A,AHCTF1,NEDD1,UBA3,CENPN,CUL1,AKAP9,MCM10,USP3,DYNC1I2,RFC1,KIF20A,STAG2,CENPE,CEP70,CDC45,KIF23,ANAPC5,ANAPC11,AURKA,CEP78,ORC3",biological_process,mitotic cell cycle,187,80,352,14.3935059797,8.66340619674
GO:0000086,"ENSG00000149554,ENSG00000175216,ENSG00000183765,ENSG00000204843,ENSG00000103540,ENSG00000166037,ENSG00000077380,ENSG00000164162,ENSG00000151849,ENSG00000128989,ENSG00000101639,ENSG00000054282,ENSG00000137814,ENSG00000089685,ENSG00000148019,ENSG00000127914,ENSG00000147601,ENSG00000175203,ENSG00000078674,ENSG00000174799,ENSG00000213066,ENSG00000158402,ENSG00000136811,ENSG00000119397,ENSG00000139350,ENSG00000165304,ENSG00000089053,ENSG00000114107,ENSG00000153575","CHEK1,CKAP5,CHEK2,DCTN1,CCP110,CEP57,DYNC1I2,ANAPC10,CENPJ,ARPP19,CEP192,SDCCAG8,HAUS2,BIRC5,CEP78,AKAP9,TERF1,DCTN2,PCM1,CEP135,FGFR1OP,CDC25C,ODF2,CNTRL,NEDD1,MELK,ANAPC5,CEP70,TUBGCP5",biological_process,G2/M transition of mitotic cell cycle,50,29,126,14.1379090946,8.40780931159
