,features_of_interest_in_go_term,features_of_interest_in_go_term_gene_symbols,go_domain,go_name,n_background_in_go_term,n_features_of_interest_in_go_term,n_features_total_in_go_term,negative_log_p_value,bonferonni_corrected_negative_log_p_value
GO:0008150,"ENSG00000250588,ENSG00000198218,ENSG00000132305,ENSG00000151967,ENSG00000115685,ENSG00000121741,ENSG00000169925,ENSG00000183137,ENSG00000154556,ENSG00000095485,ENSG00000111665,ENSG00000214265,ENSG00000138698,ENSG00000158793,ENSG00000118096,ENSG00000048544,ENSG00000244754,ENSG00000163832,ENSG00000156253,ENSG00000012963,ENSG00000143353,ENSG00000213337,ENSG00000186566,ENSG00000128595,ENSG00000266967,ENSG00000148950,ENSG00000153391,ENSG00000043093,ENSG00000198363,ENSG00000122203,ENSG00000110074,ENSG00000065665,ENSG00000132199,ENSG00000054267,ENSG00000148291,ENSG00000106460,ENSG00000213593,ENSG00000102390,ENSG00000179195,ENSG00000147586,ENSG00000198917,ENSG00000166797,ENSG00000085449,ENSG00000086666,ENSG00000171204,ENSG00000120860,ENSG00000125037,ENSG00000163170,ENSG00000052126,ENSG00000055147,ENSG00000101474,ENSG00000157538,ENSG00000162086,ENSG00000137720,ENSG00000122591,ENSG00000106701,ENSG00000162384,ENSG00000108825,ENSG00000127603","IQCJ-SCHIP1,QRICH1,IMMT,SCHIP1,PPP1R7,ZMYM2,BRD3,CEP57L1,SORBS2,CWF19L1,CDCA3,SNURF,RAP1GDS1,NIT1,IFT46,MRPS10,N4BP2L2,ELP6,RWDD2B,UBR7,LYPLAL1,ANKRD39,GPATCH8,CALU,AARSD1,IMMP1L,INO80C,DCUN1D1,ASPH,KIAA1191,FOXRED1,SEC61A2,ENOSF1,ARID4B,SURF2,TMEM106B,TMX2,PBDC1,ZNF664,MRPS28,C9orf114,FAM96A,WDFY1,ZFAND6,TMEM126B,CCDC53,EMC3,BOLA3,PLEKHA5,FAM114A2,APMAP,DSCR3,ZNF75A,C11orf1,FAM126A,FSD1L,C1orf123,PTGES3L-AARSD1,MACF1",biological_process,biological_process,113,59,749,20.0132280459,13.6799484177
GO:0005794,"ENSG00000117500,ENSG00000107863,ENSG00000186908,ENSG00000176049,ENSG00000011405,ENSG00000075131,ENSG00000157823,ENSG00000116791,ENSG00000158850,ENSG00000100815,ENSG00000204842,ENSG00000112984,ENSG00000100568,ENSG00000185009,ENSG00000176105,ENSG00000109083,ENSG00000117335,ENSG00000166037,ENSG00000149182,ENSG00000102531,ENSG00000139132,ENSG00000073921,ENSG00000205339,ENSG00000121940,ENSG00000129518,ENSG00000213625,ENSG00000126581,ENSG00000184014,ENSG00000149269,ENSG00000137814,ENSG00000198513,ENSG00000132824,ENSG00000156171,ENSG00000070081,ENSG00000162736,ENSG00000163848,ENSG00000100211,ENSG00000131725,ENSG00000109113,ENSG00000167110,ENSG00000104177,ENSG00000075711,ENSG00000116455,ENSG00000090863,ENSG00000051825,ENSG00000164414,ENSG00000105669,ENSG00000143553,ENSG00000163539,ENSG00000087470,ENSG00000180398,ENSG00000174851,ENSG00000105404,ENSG00000105290,ENSG00000132256,ENSG00000177879,ENSG00000092531,ENSG00000213930,ENSG00000010219,ENSG00000116729,ENSG00000162961,ENSG00000115446,ENSG00000128595,ENSG00000127914,ENSG00000173230,ENSG00000168172,ENSG00000130413,ENSG00000033627,ENSG00000135968,ENSG00000140497,ENSG00000127603","TMED5,ARHGAP21,ZDHHC17,JAKMIP2,PIK3C2A,TIPIN,AP3S2,CRYZ,B4GALT3,TRIP11,ATXN2,KIF20A,VTI1B,AP3M1,YES1,IFT20,CD46,CEP57,ARFGAP2,FNDC3A,FGD4,PICALM,IPO7,CLCC1,EAPP,LEPROT,BECN1,DENND5A,PAK1,HAUS2,ATL1,SERINC3,DRAM2,NUCB2,NCSTN,ZNF148,CBY1,WDR44,RAB34,GOLGA2,MYEF2,DLG1,WDR77,GLG1,MPHOSPH9,SLC35A1,COPE,SNAPIN,CLASP2,DNM1L,MCFD2,YIF1A,RABAC1,APLP1,TRIM5,AP3S1,SNAP23,GALT,DYRK4,WLS,DPY30,UNC50,CALU,AKAP9,GOLGB1,HOOK3,STK33,ATP6V0A1,GCC2,SCAMP2,MACF1",cellular_component,Golgi apparatus,145,71,757,19.7914891999,13.4582095717
GO:0042803,"ENSG00000029725,ENSG00000114346,ENSG00000087053,ENSG00000183765,ENSG00000122550,ENSG00000108395,ENSG00000113161,ENSG00000166037,ENSG00000139546,ENSG00000119912,ENSG00000249915,ENSG00000108039,ENSG00000160310,ENSG00000198431,ENSG00000129103,ENSG00000148053,ENSG00000132256,ENSG00000095002,ENSG00000089685,ENSG00000101294,ENSG00000155463,ENSG00000111790,ENSG00000117724,ENSG00000182985,ENSG00000166086,ENSG00000130779,ENSG00000147601,ENSG00000006625,ENSG00000076554,ENSG00000183044,ENSG00000108788,ENSG00000213066,ENSG00000151914,ENSG00000117308,ENSG00000100983,ENSG00000087274,ENSG00000136936,ENSG00000025156,ENSG00000100575,ENSG00000115216,ENSG00000162961,ENSG00000097033,ENSG00000138376,ENSG00000099256,ENSG00000070669,ENSG00000065613,ENSG00000137944,ENSG00000114209,ENSG00000115129,ENSG00000138363,ENSG00000197713,ENSG00000151552","RABEP1,ECT2,MTMR2,CHEK2,KLHL7,TRIM37,HMGCR,CEP57,TARBP2,IDE,PDCD6,XPNPEP1,PRMT2,TXNRD1,SUMF2,NTRK2,TRIM5,MSH2,BIRC5,HM13,OXA1L,FGFR1OP2,CENPF,CADM1,JAM3,CLIP1,TERF1,GGCT,TPD52,ABAT,MLX,FGFR1OP,DST,GALE,GSS,ADD1,XPA,HSF2,TIMM9,NRBP1,DPY30,SH3GLB1,BARD1,PRTFDC1,ASNS,SLK,CCBL2,PDCD10,TP53I3,ATIC,RPE,QDPR",molecular_function,protein homodimerization activity,97,52,594,19.174438936,12.8411593078
GO:0004713,"ENSG00000165304,ENSG00000149554,ENSG00000148053,ENSG00000013441,ENSG00000145349,ENSG00000183765,ENSG00000109339,ENSG00000176105,ENSG00000097046,ENSG00000179335,ENSG00000211455,ENSG00000113712,ENSG00000010810,ENSG00000149269,ENSG00000151239,ENSG00000087586,ENSG00000130413,ENSG00000166333,ENSG00000151422,ENSG00000145216,ENSG00000213066,ENSG00000113240,ENSG00000164885,ENSG00000169398,ENSG00000065243,ENSG00000010219,ENSG00000115216,ENSG00000198586,ENSG00000143776,ENSG00000065613,ENSG00000160551,ENSG00000075413,ENSG00000071054","MELK,CHEK1,NTRK2,CLK1,CAMK2D,CHEK2,MAPK10,YES1,CDC7,CLK3,STK38L,CSNK1A1,FYN,PAK1,TWF1,AURKA,STK33,ILK,FER,FIP1L1,FGFR1OP,CLK4,CDK5,PTK2,PKN2,DYRK4,NRBP1,TLK1,CDC42BPA,SLK,TAOK1,MARK3,MAP4K4",molecular_function,protein tyrosine kinase activity,53,33,493,18.256357466,11.9230778379
GO:0005575,"ENSG00000198218,ENSG00000102390,ENSG00000112981,ENSG00000164830,ENSG00000023697,ENSG00000183137,ENSG00000095485,ENSG00000111665,ENSG00000138698,ENSG00000013375,ENSG00000117543,ENSG00000244754,ENSG00000213337,ENSG00000156253,ENSG00000106701,ENSG00000146247,ENSG00000143353,ENSG00000228716,ENSG00000126602,ENSG00000186566,ENSG00000266967,ENSG00000106460,ENSG00000122203,ENSG00000055147,ENSG00000132199,ENSG00000054267,ENSG00000115129,ENSG00000213593,ENSG00000198917,ENSG00000166797,ENSG00000108666,ENSG00000052126,ENSG00000086666,ENSG00000171204,ENSG00000125037,ENSG00000148291,ENSG00000198736,ENSG00000110172,ENSG00000139637,ENSG00000118482,ENSG00000163170,ENSG00000122591,ENSG00000126226,ENSG00000162384,ENSG00000108825,ENSG00000163832","QRICH1,PBDC1,NME5,OXR1,DERA,CEP57L1,CWF19L1,CDCA3,RAP1GDS1,PGM3,DPH5,N4BP2L2,ANKRD39,RWDD2B,FSD1L,PHIP,LYPLAL1,DHFR,TRAP1,GPATCH8,AARSD1,TMEM106B,KIAA1191,FAM114A2,ENOSF1,ARID4B,TP53I3,TMX2,C9orf114,FAM96A,C17orf75,PLEKHA5,ZFAND6,TMEM126B,EMC3,SURF2,MSRB1,CHORDC1,C12orf10,PHF3,BOLA3,FAM126A,PCID2,C1orf123,PTGES3L-AARSD1,ELP6",cellular_component,cellular_component,85,46,676,17.6726823148,11.3394026866
GO:0016772,"ENSG00000165304,ENSG00000149554,ENSG00000011405,ENSG00000013441,ENSG00000145349,ENSG00000183765,ENSG00000169398,ENSG00000109339,ENSG00000176105,ENSG00000097046,ENSG00000179335,ENSG00000149743,ENSG00000149311,ENSG00000113712,ENSG00000010810,ENSG00000149269,ENSG00000148053,ENSG00000087586,ENSG00000101782,ENSG00000130413,ENSG00000166333,ENSG00000253729,ENSG00000151422,ENSG00000145216,ENSG00000143393,ENSG00000058729,ENSG00000113240,ENSG00000164885,ENSG00000211455,ENSG00000065243,ENSG00000010219,ENSG00000115216,ENSG00000198586,ENSG00000143776,ENSG00000065613,ENSG00000160551,ENSG00000075413,ENSG00000100749,ENSG00000071054","MELK,CHEK1,PIK3C2A,CLK1,CAMK2D,CHEK2,PTK2,MAPK10,YES1,CDC7,CLK3,TRPT1,ATM,CSNK1A1,FYN,PAK1,NTRK2,AURKA,RIOK3,STK33,ILK,PRKDC,FER,FIP1L1,PI4KB,RIOK2,CLK4,CDK5,STK38L,PKN2,DYRK4,NRBP1,TLK1,CDC42BPA,SLK,TAOK1,MARK3,VRK1,MAP4K4",molecular_function,"transferase activity, transferring phosphorus-containing groups",68,39,573,17.5963384206,11.2630587924
GO:0005654,"ENSG00000104320,ENSG00000173933,ENSG00000082898,ENSG00000105486,ENSG00000108294,ENSG00000164305,ENSG00000138794,ENSG00000067369,ENSG00000108424,ENSG00000035928,ENSG00000197780,ENSG00000099956,ENSG00000198554,ENSG00000060339,ENSG00000104147,ENSG00000100644,ENSG00000133226,ENSG00000135679,ENSG00000189046,ENSG00000003756,ENSG00000147601,ENSG00000121851,ENSG00000129484,ENSG00000177565,ENSG00000006634,ENSG00000113658,ENSG00000048028,ENSG00000012061,ENSG00000166451,ENSG00000148737,ENSG00000138092,ENSG00000248643,ENSG00000114126,ENSG00000168214,ENSG00000089053,ENSG00000102753,ENSG00000172531,ENSG00000162385,ENSG00000135945,ENSG00000103363,ENSG00000170144,ENSG00000080503,ENSG00000149554,ENSG00000145349,ENSG00000197111,ENSG00000123485,ENSG00000125743,ENSG00000101868,ENSG00000109339,ENSG00000004897,ENSG00000110768,ENSG00000141759,ENSG00000129534,ENSG00000151725,ENSG00000135365,ENSG00000154582,ENSG00000117748,ENSG00000101654,ENSG00000171720,ENSG00000104852,ENSG00000100479,ENSG00000136936,ENSG00000184990,ENSG00000159256,ENSG00000152422,ENSG00000090060,ENSG00000115216,ENSG00000065328,ENSG00000188529,ENSG00000142252,ENSG00000115966,ENSG00000147274,ENSG00000181544,ENSG00000149532,ENSG00000143498,ENSG00000162607,ENSG00000174446,ENSG00000196510,ENSG00000160049,ENSG00000115392,ENSG00000148308,ENSG00000158402,ENSG00000165119,ENSG00000175354,ENSG00000138346,ENSG00000075292,ENSG00000187778,ENSG00000182004,ENSG00000228716,ENSG00000149311,ENSG00000101811,ENSG00000138668,ENSG00000063978,ENSG00000175197,ENSG00000131467,ENSG00000186432,ENSG00000136504,ENSG00000108384,ENSG00000141027,ENSG00000123219,ENSG00000205937,ENSG00000125944,ENSG00000124641,ENSG00000049541,ENSG00000066427,ENSG00000177200,ENSG00000108590,ENSG00000189091,ENSG00000139372,ENSG00000011007,ENSG00000160201,ENSG00000135336,ENSG00000138750,ENSG00000093009,ENSG00000125686,ENSG00000163161,ENSG00000165819,ENSG00000197323,ENSG00000198176,ENSG00000112118,ENSG00000092208,ENSG00000183765,ENSG00000112984,ENSG00000107290,ENSG00000097046,ENSG00000140988,ENSG00000164162,ENSG00000253729,ENSG00000171988,ENSG00000139618,ENSG00000068745,ENSG00000064995,ENSG00000101972,ENSG00000113456,ENSG00000110713,ENSG00000185627,ENSG00000055130,ENSG00000135316,ENSG00000112237,ENSG00000182568,ENSG00000054654,ENSG00000142856,ENSG00000169045,ENSG00000070501,ENSG00000144231,ENSG00000153207,ENSG00000166478,ENSG00000094880,ENSG00000118260,ENSG00000140525,ENSG00000137807,ENSG00000141552,ENSG00000180198,ENSG00000092199","NBN,RBM4,XPO1,LIG1,PSMB3,CASP3,CASP6,TP53BP1,KPNB1,RFC1,TAF13,SMARCB1,WDHD1,CCAR1,OIP5,HIF1A,SRRM1,MDM2,ALKBH2,RBM5,TERF1,POLR3GL,PARP2,TBL1XR1,DBF4,SMAD5,USP28,ERCC1,CENPN,TCF7L2,CENPO,RBM14-RBM4,TFDP2,RBPJ,ANAPC5,KPNA3,PPP1CA,MAGOH,REV1,TCEB2,HNRNPA3,SMARCA2,CHEK1,CAMK2D,PCBP2,HJURP,SNRPD2,POLA1,MAPK10,CDC27,GTF2H1,TXNL4A,MIS18BP1,MLF1IP,PHF21A,TCEB1,RPA2,RNMT,HDAC3,SNRNP70,POLE2,XPA,SIVA1,MORC3,XRCC4,PAPOLA,NRBP1,MCM10,SRSF10,GEMIN7,ATF2,RBMX,FANCB,CPSF7,TAF1A,USP1,SNAPC5,ANAPC7,DFFA,FANCL,GTF3C5,CDC25C,HNRNPK,PTPN2,DNA2,ZNF638,MCRS1,SNRPE,DHFR,ATM,CSTF2,HNRNPD,RNF4,DDIT3,PSME3,KPNA4,KAT7,RAD51C,NCOR1,CENPK,RNPS1,HNRNPR,MED20,RFC2,ATXN3,CHD9,MED31,SF3B3,TDG,TCEB3,U2AF1,ORC3,NUP54,CDC45,MED1,ERCC3,METTL3,TRIM33,TFDP1,MCM3,GEMIN2,CHEK2,KIF20A,SETX,CDC7,RPS2,ANAPC10,PRKDC,JMJD1C,BRCA2,IP6K2,TAF11,STAG2,RAD1,NUP98,PSMD13,CUL1,SYNCRIP,CCNC,SATB1,SYNE2,ITGB3BP,HNRNPH1,POLB,POLR2D,AHCTF1,ZNF143,CDC23,CREB1,FANCI,KIF23,ANAPC11,RCC1,HNRNPC",cellular_component,nucleoplasm,396,154,1060,17.4991997746,11.1659201465
GO:0003723,"ENSG00000117751,ENSG00000058799,ENSG00000138303,ENSG00000173933,ENSG00000082898,ENSG00000163714,ENSG00000075151,ENSG00000204842,ENSG00000040341,ENSG00000009307,ENSG00000116747,ENSG00000168872,ENSG00000164548,ENSG00000198554,ENSG00000100722,ENSG00000137776,ENSG00000134644,ENSG00000112531,ENSG00000133226,ENSG00000157349,ENSG00000124214,ENSG00000003756,ENSG00000161265,ENSG00000105171,ENSG00000128739,ENSG00000145425,ENSG00000145833,ENSG00000248643,ENSG00000107371,ENSG00000104177,ENSG00000149532,ENSG00000162385,ENSG00000173914,ENSG00000170144,ENSG00000104517,ENSG00000083845,ENSG00000197111,ENSG00000171311,ENSG00000100461,ENSG00000068784,ENSG00000182944,ENSG00000198000,ENSG00000101654,ENSG00000072756,ENSG00000138757,ENSG00000130713,ENSG00000111364,ENSG00000104852,ENSG00000145216,ENSG00000161813,ENSG00000090060,ENSG00000138376,ENSG00000180098,ENSG00000197451,ENSG00000156990,ENSG00000188529,ENSG00000147140,ENSG00000147274,ENSG00000169045,ENSG00000115446,ENSG00000197223,ENSG00000107625,ENSG00000183258,ENSG00000165119,ENSG00000075292,ENSG00000150593,ENSG00000075856,ENSG00000073792,ENSG00000182004,ENSG00000144048,ENSG00000120705,ENSG00000101811,ENSG00000138668,ENSG00000130816,ENSG00000139910,ENSG00000135930,ENSG00000115677,ENSG00000100296,ENSG00000205937,ENSG00000125944,ENSG00000125676,ENSG00000163684,ENSG00000089157,ENSG00000213516,ENSG00000151247,ENSG00000144642,ENSG00000160201,ENSG00000169062,ENSG00000048740,ENSG00000136231,ENSG00000110888,ENSG00000130254,ENSG00000151657,ENSG00000165819,ENSG00000123737,ENSG00000117569,ENSG00000015479,ENSG00000144029,ENSG00000172795,ENSG00000140988,ENSG00000084072,ENSG00000151923,ENSG00000132463,ENSG00000122026,ENSG00000118181,ENSG00000132485,ENSG00000100354,ENSG00000114416,ENSG00000175324,ENSG00000138035,ENSG00000090621,ENSG00000178105,ENSG00000179950,ENSG00000167978,ENSG00000092199,ENSG00000100227,ENSG00000135316,ENSG00000131773,ENSG00000064607,ENSG00000004534","PPP1R8,YIPF1,ASCC1,RBM4,XPO1,U2SURP,EIF4G3,ATXN2,STAU2,CSDE1,TROVE2,DDX19A,TRA2A,WDHD1,ZC3H14,SLTM,PUM1,QKI,SRRM1,DDX19B,STAU1,RBM5,U2AF1L4,POP4,SNRPN,RPS3A,DDX46,RBM14-RBM4,EXOSC3,MYEF2,CPSF7,MAGOH,RBM4B,HNRNPA3,UBR5,RPS5,PCBP2,EXOSC1,RBM23,SRBD1,EWSR1,NOL8,RNMT,TRNT1,G3BP2,EXOSC2,DDX55,SNRNP70,FIP1L1,LARP4,PAPOLA,BARD1,TRNAU1AP,HNRNPAB,RPUSD3,SRSF10,NONO,RBMX,HNRNPH1,UNC50,C1D,DDX50,DDX41,HNRNPK,ZNF638,PDCD4,SART3,IGF2BP2,SNRPE,DUSP11,ETF1,CSTF2,HNRNPD,DNMT1,NOVA1,EIF4E2,HDLBP,THOC5,RNPS1,HNRNPR,THOC2,RPP14,RPLP0,RBMXL1,EIF4E,RBMS3,U2AF1,UPF3A,CELF2,IGF2BP3,CAPRIN2,SAFB2,KIN,METTL3,EXOSC9,PTBP2,MATR3,MRPS5,DCP2,RPS2,PPIE,TIAL1,GRSF1,RPL21,RPS25,ZRANB2,TNRC6B,FXR1,LSM1,PNPT1,PABPC4,DDX10,PUF60,SRRM2,HNRNPC,POLDIP3,SYNCRIP,KHDRBS3,SUGP2,RBM6",molecular_function,RNA binding,295,120,703,16.9379706361,10.6046910079
GO:0045892,"ENSG00000121211,ENSG00000008083,ENSG00000197223,ENSG00000160310,ENSG00000080503,ENSG00000197323,ENSG00000117139,ENSG00000131263,ENSG00000074266,ENSG00000158796,ENSG00000083168,ENSG00000164885,ENSG00000150593,ENSG00000166913,ENSG00000032219,ENSG00000181090,ENSG00000123124,ENSG00000122779,ENSG00000100211,ENSG00000089685,ENSG00000130816,ENSG00000171720,ENSG00000100105,ENSG00000175197,ENSG00000163848,ENSG00000135679,ENSG00000103275,ENSG00000106462,ENSG00000111653,ENSG00000141027,ENSG00000170242,ENSG00000148516,ENSG00000108788,ENSG00000029363,ENSG00000068903,ENSG00000164190,ENSG00000174744,ENSG00000144744,ENSG00000015153,ENSG00000177565,ENSG00000148737,ENSG00000117724,ENSG00000124831,ENSG00000166164,ENSG00000150347,ENSG00000168214,ENSG00000256771,ENSG00000122565,ENSG00000156469,ENSG00000139613","MND1,JARID2,C1D,PRMT2,SMARCA2,TRIM33,KDM5B,RLIM,EED,DEDD,KAT6A,CDK5,PDCD4,YWHAB,ARID4A,EHMT1,WWP1,TRIM24,CBY1,BIRC5,DNMT1,HDAC3,PATZ1,DDIT3,ZNF148,MDM2,UBE2I,EZH2,ING4,NCOR1,USP47,ZEB1,MLX,BCLAF1,SIRT2,NIPBL,BRMS1,UBA3,YAF2,TBL1XR1,TCF7L2,CENPF,LRRFIP1,BRD7,ARID5B,RBPJ,ZNF253,CBX3,MTERFD1,SMARCC2",biological_process,"negative regulation of transcription, DNA-dependent",97,50,496,16.806574899,10.4732952709
GO:0006468,"ENSG00000165304,ENSG00000149554,ENSG00000148053,ENSG00000013441,ENSG00000114956,ENSG00000132670,ENSG00000183765,ENSG00000169398,ENSG00000109339,ENSG00000176105,ENSG00000110768,ENSG00000097046,ENSG00000179335,ENSG00000144895,ENSG00000118260,ENSG00000149311,ENSG00000113712,ENSG00000010810,ENSG00000122779,ENSG00000149269,ENSG00000089685,ENSG00000087586,ENSG00000101782,ENSG00000163161,ENSG00000181929,ENSG00000130413,ENSG00000166333,ENSG00000145349,ENSG00000151422,ENSG00000145216,ENSG00000058729,ENSG00000113240,ENSG00000164885,ENSG00000113658,ENSG00000144231,ENSG00000211455,ENSG00000159256,ENSG00000065243,ENSG00000010219,ENSG00000115216,ENSG00000198586,ENSG00000071054,ENSG00000143776,ENSG00000065613,ENSG00000160551,ENSG00000075413,ENSG00000100749,ENSG00000154845","MELK,CHEK1,NTRK2,CLK1,DGUOK,PTPRA,CHEK2,PTK2,MAPK10,YES1,GTF2H1,CDC7,CLK3,EIF2A,CREB1,ATM,CSNK1A1,FYN,TRIM24,PAK1,BIRC5,AURKA,RIOK3,ERCC3,PRKAG1,STK33,ILK,CAMK2D,FER,FIP1L1,RIOK2,CLK4,CDK5,SMAD5,POLR2D,STK38L,MORC3,PKN2,DYRK4,NRBP1,TLK1,MAP4K4,CDC42BPA,SLK,TAOK1,MARK3,VRK1,PPP4R1",biological_process,protein phosphorylation,92,48,648,16.7434764024,10.4101967743
