,features_of_interest_in_go_term,features_of_interest_in_go_term_gene_symbols,go_domain,go_name,n_background_in_go_term,n_features_of_interest_in_go_term,n_features_total_in_go_term,negative_log_p_value,bonferonni_corrected_negative_log_p_value
GO:0008152,"ENSG00000203791,ENSG00000083807,ENSG00000072042,ENSG00000072210,ENSG00000131473,ENSG00000078070,ENSG00000093144,ENSG00000081760,ENSG00000162551,ENSG00000060982,ENSG00000149084,ENSG00000164291,ENSG00000068366,ENSG00000183077,ENSG00000176454,ENSG00000128928,ENSG00000138050,ENSG00000117543,ENSG00000185238,ENSG00000206562,ENSG00000105552,ENSG00000103876,ENSG00000111275,ENSG00000143353,ENSG00000197563,ENSG00000145439,ENSG00000155189,ENSG00000119689,ENSG00000146733,ENSG00000175198,ENSG00000164904,ENSG00000117143,ENSG00000110871,ENSG00000123600,ENSG00000196177,ENSG00000109016,ENSG00000160688,ENSG00000167220,ENSG00000132423,ENSG00000069998,ENSG00000119471,ENSG00000123983,ENSG00000115042,ENSG00000148335,ENSG00000104325,ENSG00000133835,ENSG00000172954,ENSG00000186480,ENSG00000119927,ENSG00000100412,ENSG00000101247,ENSG00000023330,ENSG00000140650,ENSG00000204310,ENSG00000167904,ENSG00000258539,ENSG00000117054,ENSG00000025423,ENSG00000162496,ENSG00000120992,ENSG00000131459,ENSG00000151552,ENSG00000151498,ENSG00000197713,ENSG00000005194","METTL10,SLC27A5,RDH11,ALDH3A2,ACLY,MCCC1,ECHDC1,AACS,ALPL,BCAT1,HSD17B12,ARSK,ACSL4,AFMID,LPCAT4,IVD,THUMPD2,DPH5,PRMT3,METTL6,BCAT2,FAH,ALDH2,LYPLAL1,PIGN,CBR4,AGPAT5,DLST,PSPH,PCCA,ALDH7A1,UAP1,COQ5,METTL8,ACADSB,DHRS7B,FLAD1,HDHD2,COQ3,CECR5,HSDL2,ACSL3,FAHD2A,NTMT1,DECR1,HSD17B4,LCLAT1,INSIG1,GPAM,ACO2,NDUFAF5,ALAS1,PMM2,AGPAT1,TMEM68,RP11-12J10.3,ACADM,HSD17B6,DHRS3,LYPLA1,GFPT2,QDPR,ACAD8,RPE,CIAPIN1",biological_process,metabolic process,122,65,486,19.0129676716,12.9968105119
GO:0044281,"ENSG00000166562,ENSG00000152234,ENSG00000163719,ENSG00000072042,ENSG00000183032,ENSG00000100938,ENSG00000243678,ENSG00000109107,ENSG00000041357,ENSG00000060982,ENSG00000117054,ENSG00000120992,ENSG00000085871,ENSG00000119927,ENSG00000078369,ENSG00000087460,ENSG00000138621,ENSG00000011052,ENSG00000139624,ENSG00000141349,ENSG00000196177,ENSG00000114956,ENSG00000113569,ENSG00000169239,ENSG00000177565,ENSG00000084207,ENSG00000111674,ENSG00000056998,ENSG00000052802,ENSG00000100412,ENSG00000168803,ENSG00000241878,ENSG00000133835,ENSG00000038427,ENSG00000152904,ENSG00000143774,ENSG00000159377,ENSG00000122643,ENSG00000170231,ENSG00000173660,ENSG00000164919,ENSG00000066322,ENSG00000130707,ENSG00000155189,ENSG00000126522,ENSG00000239672,ENSG00000162368,ENSG00000128928,ENSG00000134184,ENSG00000121578,ENSG00000133027,ENSG00000103876,ENSG00000111275,ENSG00000256646,ENSG00000198431,ENSG00000137944,ENSG00000119421,ENSG00000163002,ENSG00000167283,ENSG00000186469,ENSG00000065621,ENSG00000140374,ENSG00000100889,ENSG00000147383,ENSG00000165629,ENSG00000164291,ENSG00000108946,ENSG00000213930,ENSG00000047230,ENSG00000171720,ENSG00000123983,ENSG00000143393,ENSG00000169439,ENSG00000072571,ENSG00000143418,ENSG00000139496,ENSG00000156873,ENSG00000101365,ENSG00000131844,ENSG00000023330,ENSG00000068878,ENSG00000105755,ENSG00000115641,ENSG00000117461,ENSG00000196511,ENSG00000129596,ENSG00000011405,ENSG00000087053,ENSG00000110801,ENSG00000149084,ENSG00000073578,ENSG00000113163,ENSG00000183077,ENSG00000113161,ENSG00000100567,ENSG00000181019,ENSG00000147155,ENSG00000119689,ENSG00000175198,ENSG00000106605,ENSG00000156471,ENSG00000164904,ENSG00000125450,ENSG00000094914,ENSG00000160752,ENSG00000103415,ENSG00000160688,ENSG00000130164,ENSG00000155096,ENSG00000141027,ENSG00000156110,ENSG00000110717,ENSG00000108788,ENSG00000117305,ENSG00000168393,ENSG00000100600,ENSG00000166411,ENSG00000177200,ENSG00000152556,ENSG00000008394,ENSG00000004864,ENSG00000168765,ENSG00000149809,ENSG00000138750,ENSG00000156467,ENSG00000140612,ENSG00000125686,ENSG00000093000,ENSG00000109390,ENSG00000183696,ENSG00000124151,ENSG00000118298,ENSG00000083807,ENSG00000131473,ENSG00000078070,ENSG00000183010,ENSG00000172954,ENSG00000048392,ENSG00000129187,ENSG00000103485,ENSG00000067064,ENSG00000104325,ENSG00000160194,ENSG00000176454,ENSG00000170899,ENSG00000106588,ENSG00000128050,ENSG00000146733,ENSG00000068366,ENSG00000095261,ENSG00000211456,ENSG00000138604,ENSG00000196839,ENSG00000110713,ENSG00000185627,ENSG00000105552,ENSG00000169919,ENSG00000131373,ENSG00000136243,ENSG00000011198,ENSG00000158825,ENSG00000213024,ENSG00000008311,ENSG00000165264,ENSG00000162813,ENSG00000154080,ENSG00000049860,ENSG00000204310,ENSG00000159199,ENSG00000116649,ENSG00000035687,ENSG00000064763,ENSG00000023228,ENSG00000151498,ENSG00000197713,ENSG00000151552","SEC11C,ATP5A1,MTMR14,RDH11,SLC25A21,GMPR2,NME1-NME2,ALDOC,PSMA4,BCAT1,ACADM,LYPLA1,MGST2,GPAM,GNB1,GNAS,PPCDC,NME2,CERS5,G6PC3,ACADSB,DGUOK,NUP155,CA5B,TBL1XR1,GSTP1,ENO2,GYG2,MSMO1,ACO2,ADAL,PISD,HSD17B4,VCAN,GGPS1,GUK1,PSMB4,NT5C3A,FABP6,UQCRH,COX6C,ELOVL1,ASS1,AGPAT5,ASL,NME1,CMPK1,IVD,GSTM1,B4GALT4,PEMT,FAH,ALDH2,PSMA2,TXNRD1,CCBL2,NDUFA8,NUP35,ATP5L,GNG2,GSTO2,ETFA,PCK2,NSDHL,ATP5C1,ARSK,PRKAR1A,GALT,CTPS2,HDAC3,ACSL3,PI4KB,SDC2,HMMR,CERS2,NUPL1,PHKG2,IDH3B,MCCC2,ALAS1,PSME4,ETHE1,FHL2,PIK3R3,TPK1,CDO1,PIK3C2A,MTMR2,PSMD9,HSD17B12,SDHA,COL4A3BP,AFMID,HMGCR,PSMA3,NQO1,EBP,DLST,PCCA,BLVRA,PTDSS1,ALDH7A1,NUP85,AAAS,FDPS,HMOX2,FLAD1,LDLR,AZIN1,NCOR1,ADK,NDUFS8,MLX,HMGCL,DTYMK,LGMN,IDH3A,CHD9,PFKM,MGST1,SLC25A13,GSTM4,TM7SF2,NUP54,UQCRB,SEC11A,MED1,NUP50,NDUFC1,UPP1,NCOA3,CA14,SLC27A5,ACLY,MCCC1,PYCR1,LCLAT1,RRM2B,DCTD,QPRT,IDI1,DECR1,NDUFV3,LPCAT4,GSTA4,PSMA2,PAICS,PSPH,ACSL4,PSMD5,SACM1L,GLCE,ADA,NUP98,PSMD13,BCAT2,GUSB,HACL1,NUPL2,ABHD5,CDA,NUP62,AASS,NDUFB6,BPNT1,CHST9,HEXB,AGPAT1,ATP5G1,SRM,ADSS,FAR2,NDUFS1,ACAD8,RPE,QDPR",biological_process,small molecule metabolic process,429,176,1384,17.3988136512,11.3826564915
GO:0051056,"ENSG00000131089,ENSG00000114346,ENSG00000269891,ENSG00000205726,ENSG00000126858,ENSG00000139132,ENSG00000165219,ENSG00000213390,ENSG00000155366,ENSG00000204084,ENSG00000186635,ENSG00000138640,ENSG00000155903,ENSG00000170776,ENSG00000128656,ENSG00000173848,ENSG00000140750,ENSG00000165322,ENSG00000035499,ENSG00000138757,ENSG00000146376,ENSG00000125733","ARHGEF9,ECT2,ARHGAP19-SLIT1,ITSN1,RHOT1,FGD4,GAPVD1,ARHGAP19,RHOC,INPP5B,ARAP1,FAM13A,RASA2,AKAP13,CHN1,NET1,ARHGAP17,ARHGAP12,DEPDC1B,G3BP2,ARHGAP18,TRIP10",biological_process,regulation of small GTPase mediated signal transduction,29,22,180,17.3369655613,11.3208084016
GO:0035556,"ENSG00000109046,ENSG00000114346,ENSG00000160691,ENSG00000035499,ENSG00000082701,ENSG00000163558,ENSG00000100528,ENSG00000205726,ENSG00000024526,ENSG00000146872,ENSG00000180008,ENSG00000115825,ENSG00000132849,ENSG00000108946,ENSG00000151422,ENSG00000127952,ENSG00000114805,ENSG00000170776,ENSG00000128656,ENSG00000175387,ENSG00000173848,ENSG00000198586,ENSG00000140995,ENSG00000168255,ENSG00000143776,ENSG00000046889,ENSG00000155903","WSB1,ECT2,SHC1,DEPDC1B,GSK3B,PRKCI,CNIH1,ITSN1,DEPDC1,TLK2,SOCS4,PRKD3,INADL,PRKAR1A,FER,STYXL1,PLCH1,AKAP13,CHN1,SMAD2,NET1,TLK1,DEF8,POLR2J3,CDC42BPA,PREX2,RASA2",biological_process,intracellular signal transduction,39,27,320,17.0159483514,10.9997911917
GO:0051301,"ENSG00000138161,ENSG00000141759,ENSG00000120539,ENSG00000143442,ENSG00000164885,ENSG00000130177,ENSG00000175216,ENSG00000142945,ENSG00000134222,ENSG00000143420,ENSG00000175063,ENSG00000074054,ENSG00000146918,ENSG00000005156,ENSG00000196510,ENSG00000182149,ENSG00000162063,ENSG00000168385,ENSG00000163539,ENSG00000037474,ENSG00000164162,ENSG00000136098,ENSG00000101972,ENSG00000110200,ENSG00000129534,ENSG00000097046,ENSG00000186522,ENSG00000101464,ENSG00000128989,ENSG00000131351,ENSG00000137812,ENSG00000104147,ENSG00000137814,ENSG00000089685,ENSG00000151465,ENSG00000074319,ENSG00000115760,ENSG00000184661,ENSG00000198887,ENSG00000092036,ENSG00000100749,ENSG00000135913,ENSG00000151503,ENSG00000145919,ENSG00000154839,ENSG00000053900,ENSG00000184445,ENSG00000121101,ENSG00000144354,ENSG00000156970,ENSG00000182628,ENSG00000158402,ENSG00000142856,ENSG00000115561,ENSG00000167842,ENSG00000086827,ENSG00000100014,ENSG00000149636,ENSG00000047849,ENSG00000139350,ENSG00000141552,ENSG00000166295,ENSG00000174442,ENSG00000094880,ENSG00000065243,ENSG00000138092,ENSG00000121892,ENSG00000113810,ENSG00000156831,ENSG00000138778,ENSG00000134058,ENSG00000183765,ENSG00000163535,ENSG00000087586,ENSG00000112130,ENSG00000076382,ENSG00000170248,ENSG00000129315,ENSG00000118007,ENSG00000143228,ENSG00000135315,ENSG00000134057,ENSG00000109805","CUZD1,TXNL4A,MASTL,POGZ,CDK5,CDC16,CKAP5,KIF2C,PSRC1,ENSA,UBE2C,CLASP1,NCAPG2,LIG3,ANAPC7,IST1,CCNF,SEPT2,CLASP2,NSUN2,ANAPC10,NEK3,STAG2,ANAPC15,MIS18BP1,CDC7,SEPT10,PIGU,ARPP19,HAUS8,CASC5,OIP5,HAUS2,BIRC5,CDC123,TSG101,BIRC6,CDCA2,SMC5,HAUS4,VRK1,USP37,NCAPD3,BOD1,SKA1,ANAPC4,KNTC1,TEX14,CDCA7,BUB1B,SKA2,CDC25C,ITGB3BP,CHMP3,MIS12,ZW10,SPECC1L,DSN1,MAP4,NEDD1,ANAPC11,ANAPC16,ZWILCH,CDC23,PKN2,CENPO,PDS5A,SMC4,NSMCE2,CENPE,CDK7,CHEK2,SGOL2,AURKA,RNF8,SPAG5,PDCD6IP,CCNT1,STAG1,NUF2,KIAA1009,CCNB1,NCAPG",biological_process,cell division,173,83,330,16.9784395601,10.9622824004
GO:0045944,"ENSG00000124151,ENSG00000147044,ENSG00000188313,ENSG00000188994,ENSG00000080503,ENSG00000185630,ENSG00000079387,ENSG00000169714,ENSG00000165588,ENSG00000198176,ENSG00000129691,ENSG00000143575,ENSG00000198715,ENSG00000118418,ENSG00000157450,ENSG00000110768,ENSG00000108270,ENSG00000160199,ENSG00000078403,ENSG00000087302,ENSG00000196235,ENSG00000141380,ENSG00000114126,ENSG00000118260,ENSG00000101017,ENSG00000187079,ENSG00000022840,ENSG00000104064,ENSG00000137693,ENSG00000107201,ENSG00000099204,ENSG00000163904,ENSG00000091409,ENSG00000049860,ENSG00000095794,ENSG00000173473,ENSG00000177565,ENSG00000169744,ENSG00000253729,ENSG00000148143,ENSG00000117000,ENSG00000123219,ENSG00000197905,ENSG00000115966,ENSG00000096717,ENSG00000103495,ENSG00000113658,ENSG00000175387,ENSG00000004487,ENSG00000064313,ENSG00000198730,ENSG00000025156,ENSG00000135541,ENSG00000012048,ENSG00000148737,ENSG00000154727,ENSG00000134058,ENSG00000213246,ENSG00000140307,ENSG00000082701,ENSG00000141510,ENSG00000168214,ENSG00000064490,ENSG00000125686,ENSG00000129315,ENSG00000123562,ENSG00000160633,ENSG00000110888,ENSG00000058272,ENSG00000104312","NCOA3,CASK,PLSCR1,ZNF292,SMARCA2,PBX1,SENP1,CNBP,OTX2,TFDP1,ASH2L,HAX1,C1orf85,HMGN3,RNF111,GTF2H1,AATF,PKNOX1,MLLT10,C14orf166,SUPT5H,SS18,TFDP2,CREB1,CD40,TEAD1,RNF10,GABPB1,YAP1,DDX58,ABLIM1,SENP2,ITGA6,HEXB,CREM,SMARCC1,TBL1XR1,LDB2,PRKDC,ZNF462,RLF,CENPK,TEAD4,ATF2,SIRT1,MAZ,SMAD5,SMAD2,KDM1A,TAF2,CTR9,HSF2,AHI1,BRCA1,TCF7L2,GABPA,CDK7,SUPT4H1,GTF2A2,GSK3B,TP53,RBPJ,RFXANK,MED1,CCNT1,MORF4L2,SAFB,CAPRIN2,PPP1R12A,RIPK2",biological_process,positive regulation of transcription from RNA polymerase II promoter,141,70,771,16.4069252312,10.3907680715
GO:0008033,"ENSG00000091127,ENSG00000105202,ENSG00000100416,ENSG00000198860,ENSG00000148688,ENSG00000145996,ENSG00000198431,ENSG00000107614,ENSG00000122435,ENSG00000167264,ENSG00000145982,ENSG00000065427,ENSG00000090861,ENSG00000006744,ENSG00000163684,ENSG00000198874,ENSG00000124787,ENSG00000258790,ENSG00000100890,ENSG00000162623,ENSG00000043514,ENSG00000066651,ENSG00000129317,ENSG00000167272","PUS7,FBL,TRMU,TSEN15,RPP30,CDKAL1,TXNRD1,TRDMT1,TRMT13,DUS2,FARS2,KARS,AARS,ELAC2,RPP14,TYW1,RPP40,KIAA0391,KIAA0391,TYW3,TRIT1,TRMT11,PUS7L,POP5",biological_process,tRNA processing,34,24,72,16.0935124356,10.0773552759
GO:0000086,"ENSG00000064313,ENSG00000149554,ENSG00000120539,ENSG00000175216,ENSG00000138107,ENSG00000143420,ENSG00000204843,ENSG00000142731,ENSG00000166037,ENSG00000077380,ENSG00000164162,ENSG00000074054,ENSG00000128989,ENSG00000101639,ENSG00000213923,ENSG00000137814,ENSG00000089685,ENSG00000136861,ENSG00000121774,ENSG00000175203,ENSG00000078674,ENSG00000046651,ENSG00000174799,ENSG00000153575,ENSG00000158402,ENSG00000139350,ENSG00000165304,ENSG00000134058,ENSG00000183765,ENSG00000114107,ENSG00000053900,ENSG00000213066,ENSG00000148019,ENSG00000134057","TAF2,CHEK1,MASTL,CKAP5,ACTR1A,ENSA,DCTN1,PLK4,CEP57,DYNC1I2,ANAPC10,CLASP1,ARPP19,CEP192,CSNK1E,HAUS2,BIRC5,CDK5RAP2,KHDRBS1,DCTN2,PCM1,OFD1,CEP135,TUBGCP5,CDC25C,NEDD1,MELK,CDK7,CHEK2,CEP70,ANAPC4,FGFR1OP,CEP78,CCNB1",biological_process,G2/M transition of mitotic cell cycle,55,34,126,16.0684931349,10.0523359752
GO:0007049,"ENSG00000122359,ENSG00000177683,ENSG00000138161,ENSG00000152359,ENSG00000171792,ENSG00000134222,ENSG00000168393,ENSG00000113068,ENSG00000143514,ENSG00000196235,ENSG00000106723,ENSG00000135249,ENSG00000136098,ENSG00000146872,ENSG00000092853,ENSG00000100014,ENSG00000141446,ENSG00000186522,ENSG00000132780,ENSG00000182149,ENSG00000126581,ENSG00000157500,ENSG00000080345,ENSG00000170248,ENSG00000122545,ENSG00000081154,ENSG00000168385,ENSG00000148498,ENSG00000175054,ENSG00000012048,ENSG00000166164,ENSG00000115561,ENSG00000167842,ENSG00000159593,ENSG00000175063,ENSG00000126249,ENSG00000065243,ENSG00000198586,ENSG00000141510,ENSG00000169188,ENSG00000204628,ENSG00000094880,ENSG00000156970,ENSG00000135164,ENSG00000166946,ENSG00000140525,ENSG00000087586,ENSG00000076382,ENSG00000147439,ENSG00000129315,ENSG00000134057","ANXA11,THAP5,CUZD1,POC5,RHNO1,PSRC1,DTYMK,PFDN1,TP53BP2,SUPT5H,SPIN1,RINT1,NEK3,TLK2,CLSPN,SPECC1L,ESCO1,SEPT10,NASP,IST1,BECN1,APPL1,RIF1,PDCD6IP,SEPT7,PCNP,SEPT2,PARD3,ATR,BRCA1,BRD7,CHMP3,MIS12,NAE1,UBE2C,PDCD2L,PKN2,TLK1,TP53,APEX2,GNB2L1,CDC23,BUB1B,DMTF1,CCNDBP1,FANCI,AURKA,SPAG5,BIN3,CCNT1,CCNB1",biological_process,cell cycle,96,51,270,15.3581577187,9.34200055902
GO:0016567,"ENSG00000100387,ENSG00000103363,ENSG00000122550,ENSG00000132716,ENSG00000064726,ENSG00000109046,ENSG00000131263,ENSG00000122257,ENSG00000168894,ENSG00000100814,ENSG00000175063,ENSG00000164934,ENSG00000166266,ENSG00000165501,ENSG00000181852,ENSG00000162063,ENSG00000180008,ENSG00000134758,ENSG00000197323,ENSG00000258465,ENSG00000163257,ENSG00000110906,ENSG00000136153,ENSG00000115760,ENSG00000070950,ENSG00000071794,ENSG00000135679,ENSG00000153827,ENSG00000081154,ENSG00000092148,ENSG00000013561,ENSG00000168411,ENSG00000166167,ENSG00000213186,ENSG00000096717,ENSG00000204713,ENSG00000144848,ENSG00000105879,ENSG00000166295,ENSG00000156831,ENSG00000012048,ENSG00000143207,ENSG00000114125,ENSG00000132128,ENSG00000135108,ENSG00000141552,ENSG00000120925,ENSG00000033178,ENSG00000121067,ENSG00000112130","RBX1,TCEB2,KLHL7,DCAF8,BTBD1,WSB1,RLIM,RBBP6,RNF181,CCNB1IP1,UBE2C,DCAF13,CUL5,LRR1,RNF41,CCNF,SOCS4,RNF138,TRIM33,DCAF8,DCAF16,KCTD10,LMO7,BIRC6,RAD18,HLTF,MDM2,TRIP12,PCNP,HECTD1,RNF14,RFWD3,BTRC,TRIM59,SIRT1,TRIM27,ATG3,CBLL1,ANAPC16,NSMCE2,BRCA1,RFWD2,RNF7,LRRC41,FBXO21,ANAPC11,RNF170,UBA6,SPOP,RNF8",biological_process,protein ubiquitination,94,50,308,15.1602701363,9.14411297658
