,features_of_interest_in_go_term,features_of_interest_in_go_term_gene_symbols,go_domain,go_name,n_background_in_go_term,n_features_of_interest_in_go_term,n_features_total_in_go_term,negative_log_p_value,bonferonni_corrected_negative_log_p_value
GO:0006397,"ENSG00000173933,ENSG00000108848,ENSG00000165630,ENSG00000147140,ENSG00000084463,ENSG00000111196,ENSG00000100461,ENSG00000143977,ENSG00000119707,ENSG00000131051,ENSG00000182004,ENSG00000130520,ENSG00000096063,ENSG00000176102,ENSG00000054118,ENSG00000196504,ENSG00000106344,ENSG00000159140,ENSG00000161265,ENSG00000139218,ENSG00000116754,ENSG00000153006,ENSG00000125676,ENSG00000162374,ENSG00000148843,ENSG00000172062,ENSG00000248643,ENSG00000133226,ENSG00000153914,ENSG00000100320,ENSG00000064607,ENSG00000135486,ENSG00000115875,ENSG00000121067,ENSG00000126653","RBM4,LUC7L3,PRPF18,NONO,WBP11,MAGOHB,RBM23,SNRPG,RBM25,RBM39,SNRPE,LSM4,SRPK1,CSTF3,THRAP3,PRPF40A,RBM28,SON,U2AF1L4,SCAF11,SRSF11,SREK1IP1,THOC2,ELAVL4,PDCD11,SMN1,RBM14-RBM4,SRRM1,SREK1,RBFOX2,SUGP2,HNRNPA1,SRSF7,SPOP,NSRP1",biological_process,mRNA processing,73,35,240,15.7398286792,10.5248929216
GO:0044267,"ENSG00000120697,ENSG00000147677,ENSG00000138674,ENSG00000084623,ENSG00000083845,ENSG00000110700,ENSG00000138326,ENSG00000167552,ENSG00000123349,ENSG00000241343,ENSG00000162244,ENSG00000100564,ENSG00000163479,ENSG00000115268,ENSG00000140319,ENSG00000118363,ENSG00000177954,ENSG00000101132,ENSG00000120438,ENSG00000221983,ENSG00000180879,ENSG00000122026,ENSG00000265681,ENSG00000150779,ENSG00000126768,ENSG00000128654,ENSG00000182899,ENSG00000134419,ENSG00000143742,ENSG00000145592,ENSG00000105254,ENSG00000173726,ENSG00000204120,ENSG00000118705,ENSG00000151665,ENSG00000124614,ENSG00000114942,ENSG00000137818,ENSG00000156976,ENSG00000231500,ENSG00000070785,ENSG00000163468,ENSG00000089157,ENSG00000105372,ENSG00000129562,ENSG00000156261,ENSG00000100353,ENSG00000109475,ENSG00000180398,ENSG00000151247,ENSG00000157020,ENSG00000217930,ENSG00000161016,ENSG00000171530,ENSG00000127022,ENSG00000122406,ENSG00000140612,ENSG00000135624,ENSG00000101901,ENSG00000104408,ENSG00000075624","ALG5,EIF3H,SEC31A,EIF3I,RPS5,RPS13,RPS24,TUBA1A,PFDN5,RPL36A,RPL29,PIGH,SSR2,RPS15,SRP14,SPCS2,RPS27,PFDN4,TCP1,UBA52,SSR4,RPL21,RPL17,TIMM8B,TIMM17B,MTX2,RPL35A,RPS15A,SRP9,RPL37,TBCB,TOMM20,GIGYF2,RPN2,PIGF,RPS10,EEF1B2,RPLP1,EIF4A2,RPS18,EIF2B3,CCT3,RPLP0,RPS19,DAD1,CCT8,EIF3D,RPL34,MCFD2,EIF4E,SEC13,PAM16,RPL8,TBCA,CANX,RPL5,SEC11A,CCT7,ALG13,EIF3E,ACTB",biological_process,cellular protein metabolic process,156,61,438,15.5413809097,10.326445152
GO:0008150,"ENSG00000109046,ENSG00000133983,ENSG00000121741,ENSG00000120699,ENSG00000119720,ENSG00000214265,ENSG00000138698,ENSG00000129625,ENSG00000118096,ENSG00000139684,ENSG00000156411,ENSG00000109184,ENSG00000156253,ENSG00000106701,ENSG00000186566,ENSG00000266967,ENSG00000148950,ENSG00000173436,ENSG00000154719,ENSG00000115514,ENSG00000179195,ENSG00000163463,ENSG00000022277,ENSG00000086666,ENSG00000171204,ENSG00000120860,ENSG00000134697,ENSG00000157036,ENSG00000071462,ENSG00000153774,ENSG00000128595,ENSG00000171159,ENSG00000060762,ENSG00000137726,ENSG00000125037,ENSG00000108825,ENSG00000127603","WSB1,COX16,ZMYM2,EXOSC8,NRDE2,SNURF,RAP1GDS1,REEP5,IFT46,ESD,C14orf2,DCUN1D4,RWDD2B,FSD1L,GPATCH8,AARSD1,IMMP1L,MINOS1,MRPL39,TXNDC9,ZNF664,KRTCAP2,RTFDC1,ZFAND6,TMEM126B,CCDC53,GNL2,EXOG,WBSCR22,CFDP1,CALU,C9orf16,MPC1,FXYD6,EMC3,PTGES3L-AARSD1,MACF1",biological_process,biological_process,81,37,749,14.8833014608,9.66836570323
GO:0008380,"ENSG00000115524,ENSG00000173933,ENSG00000108848,ENSG00000174891,ENSG00000165630,ENSG00000116754,ENSG00000147140,ENSG00000125743,ENSG00000111196,ENSG00000143977,ENSG00000075292,ENSG00000112081,ENSG00000119707,ENSG00000131051,ENSG00000182004,ENSG00000188342,ENSG00000100142,ENSG00000130520,ENSG00000138668,ENSG00000096063,ENSG00000176102,ENSG00000133226,ENSG00000196504,ENSG00000106344,ENSG00000159140,ENSG00000161265,ENSG00000125651,ENSG00000139218,ENSG00000060688,ENSG00000153006,ENSG00000128739,ENSG00000125676,ENSG00000084463,ENSG00000126698,ENSG00000168002,ENSG00000248643,ENSG00000054118,ENSG00000100138,ENSG00000153914,ENSG00000100320,ENSG00000064607,ENSG00000135486,ENSG00000115875,ENSG00000092199,ENSG00000126653","SF3B1,RBM4,LUC7L3,RSRC1,PRPF18,SRSF11,NONO,SNRPD2,MAGOHB,SNRPG,ZNF638,SRSF3,RBM25,RBM39,SNRPE,GTF2F2,POLR2F,LSM4,HNRNPD,SRPK1,CSTF3,SRRM1,PRPF40A,RBM28,SON,U2AF1L4,GTF2F1,SCAF11,SNRNP40,SREK1IP1,SNRPN,THOC2,WBP11,DNAJC8,POLR2G,RBM14-RBM4,THRAP3,NHP2L1,SREK1,RBFOX2,SUGP2,HNRNPA1,SRSF7,HNRNPC,NSRP1",biological_process,RNA splicing,107,45,268,14.4960902686,9.28115451095
GO:0010467,"ENSG00000198791,ENSG00000182899,ENSG00000108294,ENSG00000111596,ENSG00000231500,ENSG00000140319,ENSG00000118363,ENSG00000187735,ENSG00000166913,ENSG00000265681,ENSG00000157450,ENSG00000134419,ENSG00000133226,ENSG00000164924,ENSG00000065427,ENSG00000100804,ENSG00000116754,ENSG00000113407,ENSG00000105372,ENSG00000113643,ENSG00000140307,ENSG00000114126,ENSG00000168214,ENSG00000122406,ENSG00000118705,ENSG00000154582,ENSG00000197170,ENSG00000115524,ENSG00000147677,ENSG00000084623,ENSG00000083845,ENSG00000120798,ENSG00000124614,ENSG00000125743,ENSG00000130332,ENSG00000171311,ENSG00000082258,ENSG00000163479,ENSG00000143977,ENSG00000180879,ENSG00000109332,ENSG00000137947,ENSG00000256646,ENSG00000221983,ENSG00000188342,ENSG00000177954,ENSG00000100142,ENSG00000130520,ENSG00000060688,ENSG00000031698,ENSG00000156976,ENSG00000112081,ENSG00000161016,ENSG00000138777,ENSG00000110700,ENSG00000241343,ENSG00000115268,ENSG00000182004,ENSG00000124802,ENSG00000138668,ENSG00000129084,ENSG00000137818,ENSG00000089157,ENSG00000140105,ENSG00000168002,ENSG00000151247,ENSG00000108064,ENSG00000172062,ENSG00000140612,ENSG00000135486,ENSG00000080802,ENSG00000092201,ENSG00000163636,ENSG00000115875,ENSG00000138326,ENSG00000120699,ENSG00000162244,ENSG00000176102,ENSG00000146282,ENSG00000100353,ENSG00000106588,ENSG00000122026,ENSG00000143742,ENSG00000145592,ENSG00000070785,ENSG00000125651,ENSG00000114942,ENSG00000126698,ENSG00000109475,ENSG00000133706,ENSG00000100138,ENSG00000196305,ENSG00000104408,ENSG00000092199","CNOT7,RPL35A,PSMB3,CNOT2,RPS18,SRP14,SPCS2,TCEA1,YWHAB,RPL17,RNF111,RPS15A,SRRM1,YWHAZ,KARS,PSMB5,SRSF11,TARS,RPS19,RARS,GTF2A2,TFDP2,RBPJ,RPL5,RPN2,TCEB1,PSMD12,SF3B1,EIF3H,EIF3I,RPS5,NR2C1,RPS10,SNRPD2,LSM7,EXOSC1,CCNT2,SSR2,SNRPG,SSR4,UBE2D3,GTF2B,PSMA2,UBA52,GTF2F2,RPS27,POLR2F,LSM4,SNRNP40,SARS,EIF4A2,SRSF3,RPL8,PPA2,RPS13,RPL36A,RPS15,SNRPE,EEF1E1,HNRNPD,PSMA1,RPLP1,RPLP0,WARS,POLR2G,EIF4E,TFAM,SMN1,SEC11A,HNRNPA1,CNOT4,SUPT16H,PSMD6,SRSF7,RPS24,EXOSC8,RPL29,CSTF3,RARS2,EIF3D,PSMA2,RPL21,SRP9,RPL37,EIF2B3,GTF2F1,EEF1B2,DNAJC8,RPL34,LARS,NHP2L1,IARS,EIF3E,HNRNPC",biological_process,gene expression,282,94,771,13.5886950079,8.37375925026
GO:0007155,"ENSG00000110841,ENSG00000169862,ENSG00000153774,ENSG00000038427,ENSG00000067560,ENSG00000083457,ENSG00000092148,ENSG00000134121,ENSG00000243678,ENSG00000149557,ENSG00000185565,ENSG00000134982,ENSG00000149294,ENSG00000011052,ENSG00000151914,ENSG00000150093,ENSG00000066032,ENSG00000140937,ENSG00000182985","PPFIBP1,CTNND2,CFDP1,VCAN,RHOA,ITGAE,HECTD1,CHL1,NME1-NME2,FEZ1,LSAMP,APC,NCAM1,NME2,DST,ITGB1,CTNNA2,CDH11,CADM1",biological_process,cell adhesion,33,19,494,13.4784424967,8.26350673913
GO:0022904,"ENSG00000152234,ENSG00000173660,ENSG00000174886,ENSG00000164258,ENSG00000183648,ENSG00000128609,ENSG00000160194,ENSG00000241837,ENSG00000131174,ENSG00000167283,ENSG00000140374,ENSG00000165629,ENSG00000139180,ENSG00000119013,ENSG00000115286,ENSG00000090266,ENSG00000158864,ENSG00000110717,ENSG00000127184,ENSG00000167774,ENSG00000136521,ENSG00000154723,ENSG00000267855,ENSG00000156467,ENSG00000170906,ENSG00000131143,ENSG00000135940,ENSG00000184752","ATP5A1,UQCRH,NDUFA11,NDUFS4,NDUFB1,NDUFA5,NDUFV3,ATP5O,COX7B,ATP5L,ETFA,ATP5C1,NDUFA9,NDUFB3,NDUFS7,NDUFB2,NDUFS2,NDUFS8,COX7C,NDUFA7,NDUFB5,ATP5J,NDUFA7,UQCRB,NDUFA3,COX4I1,COX5B,NDUFA12",biological_process,respiratory electron transport chain,59,28,113,12.8571059999,7.6421702423
GO:0006355,"ENSG00000124177,ENSG00000138303,ENSG00000116580,ENSG00000122482,ENSG00000243678,ENSG00000120798,ENSG00000169862,ENSG00000121741,ENSG00000167766,ENSG00000123349,ENSG00000167085,ENSG00000112983,ENSG00000135164,ENSG00000082258,ENSG00000009307,ENSG00000111596,ENSG00000119705,ENSG00000147140,ENSG00000120837,ENSG00000131051,ENSG00000075292,ENSG00000106261,ENSG00000187778,ENSG00000182141,ENSG00000082805,ENSG00000205323,ENSG00000188342,ENSG00000163660,ENSG00000011052,ENSG00000138668,ENSG00000114126,ENSG00000197372,ENSG00000162521,ENSG00000079102,ENSG00000181555,ENSG00000080802,ENSG00000113387,ENSG00000173875,ENSG00000130165,ENSG00000244687,ENSG00000165259,ENSG00000140382,ENSG00000172687,ENSG00000179195,ENSG00000179222,ENSG00000237765,ENSG00000114861,ENSG00000101266,ENSG00000066427,ENSG00000177200,ENSG00000163320,ENSG00000090061,ENSG00000116030,ENSG00000187735,ENSG00000115966,ENSG00000185787,ENSG00000005801,ENSG00000137947,ENSG00000168214,ENSG00000143995,ENSG00000025293,ENSG00000163875,ENSG00000161526,ENSG00000171735","CHD6,ASCC1,GON4L,ZNF644,NME1-NME2,NR2C1,CTNND2,ZMYM2,ZNF83,PFDN5,PHB,BRD8,DMTF1,CCNT2,CSDE1,CNOT2,SLIRP,NONO,NFYB,RBM39,ZNF638,ZKSCAN1,MCRS1,ZNF708,ERC1,SARNP,GTF2F2,CCNL1,NME2,HNRNPD,TFDP2,ZNF675,RBBP4,RUNX1T1,SETD2,CNOT4,SUB1,ZNF791,ELOF1,UBE2V1,HDX,HMG20A,ZNF738,ZNF664,MAGED1,FAM200B,FOXP1,CSNK2A1,ATXN3,CHD9,CGGBP1,CCNK,SUMO1,TCEA1,ATF2,MORF4L1,ZNF195,GTF2B,RBPJ,MEIS1,PHF20,MEAF6,SAP30BP,CAMTA1",biological_process,"regulation of transcription, DNA-dependent",178,64,2106,12.6680371704,7.45310141281
GO:0006810,"ENSG00000095139,ENSG00000149557,ENSG00000143420,ENSG00000040341,ENSG00000125971,ENSG00000077380,ENSG00000135720,ENSG00000155368,ENSG00000070718,ENSG00000007168,ENSG00000102900,ENSG00000145907,ENSG00000144136,ENSG00000170348,ENSG00000177879,ENSG00000127914,ENSG00000121073,ENSG00000103064,ENSG00000102078,ENSG00000115947,ENSG00000075142,ENSG00000109572,ENSG00000151914,ENSG00000152578,ENSG00000205639,ENSG00000075415,ENSG00000138757,ENSG00000008952","ARCN1,FEZ1,ENSA,STAU2,DYNLRB1,DYNC1I2,DYNC1LI2,DBI,AP3M2,PAFAH1B1,NUP93,G3BP1,SLC20A1,TMED10,AP3S1,AKAP9,SLC35B1,SLC7A6,SLC25A14,ORC4,SRI,CLCN3,DST,GRIA4,MFSD2B,SLC25A3,G3BP2,SEC62",biological_process,transport,61,28,561,12.0092344666,6.79429870903
GO:0006351,"ENSG00000124177,ENSG00000120533,ENSG00000123562,ENSG00000033800,ENSG00000014824,ENSG00000138303,ENSG00000198791,ENSG00000243678,ENSG00000173875,ENSG00000169862,ENSG00000121741,ENSG00000122482,ENSG00000140395,ENSG00000135164,ENSG00000082258,ENSG00000079246,ENSG00000221983,ENSG00000241258,ENSG00000119705,ENSG00000109332,ENSG00000120837,ENSG00000106261,ENSG00000131051,ENSG00000075292,ENSG00000005483,ENSG00000187778,ENSG00000182141,ENSG00000196591,ENSG00000167766,ENSG00000157450,ENSG00000205323,ENSG00000100142,ENSG00000011052,ENSG00000138668,ENSG00000130816,ENSG00000197372,ENSG00000162521,ENSG00000079102,ENSG00000181555,ENSG00000080802,ENSG00000102038,ENSG00000113387,ENSG00000141002,ENSG00000130165,ENSG00000163660,ENSG00000198160,ENSG00000140382,ENSG00000172687,ENSG00000179195,ENSG00000029363,ENSG00000185721,ENSG00000101266,ENSG00000078403,ENSG00000066427,ENSG00000177200,ENSG00000163320,ENSG00000108654,ENSG00000147140,ENSG00000015153,ENSG00000168002,ENSG00000204569,ENSG00000187735,ENSG00000085274,ENSG00000185787,ENSG00000118482,ENSG00000005801,ENSG00000114126,ENSG00000144161,ENSG00000249319,ENSG00000025293,ENSG00000163875,ENSG00000161526,ENSG00000171735","CHD6,ENY2,MORF4L2,PIAS1,SLC30A9,ASCC1,CNOT7,NME1-NME2,ZNF791,CTNND2,ZMYM2,ZNF644,WDR61,DMTF1,CCNT2,XRCC5,UBA52,CRCP,SLIRP,UBE2D3,NFYB,ZKSCAN1,RBM39,ZNF638,KMT2E,MCRS1,ZNF708,HDAC2,ZNF83,RNF111,SARNP,POLR2F,NME2,HNRNPD,DNMT1,ZNF675,RBBP4,RUNX1T1,SETD2,CNOT4,SMARCA1,SUB1,TCF25,ELOF1,CCNL1,MIER1,HMG20A,ZNF738,ZNF664,BCLAF1,DRG1,CSNK2A1,MLLT10,ATXN3,CHD9,CGGBP1,DDX5,NONO,YAF2,POLR2G,PPP1R10,TCEA1,MYNN,MORF4L1,PHF3,ZNF195,TFDP2,ZC3H8,AC068533.7,PHF20,MEAF6,SAP30BP,CAMTA1",biological_process,"transcription, DNA-dependent",216,73,2018,11.5215872607,6.30665150306
