,features_of_interest_in_go_term,features_of_interest_in_go_term_gene_symbols,go_domain,go_name,n_background_in_go_term,n_features_of_interest_in_go_term,n_features_total_in_go_term,negative_log_p_value,bonferonni_corrected_negative_log_p_value
GO:0016607,"ENSG00000115524,ENSG00000033800,ENSG00000005483,ENSG00000173933,ENSG00000108848,ENSG00000165630,ENSG00000147140,ENSG00000167978,ENSG00000075292,ENSG00000112081,ENSG00000119707,ENSG00000131051,ENSG00000132424,ENSG00000100722,ENSG00000163660,ENSG00000116030,ENSG00000133226,ENSG00000170633,ENSG00000196504,ENSG00000159140,ENSG00000161265,ENSG00000174891,ENSG00000122068,ENSG00000084463,ENSG00000109536,ENSG00000164609,ENSG00000248643,ENSG00000126653","SF3B1,PIAS1,KMT2E,RBM4,LUC7L3,PRPF18,NONO,SRRM2,ZNF638,SRSF3,RBM25,RBM39,PNISR,ZC3H14,CCNL1,SUMO1,SRRM1,RNF34,PRPF40A,SON,U2AF1L4,RSRC1,FYTTD1,WBP11,FRG1,SLU7,RBM14-RBM4,NSRP1",cellular_component,nuclear speck,48,28,185,18.8763443824,13.035702725
GO:0005509,"ENSG00000133112,ENSG00000148481,ENSG00000143933,ENSG00000180879,ENSG00000126858,ENSG00000153140,ENSG00000128595,ENSG00000067715,ENSG00000117906,ENSG00000198668,ENSG00000196465,ENSG00000076554,ENSG00000075142,ENSG00000151914,ENSG00000250349,ENSG00000038427,ENSG00000166598,ENSG00000092841,ENSG00000180398,ENSG00000182718,ENSG00000127022,ENSG00000070081,ENSG00000101608,ENSG00000140937,ENSG00000134769,ENSG00000127603","TPT1,FAM188A,CALM2,SSR4,RHOT1,CETN3,CALU,SYT1,RCN2,CALM1,MYL6B,TPD52,SRI,DST,TM4SF2,VCAN,HSP90B1,MYL6,MCFD2,ANXA2,CANX,NUCB2,MYL12A,CDH11,DTNA,MACF1",molecular_function,calcium ion binding,44,26,745,18.1407652487,12.3001235913
GO:0016020,"ENSG00000119185,ENSG00000111371,ENSG00000120088,ENSG00000121989,ENSG00000166128,ENSG00000109572,ENSG00000167085,ENSG00000109339,ENSG00000100568,ENSG00000100442,ENSG00000239672,ENSG00000100528,ENSG00000145782,ENSG00000143198,ENSG00000126858,ENSG00000099246,ENSG00000255245,ENSG00000167645,ENSG00000127603,ENSG00000155366,ENSG00000258466,ENSG00000144136,ENSG00000067715,ENSG00000140538,ENSG00000140443,ENSG00000149269,ENSG00000057608,ENSG00000085063,ENSG00000130383,ENSG00000148950,ENSG00000186469,ENSG00000198898,ENSG00000104435,ENSG00000121073,ENSG00000011052,ENSG00000084073,ENSG00000170633,ENSG00000159720,ENSG00000143753,ENSG00000132581,ENSG00000132824,ENSG00000086061,ENSG00000110717,ENSG00000137726,ENSG00000103064,ENSG00000196950,ENSG00000150093,ENSG00000152578,ENSG00000168172,ENSG00000135968,ENSG00000152932,ENSG00000144746,ENSG00000075142,ENSG00000100554,ENSG00000070831,ENSG00000067560,ENSG00000133703,ENSG00000153113,ENSG00000115966,ENSG00000149809,ENSG00000149294,ENSG00000169255,ENSG00000125037,ENSG00000140612,ENSG00000126777,ENSG00000140937,ENSG00000069329,ENSG00000184752","ITGB1BP1,SLC38A1,CRHR1,ACVR2A,RAB8B,CLCN3,PHB,MAPK10,VTI1B,FKBP3,NME1,CNIH1,ATG12,MGST3,RHOT1,RAB18,FXYD6-FXYD2,YIF1B,MACF1,RHOC,RP11-1012A1.4,SLC20A1,SYT1,NTRK3,IGF1R,PAK1,GDI2,CD59,FUT5,IMMP1L,GNG2,CAPZA2,STMN2,SLC35B1,NME2,ZMPSTE24,RNF34,ATP6V0D1,DEGS1,SDF2,SERINC3,DNAJA1,NDUFS8,FXYD6,SLC7A6,SLC39A10,ITGB1,GRIA4,HOOK3,GCC2,RAB3C,ARL6IP5,SRI,ATP6V1D,CDC42,RHOA,KRAS,CAST,ATF2,TM7SF2,NCAM1,B3GALNT1,EMC3,SEC11A,KTN1,CDH11,VPS35,NDUFA12",cellular_component,membrane,171,68,2489,17.8792937323,12.0386520749
GO:0003677,"ENSG00000124177,ENSG00000110841,ENSG00000205581,ENSG00000033800,ENSG00000107625,ENSG00000106261,ENSG00000116580,ENSG00000108848,ENSG00000243678,ENSG00000120798,ENSG00000122482,ENSG00000075151,ENSG00000165259,ENSG00000135164,ENSG00000009307,ENSG00000258315,ENSG00000079246,ENSG00000114126,ENSG00000078403,ENSG00000147140,ENSG00000120837,ENSG00000115268,ENSG00000178035,ENSG00000182141,ENSG00000145907,ENSG00000167766,ENSG00000205323,ENSG00000188342,ENSG00000073584,ENSG00000100142,ENSG00000074319,ENSG00000011052,ENSG00000079102,ENSG00000130816,ENSG00000172660,ENSG00000197372,ENSG00000070081,ENSG00000133226,ENSG00000181555,ENSG00000102038,ENSG00000141141,ENSG00000173875,ENSG00000141002,ENSG00000127483,ENSG00000159140,ENSG00000116918,ENSG00000115947,ENSG00000108384,ENSG00000125651,ENSG00000113387,ENSG00000198160,ENSG00000140382,ENSG00000172687,ENSG00000179195,ENSG00000029363,ENSG00000156976,ENSG00000161939,ENSG00000114861,ENSG00000177954,ENSG00000086666,ENSG00000187735,ENSG00000177200,ENSG00000135336,ENSG00000028839,ENSG00000188994,ENSG00000077809,ENSG00000204569,ENSG00000108064,ENSG00000085274,ENSG00000115966,ENSG00000124795,ENSG00000005801,ENSG00000137947,ENSG00000168214,ENSG00000135108,ENSG00000004534,ENSG00000143995,ENSG00000025293,ENSG00000066651,ENSG00000163104,ENSG00000189403,ENSG00000171735,ENSG00000162929","CHD6,PPFIBP1,HMGN1,PIAS1,DDX50,ZKSCAN1,GON4L,LUC7L3,NME1-NME2,NR2C1,ZNF644,EIF4G3,HDX,DMTF1,CSDE1,C17orf49,XRCC5,TFDP2,MLLT10,NONO,NFYB,RPS15,IMPDH2,ZNF708,G3BP1,ZNF83,SARNP,GTF2F2,SMARCE1,POLR2F,TSG101,NME2,RUNX1T1,DNMT1,TAF15,ZNF675,NUCB2,SRRM1,SETD2,SMARCA1,DDX52,ZNF791,TCF25,HP1BP3,SON,TSNAX,ORC4,RAD51C,GTF2F1,SUB1,MIER1,HMG20A,ZNF738,ZNF664,BCLAF1,EIF4A2,RNASEK-C17orf49,FOXP1,RPS27,ZFAND6,TCEA1,CHD9,ORC3,TBPL1,ZNF292,GTF2I,PPP1R10,TFAM,MYNN,ATF2,DEK,ZNF195,GTF2B,RBPJ,FBXO21,RBM6,MEIS1,PHF20,TRMT11,SMARCAD1,HMGB1,CAMTA1,KIAA1841",molecular_function,DNA binding,223,83,2282,17.6320829713,11.7914413139
GO:0006397,"ENSG00000173933,ENSG00000108848,ENSG00000165630,ENSG00000147140,ENSG00000084463,ENSG00000111196,ENSG00000100461,ENSG00000143977,ENSG00000119707,ENSG00000131051,ENSG00000182004,ENSG00000130520,ENSG00000096063,ENSG00000176102,ENSG00000054118,ENSG00000196504,ENSG00000106344,ENSG00000159140,ENSG00000161265,ENSG00000139218,ENSG00000116754,ENSG00000153006,ENSG00000125676,ENSG00000162374,ENSG00000148843,ENSG00000172062,ENSG00000248643,ENSG00000133226,ENSG00000153914,ENSG00000100320,ENSG00000064607,ENSG00000135486,ENSG00000115875,ENSG00000121067,ENSG00000126653","RBM4,LUC7L3,PRPF18,NONO,WBP11,MAGOHB,RBM23,SNRPG,RBM25,RBM39,SNRPE,LSM4,SRPK1,CSTF3,THRAP3,PRPF40A,RBM28,SON,U2AF1L4,SCAF11,SRSF11,SREK1IP1,THOC2,ELAVL4,PDCD11,SMN1,RBM14-RBM4,SRRM1,SREK1,RBFOX2,SUGP2,HNRNPA1,SRSF7,SPOP,NSRP1",biological_process,mRNA processing,73,35,240,15.7398286792,9.89918702186
GO:0003723,"ENSG00000080802,ENSG00000107625,ENSG00000138303,ENSG00000173933,ENSG00000083845,ENSG00000115875,ENSG00000124214,ENSG00000121766,ENSG00000135698,ENSG00000075151,ENSG00000167978,ENSG00000040341,ENSG00000111196,ENSG00000171311,ENSG00000009307,ENSG00000100461,ENSG00000143977,ENSG00000119705,ENSG00000112081,ENSG00000176102,ENSG00000147140,ENSG00000131051,ENSG00000115268,ENSG00000140319,ENSG00000178035,ENSG00000182004,ENSG00000104517,ENSG00000169288,ENSG00000171490,ENSG00000075292,ENSG00000122026,ENSG00000100722,ENSG00000134644,ENSG00000130520,ENSG00000138668,ENSG00000130816,ENSG00000137818,ENSG00000119446,ENSG00000134419,ENSG00000143742,ENSG00000145592,ENSG00000157349,ENSG00000101361,ENSG00000141141,ENSG00000172660,ENSG00000106344,ENSG00000159140,ENSG00000161265,ENSG00000102317,ENSG00000138757,ENSG00000129084,ENSG00000116754,ENSG00000031698,ENSG00000128739,ENSG00000231500,ENSG00000125676,ENSG00000162374,ENSG00000180098,ENSG00000144161,ENSG00000089157,ENSG00000205323,ENSG00000114416,ENSG00000181163,ENSG00000161016,ENSG00000109475,ENSG00000148843,ENSG00000166598,ENSG00000198000,ENSG00000168002,ENSG00000151247,ENSG00000172062,ENSG00000248643,ENSG00000133226,ENSG00000100138,ENSG00000122406,ENSG00000100320,ENSG00000004534,ENSG00000162244,ENSG00000064607,ENSG00000204569,ENSG00000092199,ENSG00000135486","CNOT4,DDX50,ASCC1,RBM4,RPS5,SRSF7,STAU1,ZCCHC17,MPHOSPH6,EIF4G3,SRRM2,STAU2,MAGOHB,EXOSC1,CSDE1,RBM23,SNRPG,SLIRP,SRSF3,CSTF3,NONO,RBM39,RPS15,SRP14,IMPDH2,SNRPE,UBR5,MRPL1,RSL1D1,ZNF638,RPL21,ZC3H14,PUM1,LSM4,HNRNPD,DNMT1,RPLP1,RBM18,RPS15A,SRP9,RPL37,DDX19B,NOP56,DDX52,TAF15,RBM28,SON,U2AF1L4,RBM3,G3BP2,PSMA1,SRSF11,SARS,SNRPN,RPS18,THOC2,ELAVL4,TRNAU1AP,ZC3H8,RPLP0,SARNP,FXR1,NPM1,RPL8,RPL34,PDCD11,HSP90B1,NOL8,POLR2G,EIF4E,SMN1,RBM14-RBM4,SRRM1,NHP2L1,RPL5,RBFOX2,RBM6,RPL29,SUGP2,PPP1R10,HNRNPC,HNRNPA1",molecular_function,RNA binding,228,82,703,15.6732973489,9.83265569148
GO:0044267,"ENSG00000120697,ENSG00000147677,ENSG00000138674,ENSG00000084623,ENSG00000083845,ENSG00000110700,ENSG00000138326,ENSG00000167552,ENSG00000123349,ENSG00000241343,ENSG00000162244,ENSG00000100564,ENSG00000163479,ENSG00000115268,ENSG00000140319,ENSG00000118363,ENSG00000177954,ENSG00000101132,ENSG00000120438,ENSG00000221983,ENSG00000180879,ENSG00000122026,ENSG00000265681,ENSG00000150779,ENSG00000126768,ENSG00000128654,ENSG00000182899,ENSG00000134419,ENSG00000143742,ENSG00000145592,ENSG00000105254,ENSG00000173726,ENSG00000204120,ENSG00000118705,ENSG00000151665,ENSG00000124614,ENSG00000114942,ENSG00000137818,ENSG00000156976,ENSG00000231500,ENSG00000070785,ENSG00000163468,ENSG00000089157,ENSG00000105372,ENSG00000129562,ENSG00000156261,ENSG00000100353,ENSG00000109475,ENSG00000180398,ENSG00000151247,ENSG00000157020,ENSG00000217930,ENSG00000161016,ENSG00000171530,ENSG00000127022,ENSG00000122406,ENSG00000140612,ENSG00000135624,ENSG00000101901,ENSG00000104408,ENSG00000075624","ALG5,EIF3H,SEC31A,EIF3I,RPS5,RPS13,RPS24,TUBA1A,PFDN5,RPL36A,RPL29,PIGH,SSR2,RPS15,SRP14,SPCS2,RPS27,PFDN4,TCP1,UBA52,SSR4,RPL21,RPL17,TIMM8B,TIMM17B,MTX2,RPL35A,RPS15A,SRP9,RPL37,TBCB,TOMM20,GIGYF2,RPN2,PIGF,RPS10,EEF1B2,RPLP1,EIF4A2,RPS18,EIF2B3,CCT3,RPLP0,RPS19,DAD1,CCT8,EIF3D,RPL34,MCFD2,EIF4E,SEC13,PAM16,RPL8,TBCA,CANX,RPL5,SEC11A,CCT7,ALG13,EIF3E,ACTB",biological_process,cellular protein metabolic process,156,61,438,15.5413809097,9.70073925228
GO:0008150,"ENSG00000109046,ENSG00000133983,ENSG00000121741,ENSG00000120699,ENSG00000119720,ENSG00000214265,ENSG00000138698,ENSG00000129625,ENSG00000118096,ENSG00000139684,ENSG00000156411,ENSG00000109184,ENSG00000156253,ENSG00000106701,ENSG00000186566,ENSG00000266967,ENSG00000148950,ENSG00000173436,ENSG00000154719,ENSG00000115514,ENSG00000179195,ENSG00000163463,ENSG00000022277,ENSG00000086666,ENSG00000171204,ENSG00000120860,ENSG00000134697,ENSG00000157036,ENSG00000071462,ENSG00000153774,ENSG00000128595,ENSG00000171159,ENSG00000060762,ENSG00000137726,ENSG00000125037,ENSG00000108825,ENSG00000127603","WSB1,COX16,ZMYM2,EXOSC8,NRDE2,SNURF,RAP1GDS1,REEP5,IFT46,ESD,C14orf2,DCUN1D4,RWDD2B,FSD1L,GPATCH8,AARSD1,IMMP1L,MINOS1,MRPL39,TXNDC9,ZNF664,KRTCAP2,RTFDC1,ZFAND6,TMEM126B,CCDC53,GNL2,EXOG,WBSCR22,CFDP1,CALU,C9orf16,MPC1,FXYD6,EMC3,PTGES3L-AARSD1,MACF1",biological_process,biological_process,81,37,749,14.8833014608,9.04265980347
GO:0008380,"ENSG00000115524,ENSG00000173933,ENSG00000108848,ENSG00000174891,ENSG00000165630,ENSG00000116754,ENSG00000147140,ENSG00000125743,ENSG00000111196,ENSG00000143977,ENSG00000075292,ENSG00000112081,ENSG00000119707,ENSG00000131051,ENSG00000182004,ENSG00000188342,ENSG00000100142,ENSG00000130520,ENSG00000138668,ENSG00000096063,ENSG00000176102,ENSG00000133226,ENSG00000196504,ENSG00000106344,ENSG00000159140,ENSG00000161265,ENSG00000125651,ENSG00000139218,ENSG00000060688,ENSG00000153006,ENSG00000128739,ENSG00000125676,ENSG00000084463,ENSG00000126698,ENSG00000168002,ENSG00000248643,ENSG00000054118,ENSG00000100138,ENSG00000153914,ENSG00000100320,ENSG00000064607,ENSG00000135486,ENSG00000115875,ENSG00000092199,ENSG00000126653","SF3B1,RBM4,LUC7L3,RSRC1,PRPF18,SRSF11,NONO,SNRPD2,MAGOHB,SNRPG,ZNF638,SRSF3,RBM25,RBM39,SNRPE,GTF2F2,POLR2F,LSM4,HNRNPD,SRPK1,CSTF3,SRRM1,PRPF40A,RBM28,SON,U2AF1L4,GTF2F1,SCAF11,SNRNP40,SREK1IP1,SNRPN,THOC2,WBP11,DNAJC8,POLR2G,RBM14-RBM4,THRAP3,NHP2L1,SREK1,RBFOX2,SUGP2,HNRNPA1,SRSF7,HNRNPC,NSRP1",biological_process,RNA splicing,107,45,268,14.4960902686,8.65544861118
GO:0005813,"ENSG00000258890,ENSG00000103540,ENSG00000149557,ENSG00000143933,ENSG00000125971,ENSG00000109083,ENSG00000077380,ENSG00000153140,ENSG00000131051,ENSG00000007168,ENSG00000239672,ENSG00000140463,ENSG00000011052,ENSG00000129084,ENSG00000198668,ENSG00000168172,ENSG00000152082,ENSG00000152359,ENSG00000115514,ENSG00000046651,ENSG00000134982,ENSG00000152240,ENSG00000178125,ENSG00000068796,ENSG00000121289,ENSG00000181163,ENSG00000156261,ENSG00000135541,ENSG00000178104,ENSG00000100578,ENSG00000135720,ENSG00000143156,ENSG00000120438,ENSG00000127914,ENSG00000099901,ENSG00000095637,ENSG00000163875,ENSG00000058272","CEP95,CCP110,FEZ1,CALM2,DYNLRB1,IFT20,DYNC1I2,CETN3,RBM39,PAFAH1B1,NME1,BBS4,NME2,PSMA1,CALM1,HOOK3,MZT2B,POC5,TXNDC9,OFD1,APC,HAUS1,PPP1R42,KIF2A,CEP89,NPM1,CCT8,AHI1,PDE4DIP,KIAA0586,DYNC1LI2,NME7,TCP1,AKAP9,RANBP1,SORBS1,MEAF6,PPP1R12A",cellular_component,centrosome,86,38,357,14.1400701981,8.29942854069
