,features_of_interest_in_go_term,features_of_interest_in_go_term_gene_symbols,go_domain,go_name,n_background_in_go_term,n_features_of_interest_in_go_term,n_features_total_in_go_term,negative_log_p_value,bonferonni_corrected_negative_log_p_value
GO:0006397,"ENSG00000173914,ENSG00000161547,ENSG00000173933,ENSG00000108848,ENSG00000165630,ENSG00000108883,ENSG00000147140,ENSG00000125835,ENSG00000111196,ENSG00000100461,ENSG00000143977,ENSG00000111605,ENSG00000198860,ENSG00000119707,ENSG00000131051,ENSG00000079134,ENSG00000182004,ENSG00000139746,ENSG00000130520,ENSG00000100319,ENSG00000176102,ENSG00000133226,ENSG00000196504,ENSG00000106344,ENSG00000159140,ENSG00000168883,ENSG00000161265,ENSG00000139218,ENSG00000096063,ENSG00000120948,ENSG00000153006,ENSG00000116754,ENSG00000084463,ENSG00000117360,ENSG00000112531,ENSG00000148843,ENSG00000172062,ENSG00000248643,ENSG00000054118,ENSG00000100320,ENSG00000064607,ENSG00000135486,ENSG00000115875,ENSG00000121067,ENSG00000126653","RBM4B,SRSF2,RBM4,LUC7L3,PRPF18,EFTUD2,NONO,SNRPB,MAGOHB,RBM23,SNRPG,CPSF6,TSEN15,RBM25,RBM39,THOC1,SNRPE,RBM26,LSM4,ZMAT5,CSTF3,SRRM1,PRPF40A,RBM28,SON,USP39,U2AF1L4,SCAF11,SRPK1,TARDBP,SREK1IP1,SRSF11,WBP11,PRPF3,QKI,PDCD11,SMN1,RBM14-RBM4,THRAP3,RBFOX2,SUGP2,HNRNPA1,SRSF7,SPOP,NSRP1",biological_process,mRNA processing,102,45,240,18.5097688473,12.8857513411
GO:0006355,"ENSG00000111358,ENSG00000138303,ENSG00000116580,ENSG00000243678,ENSG00000198093,ENSG00000122482,ENSG00000009307,ENSG00000127989,ENSG00000111596,ENSG00000131051,ENSG00000134480,ENSG00000187735,ENSG00000011052,ENSG00000139624,ENSG00000080802,ENSG00000109111,ENSG00000125107,ENSG00000140382,ENSG00000205323,ENSG00000196081,ENSG00000148737,ENSG00000035928,ENSG00000135164,ENSG00000137947,ENSG00000168214,ENSG00000143995,ENSG00000171735,ENSG00000171469,ENSG00000120798,ENSG00000169862,ENSG00000008128,ENSG00000082258,ENSG00000119705,ENSG00000004487,ENSG00000114126,ENSG00000182944,ENSG00000082805,ENSG00000188342,ENSG00000054267,ENSG00000090061,ENSG00000172687,ENSG00000113387,ENSG00000144580,ENSG00000105856,ENSG00000170802,ENSG00000115966,ENSG00000256566,ENSG00000160783,ENSG00000025293,ENSG00000124177,ENSG00000173875,ENSG00000172262,ENSG00000123349,ENSG00000084093,ENSG00000119725,ENSG00000075292,ENSG00000187778,ENSG00000163660,ENSG00000181555,ENSG00000138668,ENSG00000213096,ENSG00000116030,ENSG00000132356,ENSG00000164649,ENSG00000106462,ENSG00000179222,ENSG00000101266,ENSG00000066427,ENSG00000152795,ENSG00000167085,ENSG00000066136,ENSG00000057935,ENSG00000177842,ENSG00000161526,ENSG00000005889,ENSG00000100916,ENSG00000106261,ENSG00000147140,ENSG00000133884,ENSG00000112983,ENSG00000120837,ENSG00000182141,ENSG00000155545,ENSG00000100105,ENSG00000162521,ENSG00000095794,ENSG00000244687,ENSG00000221978,ENSG00000112237,ENSG00000148516,ENSG00000179195,ENSG00000142856,ENSG00000114861,ENSG00000152455,ENSG00000185787,ENSG00000005801","GTF2H3,ASCC1,GON4L,NME1-NME2,ZNF649,ZNF644,CSDE1,MTERF,CNOT2,RBM39,CCNH,TCEA1,NME2,CERS5,CNOT4,SUPT6H,CNOT1,HMG20A,SARNP,ZNF724P,TCF7L2,RFC1,DMTF1,GTF2B,RBPJ,MEIS1,CAMTA1,ZNF561,NR2C1,CTNND2,CDK11A,CCNT2,SLIRP,KDM1A,TFDP2,EWSR1,ERC1,GTF2F2,ARID4B,CCNK,ZNF738,SUB1,RQCD1,HBP1,FOXN2,ATF2,RP4-734P14.4,PMF1,PHF20,CHD6,ZNF791,ZNF131,PFDN5,REST,ZNF410,ZNF638,MCRS1,CCNL1,SETD2,HNRNPD,ZNF254,SUMO1,PRKAA1,CDCA7L,EZH2,MAGED1,CSNK2A1,ATXN3,HNRNPDL,PHB,NFYC,MTA3,ZNF620,SAP30BP,ZFX,BRMS1L,ZKSCAN1,NONO,DPF2,BRD8,NFYB,ZNF708,MIER3,PATZ1,RBBP4,CREM,UBE2V1,CCNL2,CCNC,ZEB1,ZNF664,ITGB3BP,FOXP1,SUV39H2,MORF4L1,ZNF195",biological_process,"regulation of transcription, DNA-dependent",286,96,2106,17.6744220955,12.0504045893
GO:0006915,"ENSG00000108953,ENSG00000197223,ENSG00000113734,ENSG00000148481,ENSG00000142856,ENSG00000079134,ENSG00000163636,ENSG00000114346,ENSG00000108848,ENSG00000155957,ENSG00000100814,ENSG00000087274,ENSG00000108294,ENSG00000164305,ENSG00000256646,ENSG00000008128,ENSG00000161526,ENSG00000141378,ENSG00000205726,ENSG00000159593,ENSG00000144366,ENSG00000119707,ENSG00000134684,ENSG00000149932,ENSG00000166913,ENSG00000106588,ENSG00000114209,ENSG00000104067,ENSG00000075790,ENSG00000221983,ENSG00000169398,ENSG00000149269,ENSG00000109332,ENSG00000089685,ENSG00000139644,ENSG00000129084,ENSG00000166181,ENSG00000111653,ENSG00000139132,ENSG00000149089,ENSG00000078747,ENSG00000182985,ENSG00000092140,ENSG00000092421,ENSG00000133318,ENSG00000149547,ENSG00000100804,ENSG00000189067,ENSG00000012048,ENSG00000156970,ENSG00000179222,ENSG00000087470,ENSG00000249915,ENSG00000086666,ENSG00000144161,ENSG00000062598,ENSG00000129562,ENSG00000156171,ENSG00000134982,ENSG00000168002,ENSG00000184047,ENSG00000165304,ENSG00000104375,ENSG00000197170,ENSG00000065613,ENSG00000116001,ENSG00000114416,ENSG00000147654,ENSG00000189403,ENSG00000162604","YWHAE,C1D,BNIP1,FAM188A,ITGB3BP,THOC1,PSMD6,ECT2,LUC7L3,TMBIM4,CCNB1IP1,ADD1,PSMB3,CASP3,PSMA2,CDK11A,SAP30BP,PTRH2,ITSN1,NAE1,GULP1,RBM25,YARS,TMEM219,YWHAB,PSMA2,PDCD10,TJP1,BCAP29,UBA52,PTK2,PAK1,UBE2D3,BIRC5,TMBIM6,PSMA1,API5,ING4,FGD4,APIP,ITCH,CADM1,G2E3,SEMA6A,RTN3,EI24,PSMB5,LITAF,BRCA1,BUB1B,MAGED1,DNM1L,PDCD6,ZFAND6,ZC3H8,ELMO2,DAD1,DRAM2,APC,POLR2G,DIABLO,MELK,STK3,PSMD12,SLK,TIA1,FXR1,EBAG9,HMGB1,TM2D1",biological_process,apoptotic process,193,70,771,16.897878493,11.2738609869
GO:0022904,"ENSG00000152234,ENSG00000167792,ENSG00000173660,ENSG00000174886,ENSG00000073578,ENSG00000164258,ENSG00000183648,ENSG00000128609,ENSG00000160194,ENSG00000241837,ENSG00000131174,ENSG00000167283,ENSG00000140374,ENSG00000165629,ENSG00000175567,ENSG00000139180,ENSG00000119013,ENSG00000115286,ENSG00000090266,ENSG00000158864,ENSG00000110717,ENSG00000127184,ENSG00000167774,ENSG00000136521,ENSG00000154723,ENSG00000267855,ENSG00000156467,ENSG00000170906,ENSG00000131143,ENSG00000135940,ENSG00000184752","ATP5A1,NDUFV1,UQCRH,NDUFA11,SDHA,NDUFS4,NDUFB1,NDUFA5,NDUFV3,ATP5O,COX7B,ATP5L,ETFA,ATP5C1,UCP2,NDUFA9,NDUFB3,NDUFS7,NDUFB2,NDUFS2,NDUFS8,COX7C,NDUFA7,NDUFB5,ATP5J,NDUFA7,UQCRB,NDUFA3,COX4I1,COX5B,NDUFA12",biological_process,respiratory electron transport chain,64,31,113,16.2759457253,10.6519282191
GO:0045666,"ENSG00000067560,ENSG00000008294,ENSG00000270136,ENSG00000149557,ENSG00000148516,ENSG00000091129,ENSG00000114346,ENSG00000150093,ENSG00000140262","RHOA,SPAG9,MINOS1-NBL1,FEZ1,ZEB1,NRCAM,ECT2,ITGB1,TCF12",biological_process,positive regulation of neuron differentiation,10,9,67,16.0463322371,10.4223147309
GO:0044267,"ENSG00000120697,ENSG00000147677,ENSG00000100934,ENSG00000182899,ENSG00000083845,ENSG00000110700,ENSG00000138326,ENSG00000167552,ENSG00000123349,ENSG00000241343,ENSG00000152700,ENSG00000162244,ENSG00000163479,ENSG00000231500,ENSG00000138674,ENSG00000115268,ENSG00000140319,ENSG00000118363,ENSG00000177954,ENSG00000101132,ENSG00000013375,ENSG00000120705,ENSG00000221983,ENSG00000180879,ENSG00000122026,ENSG00000265681,ENSG00000150779,ENSG00000126768,ENSG00000134419,ENSG00000143742,ENSG00000145592,ENSG00000105254,ENSG00000173726,ENSG00000204120,ENSG00000118705,ENSG00000145425,ENSG00000159063,ENSG00000000419,ENSG00000114942,ENSG00000120438,ENSG00000137818,ENSG00000104529,ENSG00000156976,ENSG00000124614,ENSG00000070785,ENSG00000163468,ENSG00000170889,ENSG00000089157,ENSG00000105372,ENSG00000129562,ENSG00000156261,ENSG00000100353,ENSG00000109475,ENSG00000151665,ENSG00000135624,ENSG00000151247,ENSG00000157020,ENSG00000217930,ENSG00000161016,ENSG00000171530,ENSG00000127022,ENSG00000122406,ENSG00000140612,ENSG00000134910,ENSG00000101901,ENSG00000104408,ENSG00000075624","ALG5,EIF3H,SEC23A,RPL35A,RPS5,RPS13,RPS24,TUBA1A,PFDN5,RPL36A,SAR1B,RPL29,SSR2,RPS18,SEC31A,RPS15,SRP14,SPCS2,RPS27,PFDN4,PGM3,ETF1,UBA52,SSR4,RPL21,RPL17,TIMM8B,TIMM17B,RPS15A,SRP9,RPL37,TBCB,TOMM20,GIGYF2,RPN2,RPS3A,ALG8,DPM1,EEF1B2,TCP1,RPLP1,EEF1D,EIF4A2,RPS10,EIF2B3,CCT3,RPS9,RPLP0,RPS19,DAD1,CCT8,EIF3D,RPL34,PIGF,CCT7,EIF4E,SEC13,PAM16,RPL8,TBCA,CANX,RPL5,SEC11A,STT3A,ALG13,EIF3E,ACTB",biological_process,cellular protein metabolic process,187,67,438,15.7290003007,10.1049827945
GO:0043066,"ENSG00000164924,ENSG00000133112,ENSG00000169398,ENSG00000078747,ENSG00000155957,ENSG00000127948,ENSG00000164305,ENSG00000079246,ENSG00000196591,ENSG00000149089,ENSG00000004487,ENSG00000113734,ENSG00000134248,ENSG00000131238,ENSG00000126581,ENSG00000140443,ENSG00000011052,ENSG00000089685,ENSG00000139644,ENSG00000166181,ENSG00000243678,ENSG00000132356,ENSG00000135679,ENSG00000092140,ENSG00000159140,ENSG00000170242,ENSG00000134982,ENSG00000120885,ENSG00000119969,ENSG00000012061,ENSG00000129562,ENSG00000119048,ENSG00000135541,ENSG00000166598,ENSG00000148737,ENSG00000153774,ENSG00000082701,ENSG00000114125,ENSG00000114209,ENSG00000085063","YWHAZ,TPT1,PTK2,ITCH,TMBIM4,POR,CASP3,XRCC5,HDAC2,APIP,KDM1A,BNIP1,LAMTOR5,PPT1,BECN1,IGF1R,NME2,BIRC5,TMBIM6,API5,NME1-NME2,PRKAA1,MDM2,G2E3,SON,USP47,APC,CLU,HELLS,ERCC1,DAD1,UBE2B,AHI1,HSP90B1,TCF7L2,CFDP1,GSK3B,RNF7,PDCD10,CD59",biological_process,negative regulation of apoptotic process,97,40,540,14.490040286,8.86602277976
GO:0007268,"ENSG00000183044,ENSG00000008282,ENSG00000111371,ENSG00000075711,ENSG00000007168,ENSG00000127914,ENSG00000104490,ENSG00000145349,ENSG00000135821,ENSG00000123560,ENSG00000067715,ENSG00000073969,ENSG00000143933,ENSG00000079215,ENSG00000186469,ENSG00000196586,ENSG00000066427,ENSG00000198668,ENSG00000134769,ENSG00000135679","ABAT,SYPL1,SLC38A1,DLG1,PAFAH1B1,AKAP9,NCALD,CAMK2D,GLUL,PLP1,SYT1,NSF,CALM2,SLC1A3,GNG2,MYO6,ATXN3,CALM1,DTNA,MDM2",biological_process,synaptic transmission,37,20,409,13.8373900073,8.21337250111
GO:0045892,"ENSG00000197223,ENSG00000177565,ENSG00000117139,ENSG00000120798,ENSG00000123349,ENSG00000084093,ENSG00000167085,ENSG00000079246,ENSG00000196591,ENSG00000129515,ENSG00000004487,ENSG00000166913,ENSG00000073584,ENSG00000074319,ENSG00000100211,ENSG00000089685,ENSG00000215021,ENSG00000100105,ENSG00000116030,ENSG00000135679,ENSG00000103275,ENSG00000106462,ENSG00000111653,ENSG00000141027,ENSG00000170242,ENSG00000148516,ENSG00000068903,ENSG00000114861,ENSG00000144161,ENSG00000144744,ENSG00000179222,ENSG00000015153,ENSG00000012048,ENSG00000148737,ENSG00000029363,ENSG00000082701,ENSG00000129351,ENSG00000168214,ENSG00000100320","C1D,TBL1XR1,KDM5B,NR2C1,PFDN5,REST,PHB,XRCC5,HDAC2,SNX6,KDM1A,YWHAB,SMARCE1,TSG101,CBY1,BIRC5,PHB2,PATZ1,SUMO1,MDM2,UBE2I,EZH2,ING4,NCOR1,USP47,ZEB1,SIRT2,FOXP1,ZC3H8,UBA3,MAGED1,YAF2,BRCA1,TCF7L2,BCLAF1,GSK3B,ILF3,RBPJ,RBFOX2",biological_process,"negative regulation of transcription, DNA-dependent",97,39,496,13.4069516629,7.78293415674
GO:0006412,"ENSG00000111358,ENSG00000147677,ENSG00000174547,ENSG00000182899,ENSG00000172590,ENSG00000110700,ENSG00000138326,ENSG00000124614,ENSG00000120705,ENSG00000241343,ENSG00000162244,ENSG00000121022,ENSG00000163479,ENSG00000231500,ENSG00000082515,ENSG00000260342,ENSG00000140319,ENSG00000118363,ENSG00000177954,ENSG00000169288,ENSG00000171490,ENSG00000221983,ENSG00000180879,ENSG00000122026,ENSG00000265681,ENSG00000122406,ENSG00000134419,ENSG00000083845,ENSG00000145592,ENSG00000162910,ENSG00000102317,ENSG00000118705,ENSG00000174100,ENSG00000104408,ENSG00000114942,ENSG00000114686,ENSG00000137818,ENSG00000104529,ENSG00000115268,ENSG00000136628,ENSG00000070785,ENSG00000170445,ENSG00000113407,ENSG00000170889,ENSG00000089157,ENSG00000140105,ENSG00000105372,ENSG00000145425,ENSG00000161016,ENSG00000106591,ENSG00000100353,ENSG00000109475,ENSG00000130348,ENSG00000166902,ENSG00000144895,ENSG00000175581,ENSG00000143742,ENSG00000112339,ENSG00000198015,ENSG00000031698,ENSG00000140612,ENSG00000156976,ENSG00000257529,ENSG00000159111,ENSG00000151247","GTF2H3,EIF3H,MRPL11,RPL35A,MRPL52,RPS13,RPS24,RPS10,ETF1,RPL36A,RPL29,COPS5,SSR2,RPS18,MRPL22,RP11-1035H13.3,SRP14,SPCS2,RPS27,MRPL1,RSL1D1,UBA52,SSR4,RPL21,RPL17,RPL5,RPS15A,RPS5,RPL37,MRPL55,RBM3,RPN2,MRPL45,EIF3E,EEF1B2,MRPL3,RPLP1,EEF1D,RPS15,EPRS,EIF2B3,HARS,TARS,RPS9,RPLP0,WARS,RPS19,RPS3A,RPL8,MRPL32,EIF3D,RPL34,QRSL1,MRPL16,EIF2A,MRPL48,SRP9,HBS1L,MRPL42,SARS,SEC11A,EIF4A2,RPL36A-HNRNPH2,MRPL10,EIF4E",biological_process,translation,191,65,310,13.2023567233,7.57833921715
