,features_of_interest_in_go_term,features_of_interest_in_go_term_gene_symbols,go_domain,go_name,n_background_in_go_term,n_features_of_interest_in_go_term,n_features_total_in_go_term,negative_log_p_value,bonferonni_corrected_negative_log_p_value
GO:0043231,"ENSG00000122884,ENSG00000136436,ENSG00000117139,ENSG00000112118,ENSG00000164733,ENSG00000127948,ENSG00000000419,ENSG00000135821,ENSG00000133884,ENSG00000079459,ENSG00000211455,ENSG00000075292,ENSG00000138674,ENSG00000113456,ENSG00000075856,ENSG00000037897,ENSG00000121940,ENSG00000113734,ENSG00000088305,ENSG00000140443,ENSG00000147155,ENSG00000010810,ENSG00000143198,ENSG00000170348,ENSG00000068745,ENSG00000156171,ENSG00000127914,ENSG00000054118,ENSG00000121073,ENSG00000092140,ENSG00000145354,ENSG00000158411,ENSG00000008311,ENSG00000164609,ENSG00000129515,ENSG00000177674,ENSG00000186908,ENSG00000131828,ENSG00000205323,ENSG00000105854,ENSG00000133835,ENSG00000142230,ENSG00000170802,ENSG00000122873,ENSG00000100227,ENSG00000057935,ENSG00000039319,ENSG00000197713,ENSG00000069329","P4HA1,CALCOCO2,KDM5B,MCM3,CTSB,POR,DPM1,GLUL,DPF2,FDFT1,STK38L,ZNF638,SEC31A,RAD1,SART3,METTL1,CLCC1,BNIP1,DNMT3B,IGF1R,EBP,FYN,MGST3,TMED10,IP6K2,DRAM2,AKAP9,THRAP3,SLC35B1,G2E3,CISD2,MITD1,AASS,SLU7,SNX6,AGTRAP,ZDHHC17,PDHA1,SARNP,PON2,HSD17B4,SAE1,FOXN2,CISD1,POLDIP3,MTA3,ZFYVE16,RPE,VPS35",cellular_component,intracellular membrane-bounded organelle,111,49,431,19.9413892025,13.7030645775
GO:0005783,"ENSG00000113734,ENSG00000122884,ENSG00000012660,ENSG00000105894,ENSG00000127948,ENSG00000000419,ENSG00000138674,ENSG00000175354,ENSG00000040341,ENSG00000163479,ENSG00000170522,ENSG00000180879,ENSG00000267228,ENSG00000155368,ENSG00000260342,ENSG00000160191,ENSG00000248710,ENSG00000121940,ENSG00000075711,ENSG00000144746,ENSG00000075790,ENSG00000147155,ENSG00000104412,ENSG00000143198,ENSG00000170348,ENSG00000139644,ENSG00000096063,ENSG00000187446,ENSG00000070081,ENSG00000139624,ENSG00000158092,ENSG00000118705,ENSG00000145354,ENSG00000133318,ENSG00000120885,ENSG00000006042,ENSG00000132196,ENSG00000142188,ENSG00000122643,ENSG00000111711,ENSG00000213186,ENSG00000140386,ENSG00000249915,ENSG00000052802,ENSG00000114200,ENSG00000079332,ENSG00000101558,ENSG00000008394,ENSG00000079459,ENSG00000166598,ENSG00000062716,ENSG00000132963,ENSG00000008952,ENSG00000128595,ENSG00000127022,ENSG00000152700,ENSG00000072849,ENSG00000184787,ENSG00000126777,ENSG00000162694,ENSG00000100934,ENSG00000143753","BNIP1,P4HA1,ELOVL5,PTN,POR,DPM1,SEC31A,PTPN2,STAU2,SSR2,ELOVL6,SSR4,IER3IP1,DBI,RP11-1035H13.3,PDE9A,RP11-432B6.3,CLCC1,DLG1,ARL6IP5,BCAP29,EBP,EMC2,MGST3,TMED10,TMBIM6,SRPK1,CHP1,NUCB2,CERS5,NCK1,RPN2,CISD2,RTN3,CLU,TMEM98,HSD17B7,TMEM50B,NT5C3A,GOLT1B,TRIM59,SCAPER,PDCD6,MSMO1,BCHE,SAR1A,VAPA,MGST1,FDFT1,HSP90B1,VMP1,POMP,SEC62,CALU,CANX,SAR1B,DERL2,UBE2G2,KTN1,EXTL2,SEC23A,DEGS1",cellular_component,endoplasmic reticulum,156,62,723,19.2799022376,13.0415776125
GO:0001725,"ENSG00000140416,ENSG00000196923,ENSG00000050405,ENSG00000133026,ENSG00000154380,ENSG00000101608,ENSG00000073712,ENSG00000138758,ENSG00000143549,ENSG00000064666,ENSG00000122545","TPM1,PDLIM7,LIMA1,MYH10,ENAH,MYL12A,FERMT2,SEPT11,TPM3,CNN2,SEPT7",cellular_component,stress fiber,12,11,47,19.2608305669,13.0225059419
GO:0006397,"ENSG00000173914,ENSG00000161547,ENSG00000173933,ENSG00000108848,ENSG00000165630,ENSG00000108883,ENSG00000147140,ENSG00000125835,ENSG00000111196,ENSG00000100461,ENSG00000143977,ENSG00000111605,ENSG00000198860,ENSG00000119707,ENSG00000131051,ENSG00000079134,ENSG00000182004,ENSG00000139746,ENSG00000130520,ENSG00000100319,ENSG00000176102,ENSG00000133226,ENSG00000196504,ENSG00000106344,ENSG00000159140,ENSG00000168883,ENSG00000161265,ENSG00000139218,ENSG00000096063,ENSG00000120948,ENSG00000153006,ENSG00000116754,ENSG00000084463,ENSG00000117360,ENSG00000112531,ENSG00000148843,ENSG00000172062,ENSG00000248643,ENSG00000054118,ENSG00000100320,ENSG00000064607,ENSG00000135486,ENSG00000115875,ENSG00000121067,ENSG00000126653","RBM4B,SRSF2,RBM4,LUC7L3,PRPF18,EFTUD2,NONO,SNRPB,MAGOHB,RBM23,SNRPG,CPSF6,TSEN15,RBM25,RBM39,THOC1,SNRPE,RBM26,LSM4,ZMAT5,CSTF3,SRRM1,PRPF40A,RBM28,SON,USP39,U2AF1L4,SCAF11,SRPK1,TARDBP,SREK1IP1,SRSF11,WBP11,PRPF3,QKI,PDCD11,SMN1,RBM14-RBM4,THRAP3,RBFOX2,SUGP2,HNRNPA1,SRSF7,SPOP,NSRP1",biological_process,mRNA processing,102,45,240,18.5097688473,12.2714442223
GO:0006355,"ENSG00000111358,ENSG00000138303,ENSG00000116580,ENSG00000243678,ENSG00000198093,ENSG00000122482,ENSG00000009307,ENSG00000127989,ENSG00000111596,ENSG00000131051,ENSG00000134480,ENSG00000187735,ENSG00000011052,ENSG00000139624,ENSG00000080802,ENSG00000109111,ENSG00000125107,ENSG00000140382,ENSG00000205323,ENSG00000196081,ENSG00000148737,ENSG00000035928,ENSG00000135164,ENSG00000137947,ENSG00000168214,ENSG00000143995,ENSG00000171735,ENSG00000171469,ENSG00000120798,ENSG00000169862,ENSG00000008128,ENSG00000082258,ENSG00000119705,ENSG00000004487,ENSG00000114126,ENSG00000182944,ENSG00000082805,ENSG00000188342,ENSG00000054267,ENSG00000090061,ENSG00000172687,ENSG00000113387,ENSG00000144580,ENSG00000105856,ENSG00000170802,ENSG00000115966,ENSG00000256566,ENSG00000160783,ENSG00000025293,ENSG00000124177,ENSG00000173875,ENSG00000172262,ENSG00000123349,ENSG00000084093,ENSG00000119725,ENSG00000075292,ENSG00000187778,ENSG00000163660,ENSG00000181555,ENSG00000138668,ENSG00000213096,ENSG00000116030,ENSG00000132356,ENSG00000164649,ENSG00000106462,ENSG00000179222,ENSG00000101266,ENSG00000066427,ENSG00000152795,ENSG00000167085,ENSG00000066136,ENSG00000057935,ENSG00000177842,ENSG00000161526,ENSG00000005889,ENSG00000100916,ENSG00000106261,ENSG00000147140,ENSG00000133884,ENSG00000112983,ENSG00000120837,ENSG00000182141,ENSG00000155545,ENSG00000100105,ENSG00000162521,ENSG00000095794,ENSG00000244687,ENSG00000221978,ENSG00000112237,ENSG00000148516,ENSG00000179195,ENSG00000142856,ENSG00000114861,ENSG00000152455,ENSG00000185787,ENSG00000005801","GTF2H3,ASCC1,GON4L,NME1-NME2,ZNF649,ZNF644,CSDE1,MTERF,CNOT2,RBM39,CCNH,TCEA1,NME2,CERS5,CNOT4,SUPT6H,CNOT1,HMG20A,SARNP,ZNF724P,TCF7L2,RFC1,DMTF1,GTF2B,RBPJ,MEIS1,CAMTA1,ZNF561,NR2C1,CTNND2,CDK11A,CCNT2,SLIRP,KDM1A,TFDP2,EWSR1,ERC1,GTF2F2,ARID4B,CCNK,ZNF738,SUB1,RQCD1,HBP1,FOXN2,ATF2,RP4-734P14.4,PMF1,PHF20,CHD6,ZNF791,ZNF131,PFDN5,REST,ZNF410,ZNF638,MCRS1,CCNL1,SETD2,HNRNPD,ZNF254,SUMO1,PRKAA1,CDCA7L,EZH2,MAGED1,CSNK2A1,ATXN3,HNRNPDL,PHB,NFYC,MTA3,ZNF620,SAP30BP,ZFX,BRMS1L,ZKSCAN1,NONO,DPF2,BRD8,NFYB,ZNF708,MIER3,PATZ1,RBBP4,CREM,UBE2V1,CCNL2,CCNC,ZEB1,ZNF664,ITGB3BP,FOXP1,SUV39H2,MORF4L1,ZNF195",biological_process,"regulation of transcription, DNA-dependent",286,96,2106,17.6744220955,11.4360974705
GO:0045202,"ENSG00000131711,ENSG00000103275,ENSG00000116030,ENSG00000122545,ENSG00000075711,ENSG00000102081,ENSG00000172020,ENSG00000154380,ENSG00000087274,ENSG00000131238,ENSG00000138758,ENSG00000091129,ENSG00000150093,ENSG00000133104,ENSG00000182985,ENSG00000205726,ENSG00000168385,ENSG00000134769,ENSG00000135679","MAP1B,UBE2I,SUMO1,SEPT7,DLG1,FMR1,GAP43,ENAH,ADD1,PPT1,SEPT11,NRCAM,ITGB1,SPG20,CADM1,ITSN1,SEPT2,DTNA,MDM2",cellular_component,synapse,30,19,189,17.0217283165,10.7834036915
GO:0006915,"ENSG00000108953,ENSG00000197223,ENSG00000113734,ENSG00000148481,ENSG00000142856,ENSG00000079134,ENSG00000163636,ENSG00000114346,ENSG00000108848,ENSG00000155957,ENSG00000100814,ENSG00000087274,ENSG00000108294,ENSG00000164305,ENSG00000256646,ENSG00000008128,ENSG00000161526,ENSG00000141378,ENSG00000205726,ENSG00000159593,ENSG00000144366,ENSG00000119707,ENSG00000134684,ENSG00000149932,ENSG00000166913,ENSG00000106588,ENSG00000114209,ENSG00000104067,ENSG00000075790,ENSG00000221983,ENSG00000169398,ENSG00000149269,ENSG00000109332,ENSG00000089685,ENSG00000139644,ENSG00000129084,ENSG00000166181,ENSG00000111653,ENSG00000139132,ENSG00000149089,ENSG00000078747,ENSG00000182985,ENSG00000092140,ENSG00000092421,ENSG00000133318,ENSG00000149547,ENSG00000100804,ENSG00000189067,ENSG00000012048,ENSG00000156970,ENSG00000179222,ENSG00000087470,ENSG00000249915,ENSG00000086666,ENSG00000144161,ENSG00000062598,ENSG00000129562,ENSG00000156171,ENSG00000134982,ENSG00000168002,ENSG00000184047,ENSG00000165304,ENSG00000104375,ENSG00000197170,ENSG00000065613,ENSG00000116001,ENSG00000114416,ENSG00000147654,ENSG00000189403,ENSG00000162604","YWHAE,C1D,BNIP1,FAM188A,ITGB3BP,THOC1,PSMD6,ECT2,LUC7L3,TMBIM4,CCNB1IP1,ADD1,PSMB3,CASP3,PSMA2,CDK11A,SAP30BP,PTRH2,ITSN1,NAE1,GULP1,RBM25,YARS,TMEM219,YWHAB,PSMA2,PDCD10,TJP1,BCAP29,UBA52,PTK2,PAK1,UBE2D3,BIRC5,TMBIM6,PSMA1,API5,ING4,FGD4,APIP,ITCH,CADM1,G2E3,SEMA6A,RTN3,EI24,PSMB5,LITAF,BRCA1,BUB1B,MAGED1,DNM1L,PDCD6,ZFAND6,ZC3H8,ELMO2,DAD1,DRAM2,APC,POLR2G,DIABLO,MELK,STK3,PSMD12,SLK,TIA1,FXR1,EBAG9,HMGB1,TM2D1",biological_process,apoptotic process,193,70,771,16.897878493,10.659553868
GO:0003779,"ENSG00000158427,ENSG00000125868,ENSG00000169398,ENSG00000129116,ENSG00000087274,ENSG00000178125,ENSG00000211455,ENSG00000139132,ENSG00000143549,ENSG00000102024,ENSG00000151239,ENSG00000064042,ENSG00000104490,ENSG00000133026,ENSG00000138071,ENSG00000151422,ENSG00000154380,ENSG00000163466,ENSG00000150093,ENSG00000196586,ENSG00000198898,ENSG00000122786,ENSG00000140416,ENSG00000149591,ENSG00000149925,ENSG00000116489,ENSG00000138594,ENSG00000064666,ENSG00000127603","TMSB15B,DSTN,PTK2,PALLD,ADD1,PPP1R42,STK38L,FGD4,TPM3,PLS3,TWF1,LIMCH1,NCALD,MYH10,ACTR2,FER,ENAH,ARPC2,ITGB1,MYO6,CAPZA2,CALD1,TPM1,TAGLN,ALDOA,CAPZA1,TMOD3,CNN2,MACF1",molecular_function,actin binding,57,29,338,16.8422788016,10.6039541766
GO:0022904,"ENSG00000152234,ENSG00000167792,ENSG00000173660,ENSG00000174886,ENSG00000073578,ENSG00000164258,ENSG00000183648,ENSG00000128609,ENSG00000160194,ENSG00000241837,ENSG00000131174,ENSG00000167283,ENSG00000140374,ENSG00000165629,ENSG00000175567,ENSG00000139180,ENSG00000119013,ENSG00000115286,ENSG00000090266,ENSG00000158864,ENSG00000110717,ENSG00000127184,ENSG00000167774,ENSG00000136521,ENSG00000154723,ENSG00000267855,ENSG00000156467,ENSG00000170906,ENSG00000131143,ENSG00000135940,ENSG00000184752","ATP5A1,NDUFV1,UQCRH,NDUFA11,SDHA,NDUFS4,NDUFB1,NDUFA5,NDUFV3,ATP5O,COX7B,ATP5L,ETFA,ATP5C1,UCP2,NDUFA9,NDUFB3,NDUFS7,NDUFB2,NDUFS2,NDUFS8,COX7C,NDUFA7,NDUFB5,ATP5J,NDUFA7,UQCRB,NDUFA3,COX4I1,COX5B,NDUFA12",biological_process,respiratory electron transport chain,64,31,113,16.2759457253,10.0376211003
GO:0005509,"ENSG00000133112,ENSG00000148481,ENSG00000107745,ENSG00000143933,ENSG00000096093,ENSG00000100503,ENSG00000205726,ENSG00000180879,ENSG00000165304,ENSG00000153140,ENSG00000249915,ENSG00000128595,ENSG00000067715,ENSG00000102024,ENSG00000167720,ENSG00000187446,ENSG00000198668,ENSG00000196465,ENSG00000104490,ENSG00000111731,ENSG00000127990,ENSG00000075142,ENSG00000166598,ENSG00000092841,ENSG00000070081,ENSG00000182718,ENSG00000160307,ENSG00000127022,ENSG00000101608,ENSG00000140937,ENSG00000134769,ENSG00000127603","TPT1,FAM188A,MICU1,CALM2,EFHC1,NIN,ITSN1,SSR4,MELK,CETN3,PDCD6,CALU,SYT1,PLS3,SRR,CHP1,CALM1,MYL6B,NCALD,C2CD5,SGCE,SRI,HSP90B1,MYL6,NUCB2,ANXA2,S100B,CANX,MYL12A,CDH11,DTNA,MACF1",molecular_function,calcium ion binding,67,32,745,16.2743169667,10.0359923416
