,features_of_interest_in_go_term,features_of_interest_in_go_term_gene_symbols,go_domain,go_name,n_background_in_go_term,n_features_of_interest_in_go_term,n_features_total_in_go_term,negative_log_p_value,bonferonni_corrected_negative_log_p_value
GO:0006915,"ENSG00000108953,ENSG00000113734,ENSG00000148481,ENSG00000108443,ENSG00000079134,ENSG00000114209,ENSG00000114346,ENSG00000108848,ENSG00000155957,ENSG00000109107,ENSG00000119953,ENSG00000163636,ENSG00000108294,ENSG00000140299,ENSG00000008128,ENSG00000041357,ENSG00000141378,ENSG00000156171,ENSG00000165304,ENSG00000159593,ENSG00000144366,ENSG00000119707,ENSG00000134684,ENSG00000158019,ENSG00000151923,ENSG00000149932,ENSG00000153071,ENSG00000198836,ENSG00000166913,ENSG00000134982,ENSG00000158234,ENSG00000104067,ENSG00000099954,ENSG00000221983,ENSG00000169398,ENSG00000149269,ENSG00000109332,ENSG00000089685,ENSG00000139644,ENSG00000129084,ENSG00000111653,ENSG00000139132,ENSG00000120159,ENSG00000149089,ENSG00000078747,ENSG00000256646,ENSG00000092140,ENSG00000132792,ENSG00000001460,ENSG00000092421,ENSG00000133318,ENSG00000149547,ENSG00000100804,ENSG00000189067,ENSG00000012048,ENSG00000156970,ENSG00000135341,ENSG00000100814,ENSG00000087470,ENSG00000142856,ENSG00000249915,ENSG00000086666,ENSG00000144161,ENSG00000106588,ENSG00000114416,ENSG00000129562,ENSG00000128463,ENSG00000165490,ENSG00000104375,ENSG00000164305,ENSG00000168002,ENSG00000184047,ENSG00000179950,ENSG00000097033,ENSG00000197170,ENSG00000183765,ENSG00000116001,ENSG00000147654,ENSG00000162604,ENSG00000189403,ENSG00000179222,ENSG00000161526","YWHAE,BNIP1,FAM188A,RPS6KB1,THOC1,PDCD10,ECT2,LUC7L3,TMBIM4,ALDOC,SMNDC1,PSMD6,PSMB3,BNIP2,CDK11A,PSMA4,PTRH2,DRAM2,MELK,NAE1,GULP1,RBM25,YARS,BRE,TIAL1,TMEM219,DAB2,OPA1,YWHAB,APC,FAIM,TJP1,CECR2,UBA52,PTK2,PAK1,UBE2D3,BIRC5,TMBIM6,PSMA1,ING4,FGD4,CAAP1,APIP,ITCH,PSMA2,G2E3,CTNNBL1,STPG1,SEMA6A,RTN3,EI24,PSMB5,LITAF,BRCA1,BUB1B,MAP3K7,CCNB1IP1,DNM1L,ITGB3BP,PDCD6,ZFAND6,ZC3H8,PSMA2,FXR1,DAD1,EMC4,C11orf82,STK3,CASP3,POLR2G,DIABLO,PUF60,SH3GLB1,PSMD12,CHEK2,TIA1,EBAG9,TM2D1,HMGB1,MAGED1,SAP30BP",biological_process,apoptotic process,234,82,771,19.3119267994,13.4454587425
GO:0016070,"ENSG00000164924,ENSG00000198791,ENSG00000138303,ENSG00000163636,ENSG00000182899,ENSG00000083845,ENSG00000110700,ENSG00000138326,ENSG00000041357,ENSG00000120699,ENSG00000108294,ENSG00000130332,ENSG00000241343,ENSG00000162244,ENSG00000171311,ENSG00000111596,ENSG00000231500,ENSG00000140988,ENSG00000155508,ENSG00000115268,ENSG00000204392,ENSG00000125835,ENSG00000177954,ENSG00000166913,ENSG00000143977,ENSG00000106588,ENSG00000256646,ENSG00000120705,ENSG00000163682,ENSG00000221983,ENSG00000122026,ENSG00000265681,ENSG00000151065,ENSG00000130520,ENSG00000138668,ENSG00000134419,ENSG00000100320,ENSG00000118181,ENSG00000145592,ENSG00000080802,ENSG00000123737,ENSG00000125351,ENSG00000145425,ENSG00000100804,ENSG00000063046,ENSG00000125107,ENSG00000129084,ENSG00000221914,ENSG00000124614,ENSG00000137818,ENSG00000170889,ENSG00000089157,ENSG00000105372,ENSG00000144580,ENSG00000125743,ENSG00000100028,ENSG00000205571,ENSG00000109475,ENSG00000114867,ENSG00000152147,ENSG00000151247,ENSG00000182004,ENSG00000172062,ENSG00000161016,ENSG00000169371,ENSG00000122406,ENSG00000169062,ENSG00000197170,ENSG00000149273,ENSG00000167272","YWHAZ,CNOT7,ASCC1,PSMD6,RPL35A,RPS5,RPS13,RPS24,PSMA4,EXOSC8,PSMB3,LSM7,RPL36A,RPL29,EXOSC1,CNOT2,RPS18,RPS2,CNOT8,RPS15,LSM2,SNRPB,RPS27,YWHAB,SNRPG,PSMA2,PSMA2,ETF1,RPL9,UBA52,RPL21,RPL17,DCP1B,LSM4,HNRNPD,RPS15A,RBFOX2,RPS25,RPL37,CNOT4,EXOSC9,UPF3B,RPS3A,PSMB5,EIF4B,CNOT1,PSMA1,PPP2R2A,RPS10,RPLP1,RPS9,RPLP0,RPS19,RQCD1,SNRPD2,SNRPD3,SMN2,RPL34,EIF4G1,GEMIN6,EIF4E,SNRPE,SMN1,RPL8,SNUPN,RPL5,UPF3A,PSMD12,RPS3,POP5",biological_process,RNA metabolic process,190,70,324,19.2261718456,13.3597037887
GO:0022904,"ENSG00000152234,ENSG00000167792,ENSG00000173660,ENSG00000174886,ENSG00000164258,ENSG00000183648,ENSG00000128609,ENSG00000160194,ENSG00000241837,ENSG00000119421,ENSG00000131174,ENSG00000167283,ENSG00000140374,ENSG00000165629,ENSG00000175567,ENSG00000139180,ENSG00000119013,ENSG00000115286,ENSG00000090266,ENSG00000158864,ENSG00000110717,ENSG00000127184,ENSG00000167774,ENSG00000136521,ENSG00000154723,ENSG00000267855,ENSG00000156467,ENSG00000170906,ENSG00000131143,ENSG00000135940,ENSG00000109390,ENSG00000184752","ATP5A1,NDUFV1,UQCRH,NDUFA11,NDUFS4,NDUFB1,NDUFA5,NDUFV3,ATP5O,NDUFA8,COX7B,ATP5L,ETFA,ATP5C1,UCP2,NDUFA9,NDUFB3,NDUFS7,NDUFB2,NDUFS2,NDUFS8,COX7C,NDUFA7,NDUFB5,ATP5J,NDUFA7,UQCRB,NDUFA3,COX4I1,COX5B,NDUFC1,NDUFA12",biological_process,respiratory electron transport chain,66,32,113,17.6961290384,11.8296609814
GO:0006464,"ENSG00000131508,ENSG00000104517,ENSG00000078747,ENSG00000129559,ENSG00000250151,ENSG00000100564,ENSG00000109332,ENSG00000187778,ENSG00000221983,ENSG00000168300,ENSG00000131238,ENSG00000137955,ENSG00000092140,ENSG00000103275,ENSG00000092148,ENSG00000164414,ENSG00000144744,ENSG00000166532,ENSG00000167196,ENSG00000156795,ENSG00000128731,ENSG00000148634,ENSG00000205629,ENSG00000142230,ENSG00000119685,ENSG00000118705","UBE2D2,UBR5,ITCH,NEDD8,ARPC4-TTLL3,PIGH,UBE2D3,MCRS1,UBA52,PCMTD1,PPT1,RABGGTB,G2E3,UBE2I,HECTD1,SLC35A1,UBA3,RIMKLB,FBXO22,WDYHV1,HERC2,HERC4,LCMT1,SAE1,TTLL5,RPN2",biological_process,cellular protein modification process,50,26,166,16.8205235292,10.9540554723
GO:0016567,"ENSG00000100387,ENSG00000113558,ENSG00000131508,ENSG00000109046,ENSG00000078747,ENSG00000168894,ENSG00000100814,ENSG00000175063,ENSG00000136536,ENSG00000165501,ENSG00000013374,ENSG00000109332,ENSG00000036257,ENSG00000146414,ENSG00000169139,ENSG00000063978,ENSG00000071794,ENSG00000135679,ENSG00000103275,ENSG00000110429,ENSG00000092148,ENSG00000168411,ENSG00000012048,ENSG00000118420,ENSG00000213186,ENSG00000128731,ENSG00000135506,ENSG00000119048,ENSG00000156831,ENSG00000198961,ENSG00000166167,ENSG00000142230,ENSG00000143207,ENSG00000179046,ENSG00000115239,ENSG00000169189,ENSG00000114125,ENSG00000135108,ENSG00000141552,ENSG00000121067","RBX1,SKP1,UBE2D2,WSB1,ITCH,RNF181,CCNB1IP1,UBE2C,MARCH7,LRR1,NUB1,UBE2D3,CUL3,SHPRH,UBE2V2,RNF4,HLTF,MDM2,UBE2I,FBXO3,HECTD1,RFWD3,BRCA1,UBE3D,TRIM59,HERC2,OS9,UBE2B,NSMCE2,PJA2,BTRC,SAE1,RFWD2,TRIML2,GPR75-ASB3,NSMCE1,RNF7,FBXO21,ANAPC11,SPOP",biological_process,protein ubiquitination,94,40,308,16.5975750788,10.7311070219
GO:0000398,"ENSG00000115524,ENSG00000161547,ENSG00000174891,ENSG00000115875,ENSG00000108883,ENSG00000240344,ENSG00000108654,ENSG00000130332,ENSG00000126698,ENSG00000131876,ENSG00000164609,ENSG00000135829,ENSG00000143977,ENSG00000176102,ENSG00000141759,ENSG00000125835,ENSG00000182004,ENSG00000171960,ENSG00000113593,ENSG00000188342,ENSG00000100142,ENSG00000101811,ENSG00000138668,ENSG00000122566,ENSG00000133226,ENSG00000125351,ENSG00000125651,ENSG00000123136,ENSG00000060688,ENSG00000136527,ENSG00000124193,ENSG00000112081,ENSG00000109536,ENSG00000125743,ENSG00000100028,ENSG00000204392,ENSG00000152147,ENSG00000168002,ENSG00000124562,ENSG00000116754,ENSG00000112739,ENSG00000100138,ENSG00000149532,ENSG00000116350,ENSG00000092199,ENSG00000135486","SF3B1,SRSF2,RSRC1,SRSF7,EFTUD2,PPIL3,DDX5,LSM7,DNAJC8,SNRPA1,SLU7,DHX9,SNRPG,CSTF3,TXNL4A,SNRPB,SNRPE,PPIH,PPWD1,GTF2F2,POLR2F,CSTF2,HNRNPD,HNRNPA2B1,SRRM1,UPF3B,GTF2F1,DDX39A,SNRNP40,TRA2B,SRSF6,SRSF3,FRG1,SNRPD2,SNRPD3,LSM2,GEMIN6,POLR2G,SNRPC,SRSF11,PRPF4B,NHP2L1,CPSF7,SRSF4,HNRNPC,HNRNPA1",biological_process,"mRNA splicing, via spliceosome",115,46,196,16.3425570132,10.4760889563
GO:0016071,"ENSG00000164924,ENSG00000198791,ENSG00000163636,ENSG00000182899,ENSG00000083845,ENSG00000110700,ENSG00000138326,ENSG00000041357,ENSG00000120699,ENSG00000108294,ENSG00000130332,ENSG00000241343,ENSG00000162244,ENSG00000171311,ENSG00000111596,ENSG00000231500,ENSG00000140988,ENSG00000155508,ENSG00000115268,ENSG00000177954,ENSG00000166913,ENSG00000106588,ENSG00000256646,ENSG00000120705,ENSG00000163682,ENSG00000221983,ENSG00000122026,ENSG00000265681,ENSG00000151065,ENSG00000130520,ENSG00000138668,ENSG00000134419,ENSG00000118181,ENSG00000145592,ENSG00000080802,ENSG00000123737,ENSG00000125351,ENSG00000100804,ENSG00000063046,ENSG00000125107,ENSG00000129084,ENSG00000221914,ENSG00000124614,ENSG00000137818,ENSG00000170889,ENSG00000089157,ENSG00000105372,ENSG00000144580,ENSG00000145425,ENSG00000204392,ENSG00000109475,ENSG00000114867,ENSG00000151247,ENSG00000161016,ENSG00000122406,ENSG00000169062,ENSG00000197170,ENSG00000149273","YWHAZ,CNOT7,PSMD6,RPL35A,RPS5,RPS13,RPS24,PSMA4,EXOSC8,PSMB3,LSM7,RPL36A,RPL29,EXOSC1,CNOT2,RPS18,RPS2,CNOT8,RPS15,RPS27,YWHAB,PSMA2,PSMA2,ETF1,RPL9,UBA52,RPL21,RPL17,DCP1B,LSM4,HNRNPD,RPS15A,RPS25,RPL37,CNOT4,EXOSC9,UPF3B,PSMB5,EIF4B,CNOT1,PSMA1,PPP2R2A,RPS10,RPLP1,RPS9,RPLP0,RPS19,RQCD1,RPS3A,LSM2,RPL34,EIF4G1,EIF4E,RPL8,RPL5,UPF3A,PSMD12,RPS3",biological_process,mRNA metabolic process,158,58,282,16.2073908078,10.3409227509
GO:0015031,"ENSG00000089006,ENSG00000148985,ENSG00000085415,ENSG00000114346,ENSG00000157869,ENSG00000182473,ENSG00000073969,ENSG00000137502,ENSG00000116521,ENSG00000083937,ENSG00000127314,ENSG00000041802,ENSG00000166747,ENSG00000138674,ENSG00000099246,ENSG00000117262,ENSG00000168872,ENSG00000153071,ENSG00000111237,ENSG00000131238,ENSG00000102900,ENSG00000132780,ENSG00000155366,ENSG00000082805,ENSG00000143622,ENSG00000057608,ENSG00000134287,ENSG00000116918,ENSG00000106615,ENSG00000125450,ENSG00000157349,ENSG00000166128,ENSG00000092108,ENSG00000067560,ENSG00000166557,ENSG00000158411,ENSG00000075188,ENSG00000100478,ENSG00000070831,ENSG00000111711,ENSG00000136854,ENSG00000046653,ENSG00000108559,ENSG00000149196,ENSG00000105669,ENSG00000093000,ENSG00000006451,ENSG00000153207,ENSG00000116473,ENSG00000177879,ENSG00000092531,ENSG00000166598,ENSG00000100360,ENSG00000120805,ENSG00000198818,ENSG00000154305,ENSG00000093183,ENSG00000008952,ENSG00000126777,ENSG00000132341,ENSG00000122644,ENSG00000069329","SNX5,PGAP2,SEH1L,ECT2,RAB28,EXOC7,NSF,RAB30,SCAMP3,CHMP2B,RAP1B,LSG1,AP1G1,SEC31A,RAB18,GPR89A,DDX19A,DAB2,VPS29,PPT1,NUP93,NASP,RHOC,ERC1,RIT1,GDI2,ARF3,TSNAX,RHEB,NUP85,DDX19B,RAB8B,SCFD1,RHOA,TMED3,MITD1,NUP37,AP4S1,CDC42,GOLT1B,STXBP1,GPM6B,NUP88,C11orf73,COPE,NUP50,RALA,AHCTF1,RAP1A,AP3S1,SNAP23,HSP90B1,IFT27,ARL1,SFT2D1,MIA3,SEC22C,SEC62,KTN1,RAN,ARL4A,VPS35",biological_process,protein transport,174,62,517,15.8776790391,10.0112109821
GO:0007268,"ENSG00000123560,ENSG00000082458,ENSG00000111371,ENSG00000135821,ENSG00000143933,ENSG00000148660,ENSG00000008282,ENSG00000007168,ENSG00000143727,ENSG00000067715,ENSG00000186469,ENSG00000127914,ENSG00000135679,ENSG00000075711,ENSG00000142875,ENSG00000152578,ENSG00000066427,ENSG00000136854,ENSG00000198668,ENSG00000073969,ENSG00000118260,ENSG00000134769","PLP1,DLG3,SLC38A1,GLUL,CALM2,CAMK2G,SYPL1,PAFAH1B1,ACP1,SYT1,GNG2,AKAP9,MDM2,DLG1,PRKACB,GRIA4,ATXN3,STXBP1,CALM1,NSF,CREB1,DTNA",biological_process,synaptic transmission,42,22,409,14.8704031574,9.00393510052
GO:0006511,"ENSG00000113558,ENSG00000072609,ENSG00000177479,ENSG00000104517,ENSG00000078747,ENSG00000041357,ENSG00000036257,ENSG00000175063,ENSG00000129559,ENSG00000131508,ENSG00000109332,ENSG00000164162,ENSG00000184787,ENSG00000109189,ENSG00000256646,ENSG00000156256,ENSG00000159459,ENSG00000154582,ENSG00000129084,ENSG00000135655,ENSG00000013374,ENSG00000103275,ENSG00000136014,ENSG00000168883,ENSG00000170242,ENSG00000166167,ENSG00000118939,ENSG00000167196,ENSG00000066427,ENSG00000048028,ENSG00000119048,ENSG00000103194,ENSG00000140455,ENSG00000135108,ENSG00000089053,ENSG00000256206,ENSG00000106588","SKP1,CHFR,ARIH2,UBR5,ITCH,PSMA4,CUL3,UBE2C,NEDD8,UBE2D2,UBE2D3,ANAPC10,UBE2G2,USP46,PSMA2,USP16,UBR1,TCEB1,PSMA1,USP15,NUB1,UBE2I,USP44,USP39,USP47,BTRC,UCHL3,FBXO22,ATXN3,USP28,UBE2B,USP10,USP3,FBXO21,ANAPC5,PSMA1,PSMA2",biological_process,ubiquitin-dependent protein catabolic process,90,37,196,14.4817925193,8.61532446234
