,features_of_interest_in_go_term,features_of_interest_in_go_term_gene_symbols,go_domain,go_name,n_background_in_go_term,n_features_of_interest_in_go_term,n_features_total_in_go_term,negative_log_p_value,bonferonni_corrected_negative_log_p_value
GO:0005783,"ENSG00000188603,ENSG00000113734,ENSG00000132196,ENSG00000100934,ENSG00000072210,ENSG00000012660,ENSG00000105894,ENSG00000185808,ENSG00000127948,ENSG00000000419,ENSG00000136754,ENSG00000175354,ENSG00000040341,ENSG00000100564,ENSG00000041802,ENSG00000163479,ENSG00000267228,ENSG00000104412,ENSG00000155368,ENSG00000260342,ENSG00000160191,ENSG00000248710,ENSG00000121940,ENSG00000075711,ENSG00000144746,ENSG00000180879,ENSG00000170522,ENSG00000147155,ENSG00000143198,ENSG00000128595,ENSG00000079332,ENSG00000139644,ENSG00000096063,ENSG00000117906,ENSG00000070081,ENSG00000139624,ENSG00000198363,ENSG00000170348,ENSG00000158092,ENSG00000118705,ENSG00000145354,ENSG00000133318,ENSG00000120885,ENSG00000130208,ENSG00000006042,ENSG00000101294,ENSG00000166557,ENSG00000076554,ENSG00000142188,ENSG00000122643,ENSG00000111711,ENSG00000213186,ENSG00000162694,ENSG00000249915,ENSG00000052802,ENSG00000101974,ENSG00000135506,ENSG00000124783,ENSG00000101558,ENSG00000008394,ENSG00000166598,ENSG00000062716,ENSG00000188501,ENSG00000019582,ENSG00000132963,ENSG00000008952,ENSG00000093183,ENSG00000127022,ENSG00000138674,ENSG00000072849,ENSG00000184787,ENSG00000126777,ENSG00000079459,ENSG00000143753","CLN3,BNIP1,HSD17B7,SEC23A,ALDH3A2,ELOVL5,PTN,PIGP,POR,DPM1,ABI1,PTPN2,STAU2,PIGH,LSG1,SSR2,IER3IP1,EMC2,DBI,RP11-1035H13.3,PDE9A,RP11-432B6.3,CLCC1,DLG1,ARL6IP5,SSR4,ELOVL6,EBP,MGST3,CALU,SAR1A,TMBIM6,SRPK1,RCN2,NUCB2,CERS5,ASPH,TMED10,NCK1,RPN2,CISD2,RTN3,CLU,APOC1,TMEM98,HM13,TMED3,TPD52,TMEM50B,NT5C3A,GOLT1B,TRIM59,EXTL2,PDCD6,MSMO1,ATP11C,OS9,SSR1,VAPA,MGST1,HSP90B1,VMP1,LCTL,CD74,POMP,SEC62,SEC22C,CANX,SEC31A,DERL2,UBE2G2,KTN1,FDFT1,DEGS1",cellular_component,endoplasmic reticulum,201,74,723,20.146773233,13.6853050566
GO:0005789,"ENSG00000082996,ENSG00000120697,ENSG00000138279,ENSG00000148985,ENSG00000072210,ENSG00000050130,ENSG00000074696,ENSG00000125991,ENSG00000240849,ENSG00000127948,ENSG00000000419,ENSG00000090054,ENSG00000204977,ENSG00000138674,ENSG00000101294,ENSG00000075142,ENSG00000100564,ENSG00000170522,ENSG00000100528,ENSG00000100934,ENSG00000084073,ENSG00000249915,ENSG00000145354,ENSG00000118363,ENSG00000157020,ENSG00000075711,ENSG00000154305,ENSG00000147155,ENSG00000143198,ENSG00000172339,ENSG00000170348,ENSG00000012660,ENSG00000139644,ENSG00000101974,ENSG00000267228,ENSG00000139624,ENSG00000121073,ENSG00000144746,ENSG00000103415,ENSG00000092108,ENSG00000118705,ENSG00000133027,ENSG00000133318,ENSG00000149547,ENSG00000132196,ENSG00000159063,ENSG00000176986,ENSG00000166557,ENSG00000163479,ENSG00000134910,ENSG00000177674,ENSG00000185808,ENSG00000151914,ENSG00000052802,ENSG00000124783,ENSG00000101558,ENSG00000129562,ENSG00000008394,ENSG00000099797,ENSG00000198961,ENSG00000166598,ENSG00000151665,ENSG00000188501,ENSG00000008952,ENSG00000113811,ENSG00000093183,ENSG00000127022,ENSG00000198363,ENSG00000140612,ENSG00000126777,ENSG00000079459,ENSG00000143753","RNF13,ALG5,ANXA7,PGAP2,ALDH3A2,JKAMP,PTPLAD1,ERGIC3,TMEM189,POR,DPM1,SPTLC1,TRIM13,SEC31A,HM13,SRI,PIGH,ELOVL6,CNIH1,SEC23A,ZMPSTE24,PDCD6,CISD2,SPCS2,SEC13,DLG1,MIA3,EBP,MGST3,ALG14,TMED10,ELOVL5,TMBIM6,ATP11C,IER3IP1,CERS5,SLC35B1,ARL6IP5,HMOX2,SCFD1,RPN2,PEMT,RTN3,EI24,HSD17B7,ALG8,SEC24C,TMED3,SSR2,STT3A,AGTRAP,PIGP,DST,MSMO1,SSR1,VAPA,DAD1,MGST1,TECR,PJA2,HSP90B1,PIGF,LCTL,SEC62,SELK,SEC22C,CANX,ASPH,SEC11A,KTN1,FDFT1,DEGS1",cellular_component,endoplasmic reticulum membrane,194,72,728,20.078739682,13.6172715057
GO:0006355,"ENSG00000198157,ENSG00000111358,ENSG00000138303,ENSG00000116580,ENSG00000243678,ENSG00000198093,ENSG00000122482,ENSG00000009307,ENSG00000111596,ENSG00000083168,ENSG00000169131,ENSG00000048540,ENSG00000204514,ENSG00000267699,ENSG00000134480,ENSG00000187735,ENSG00000029639,ENSG00000011052,ENSG00000127616,ENSG00000143190,ENSG00000139624,ENSG00000080802,ENSG00000134884,ENSG00000140382,ENSG00000205323,ENSG00000148737,ENSG00000158161,ENSG00000162961,ENSG00000035928,ENSG00000135164,ENSG00000114126,ENSG00000168214,ENSG00000196247,ENSG00000163875,ENSG00000171735,ENSG00000171469,ENSG00000008128,ENSG00000082258,ENSG00000119705,ENSG00000155508,ENSG00000004487,ENSG00000118260,ENSG00000182944,ENSG00000082805,ENSG00000188342,ENSG00000054267,ENSG00000198346,ENSG00000221978,ENSG00000090061,ENSG00000172687,ENSG00000131051,ENSG00000113387,ENSG00000116539,ENSG00000144580,ENSG00000179222,ENSG00000170802,ENSG00000147140,ENSG00000196458,ENSG00000138778,ENSG00000256566,ENSG00000160783,ENSG00000025293,ENSG00000105750,ENSG00000124177,ENSG00000005889,ENSG00000196284,ENSG00000237765,ENSG00000173875,ENSG00000221923,ENSG00000163320,ENSG00000123349,ENSG00000084093,ENSG00000204604,ENSG00000119725,ENSG00000163697,ENSG00000075292,ENSG00000187778,ENSG00000163660,ENSG00000181555,ENSG00000138668,ENSG00000153391,ENSG00000116030,ENSG00000071794,ENSG00000164649,ENSG00000130165,ENSG00000106462,ENSG00000144354,ENSG00000108788,ENSG00000101266,ENSG00000066427,ENSG00000163939,ENSG00000152795,ENSG00000198561,ENSG00000167085,ENSG00000057935,ENSG00000161526,ENSG00000196437,ENSG00000183765,ENSG00000133884,ENSG00000112983,ENSG00000120837,ENSG00000182141,ENSG00000162521,ENSG00000244687,ENSG00000263002,ENSG00000112237,ENSG00000115966,ENSG00000125107,ENSG00000142856,ENSG00000157110,ENSG00000153207,ENSG00000152455,ENSG00000179950,ENSG00000185787,ENSG00000005801,ENSG00000113658,ENSG00000173230,ENSG00000001167,ENSG00000141646,ENSG00000123636","HMGN5,GTF2H3,ASCC1,GON4L,NME1-NME2,ZNF649,ZNF644,CSDE1,CNOT2,KAT6A,ZNF354A,LMO3,ZNF814,RP11-729L2.2,CCNH,TCEA1,TFB1M,NME2,SMARCA4,POU2F1,CERS5,CNOT4,ARGLU1,HMG20A,SARNP,TCF7L2,EYA3,DPY30,RFC1,DMTF1,TFDP2,RBPJ,ZNF107,MEAF6,CAMTA1,ZNF561,CDK11A,CCNT2,SLIRP,CNOT8,KDM1A,CREB1,EWSR1,ERC1,GTF2F2,ARID4B,ZNF813,CCNL2,CCNK,ZNF738,RBM39,SUB1,ASH1L,RQCD1,MAGED1,FOXN2,NONO,ZNF605,CENPE,RP4-734P14.4,PMF1,PHF20,ZNF85,CHD6,ZFX,SUPT3H,FAM200B,ZNF791,ZNF880,CGGBP1,PFDN5,REST,ZNF468,ZNF410,APBB2,ZNF638,MCRS1,CCNL1,SETD2,HNRNPD,INO80C,SUMO1,HLTF,CDCA7L,ELOF1,EZH2,CDCA7,MLX,CSNK2A1,ATXN3,PBRM1,HNRNPDL,CTNND1,PHB,MTA3,SAP30BP,ZNF569,CHEK2,DPF2,BRD8,NFYB,ZNF708,RBBP4,UBE2V1,ZNF234,CCNC,ATF2,CNOT1,ITGB3BP,RBPMS,AHCTF1,SUV39H2,PUF60,MORF4L1,ZNF195,SMAD5,GOLGB1,NFYA,SMAD4,BAZ2B",biological_process,"regulation of transcription, DNA-dependent",378,120,2106,20.0084647377,13.5469965613
GO:0006915,"ENSG00000108953,ENSG00000113734,ENSG00000148481,ENSG00000108443,ENSG00000079134,ENSG00000114209,ENSG00000114346,ENSG00000108848,ENSG00000155957,ENSG00000109107,ENSG00000119953,ENSG00000163636,ENSG00000108294,ENSG00000140299,ENSG00000008128,ENSG00000041357,ENSG00000141378,ENSG00000156171,ENSG00000165304,ENSG00000159593,ENSG00000144366,ENSG00000119707,ENSG00000134684,ENSG00000158019,ENSG00000151923,ENSG00000149932,ENSG00000153071,ENSG00000198836,ENSG00000166913,ENSG00000134982,ENSG00000158234,ENSG00000104067,ENSG00000099954,ENSG00000221983,ENSG00000169398,ENSG00000149269,ENSG00000109332,ENSG00000089685,ENSG00000139644,ENSG00000129084,ENSG00000111653,ENSG00000139132,ENSG00000120159,ENSG00000149089,ENSG00000078747,ENSG00000256646,ENSG00000092140,ENSG00000132792,ENSG00000001460,ENSG00000092421,ENSG00000133318,ENSG00000149547,ENSG00000100804,ENSG00000189067,ENSG00000012048,ENSG00000156970,ENSG00000135341,ENSG00000100814,ENSG00000087470,ENSG00000142856,ENSG00000249915,ENSG00000086666,ENSG00000144161,ENSG00000106588,ENSG00000114416,ENSG00000129562,ENSG00000128463,ENSG00000165490,ENSG00000104375,ENSG00000164305,ENSG00000168002,ENSG00000184047,ENSG00000179950,ENSG00000097033,ENSG00000197170,ENSG00000183765,ENSG00000116001,ENSG00000147654,ENSG00000162604,ENSG00000189403,ENSG00000179222,ENSG00000161526","YWHAE,BNIP1,FAM188A,RPS6KB1,THOC1,PDCD10,ECT2,LUC7L3,TMBIM4,ALDOC,SMNDC1,PSMD6,PSMB3,BNIP2,CDK11A,PSMA4,PTRH2,DRAM2,MELK,NAE1,GULP1,RBM25,YARS,BRE,TIAL1,TMEM219,DAB2,OPA1,YWHAB,APC,FAIM,TJP1,CECR2,UBA52,PTK2,PAK1,UBE2D3,BIRC5,TMBIM6,PSMA1,ING4,FGD4,CAAP1,APIP,ITCH,PSMA2,G2E3,CTNNBL1,STPG1,SEMA6A,RTN3,EI24,PSMB5,LITAF,BRCA1,BUB1B,MAP3K7,CCNB1IP1,DNM1L,ITGB3BP,PDCD6,ZFAND6,ZC3H8,PSMA2,FXR1,DAD1,EMC4,C11orf82,STK3,CASP3,POLR2G,DIABLO,PUF60,SH3GLB1,PSMD12,CHEK2,TIA1,EBAG9,TM2D1,HMGB1,MAGED1,SAP30BP",biological_process,apoptotic process,234,82,771,19.3119267994,12.850458623
GO:0016070,"ENSG00000164924,ENSG00000198791,ENSG00000138303,ENSG00000163636,ENSG00000182899,ENSG00000083845,ENSG00000110700,ENSG00000138326,ENSG00000041357,ENSG00000120699,ENSG00000108294,ENSG00000130332,ENSG00000241343,ENSG00000162244,ENSG00000171311,ENSG00000111596,ENSG00000231500,ENSG00000140988,ENSG00000155508,ENSG00000115268,ENSG00000204392,ENSG00000125835,ENSG00000177954,ENSG00000166913,ENSG00000143977,ENSG00000106588,ENSG00000256646,ENSG00000120705,ENSG00000163682,ENSG00000221983,ENSG00000122026,ENSG00000265681,ENSG00000151065,ENSG00000130520,ENSG00000138668,ENSG00000134419,ENSG00000100320,ENSG00000118181,ENSG00000145592,ENSG00000080802,ENSG00000123737,ENSG00000125351,ENSG00000145425,ENSG00000100804,ENSG00000063046,ENSG00000125107,ENSG00000129084,ENSG00000221914,ENSG00000124614,ENSG00000137818,ENSG00000170889,ENSG00000089157,ENSG00000105372,ENSG00000144580,ENSG00000125743,ENSG00000100028,ENSG00000205571,ENSG00000109475,ENSG00000114867,ENSG00000152147,ENSG00000151247,ENSG00000182004,ENSG00000172062,ENSG00000161016,ENSG00000169371,ENSG00000122406,ENSG00000169062,ENSG00000197170,ENSG00000149273,ENSG00000167272","YWHAZ,CNOT7,ASCC1,PSMD6,RPL35A,RPS5,RPS13,RPS24,PSMA4,EXOSC8,PSMB3,LSM7,RPL36A,RPL29,EXOSC1,CNOT2,RPS18,RPS2,CNOT8,RPS15,LSM2,SNRPB,RPS27,YWHAB,SNRPG,PSMA2,PSMA2,ETF1,RPL9,UBA52,RPL21,RPL17,DCP1B,LSM4,HNRNPD,RPS15A,RBFOX2,RPS25,RPL37,CNOT4,EXOSC9,UPF3B,RPS3A,PSMB5,EIF4B,CNOT1,PSMA1,PPP2R2A,RPS10,RPLP1,RPS9,RPLP0,RPS19,RQCD1,SNRPD2,SNRPD3,SMN2,RPL34,EIF4G1,GEMIN6,EIF4E,SNRPE,SMN1,RPL8,SNUPN,RPL5,UPF3A,PSMD12,RPS3,POP5",biological_process,RNA metabolic process,190,70,324,19.2261718456,12.7647036693
GO:0004842,"ENSG00000121848,ENSG00000100387,ENSG00000113558,ENSG00000072609,ENSG00000177479,ENSG00000104517,ENSG00000078747,ENSG00000175063,ENSG00000204977,ENSG00000108395,ENSG00000166167,ENSG00000131508,ENSG00000109332,ENSG00000049167,ENSG00000164162,ENSG00000248710,ENSG00000184787,ENSG00000036257,ENSG00000159459,ENSG00000063978,ENSG00000170035,ENSG00000135679,ENSG00000092140,ENSG00000103275,ENSG00000110429,ENSG00000104343,ENSG00000127481,ENSG00000092148,ENSG00000168411,ENSG00000012048,ENSG00000213186,ENSG00000080802,ENSG00000167196,ENSG00000128731,ENSG00000082996,ENSG00000148634,ENSG00000119048,ENSG00000156831,ENSG00000198961,ENSG00000172687,ENSG00000169189,ENSG00000135108,ENSG00000089053,ENSG00000141552","RNF115,RBX1,SKP1,CHFR,ARIH2,UBR5,ITCH,UBE2C,TRIM13,TRIM37,BTRC,UBE2D2,UBE2D3,ERCC8,ANAPC10,RP11-432B6.3,UBE2G2,CUL3,UBR1,RNF4,UBE2E3,MDM2,G2E3,UBE2I,FBXO3,UBE2W,UBR4,HECTD1,RFWD3,BRCA1,TRIM59,CNOT4,FBXO22,HERC2,RNF13,HERC4,UBE2B,NSMCE2,PJA2,ZNF738,NSMCE1,FBXO21,ANAPC5,ANAPC11",molecular_function,ubiquitin-protein ligase activity,102,44,281,18.4984153088,12.0369471325
GO:0022904,"ENSG00000152234,ENSG00000167792,ENSG00000173660,ENSG00000174886,ENSG00000164258,ENSG00000183648,ENSG00000128609,ENSG00000160194,ENSG00000241837,ENSG00000119421,ENSG00000131174,ENSG00000167283,ENSG00000140374,ENSG00000165629,ENSG00000175567,ENSG00000139180,ENSG00000119013,ENSG00000115286,ENSG00000090266,ENSG00000158864,ENSG00000110717,ENSG00000127184,ENSG00000167774,ENSG00000136521,ENSG00000154723,ENSG00000267855,ENSG00000156467,ENSG00000170906,ENSG00000131143,ENSG00000135940,ENSG00000109390,ENSG00000184752","ATP5A1,NDUFV1,UQCRH,NDUFA11,NDUFS4,NDUFB1,NDUFA5,NDUFV3,ATP5O,NDUFA8,COX7B,ATP5L,ETFA,ATP5C1,UCP2,NDUFA9,NDUFB3,NDUFS7,NDUFB2,NDUFS2,NDUFS8,COX7C,NDUFA7,NDUFB5,ATP5J,NDUFA7,UQCRB,NDUFA3,COX4I1,COX5B,NDUFC1,NDUFA12",biological_process,respiratory electron transport chain,66,32,113,17.6961290384,11.234660862
GO:0005747,"ENSG00000128609,ENSG00000160194,ENSG00000167792,ENSG00000170906,ENSG00000139180,ENSG00000119421,ENSG00000267855,ENSG00000167774,ENSG00000136521,ENSG00000164258,ENSG00000110717,ENSG00000090266,ENSG00000174886,ENSG00000158864,ENSG00000137806,ENSG00000119013,ENSG00000183648,ENSG00000115286,ENSG00000109390,ENSG00000184752","NDUFA5,NDUFV3,NDUFV1,NDUFA3,NDUFA9,NDUFA8,NDUFA7,NDUFA7,NDUFB5,NDUFS4,NDUFS8,NDUFB2,NDUFA11,NDUFS2,NDUFAF1,NDUFB3,NDUFB1,NDUFS7,NDUFC1,NDUFA12",cellular_component,mitochondrial respiratory chain complex I,33,20,56,17.2848037636,10.8233355872
GO:0006464,"ENSG00000131508,ENSG00000104517,ENSG00000078747,ENSG00000129559,ENSG00000250151,ENSG00000100564,ENSG00000109332,ENSG00000187778,ENSG00000221983,ENSG00000168300,ENSG00000131238,ENSG00000137955,ENSG00000092140,ENSG00000103275,ENSG00000092148,ENSG00000164414,ENSG00000144744,ENSG00000166532,ENSG00000167196,ENSG00000156795,ENSG00000128731,ENSG00000148634,ENSG00000205629,ENSG00000142230,ENSG00000119685,ENSG00000118705","UBE2D2,UBR5,ITCH,NEDD8,ARPC4-TTLL3,PIGH,UBE2D3,MCRS1,UBA52,PCMTD1,PPT1,RABGGTB,G2E3,UBE2I,HECTD1,SLC35A1,UBA3,RIMKLB,FBXO22,WDYHV1,HERC2,HERC4,LCMT1,SAE1,TTLL5,RPN2",biological_process,cellular protein modification process,50,26,166,16.8205235292,10.3590553529
GO:0016567,"ENSG00000100387,ENSG00000113558,ENSG00000131508,ENSG00000109046,ENSG00000078747,ENSG00000168894,ENSG00000100814,ENSG00000175063,ENSG00000136536,ENSG00000165501,ENSG00000013374,ENSG00000109332,ENSG00000036257,ENSG00000146414,ENSG00000169139,ENSG00000063978,ENSG00000071794,ENSG00000135679,ENSG00000103275,ENSG00000110429,ENSG00000092148,ENSG00000168411,ENSG00000012048,ENSG00000118420,ENSG00000213186,ENSG00000128731,ENSG00000135506,ENSG00000119048,ENSG00000156831,ENSG00000198961,ENSG00000166167,ENSG00000142230,ENSG00000143207,ENSG00000179046,ENSG00000115239,ENSG00000169189,ENSG00000114125,ENSG00000135108,ENSG00000141552,ENSG00000121067","RBX1,SKP1,UBE2D2,WSB1,ITCH,RNF181,CCNB1IP1,UBE2C,MARCH7,LRR1,NUB1,UBE2D3,CUL3,SHPRH,UBE2V2,RNF4,HLTF,MDM2,UBE2I,FBXO3,HECTD1,RFWD3,BRCA1,UBE3D,TRIM59,HERC2,OS9,UBE2B,NSMCE2,PJA2,BTRC,SAE1,RFWD2,TRIML2,GPR75-ASB3,NSMCE1,RNF7,FBXO21,ANAPC11,SPOP",biological_process,protein ubiquitination,94,40,308,16.5975750788,10.1361069024
