,features_of_interest_in_go_term,features_of_interest_in_go_term_gene_symbols,go_domain,go_name,n_background_in_go_term,n_features_of_interest_in_go_term,n_features_total_in_go_term,negative_log_p_value,bonferonni_corrected_negative_log_p_value
GO:0006281,"ENSG00000100387,ENSG00000111358,ENSG00000123562,ENSG00000092201,ENSG00000213923,ENSG00000085224,ENSG00000116560,ENSG00000163882,ENSG00000170315,ENSG00000005075,ENSG00000067369,ENSG00000079246,ENSG00000148153,ENSG00000107949,ENSG00000108055,ENSG00000187778,ENSG00000136319,ENSG00000020426,ENSG00000134058,ENSG00000104517,ENSG00000253729,ENSG00000221983,ENSG00000196419,ENSG00000100142,ENSG00000105258,ENSG00000165916,ENSG00000117748,ENSG00000143748,ENSG00000100764,ENSG00000099817,ENSG00000116030,ENSG00000077152,ENSG00000185088,ENSG00000076242,ENSG00000138138,ENSG00000147669,ENSG00000111875,ENSG00000129484,ENSG00000073050,ENSG00000100823,ENSG00000169689,ENSG00000100519,ENSG00000129197,ENSG00000122008,ENSG00000070501,ENSG00000100865,ENSG00000139579,ENSG00000183207,ENSG00000143947,ENSG00000181163,ENSG00000119048,ENSG00000143799,ENSG00000167770,ENSG00000168002,ENSG00000103194,ENSG00000140455,ENSG00000248643,ENSG00000087191,ENSG00000169189,ENSG00000175792,ENSG00000077721,ENSG00000163918,ENSG00000187735","RBX1,GTF2H3,MORF4L2,SUPT16H,CSNK1E,ATRX,SFPQ,POLR2H,UBB,POLR2J,TP53BP1,XRCC5,INIP,BCCIP,SMC3,MCRS1,TTC5,MNAT1,CDK7,UBR5,PRKDC,UBA52,XRCC6,POLR2F,POLR2I,PSMC3,RPA2,NVL,PSMC1,POLR2E,SUMO1,UBE2T,RPS27L,MLH1,ATAD1,POLR2K,ASF1A,PARP2,XRCC1,APEX1,STRA13,PSMC6,RPAIN,POLK,POLB,CINP,NABP2,RUVBL2,RPS27A,NPM1,UBE2B,PARP1,OTUB1,POLR2G,USP10,USP3,RBM14-RBM4,PSMC5,NSMCE1,RUVBL1,UBE2A,RFC4,TCEA1",biological_process,DNA repair,75,63,341,18.1443758936,12.6637369703
GO:0007165,"ENSG00000198791,ENSG00000160310,ENSG00000106244,ENSG00000145362,ENSG00000166200,ENSG00000143933,ENSG00000100528,ENSG00000108055,ENSG00000205339,ENSG00000109991,ENSG00000089289,ENSG00000143198,ENSG00000168734,ENSG00000100644,ENSG00000164924,ENSG00000139970,ENSG00000131507,ENSG00000240720,ENSG00000142875,ENSG00000070831,ENSG00000186908,ENSG00000136810,ENSG00000112339,ENSG00000137942,ENSG00000134769,ENSG00000160145,ENSG00000103769,ENSG00000213923,ENSG00000185774,ENSG00000109339,ENSG00000143549,ENSG00000105649,ENSG00000166426,ENSG00000113712,ENSG00000198431,ENSG00000168118,ENSG00000057608,ENSG00000127914,ENSG00000166128,ENSG00000089820,ENSG00000170365,ENSG00000169567,ENSG00000069956,ENSG00000101558,ENSG00000075142,ENSG00000164111,ENSG00000117632,ENSG00000123240,ENSG00000132341,ENSG00000138069,ENSG00000160049,ENSG00000141030,ENSG00000087460,ENSG00000136738,ENSG00000134684,ENSG00000158019,ENSG00000134121,ENSG00000144136,ENSG00000156475,ENSG00000106341,ENSG00000013561,ENSG00000083750,ENSG00000198160,ENSG00000101266,ENSG00000112186,ENSG00000077809,ENSG00000181163,ENSG00000099250,ENSG00000175582,ENSG00000136238,ENSG00000110880,ENSG00000110958,ENSG00000110492,ENSG00000101109,ENSG00000039319,ENSG00000167085,ENSG00000112983,ENSG00000204435,ENSG00000124795,ENSG00000099246,ENSG00000078304,ENSG00000185236,ENSG00000000003,ENSG00000166974,ENSG00000184588,ENSG00000174021,ENSG00000067560,ENSG00000133026,ENSG00000151422,ENSG00000080824,ENSG00000166167,ENSG00000115963,ENSG00000159593,ENSG00000128656,ENSG00000075945,ENSG00000151150,ENSG00000167004","CNOT7,PRMT2,PDAP1,ANK2,COPS2,CALM2,CNIH1,SMC3,IPO7,P2RX3,IGBP1,MGST3,PKIG,HIF1A,YWHAZ,RTN1,NDFIP1,LRRD1,PRKACB,CDC42,ZDHHC17,TXN,HBS1L,FNBP1L,DTNA,KALRN,RAB11A,CSNK1E,KCNIP4,MAPK10,TPM3,RAB3A,CRABP1,CSNK1A1,TXNRD1,RAB4A,GDI2,AKAP9,RAB8B,ARHGAP4,SMAD1,HINT1,MAPK6,VAPA,SRI,ANXA5,STMN1,OPTN,RAN,RAB1A,DFFA,COPS3,GNAS,STAM,YARS,BRE,CHL1,SLC20A1,PPP2R2B,PPP1R17,RNF14,RRAGB,MIER1,CSNK2A1,CAP2,GTF2I,NPM1,NRP1,RAB6A,RAC1,CORO1C,PTGES3,MDK,STK4,ZFYVE16,PHB,BRD8,CSNK2B,DEK,RAB18,PPP2R5C,RAB11B,TSPAN6,MAPRE2,PDE4B,GNG5,RHOA,MYH10,FER,HSP90AA1,BTRC,RND3,NAE1,CHN1,KIFAP3,ANK3,PDIA3",biological_process,signal transduction,126,97,1487,17.0122726152,11.5316336918
GO:0008380,"ENSG00000115524,ENSG00000163156,ENSG00000170144,ENSG00000096401,ENSG00000173933,ENSG00000108848,ENSG00000174891,ENSG00000115875,ENSG00000116560,ENSG00000197111,ENSG00000087365,ENSG00000125835,ENSG00000109606,ENSG00000153187,ENSG00000134748,ENSG00000131876,ENSG00000108561,ENSG00000163882,ENSG00000135829,ENSG00000143977,ENSG00000131795,ENSG00000139343,ENSG00000167088,ENSG00000119707,ENSG00000125870,ENSG00000138398,ENSG00000131051,ENSG00000075292,ENSG00000023734,ENSG00000183431,ENSG00000060339,ENSG00000188342,ENSG00000100142,ENSG00000105258,ENSG00000099817,ENSG00000096063,ENSG00000196504,ENSG00000003756,ENSG00000116754,ENSG00000112081,ENSG00000112531,ENSG00000122566,ENSG00000054118,ENSG00000005075,ENSG00000182196,ENSG00000132485,ENSG00000159140,ENSG00000109971,ENSG00000115128,ENSG00000147669,ENSG00000147274,ENSG00000175324,ENSG00000198563,ENSG00000145833,ENSG00000126698,ENSG00000125944,ENSG00000060688,ENSG00000153006,ENSG00000128739,ENSG00000125676,ENSG00000084463,ENSG00000099783,ENSG00000169045,ENSG00000065978,ENSG00000138433,ENSG00000100028,ENSG00000204392,ENSG00000185246,ENSG00000124380,ENSG00000168002,ENSG00000182004,ENSG00000248643,ENSG00000139168,ENSG00000160201,ENSG00000213782,ENSG00000125351,ENSG00000153914,ENSG00000100320,ENSG00000135316,ENSG00000116752,ENSG00000135486,ENSG00000100650,ENSG00000092199,ENSG00000126653","SF3B1,SCNM1,HNRNPA3,CDC5L,RBM4,LUC7L3,RSRC1,SRSF7,SFPQ,PCBP2,SF3B2,SNRPB,DHX15,HNRNPU,PRPF38A,SNRPA1,C1QBP,POLR2H,DHX9,SNRPG,RBM8A,SNRPF,SNRPD1,RBM25,SNRPB2,PPIG,RBM39,ZNF638,STRAP,SF3A3,CCAR1,GTF2F2,POLR2F,POLR2I,POLR2E,SRPK1,PRPF40A,RBM5,SRSF11,SRSF3,QKI,HNRNPA2B1,THRAP3,POLR2J,ARL6IP4,ZRANB2,SON,HSPA8,SF3B14,POLR2K,RBMX,LSM1,DDX39B,DDX46,DNAJC8,HNRNPR,SNRNP40,SREK1IP1,SNRPN,THOC2,WBP11,HNRNPM,HNRNPH1,YBX1,CIR1,SNRPD3,LSM2,PRPF39,SNRNP27,POLR2G,SNRPE,RBM14-RBM4,ZCRB1,U2AF1,DDX47,UPF3B,SREK1,RBFOX2,SYNCRIP,BCAS2,HNRNPA1,SRSF5,HNRNPC,NSRP1",biological_process,RNA splicing,107,84,268,16.672746447,11.1921075237
GO:0006351,"ENSG00000198791,ENSG00000141076,ENSG00000138303,ENSG00000196419,ENSG00000269897,ENSG00000243678,ENSG00000122482,ENSG00000140395,ENSG00000118579,ENSG00000175792,ENSG00000185651,ENSG00000059728,ENSG00000241258,ENSG00000087302,ENSG00000176476,ENSG00000131051,ENSG00000005483,ENSG00000187735,ENSG00000189266,ENSG00000099956,ENSG00000005810,ENSG00000060339,ENSG00000133142,ENSG00000105258,ENSG00000099817,ENSG00000011052,ENSG00000076108,ENSG00000196418,ENSG00000100644,ENSG00000080802,ENSG00000082153,ENSG00000100393,ENSG00000163939,ENSG00000006576,ENSG00000136810,ENSG00000205323,ENSG00000163882,ENSG00000181315,ENSG00000152382,ENSG00000138095,ENSG00000135164,ENSG00000114126,ENSG00000187514,ENSG00000171634,ENSG00000163875,ENSG00000170315,ENSG00000096401,ENSG00000117139,ENSG00000182916,ENSG00000013561,ENSG00000166228,ENSG00000111642,ENSG00000005075,ENSG00000104960,ENSG00000082258,ENSG00000119705,ENSG00000118263,ENSG00000213523,ENSG00000135365,ENSG00000221983,ENSG00000156531,ENSG00000100142,ENSG00000155115,ENSG00000111875,ENSG00000171720,ENSG00000054267,ENSG00000170365,ENSG00000147669,ENSG00000143799,ENSG00000164985,ENSG00000078403,ENSG00000183207,ENSG00000143947,ENSG00000187607,ENSG00000107951,ENSG00000102103,ENSG00000029363,ENSG00000118482,ENSG00000025293,ENSG00000102241,ENSG00000138293,ENSG00000184905,ENSG00000108654,ENSG00000123562,ENSG00000170515,ENSG00000075292,ENSG00000150459,ENSG00000187778,ENSG00000071243,ENSG00000022840,ENSG00000113387,ENSG00000173473,ENSG00000137776,ENSG00000130816,ENSG00000100941,ENSG00000122565,ENSG00000079785,ENSG00000109971,ENSG00000141027,ENSG00000198160,ENSG00000108788,ENSG00000185721,ENSG00000101266,ENSG00000066427,ENSG00000177200,ENSG00000255104,ENSG00000168002,ENSG00000152795,ENSG00000152944,ENSG00000100201,ENSG00000161526,ENSG00000094631,ENSG00000197323,ENSG00000169714,ENSG00000136045,ENSG00000204065,ENSG00000112200,ENSG00000116560,ENSG00000121741,ENSG00000133884,ENSG00000258289,ENSG00000108561,ENSG00000215301,ENSG00000079246,ENSG00000120837,ENSG00000171988,ENSG00000143621,ENSG00000171453,ENSG00000162521,ENSG00000088986,ENSG00000141002,ENSG00000198146,ENSG00000100823,ENSG00000148516,ENSG00000137574,ENSG00000062194,ENSG00000074800,ENSG00000102038,ENSG00000196591,ENSG00000183576,ENSG00000123636,ENSG00000204256,ENSG00000185787,ENSG00000243943,ENSG00000005801,ENSG00000129351,ENSG00000162961,ENSG00000186487,ENSG00000131773,ENSG00000172687,ENSG00000139613,ENSG00000014824,ENSG00000249319,ENSG00000196531","CNOT7,CIRH1A,ASCC1,XRCC6,COMMD3-BMI1,NME1-NME2,ZNF644,WDR61,MED28,RUVBL1,UBE2L3,MXD1,CRCP,C14orf166,CCDC101,RBM39,KMT2E,TCEA1,PNRC2,SMARCB1,MYCBP2,CCAR1,TCEAL4,POLR2I,POLR2E,NME2,BAZ2A,ZNF124,HIF1A,CNOT4,BZW1,EP300,PBRM1,PHTF2,TXN,SARNP,POLR2H,ZNF322,TADA1,LRPPRC,DMTF1,TFDP2,PTMA,BPTF,MEAF6,UBB,CDC5L,KDM5B,TCEAL7,RNF14,PCBD1,CHD4,POLR2J,PTOV1,CCNT2,SLIRP,KLF7,SRA1,PHF21A,UBA52,PHF6,POLR2F,GTF3C6,ASF1A,HDAC3,ARID4B,SMAD1,POLR2K,PARP1,PSIP1,MLLT10,RUVBL2,RPS27A,ZNF286A,MTPAP,PQBP1,BCLAF1,PHF3,PHF20,HTATSF1,NCOA4,TCEAL2,DDX5,MORF4L2,PA2G4,ZNF638,SAP18,MCRS1,ING3,RNF10,SUB1,SMARCC1,SLTM,DNMT1,PNN,CBX3,DDX1,HSPA8,NCOR1,MIER1,MLX,DRG1,CSNK2A1,ATXN3,CHD9,ZNF286A,POLR2G,HNRNPDL,MED21,DDX17,SAP30BP,HDAC6,TRIM33,CNBP,PWP1,TCEAL5,ZNF451,SFPQ,ZMYM2,DPF2,CHURC1,C1QBP,DDX3X,XRCC5,NFYB,JMJD1C,ILF2,POLR1C,RBBP4,DYNLL1,TCF25,ZNF770,APEX1,ZEB1,TGS1,GPBP1,ENO1,SMARCA1,HDAC2,SETD3,BAZ2B,BRD2,MORF4L1,ZNF512,ZNF195,ILF3,DPY30,MYT1L,KHDRBS3,ZNF738,SMARCC2,SLC30A9,AC068533.7,NACA",biological_process,"transcription, DNA-dependent",216,154,2018,16.064255497,10.5836165737
GO:0022904,"ENSG00000152234,ENSG00000172115,ENSG00000167792,ENSG00000173660,ENSG00000164919,ENSG00000065518,ENSG00000166136,ENSG00000186010,ENSG00000164405,ENSG00000117118,ENSG00000241468,ENSG00000164258,ENSG00000183648,ENSG00000128609,ENSG00000189043,ENSG00000178741,ENSG00000160194,ENSG00000130414,ENSG00000127540,ENSG00000119421,ENSG00000131174,ENSG00000140374,ENSG00000165629,ENSG00000125356,ENSG00000116459,ENSG00000168653,ENSG00000139180,ENSG00000110717,ENSG00000090266,ENSG00000158864,ENSG00000105379,ENSG00000165264,ENSG00000178127,ENSG00000127184,ENSG00000004779,ENSG00000126267,ENSG00000167863,ENSG00000010256,ENSG00000267059,ENSG00000169020,ENSG00000140990,ENSG00000159199,ENSG00000136521,ENSG00000154723,ENSG00000151366,ENSG00000241837,ENSG00000170906,ENSG00000110955,ENSG00000109390,ENSG00000184752","ATP5A1,CYCS,NDUFV1,UQCRH,COX6C,NDUFB4,NDUFB8,NDUFA13,UQCRQ,SDHB,ATP5J2,NDUFS4,NDUFB1,NDUFA5,NDUFA4,COX5A,NDUFV3,NDUFA10,UQCR11,NDUFA8,COX7B,ETFA,ATP5C1,NDUFA1,ATP5F1,NDUFS5,NDUFA9,NDUFS8,NDUFB2,NDUFS2,ETFB,NDUFB6,NDUFV2,COX7C,NDUFAB1,COX6B1,ATP5H,UQCRC1,UQCR11,ATP5I,NDUFB10,ATP5G1,NDUFB5,ATP5J,NDUFC2,ATP5O,NDUFA3,ATP5B,NDUFC1,NDUFA12",biological_process,respiratory electron transport chain,59,50,113,15.5722250125,10.0915860891
GO:0045892,"ENSG00000160310,ENSG00000094631,ENSG00000197323,ENSG00000117139,ENSG00000166200,ENSG00000186010,ENSG00000048649,ENSG00000105993,ENSG00000123349,ENSG00000167085,ENSG00000074800,ENSG00000079246,ENSG00000108468,ENSG00000196591,ENSG00000129515,ENSG00000196419,ENSG00000087191,ENSG00000134308,ENSG00000032219,ENSG00000181090,ENSG00000100603,ENSG00000073584,ENSG00000074319,ENSG00000130816,ENSG00000171720,ENSG00000101158,ENSG00000116030,ENSG00000163848,ENSG00000094916,ENSG00000109971,ENSG00000111653,ENSG00000141027,ENSG00000170242,ENSG00000166167,ENSG00000108788,ENSG00000179222,ENSG00000114861,ENSG00000170515,ENSG00000164885,ENSG00000065978,ENSG00000106829,ENSG00000138433,ENSG00000144744,ENSG00000182916,ENSG00000148516,ENSG00000029363,ENSG00000082701,ENSG00000129351,ENSG00000168214,ENSG00000100320,ENSG00000122565,ENSG00000139613","PRMT2,HDAC6,TRIM33,KDM5B,COPS2,NDUFA13,RSF1,DNAJB6,PFDN5,PHB,ENO1,XRCC5,CBX1,HDAC2,SNX6,XRCC6,PSMC5,YWHAQ,ARID4A,EHMT1,SNW1,SMARCE1,TSG101,DNMT1,HDAC3,NELFCD,SUMO1,ZNF148,CBX5,HSPA8,ING4,NCOR1,USP47,BTRC,MLX,MAGED1,FOXP1,PA2G4,CDK5,YBX1,TLE4,CIR1,UBA3,TCEAL7,ZEB1,BCLAF1,GSK3B,ILF3,RBPJ,RBFOX2,CBX3,SMARCC2",biological_process,"negative regulation of transcription, DNA-dependent",62,52,496,15.3448336063,9.86419468292
GO:0015031,"ENSG00000138069,ENSG00000029725,ENSG00000103769,ENSG00000138674,ENSG00000160948,ENSG00000089818,ENSG00000166128,ENSG00000168118,ENSG00000009844,ENSG00000086065,ENSG00000185651,ENSG00000116521,ENSG00000149182,ENSG00000099246,ENSG00000213465,ENSG00000111237,ENSG00000102900,ENSG00000132780,ENSG00000082805,ENSG00000085832,ENSG00000185236,ENSG00000131238,ENSG00000057608,ENSG00000168172,ENSG00000163904,ENSG00000143761,ENSG00000074319,ENSG00000053501,ENSG00000177879,ENSG00000164902,ENSG00000157349,ENSG00000065665,ENSG00000092108,ENSG00000105649,ENSG00000067560,ENSG00000138175,ENSG00000108587,ENSG00000198301,ENSG00000105669,ENSG00000070831,ENSG00000115963,ENSG00000149196,ENSG00000042753,ENSG00000168397,ENSG00000034713,ENSG00000145817,ENSG00000249884,ENSG00000166598,ENSG00000180398,ENSG00000138190,ENSG00000170296,ENSG00000175582,ENSG00000163618,ENSG00000075826,ENSG00000136238,ENSG00000116918,ENSG00000008952,ENSG00000115561,ENSG00000132341,ENSG00000196531,ENSG00000168374,ENSG00000069329","RAB1A,RABEP1,RAB11A,SEC31A,VPS28,NECAP1,RAB8B,RAB4A,VTA1,CHMP5,UBE2L3,SCAMP3,ARFGAP2,RAB18,ARL2,VPS29,NUP93,NASP,ERC1,EPS15,RAB11B,PPT1,GDI2,HOOK3,SENP2,ARF1,TSG101,USE1,AP3S1,PHAX,DDX19B,SEC61A2,SCFD1,RAB3A,RHOA,ARL3,GOSR1,SDAD1,COPE,CDC42,RND3,C11orf73,AP2S1,ATG4B,GABARAPL2,YIPF5,RNF103-CHMP3,HSP90B1,MCFD2,EXOC6,GABARAP,RAB6A,CADPS,SEC31B,RAC1,TSNAX,SEC62,CHMP3,RAN,NACA,ARF4,VPS35",biological_process,protein transport,77,62,517,14.6594836127,9.17884468936
GO:0045944,"ENSG00000136108,ENSG00000170315,ENSG00000121022,ENSG00000014824,ENSG00000198791,ENSG00000196419,ENSG00000099956,ENSG00000213523,ENSG00000102401,ENSG00000140307,ENSG00000140395,ENSG00000118418,ENSG00000089289,ENSG00000082258,ENSG00000215301,ENSG00000067369,ENSG00000196591,ENSG00000087302,ENSG00000133169,ENSG00000114126,ENSG00000020426,ENSG00000146247,ENSG00000160199,ENSG00000022840,ENSG00000221983,ENSG00000100603,ENSG00000169714,ENSG00000147274,ENSG00000099204,ENSG00000163904,ENSG00000100644,ENSG00000054118,ENSG00000163848,ENSG00000170365,ENSG00000253729,ENSG00000100393,ENSG00000085231,ENSG00000134138,ENSG00000148516,ENSG00000115966,ENSG00000164985,ENSG00000133997,ENSG00000114861,ENSG00000196586,ENSG00000078403,ENSG00000108518,ENSG00000143575,ENSG00000143947,ENSG00000108654,ENSG00000183576,ENSG00000135541,ENSG00000173473,ENSG00000134058,ENSG00000248643,ENSG00000082701,ENSG00000136319,ENSG00000168214,ENSG00000152944,ENSG00000100201,ENSG00000187735,ENSG00000123562,ENSG00000189403","CKAP2,UBB,COPS5,SLC30A9,CNOT7,XRCC6,SMARCB1,SRA1,ARMCX3,GTF2A2,WDR61,HMGN3,IGBP1,CCNT2,DDX3X,TP53BP1,HDAC2,C14orf166,BEX1,TFDP2,MNAT1,PHIP,PKNOX1,RNF10,UBA52,SNW1,CNBP,RBMX,ABLIM1,SENP2,HIF1A,THRAP3,ZNF148,SMAD1,PRKDC,EP300,TAF9,MEIS2,ZEB1,ATF2,PSIP1,MED6,FOXP1,MYO6,MLLT10,PFN1,HAX1,RPS27A,DDX5,SETD3,AHI1,SMARCC1,CDK7,RBM14-RBM4,GSK3B,TTC5,RBPJ,MED21,DDX17,TCEA1,MORF4L2,HMGB1",biological_process,positive regulation of transcription from RNA polymerase II promoter,77,62,771,14.6594836127,9.17884468936
GO:0055114,"ENSG00000151632,ENSG00000167792,ENSG00000197894,ENSG00000122378,ENSG00000117139,ENSG00000100938,ENSG00000014641,ENSG00000111640,ENSG00000138413,ENSG00000117118,ENSG00000167996,ENSG00000165672,ENSG00000113161,ENSG00000167468,ENSG00000067829,ENSG00000136810,ENSG00000149485,ENSG00000173660,ENSG00000198431,ENSG00000001630,ENSG00000106605,ENSG00000136247,ENSG00000155463,ENSG00000092621,ENSG00000103415,ENSG00000187134,ENSG00000139180,ENSG00000104549,ENSG00000091140,ENSG00000110717,ENSG00000100823,ENSG00000158864,ENSG00000106853,ENSG00000087263,ENSG00000111716,ENSG00000131828,ENSG00000129422,ENSG00000178127,ENSG00000167815,ENSG00000117450,ENSG00000101365,ENSG00000126267,ENSG00000139697,ENSG00000010256,ENSG00000126432,ENSG00000134333,ENSG00000087086,ENSG00000205758,ENSG00000117054,ENSG00000146701,ENSG00000008311,ENSG00000065911,ENSG00000142657","AKR1C2,NDUFV1,ADH5,FAM213A,KDM5B,GMPR2,MDH1,GAPDH,IDH1,SDHB,FTH1,PRDX3,HMGCR,GPX4,IDH3G,TXN,FADS1,UQCRH,TXNRD1,CYP51A1,BLVRA,ZDHHC4,OXA1L,PHGDH,HMOX2,AKR1C1,NDUFA9,SQLE,DLD,NDUFS8,APEX1,NDUFS2,PTGR1,OGFOD1,LDHB,PDHA1,MTUS1,NDUFV2,PRDX2,PRDX1,IDH3B,COX6B1,SBNO1,UQCRC1,PRDX5,LDHA,FTL,CRYZL1,ACADM,MDH2,AASS,MTHFD2,PGD",biological_process,oxidation-reduction process,65,53,525,13.685768485,8.20512956164
GO:0006366,"ENSG00000103363,ENSG00000111358,ENSG00000121022,ENSG00000092201,ENSG00000166200,ENSG00000100815,ENSG00000125835,ENSG00000154582,ENSG00000167085,ENSG00000085231,ENSG00000137947,ENSG00000082258,ENSG00000124795,ENSG00000143977,ENSG00000131795,ENSG00000139343,ENSG00000196233,ENSG00000182004,ENSG00000020426,ENSG00000112592,ENSG00000032219,ENSG00000160199,ENSG00000188342,ENSG00000100142,ENSG00000105258,ENSG00000099817,ENSG00000101158,ENSG00000163848,ENSG00000145741,ENSG00000115875,ENSG00000028839,ENSG00000125351,ENSG00000147669,ENSG00000141027,ENSG00000143799,ENSG00000116754,ENSG00000165417,ENSG00000112081,ENSG00000077809,ENSG00000065978,ENSG00000115966,ENSG00000163882,ENSG00000134138,ENSG00000100028,ENSG00000168002,ENSG00000113649,ENSG00000134058,ENSG00000140307,ENSG00000160201,ENSG00000087191,ENSG00000147274,ENSG00000187735,ENSG00000136146,ENSG00000100650,ENSG00000005075","TCEB2,GTF2H3,COPS5,SUPT16H,COPS2,TRIP11,SNRPB,TCEB1,PHB,TAF9,GTF2B,CCNT2,DEK,SNRPG,RBM8A,SNRPF,LCOR,SNRPE,MNAT1,TBP,ARID4A,PKNOX1,GTF2F2,POLR2F,POLR2I,POLR2E,NELFCD,ZNF148,BTF3,SRSF7,TBPL1,UPF3B,POLR2K,NCOR1,PARP1,SRSF11,GTF2A1,SRSF3,GTF2I,YBX1,ATF2,POLR2H,MEIS2,SNRPD3,POLR2G,TCERG1,CDK7,GTF2A2,U2AF1,PSMC5,RBMX,TCEA1,MED4,SRSF5,POLR2J",biological_process,transcription from RNA polymerase II promoter,68,55,353,13.5778712989,8.09723237554
