,features_of_interest_in_go_term,features_of_interest_in_go_term_gene_symbols,go_domain,go_name,n_background_in_go_term,n_features_of_interest_in_go_term,n_features_total_in_go_term,negative_log_p_value,bonferonni_corrected_negative_log_p_value
GO:0034641,"ENSG00000198130,ENSG00000100911,ENSG00000163636,ENSG00000075239,ENSG00000070669,ENSG00000110801,ENSG00000041357,ENSG00000108671,ENSG00000108294,ENSG00000125818,ENSG00000104904,ENSG00000100567,ENSG00000149089,ENSG00000161057,ENSG00000091140,ENSG00000087191,ENSG00000106588,ENSG00000256646,ENSG00000092010,ENSG00000099341,ENSG00000180304,ENSG00000165916,ENSG00000100764,ENSG00000120053,ENSG00000092621,ENSG00000135069,ENSG00000159352,ENSG00000131467,ENSG00000185627,ENSG00000100902,ENSG00000173692,ENSG00000100804,ENSG00000155096,ENSG00000065154,ENSG00000166228,ENSG00000129084,ENSG00000100519,ENSG00000166165,ENSG00000008018,ENSG00000101182,ENSG00000008311,ENSG00000175166,ENSG00000143106,ENSG00000136930,ENSG00000142507,ENSG00000126067,ENSG00000081181,ENSG00000159377,ENSG00000115233,ENSG00000101843","HIBCH,PSME2,PSMD6,ACAT1,ASNS,PSMD9,PSMA4,PSMD11,PSMB3,PSMF1,OAZ1,PSMA3,APIP,PSMC2,DLD,PSMC5,PSMA2,PSMA2,PSME1,PSMD8,OAZ2,PSMC3,PSMC1,GOT1,PHGDH,PSAT1,PSMD4,PSME3,PSMD13,PSMA6,PSMD1,PSMB5,AZIN1,OAT,PCBD1,PSMA1,PSMC6,CKB,PSMB1,PSMA7,AASS,PSMD2,PSMA5,PSMB7,PSMB6,PSMB2,ARG2,PSMB4,PSMD14,PSMD10",biological_process,cellular nitrogen compound metabolic process,56,50,214,19.6662633942,13.5415800033
GO:0016020,"ENSG00000166562,ENSG00000058799,ENSG00000196419,ENSG00000117758,ENSG00000132639,ENSG00000121989,ENSG00000118579,ENSG00000175792,ENSG00000100528,ENSG00000255245,ENSG00000109991,ENSG00000087460,ENSG00000113732,ENSG00000115306,ENSG00000143198,ENSG00000011052,ENSG00000132581,ENSG00000148123,ENSG00000090863,ENSG00000070831,ENSG00000196950,ENSG00000100554,ENSG00000074695,ENSG00000082701,ENSG00000145782,ENSG00000115540,ENSG00000169432,ENSG00000056586,ENSG00000143771,ENSG00000125037,ENSG00000127603,ENSG00000111371,ENSG00000089818,ENSG00000185774,ENSG00000100815,ENSG00000096092,ENSG00000109339,ENSG00000239672,ENSG00000134265,ENSG00000177885,ENSG00000101310,ENSG00000077549,ENSG00000168118,ENSG00000057608,ENSG00000172500,ENSG00000186469,ENSG00000121073,ENSG00000149294,ENSG00000166128,ENSG00000175203,ENSG00000132824,ENSG00000172270,ENSG00000111897,ENSG00000183207,ENSG00000105290,ENSG00000144746,ENSG00000145817,ENSG00000181704,ENSG00000197694,ENSG00000117632,ENSG00000115355,ENSG00000132341,ENSG00000011677,ENSG00000138069,ENSG00000117395,ENSG00000137210,ENSG00000162434,ENSG00000164182,ENSG00000006715,ENSG00000213585,ENSG00000100568,ENSG00000113161,ENSG00000103769,ENSG00000257950,ENSG00000149485,ENSG00000258466,ENSG00000144136,ENSG00000156475,ENSG00000168172,ENSG00000065665,ENSG00000112514,ENSG00000159720,ENSG00000165283,ENSG00000221955,ENSG00000110717,ENSG00000164885,ENSG00000198898,ENSG00000113851,ENSG00000099250,ENSG00000153113,ENSG00000175582,ENSG00000149809,ENSG00000136238,ENSG00000140612,ENSG00000137726,ENSG00000115504,ENSG00000069329,ENSG00000119185,ENSG00000132872,ENSG00000167085,ENSG00000108561,ENSG00000136758,ENSG00000183605,ENSG00000099246,ENSG00000145147,ENSG00000141424,ENSG00000185236,ENSG00000067715,ENSG00000149269,ENSG00000088986,ENSG00000105649,ENSG00000067560,ENSG00000080822,ENSG00000086061,ENSG00000075142,ENSG00000115966,ENSG00000115963,ENSG00000109572,ENSG00000152578,ENSG00000173486,ENSG00000135968,ENSG00000097033,ENSG00000151150,ENSG00000070961,ENSG00000116906,ENSG00000111843,ENSG00000204310,ENSG00000143183,ENSG00000184752","SEC11C,YIPF1,XRCC6,STX12,SNAP25,ACVR2A,MED28,RUVBL1,CNIH1,FXYD6-FXYD2,P2RX3,GNAS,ATP6V0E1,SPTBN1,MGST3,NME2,SDF2,LPPR1,GLG1,CDC42,SLC39A10,ATP6V1D,LMAN1,GSK3B,ATG12,MOB4,SCN9A,RC3H2,CNIH4,EMC3,MACF1,SLC38A1,NECAP1,KCNIP4,TRIP11,TMEM14A,MAPK10,NME1,NAPG,GRB2,SEC23B,CAPZB,RAB4A,GDI2,FIBP,GNG2,SLC35B1,NCAM1,RAB8B,DCTN2,SERINC3,BSG,SERINC1,RUVBL2,APLP1,ARL6IP5,YIPF5,YIPF6,SPTAN1,STMN1,CCDC88A,RAN,GABRA3,RAB1A,EBNA1BP2,TMEM14B,JAK1,NDUFAF2,VPS41,VDAC1,VTI1B,HMGCR,RAB11A,P2RX5-TAX1BP3,FADS1,RP11-1012A1.4,SLC20A1,PPP2R2B,HOOK3,SEC61A2,CUTA,ATP6V0D1,STOML2,SLC12A8,NDUFS8,CDK5,CAPZA2,CRBN,NRP1,CAST,RAB6A,TM7SF2,RAC1,SEC11A,FXYD6,EHBP1,VPS35,ITGB1BP1,SYT4,PHB,C1QBP,YME1L1,SFXN4,RAB18,SLIT2,SLC39A6,RAB11B,SYT1,PAK1,DYNLL1,RAB3A,RHOA,CLDND1,DNAJA1,SRI,ATF2,RND3,CLCN3,GRIA4,FKBP2,GCC2,SH3GLB1,ANK3,ATP2B1,GNPAT,TMEM14C,AGPAT1,TMCO1,NDUFA12",cellular_component,membrane,171,129,2489,19.4906355459,13.365952155
GO:0003677,"ENSG00000196419,ENSG00000196418,ENSG00000243678,ENSG00000122482,ENSG00000163882,ENSG00000075151,ENSG00000009307,ENSG00000145734,ENSG00000187735,ENSG00000032219,ENSG00000059728,ENSG00000105258,ENSG00000074319,ENSG00000011052,ENSG00000076108,ENSG00000116918,ENSG00000122008,ENSG00000100644,ENSG00000105419,ENSG00000003756,ENSG00000147601,ENSG00000115947,ENSG00000100393,ENSG00000129484,ENSG00000163939,ENSG00000006576,ENSG00000205323,ENSG00000029993,ENSG00000181315,ENSG00000164032,ENSG00000253729,ENSG00000113648,ENSG00000135164,ENSG00000114127,ENSG00000137947,ENSG00000168214,ENSG00000056586,ENSG00000143995,ENSG00000105185,ENSG00000096401,ENSG00000117139,ENSG00000085224,ENSG00000197111,ENSG00000111642,ENSG00000005075,ENSG00000054267,ENSG00000165209,ENSG00000010244,ENSG00000114126,ENSG00000118263,ENSG00000213523,ENSG00000135365,ENSG00000188342,ENSG00000073584,ENSG00000100142,ENSG00000155115,ENSG00000117748,ENSG00000171720,ENSG00000070081,ENSG00000099817,ENSG00000258315,ENSG00000159140,ENSG00000147669,ENSG00000085231,ENSG00000123636,ENSG00000143799,ENSG00000156976,ENSG00000198900,ENSG00000133997,ENSG00000078403,ENSG00000006704,ENSG00000113387,ENSG00000064933,ENSG00000123136,ENSG00000187607,ENSG00000077809,ENSG00000172687,ENSG00000102103,ENSG00000205581,ENSG00000029363,ENSG00000077097,ENSG00000136319,ENSG00000135108,ENSG00000163918,ENSG00000025293,ENSG00000107625,ENSG00000145687,ENSG00000086758,ENSG00000170515,ENSG00000135829,ENSG00000169689,ENSG00000070501,ENSG00000173473,ENSG00000130816,ENSG00000100941,ENSG00000173575,ENSG00000163104,ENSG00000079785,ENSG00000141141,ENSG00000127483,ENSG00000141027,ENSG00000198160,ENSG00000108788,ENSG00000161939,ENSG00000105993,ENSG00000177200,ENSG00000134138,ENSG00000255104,ENSG00000152795,ENSG00000198563,ENSG00000135336,ENSG00000163848,ENSG00000143033,ENSG00000056097,ENSG00000162929,ENSG00000092203,ENSG00000197323,ENSG00000169714,ENSG00000108848,ENSG00000112200,ENSG00000116560,ENSG00000175334,ENSG00000153187,ENSG00000215301,ENSG00000079246,ENSG00000124795,ENSG00000120837,ENSG00000196233,ENSG00000213782,ENSG00000110321,ENSG00000112592,ENSG00000145907,ENSG00000160199,ENSG00000143621,ENSG00000171453,ENSG00000028839,ENSG00000163041,ENSG00000141002,ENSG00000172239,ENSG00000198146,ENSG00000100823,ENSG00000148516,ENSG00000115966,ENSG00000165417,ENSG00000114861,ENSG00000062194,ENSG00000074800,ENSG00000086666,ENSG00000102038,ENSG00000065978,ENSG00000139697,ENSG00000198830,ENSG00000153147,ENSG00000243943,ENSG00000005801,ENSG00000129351,ENSG00000186487,ENSG00000066651,ENSG00000196531,ENSG00000189403,ENSG00000004534,ENSG00000139613","XRCC6,ZNF124,NME1-NME2,ZNF644,POLR2H,EIF4G3,CSDE1,BDP1,TCEA1,ARID4A,MXD1,POLR2I,TSG101,NME2,BAZ2A,TSNAX,POLK,HIF1A,MEIS3,RBM5,TERF1,ORC4,EP300,PARP2,PBRM1,PHTF2,SARNP,HMGB3,ZNF322,H2AFZ,PRKDC,H2AFY,DMTF1,XRN1,GTF2B,RBPJ,RC3H2,MEIS1,PDCD5,CDC5L,KDM5B,ATRX,PCBP2,CHD4,POLR2J,ARID4B,STRBP,ZNF207,TFDP2,KLF7,SRA1,PHF21A,GTF2F2,SMARCE1,POLR2F,GTF3C6,RPA2,HDAC3,NUCB2,POLR2E,C17orf49,SON,POLR2K,TAF9,BAZ2B,PARP1,EIF4A2,TOP1,MED6,MLLT10,GTF2IRD1,SUB1,PMS1,DDX39A,ZNF286A,GTF2I,ZNF738,PQBP1,HMGN1,BCLAF1,TOP2B,TTC5,FBXO21,RFC4,PHF20,DDX50,SSBP2,HUWE1,PA2G4,DHX9,STRA13,POLB,SMARCC1,DNMT1,PNN,CHD2,SMARCAD1,DDX1,DDX52,HP1BP3,NCOR1,MIER1,MLX,RNASEK-C17orf49,DNAJB6,CHD9,MEIS2,ZNF286A,HNRNPDL,DDX39B,ORC3,ZNF148,MTF2,ZFR,KIAA1841,TOX4,TRIM33,CNBP,LUC7L3,ZNF451,SFPQ,BANF1,HNRNPU,DDX3X,XRCC5,DEK,NFYB,LCOR,DDX47,EIF4G2,TBP,G3BP1,PKNOX1,ILF2,POLR1C,TBPL1,H3F3A,TCF25,PAIP1,ZNF770,APEX1,ZEB1,ATF2,GTF2A1,FOXP1,GPBP1,ENO1,ZFAND6,SMARCA1,YBX1,SBNO1,HMGN2,SMARCA5,ZNF512,ZNF195,ILF3,MYT1L,TRMT11,NACA,HMGB1,RBM6,SMARCC2",molecular_function,DNA binding,223,162,2282,18.9919817699,12.867298379
GO:0030529,"ENSG00000174444,ENSG00000170144,ENSG00000213923,ENSG00000083845,ENSG00000111640,ENSG00000197111,ENSG00000115053,ENSG00000108654,ENSG00000153187,ENSG00000131876,ENSG00000138385,ENSG00000135829,ENSG00000198034,ENSG00000164934,ENSG00000164346,ENSG00000213523,ENSG00000143621,ENSG00000147274,ENSG00000075624,ENSG00000122566,ENSG00000070756,ENSG00000079785,ENSG00000124214,ENSG00000137154,ENSG00000109971,ENSG00000135316,ENSG00000175324,ENSG00000131469,ENSG00000125944,ENSG00000124562,ENSG00000111615,ENSG00000128739,ENSG00000116251,ENSG00000142937,ENSG00000170515,ENSG00000170889,ENSG00000089157,ENSG00000183207,ENSG00000065978,ENSG00000145425,ENSG00000181163,ENSG00000100028,ENSG00000248643,ENSG00000082701,ENSG00000129351,ENSG00000122406,ENSG00000171863,ENSG00000149273,ENSG00000142541,ENSG00000136628,ENSG00000135486,ENSG00000092199,ENSG00000126653","RPL4,HNRNPA3,CSNK1E,RPS5,GAPDH,PCBP2,NCL,DDX5,HNRNPU,SNRPA1,SSB,DHX9,RPS4X,DCAF13,NSA2,SRA1,ILF2,RBMX,ACTB,HNRNPA2B1,PABPC1,DDX1,STAU1,RPS6,HSPA8,SYNCRIP,LSM1,RPL27,HNRNPR,SNRPC,KRR1,SNRPN,RPL22,RPS8,PA2G4,RPS9,RPLP0,RUVBL2,YBX1,RPS3A,NPM1,SNRPD3,RBM14-RBM4,GSK3B,ILF3,RPL5,RPS7,RPS3,RPL13A,EPRS,HNRNPA1,HNRNPC,NSRP1",cellular_component,ribonucleoprotein complex,61,53,160,18.2851514547,12.1604680638
GO:0006281,"ENSG00000100387,ENSG00000111358,ENSG00000123562,ENSG00000092201,ENSG00000213923,ENSG00000085224,ENSG00000116560,ENSG00000163882,ENSG00000170315,ENSG00000005075,ENSG00000067369,ENSG00000079246,ENSG00000148153,ENSG00000107949,ENSG00000108055,ENSG00000187778,ENSG00000136319,ENSG00000020426,ENSG00000134058,ENSG00000104517,ENSG00000253729,ENSG00000221983,ENSG00000196419,ENSG00000100142,ENSG00000105258,ENSG00000165916,ENSG00000117748,ENSG00000143748,ENSG00000100764,ENSG00000099817,ENSG00000116030,ENSG00000077152,ENSG00000185088,ENSG00000076242,ENSG00000138138,ENSG00000147669,ENSG00000111875,ENSG00000129484,ENSG00000073050,ENSG00000100823,ENSG00000169689,ENSG00000100519,ENSG00000129197,ENSG00000122008,ENSG00000070501,ENSG00000100865,ENSG00000139579,ENSG00000183207,ENSG00000143947,ENSG00000181163,ENSG00000119048,ENSG00000143799,ENSG00000167770,ENSG00000168002,ENSG00000103194,ENSG00000140455,ENSG00000248643,ENSG00000087191,ENSG00000169189,ENSG00000175792,ENSG00000077721,ENSG00000163918,ENSG00000187735","RBX1,GTF2H3,MORF4L2,SUPT16H,CSNK1E,ATRX,SFPQ,POLR2H,UBB,POLR2J,TP53BP1,XRCC5,INIP,BCCIP,SMC3,MCRS1,TTC5,MNAT1,CDK7,UBR5,PRKDC,UBA52,XRCC6,POLR2F,POLR2I,PSMC3,RPA2,NVL,PSMC1,POLR2E,SUMO1,UBE2T,RPS27L,MLH1,ATAD1,POLR2K,ASF1A,PARP2,XRCC1,APEX1,STRA13,PSMC6,RPAIN,POLK,POLB,CINP,NABP2,RUVBL2,RPS27A,NPM1,UBE2B,PARP1,OTUB1,POLR2G,USP10,USP3,RBM14-RBM4,PSMC5,NSMCE1,RUVBL1,UBE2A,RFC4,TCEA1",biological_process,DNA repair,75,63,341,18.1443758936,12.0196925028
GO:0005488,"ENSG00000115524,ENSG00000178982,ENSG00000149100,ENSG00000006715,ENSG00000175216,ENSG00000115053,ENSG00000175166,ENSG00000075151,ENSG00000172915,ENSG00000086758,ENSG00000198862,ENSG00000108424,ENSG00000173692,ENSG00000078304,ENSG00000138698,ENSG00000139116,ENSG00000074054,ENSG00000100592,ENSG00000110321,ENSG00000198700,ENSG00000005810,ENSG00000092148,ENSG00000134644,ENSG00000130638,ENSG00000100664,ENSG00000129083,ENSG00000110075,ENSG00000080608,ENSG00000136261,ENSG00000141367,ENSG00000082153,ENSG00000172239,ENSG00000114098,ENSG00000198301,ENSG00000134982,ENSG00000124207,ENSG00000055917,ENSG00000102401,ENSG00000204764,ENSG00000173226,ENSG00000178104,ENSG00000253729,ENSG00000025796,ENSG00000258864,ENSG00000163811,ENSG00000075945,ENSG00000205339,ENSG00000047249,ENSG00000102753,ENSG00000123636,ENSG00000182481,ENSG00000069329","SF3B1,EIF3K,EIF3M,VPS41,CKAP5,NCL,PSMD2,EIF4G3,NBEA,HUWE1,LTN1,KPNB1,PSMD1,PPP2R5C,RAP1GDS1,KIF21A,CLASP1,DAAM1,EIF4G2,IPO9,MYCBP2,HECTD1,PUM1,ATXN10,EIF5,COPB1,PPP6R3,KIAA0020,BZW2,CLTC,BZW1,PAIP1,ARMC8,SDAD1,APC,CSE1L,PUM2,ARMCX3,RANBP17,IQCB1,PDE4DIP,PRKDC,SEC63,CTC-554D6.1,WDR43,KIFAP3,IPO7,ATP6V1H,KPNA3,BAZ2B,KPNA2,VPS35",molecular_function,binding,60,52,414,17.7925973364,11.6679139455
GO:0000502,"ENSG00000175575,ENSG00000100911,ENSG00000163636,ENSG00000041357,ENSG00000108671,ENSG00000108294,ENSG00000125818,ENSG00000100567,ENSG00000161057,ENSG00000087191,ENSG00000106588,ENSG00000256646,ENSG00000099341,ENSG00000092010,ENSG00000165916,ENSG00000100764,ENSG00000131467,ENSG00000185627,ENSG00000173692,ENSG00000100804,ENSG00000127922,ENSG00000129084,ENSG00000100519,ENSG00000256950,ENSG00000101182,ENSG00000162191,ENSG00000175166,ENSG00000143106,ENSG00000136930,ENSG00000132963,ENSG00000126067,ENSG00000159352,ENSG00000159377,ENSG00000115233,ENSG00000101843,ENSG00000008018","PAAF1,PSME2,PSMD6,PSMA4,PSMD11,PSMB3,PSMF1,PSMA3,PSMC2,PSMC5,PSMA2,PSMA2,PSMD8,PSME1,PSMC3,PSMC1,PSME3,PSMD13,PSMD1,PSMB5,SHFM1,PSMA1,PSMC6,RP11-87C12.2,PSMA7,UBXN1,PSMD2,PSMA5,PSMB7,POMP,PSMB2,PSMD4,PSMB4,PSMD14,PSMD10,PSMB1",cellular_component,proteasome complex,39,36,73,17.3727345246,11.2480511337
GO:0007165,"ENSG00000198791,ENSG00000160310,ENSG00000106244,ENSG00000145362,ENSG00000166200,ENSG00000143933,ENSG00000100528,ENSG00000108055,ENSG00000205339,ENSG00000109991,ENSG00000089289,ENSG00000143198,ENSG00000168734,ENSG00000100644,ENSG00000164924,ENSG00000139970,ENSG00000131507,ENSG00000240720,ENSG00000142875,ENSG00000070831,ENSG00000186908,ENSG00000136810,ENSG00000112339,ENSG00000137942,ENSG00000134769,ENSG00000160145,ENSG00000103769,ENSG00000213923,ENSG00000185774,ENSG00000109339,ENSG00000143549,ENSG00000105649,ENSG00000166426,ENSG00000113712,ENSG00000198431,ENSG00000168118,ENSG00000057608,ENSG00000127914,ENSG00000166128,ENSG00000089820,ENSG00000170365,ENSG00000169567,ENSG00000069956,ENSG00000101558,ENSG00000075142,ENSG00000164111,ENSG00000117632,ENSG00000123240,ENSG00000132341,ENSG00000138069,ENSG00000160049,ENSG00000141030,ENSG00000087460,ENSG00000136738,ENSG00000134684,ENSG00000158019,ENSG00000134121,ENSG00000144136,ENSG00000156475,ENSG00000106341,ENSG00000013561,ENSG00000083750,ENSG00000198160,ENSG00000101266,ENSG00000112186,ENSG00000077809,ENSG00000181163,ENSG00000099250,ENSG00000175582,ENSG00000136238,ENSG00000110880,ENSG00000110958,ENSG00000110492,ENSG00000101109,ENSG00000039319,ENSG00000167085,ENSG00000112983,ENSG00000204435,ENSG00000124795,ENSG00000099246,ENSG00000078304,ENSG00000185236,ENSG00000000003,ENSG00000166974,ENSG00000184588,ENSG00000174021,ENSG00000067560,ENSG00000133026,ENSG00000151422,ENSG00000080824,ENSG00000166167,ENSG00000115963,ENSG00000159593,ENSG00000128656,ENSG00000075945,ENSG00000151150,ENSG00000167004","CNOT7,PRMT2,PDAP1,ANK2,COPS2,CALM2,CNIH1,SMC3,IPO7,P2RX3,IGBP1,MGST3,PKIG,HIF1A,YWHAZ,RTN1,NDFIP1,LRRD1,PRKACB,CDC42,ZDHHC17,TXN,HBS1L,FNBP1L,DTNA,KALRN,RAB11A,CSNK1E,KCNIP4,MAPK10,TPM3,RAB3A,CRABP1,CSNK1A1,TXNRD1,RAB4A,GDI2,AKAP9,RAB8B,ARHGAP4,SMAD1,HINT1,MAPK6,VAPA,SRI,ANXA5,STMN1,OPTN,RAN,RAB1A,DFFA,COPS3,GNAS,STAM,YARS,BRE,CHL1,SLC20A1,PPP2R2B,PPP1R17,RNF14,RRAGB,MIER1,CSNK2A1,CAP2,GTF2I,NPM1,NRP1,RAB6A,RAC1,CORO1C,PTGES3,MDK,STK4,ZFYVE16,PHB,BRD8,CSNK2B,DEK,RAB18,PPP2R5C,RAB11B,TSPAN6,MAPRE2,PDE4B,GNG5,RHOA,MYH10,FER,HSP90AA1,BTRC,RND3,NAE1,CHN1,KIFAP3,ANK3,PDIA3",biological_process,signal transduction,126,97,1487,17.0122726152,10.8875892243
GO:0008380,"ENSG00000115524,ENSG00000163156,ENSG00000170144,ENSG00000096401,ENSG00000173933,ENSG00000108848,ENSG00000174891,ENSG00000115875,ENSG00000116560,ENSG00000197111,ENSG00000087365,ENSG00000125835,ENSG00000109606,ENSG00000153187,ENSG00000134748,ENSG00000131876,ENSG00000108561,ENSG00000163882,ENSG00000135829,ENSG00000143977,ENSG00000131795,ENSG00000139343,ENSG00000167088,ENSG00000119707,ENSG00000125870,ENSG00000138398,ENSG00000131051,ENSG00000075292,ENSG00000023734,ENSG00000183431,ENSG00000060339,ENSG00000188342,ENSG00000100142,ENSG00000105258,ENSG00000099817,ENSG00000096063,ENSG00000196504,ENSG00000003756,ENSG00000116754,ENSG00000112081,ENSG00000112531,ENSG00000122566,ENSG00000054118,ENSG00000005075,ENSG00000182196,ENSG00000132485,ENSG00000159140,ENSG00000109971,ENSG00000115128,ENSG00000147669,ENSG00000147274,ENSG00000175324,ENSG00000198563,ENSG00000145833,ENSG00000126698,ENSG00000125944,ENSG00000060688,ENSG00000153006,ENSG00000128739,ENSG00000125676,ENSG00000084463,ENSG00000099783,ENSG00000169045,ENSG00000065978,ENSG00000138433,ENSG00000100028,ENSG00000204392,ENSG00000185246,ENSG00000124380,ENSG00000168002,ENSG00000182004,ENSG00000248643,ENSG00000139168,ENSG00000160201,ENSG00000213782,ENSG00000125351,ENSG00000153914,ENSG00000100320,ENSG00000135316,ENSG00000116752,ENSG00000135486,ENSG00000100650,ENSG00000092199,ENSG00000126653","SF3B1,SCNM1,HNRNPA3,CDC5L,RBM4,LUC7L3,RSRC1,SRSF7,SFPQ,PCBP2,SF3B2,SNRPB,DHX15,HNRNPU,PRPF38A,SNRPA1,C1QBP,POLR2H,DHX9,SNRPG,RBM8A,SNRPF,SNRPD1,RBM25,SNRPB2,PPIG,RBM39,ZNF638,STRAP,SF3A3,CCAR1,GTF2F2,POLR2F,POLR2I,POLR2E,SRPK1,PRPF40A,RBM5,SRSF11,SRSF3,QKI,HNRNPA2B1,THRAP3,POLR2J,ARL6IP4,ZRANB2,SON,HSPA8,SF3B14,POLR2K,RBMX,LSM1,DDX39B,DDX46,DNAJC8,HNRNPR,SNRNP40,SREK1IP1,SNRPN,THOC2,WBP11,HNRNPM,HNRNPH1,YBX1,CIR1,SNRPD3,LSM2,PRPF39,SNRNP27,POLR2G,SNRPE,RBM14-RBM4,ZCRB1,U2AF1,DDX47,UPF3B,SREK1,RBFOX2,SYNCRIP,BCAS2,HNRNPA1,SRSF5,HNRNPC,NSRP1",biological_process,RNA splicing,107,84,268,16.672746447,10.5480630561
GO:0005759,"ENSG00000198130,ENSG00000152234,ENSG00000132591,ENSG00000075239,ENSG00000132676,ENSG00000114956,ENSG00000127884,ENSG00000117054,ENSG00000108561,ENSG00000067829,ENSG00000146282,ENSG00000062485,ENSG00000106246,ENSG00000172053,ENSG00000144381,ENSG00000117450,ENSG00000140374,ENSG00000163644,ENSG00000146701,ENSG00000165629,ENSG00000116459,ENSG00000104325,ENSG00000065427,ENSG00000139180,ENSG00000125656,ENSG00000065154,ENSG00000091140,ENSG00000163541,ENSG00000135441,ENSG00000105379,ENSG00000131828,ENSG00000066427,ENSG00000101365,ENSG00000168291,ENSG00000004779,ENSG00000008311,ENSG00000106105,ENSG00000248919,ENSG00000130414,ENSG00000115541,ENSG00000081181,ENSG00000105819,ENSG00000110955,ENSG00000138777","HIBCH,ATP5A1,ERAL1,ACAT1,DAP3,DGUOK,ECHS1,ACADM,C1QBP,IDH3G,RARS2,CS,PTCD1,QARS,HSPD1,PRDX1,ETFA,PPM1K,MDH2,ATP5C1,ATP5F1,DECR1,KARS,NDUFA9,CLPP,OAT,DLD,SUCLG1,BLOC1S1,ETFB,PDHA1,ATXN3,IDH3B,PDHB,NDUFAB1,AASS,GARS,ATP5J2-PTCD1,NDUFA10,HSPE1,ARG2,PMPCB,ATP5B,PPA2",cellular_component,mitochondrial matrix,50,44,226,16.5744359619,10.449752571
