,features_of_interest_in_go_term,features_of_interest_in_go_term_gene_symbols,go_domain,go_name,n_background_in_go_term,n_features_of_interest_in_go_term,n_features_total_in_go_term,negative_log_p_value,bonferonni_corrected_negative_log_p_value
GO:0006260,"ENSG00000102054,ENSG00000164815,ENSG00000170312,ENSG00000092201,ENSG00000182185,ENSG00000149554,ENSG00000106028,ENSG00000112118,ENSG00000105486,ENSG00000158402,ENSG00000035928,ENSG00000167085,ENSG00000138346,ENSG00000101751,ENSG00000132383,ENSG00000100865,ENSG00000163918,ENSG00000092853,ENSG00000198646,ENSG00000097046,ENSG00000132780,ENSG00000115355,ENSG00000147862,ENSG00000004700,ENSG00000131747,ENSG00000133119,ENSG00000176890,ENSG00000122008,ENSG00000162521,ENSG00000148229,ENSG00000106628,ENSG00000132646,ENSG00000104889,ENSG00000117748,ENSG00000111653,ENSG00000104738,ENSG00000012048,ENSG00000111445,ENSG00000197299,ENSG00000049541,ENSG00000159593,ENSG00000006634,ENSG00000091651,ENSG00000183207,ENSG00000143476,ENSG00000101003,ENSG00000065328,ENSG00000248643,ENSG00000167900,ENSG00000135336,ENSG00000166803,ENSG00000093009,ENSG00000187109,ENSG00000152942,ENSG00000115947,ENSG00000125686,ENSG00000094804,ENSG00000119335,ENSG00000077514,ENSG00000167325,ENSG00000198900","RBBP7,ORC5,CDK1,SUPT16H,RAD51B,CHEK1,SSBP1,MCM3,LIG1,CDC25C,RFC1,PHB,DNA2,POLI,RPA1,CINP,RFC4,CLSPN,NCOA6,CDC7,NASP,CCDC88A,NFIB,RECQL,TOP2A,RFC3,TYMS,POLK,RBBP4,POLE3,POLD2,PCNA,RNASEH2A,RPA2,ING4,MCM4,BRCA1,RFC5,BLM,RFC2,NAE1,DBF4,ORC6,RUVBL2,DTL,GINS1,MCM10,RBM14-RBM4,TK1,ORC3,KIAA0101,CDC45,NAP1L1,RAD17,ORC4,MED1,CDC6,SET,POLD3,RRM1,TOP1",biological_process,DNA replication,73,61,164,18.5808006517,12.6459064561
GO:0006457,"ENSG00000166226,ENSG00000102595,ENSG00000131013,ENSG00000100380,ENSG00000113312,ENSG00000153015,ENSG00000167552,ENSG00000240344,ENSG00000123349,ENSG00000088832,ENSG00000136940,ENSG00000173486,ENSG00000114857,ENSG00000074695,ENSG00000115484,ENSG00000084072,ENSG00000143256,ENSG00000142892,ENSG00000205981,ENSG00000171497,ENSG00000171960,ENSG00000104129,ENSG00000179218,ENSG00000100591,ENSG00000146731,ENSG00000188229,ENSG00000117899,ENSG00000025796,ENSG00000096384,ENSG00000075624,ENSG00000116957,ENSG00000171530,ENSG00000143870,ENSG00000150753,ENSG00000185624,ENSG00000109971,ENSG00000090861,ENSG00000086061,ENSG00000080824,ENSG00000126698,ENSG00000138398,ENSG00000156261,ENSG00000166794,ENSG00000163468,ENSG00000164070,ENSG00000105993,ENSG00000183207,ENSG00000168259,ENSG00000113068,ENSG00000153201,ENSG00000166598,ENSG00000135624,ENSG00000164031,ENSG00000196262,ENSG00000141556,ENSG00000115541,ENSG00000066136,ENSG00000069345,ENSG00000118217,ENSG00000023318,ENSG00000120438,ENSG00000167004,ENSG00000126756,ENSG00000100209,ENSG00000113013","CCT2,UGGT2,PPIL4,ST13,TTC1,CWC27,TUBA1A,PPIL3,PFDN5,FKBP1A,PDCL,FKBP2,NKTR,LMAN1,CCT4,PPIE,PFDN2,PIGK,DNAJC19,PPID,PPIH,DNAJC17,CALR,AHSA1,CCT6A,TUBB4B,MESDC2,SEC63,HSP90AB1,ACTB,TBCE,TBCA,PDIA6,CCT5,P4HB,HSPA8,AARS,DNAJA1,HSP90AA1,DNAJC8,PPIG,CCT8,PPIB,CCT3,HSPA4L,DNAJB6,RUVBL2,DNAJC7,PFDN1,RANBP2,HSP90B1,CCT7,DNAJB14,PPIA,TBCD,HSPE1,NFYC,DNAJA2,ATF6,ERP44,TCP1,PDIA3,UXT,HSCB,HSPA9",biological_process,protein folding,79,65,210,18.3025176474,12.3676234518
GO:0000398,"ENSG00000115524,ENSG00000170144,ENSG00000096746,ENSG00000168438,ENSG00000174891,ENSG00000115875,ENSG00000197111,ENSG00000087365,ENSG00000108654,ENSG00000112081,ENSG00000153187,ENSG00000126698,ENSG00000005075,ENSG00000131876,ENSG00000153015,ENSG00000096401,ENSG00000135829,ENSG00000143977,ENSG00000131795,ENSG00000139343,ENSG00000167088,ENSG00000176102,ENSG00000188342,ENSG00000021776,ENSG00000047315,ENSG00000125835,ENSG00000182004,ENSG00000183431,ENSG00000171960,ENSG00000060339,ENSG00000100603,ENSG00000115128,ENSG00000100142,ENSG00000105258,ENSG00000099817,ENSG00000114503,ENSG00000165119,ENSG00000100941,ENSG00000165934,ENSG00000133226,ENSG00000070756,ENSG00000136527,ENSG00000117614,ENSG00000039123,ENSG00000003756,ENSG00000077312,ENSG00000084072,ENSG00000169813,ENSG00000147669,ENSG00000147274,ENSG00000138668,ENSG00000123136,ENSG00000090060,ENSG00000060688,ENSG00000116754,ENSG00000108883,ENSG00000169045,ENSG00000099783,ENSG00000240344,ENSG00000125870,ENSG00000100410,ENSG00000065978,ENSG00000109536,ENSG00000117360,ENSG00000122566,ENSG00000100028,ENSG00000204392,ENSG00000163882,ENSG00000125944,ENSG00000168002,ENSG00000188529,ENSG00000124562,ENSG00000067596,ENSG00000198563,ENSG00000125351,ENSG00000240682,ENSG00000135316,ENSG00000149532,ENSG00000170860,ENSG00000162385,ENSG00000100650,ENSG00000092199,ENSG00000135486","SF3B1,HNRNPA3,HNRNPH3,CDC40,RSRC1,SRSF7,PCBP2,SF3B2,DDX5,SRSF3,HNRNPU,DNAJC8,POLR2J,SNRPA1,CWC27,CDC5L,DHX9,SNRPG,RBM8A,SNRPF,SNRPD1,CSTF3,GTF2F2,AQR,POLR2B,SNRPB,SNRPE,SF3A3,PPIH,CCAR1,SNW1,SF3B14,POLR2F,POLR2I,POLR2E,NCBP2,HNRNPK,PNN,CPSF2,SRRM1,PABPC1,TRA2B,SYF2,SKIV2L2,RBM5,SNRPA,PPIE,HNRNPF,POLR2K,RBMX,HNRNPD,DDX39A,PAPOLA,SNRNP40,SRSF11,EFTUD2,HNRNPH1,HNRNPM,PPIL3,SNRPB2,PHF5A,YBX1,FRG1,PRPF3,HNRNPA2B1,SNRPD3,LSM2,POLR2H,HNRNPR,POLR2G,SRSF10,SNRPC,DHX8,DDX39B,UPF3B,ISY1,SYNCRIP,CPSF7,LSM3,MAGOH,SRSF5,HNRNPC,HNRNPA1",biological_process,"mRNA splicing, via spliceosome",106,83,196,17.8837882584,11.9488940627
GO:0022904,"ENSG00000152234,ENSG00000172115,ENSG00000173660,ENSG00000164919,ENSG00000065518,ENSG00000166136,ENSG00000186010,ENSG00000164405,ENSG00000117118,ENSG00000241468,ENSG00000073578,ENSG00000164258,ENSG00000183648,ENSG00000128609,ENSG00000189043,ENSG00000168653,ENSG00000178741,ENSG00000160194,ENSG00000130414,ENSG00000023228,ENSG00000127540,ENSG00000119421,ENSG00000131174,ENSG00000140374,ENSG00000165629,ENSG00000125356,ENSG00000116459,ENSG00000175567,ENSG00000139180,ENSG00000115286,ENSG00000090266,ENSG00000158864,ENSG00000105379,ENSG00000165264,ENSG00000178127,ENSG00000110717,ENSG00000127184,ENSG00000004779,ENSG00000126267,ENSG00000167863,ENSG00000010256,ENSG00000267059,ENSG00000204370,ENSG00000140990,ENSG00000159199,ENSG00000136521,ENSG00000154723,ENSG00000151366,ENSG00000241837,ENSG00000170906,ENSG00000110955,ENSG00000169020,ENSG00000109390,ENSG00000184752","ATP5A1,CYCS,UQCRH,COX6C,NDUFB4,NDUFB8,NDUFA13,UQCRQ,SDHB,ATP5J2,SDHA,NDUFS4,NDUFB1,NDUFA5,NDUFA4,NDUFS5,COX5A,NDUFV3,NDUFA10,NDUFS1,UQCR11,NDUFA8,COX7B,ETFA,ATP5C1,NDUFA1,ATP5F1,UCP2,NDUFA9,NDUFS7,NDUFB2,NDUFS2,ETFB,NDUFB6,NDUFV2,NDUFS8,COX7C,NDUFAB1,COX6B1,ATP5H,UQCRC1,UQCR11,SDHD,NDUFB10,ATP5G1,NDUFB5,ATP5J,NDUFC2,ATP5O,NDUFA3,ATP5B,ATP5I,NDUFC1,NDUFA12",biological_process,respiratory electron transport chain,64,54,113,17.4941364505,11.5592422549
GO:0006629,"ENSG00000152234,ENSG00000072506,ENSG00000085719,ENSG00000133027,ENSG00000149485,ENSG00000097021,ENSG00000143198,ENSG00000099797,ENSG00000197746,ENSG00000185624,ENSG00000120885,ENSG00000006007,ENSG00000180957,ENSG00000112972,ENSG00000134330,ENSG00000164687,ENSG00000099194,ENSG00000104763,ENSG00000214078,ENSG00000101577,ENSG00000157193,ENSG00000172531,ENSG00000110955,ENSG00000100979,ENSG00000120437,ENSG00000143753","ATP5A1,HSD17B10,CPNE3,PEMT,FADS1,ACOT7,MGST3,TECR,PSAP,P4HB,CLU,GDE1,PITPNB,HMGCS1,IAH1,FABP5,SCD,ASAH1,CPNE1,LPIN2,LRP8,PPP1CA,ATP5B,PLTP,ACAT2,DEGS1",biological_process,lipid metabolic process,27,26,228,17.1263900551,11.1914958594
GO:0042493,"ENSG00000170312,ENSG00000169398,ENSG00000104067,ENSG00000082898,ENSG00000138796,ENSG00000112972,ENSG00000137563,ENSG00000239672,ENSG00000153037,ENSG00000174780,ENSG00000141380,ENSG00000118260,ENSG00000147601,ENSG00000179218,ENSG00000126581,ENSG00000100883,ENSG00000176890,ENSG00000147872,ENSG00000100097,ENSG00000135679,ENSG00000164924,ENSG00000067560,ENSG00000134057,ENSG00000149547,ENSG00000241370,ENSG00000170242,ENSG00000073050,ENSG00000100823,ENSG00000198431,ENSG00000117289,ENSG00000079215,ENSG00000150093,ENSG00000136810,ENSG00000139318,ENSG00000129562,ENSG00000008394,ENSG00000119048,ENSG00000100348,ENSG00000082701,ENSG00000130414,ENSG00000135446,ENSG00000116906,ENSG00000118705,ENSG00000084754,ENSG00000110492,ENSG00000183044,ENSG00000184674,ENSG00000198900","CDK1,PTK2,TJP1,XPO1,HADH,HMGCS1,GGH,NME1,SRP19,SRP72,SS18,CREB1,TERF1,CALR,BECN1,SRP54,TYMS,PLIN2,LGALS1,MDM2,YWHAZ,RHOA,CCNB1,EI24,RPP21,USP47,XRCC1,APEX1,TXNRD1,TXNIP,SLC1A3,ITGB1,TXN,DUSP6,DAD1,MGST1,UBE2B,TXN2,GSK3B,NDUFA10,CDK4,GNPAT,RPN2,HADHA,MDK,ABAT,GSTT1,TOP1",biological_process,response to drug,56,48,307,16.9706687537,11.0357745581
GO:0007049,"ENSG00000117399,ENSG00000132780,ENSG00000103769,ENSG00000136044,ENSG00000152359,ENSG00000143514,ENSG00000162493,ENSG00000134222,ENSG00000168393,ENSG00000133134,ENSG00000075131,ENSG00000116741,ENSG00000082258,ENSG00000182149,ENSG00000100865,ENSG00000122545,ENSG00000107949,ENSG00000096401,ENSG00000213465,ENSG00000092853,ENSG00000100014,ENSG00000144118,ENSG00000020426,ENSG00000186522,ENSG00000138175,ENSG00000060339,ENSG00000126581,ENSG00000011454,ENSG00000118971,ENSG00000125354,ENSG00000196235,ENSG00000081154,ENSG00000196504,ENSG00000105058,ENSG00000159140,ENSG00000109971,ENSG00000168385,ENSG00000178999,ENSG00000100393,ENSG00000069956,ENSG00000117289,ENSG00000123975,ENSG00000012048,ENSG00000166164,ENSG00000101266,ENSG00000159593,ENSG00000122952,ENSG00000175063,ENSG00000113068,ENSG00000065243,ENSG00000080345,ENSG00000204628,ENSG00000094880,ENSG00000156970,ENSG00000135164,ENSG00000141446,ENSG00000166946,ENSG00000140525,ENSG00000087586,ENSG00000152942,ENSG00000076382,ENSG00000172531,ENSG00000138758,ENSG00000166197,ENSG00000134057","CDC20,NASP,RAB11A,APPL2,POC5,TP53BP2,PDPN,PSRC1,DTYMK,BEX2,TIPIN,RGS2,CCNT2,IST1,CINP,SEPT7,BCCIP,CDC5L,ARL2,CLSPN,SPECC1L,RALB,MNAT1,SEPT10,ARL3,CCAR1,BECN1,RABGAP1,CCND2,SEPT6,SUPT5H,PCNP,PRPF40A,FAM32A,SON,HSPA8,SEPT2,AURKB,EP300,MAPK6,TXNIP,CKS2,BRCA1,BRD7,CSNK2A1,NAE1,ZWINT,UBE2C,PFDN1,PKN2,RIF1,GNB2L1,CDC23,BUB1B,DMTF1,ESCO1,CCNDBP1,FANCI,AURKA,RAD17,SPAG5,PPP1CA,SEPT11,NOLC1,CCNB1",biological_process,cell cycle,81,65,270,16.3341986394,10.3993044437
GO:0006283,"ENSG00000163161,ENSG00000111358,ENSG00000134480,ENSG00000133119,ENSG00000105486,ENSG00000163882,ENSG00000005075,ENSG00000110768,ENSG00000132383,ENSG00000187735,ENSG00000020426,ENSG00000100142,ENSG00000105258,ENSG00000099817,ENSG00000117748,ENSG00000106628,ENSG00000132646,ENSG00000047315,ENSG00000147669,ENSG00000111445,ENSG00000049541,ENSG00000012061,ENSG00000168002,ENSG00000077514,ENSG00000205581,ENSG00000035928,ENSG00000187555,ENSG00000134058,ENSG00000163918","ERCC3,GTF2H3,CCNH,RFC3,LIG1,POLR2H,POLR2J,GTF2H1,RPA1,TCEA1,MNAT1,POLR2F,POLR2I,POLR2E,RPA2,POLD2,PCNA,POLR2B,POLR2K,RFC5,RFC2,ERCC1,POLR2G,POLD3,HMGN1,RFC1,USP7,CDK7,RFC4",biological_process,transcription-coupled nucleotide-excision repair,31,29,56,16.3178607338,10.3829665382
GO:0055114,"ENSG00000072210,ENSG00000122378,ENSG00000117139,ENSG00000167815,ENSG00000131828,ENSG00000014641,ENSG00000111640,ENSG00000169738,ENSG00000258653,ENSG00000138796,ENSG00000129422,ENSG00000167996,ENSG00000073578,ENSG00000165672,ENSG00000113161,ENSG00000048392,ENSG00000065911,ENSG00000164904,ENSG00000128928,ENSG00000091140,ENSG00000067829,ENSG00000052802,ENSG00000004487,ENSG00000178035,ENSG00000149485,ENSG00000023228,ENSG00000173660,ENSG00000198431,ENSG00000156709,ENSG00000001630,ENSG00000116791,ENSG00000106605,ENSG00000109814,ENSG00000155463,ENSG00000092621,ENSG00000147383,ENSG00000136810,ENSG00000167468,ENSG00000185624,ENSG00000139180,ENSG00000104549,ENSG00000197894,ENSG00000116005,ENSG00000126267,ENSG00000084754,ENSG00000110717,ENSG00000100823,ENSG00000158864,ENSG00000106853,ENSG00000087263,ENSG00000111716,ENSG00000136247,ENSG00000148672,ENSG00000178127,ENSG00000115286,ENSG00000117450,ENSG00000101365,ENSG00000095596,ENSG00000008394,ENSG00000139697,ENSG00000010256,ENSG00000126432,ENSG00000134333,ENSG00000117118,ENSG00000100714,ENSG00000138413,ENSG00000205758,ENSG00000008311,ENSG00000117054,ENSG00000119004,ENSG00000146701,ENSG00000087086,ENSG00000143753,ENSG00000167325,ENSG00000142657","ALDH3A2,FAM213A,KDM5B,PRDX2,PDHA1,MDH1,GAPDH,DCXR,RP5-1021I20.4,HADH,MTUS1,FTH1,SDHA,PRDX3,HMGCR,RRM2B,MTHFD2,ALDH7A1,IVD,DLD,IDH3G,MSMO1,KDM1A,IMPDH2,FADS1,NDUFS1,UQCRH,TXNRD1,AIFM1,CYP51A1,CRYZ,BLVRA,UGDH,OXA1L,PHGDH,NSDHL,TXN,GPX4,P4HB,NDUFA9,SQLE,ADH5,PCYOX1,COX6B1,HADHA,NDUFS8,APEX1,NDUFS2,PTGR1,OGFOD1,LDHB,ZDHHC4,GLUD1,NDUFV2,NDUFS7,PRDX1,IDH3B,CYP26A1,MGST1,SBNO1,UQCRC1,PRDX5,LDHA,SDHB,MTHFD1,IDH1,CRYZL1,AASS,ACADM,CYP20A1,MDH2,FTL,DEGS1,RRM1,PGD",biological_process,oxidation-reduction process,96,75,525,16.2312345611,10.2963403655
GO:0006508,"ENSG00000166562,ENSG00000144827,ENSG00000136943,ENSG00000079387,ENSG00000163636,ENSG00000002549,ENSG00000109861,ENSG00000164733,ENSG00000164305,ENSG00000129559,ENSG00000177889,ENSG00000136758,ENSG00000072274,ENSG00000174093,ENSG00000038002,ENSG00000125703,ENSG00000175390,ENSG00000137509,ENSG00000084073,ENSG00000112701,ENSG00000139684,ENSG00000185515,ENSG00000087191,ENSG00000108039,ENSG00000164024,ENSG00000099341,ENSG00000089123,ENSG00000196704,ENSG00000100600,ENSG00000161057,ENSG00000148950,ENSG00000100764,ENSG00000164062,ENSG00000162736,ENSG00000149131,ENSG00000078618,ENSG00000116288,ENSG00000110429,ENSG00000142892,ENSG00000124356,ENSG00000125656,ENSG00000133313,ENSG00000091140,ENSG00000175193,ENSG00000196236,ENSG00000138078,ENSG00000111142,ENSG00000114902,ENSG00000168397,ENSG00000144744,ENSG00000113851,ENSG00000010256,ENSG00000167770,ENSG00000141279,ENSG00000157193,ENSG00000140612,ENSG00000127922,ENSG00000105819,ENSG00000121022,ENSG00000168615","SEC11C,ABHD10,CTSV,SENP1,PSMD6,LAP3,CTSC,CTSB,CASP3,NEDD8,UBE2N,YME1L1,TFRC,RP11-1407O15.2,AGA,ATG4C,EIF3F,PRCP,ZMPSTE24,SENP6,ESD,BRCC3,PSMC5,XPNPEP1,METAP1,PSMD8,TASP1,AMZ2,LGMN,PSMC2,IMMP1L,PSMC1,APEH,NCSTN,SERPING1,NRD1,PARK7,FBXO3,PIGK,STAMBP,CLPP,CNDP2,DLD,PARL,XPNPEP3,PREPL,METAP2,SPCS1,ATG4B,UBA3,CRBN,UQCRC1,OTUB1,NPEPPS,LRP8,SEC11A,SHFM1,PMPCB,COPS5,ADAM9",biological_process,proteolysis,74,60,537,16.0171923413,10.0822981457
