,features_of_interest_in_go_term,features_of_interest_in_go_term_gene_symbols,go_domain,go_name,n_background_in_go_term,n_features_of_interest_in_go_term,n_features_total_in_go_term,negative_log_p_value,bonferonni_corrected_negative_log_p_value
GO:0005813,"ENSG00000151725,ENSG00000136861,ENSG00000131051,ENSG00000104671,ENSG00000137814,ENSG00000011052,ENSG00000051825,ENSG00000096872,ENSG00000178125,ENSG00000121289,ENSG00000119397,ENSG00000143476,ENSG00000149923,ENSG00000082701,ENSG00000127328,ENSG00000163875,ENSG00000092020,ENSG00000154743,ENSG00000058272,ENSG00000149554,ENSG00000149557,ENSG00000111642,ENSG00000239672,ENSG00000077380,ENSG00000153140,ENSG00000007168,ENSG00000113712,ENSG00000093009,ENSG00000140463,ENSG00000169504,ENSG00000127914,ENSG00000072756,ENSG00000169607,ENSG00000150753,ENSG00000115514,ENSG00000138175,ENSG00000204899,ENSG00000134982,ENSG00000213465,ENSG00000152240,ENSG00000108641,ENSG00000122970,ENSG00000101367,ENSG00000156876,ENSG00000068796,ENSG00000114021,ENSG00000100578,ENSG00000169599,ENSG00000107890,ENSG00000214114,ENSG00000114107,ENSG00000213066,ENSG00000134057,ENSG00000136108,ENSG00000258890,ENSG00000117399,ENSG00000175216,ENSG00000138107,ENSG00000125971,ENSG00000135829,ENSG00000144635,ENSG00000175455,ENSG00000074054,ENSG00000143156,ENSG00000138182,ENSG00000104218,ENSG00000168172,ENSG00000129084,ENSG00000151466,ENSG00000094914,ENSG00000115839,ENSG00000131462,ENSG00000112118,ENSG00000068885,ENSG00000182504,ENSG00000174851,ENSG00000181163,ENSG00000156261,ENSG00000135720,ENSG00000120438,ENSG00000133884,ENSG00000087586,ENSG00000066135,ENSG00000109805,ENSG00000152359,ENSG00000014641,ENSG00000133302,ENSG00000143933,ENSG00000115484,ENSG00000173226,ENSG00000147400,ENSG00000139618,ENSG00000088986,ENSG00000011454,ENSG00000131351,ENSG00000078674,ENSG00000100823,ENSG00000147874,ENSG00000129810,ENSG00000166847,ENSG00000135541,ENSG00000075945,ENSG00000137100,ENSG00000137807,ENSG00000135315,ENSG00000126756","MLF1IP,CDK5RAP2,RBM39,DCTN6,HAUS2,NME2,MPHOSPH9,IFT74,PPP1R42,CEP89,CNTRL,DTL,PPP4C,GSK3B,RAB3IP,MEAF6,PPP2R3C,TSEN2,PPP1R12A,CHEK1,FEZ1,CHD4,NME1,DYNC1I2,CETN3,PAFAH1B1,CSNK1A1,CDC45,BBS4,CLIC4,AKAP9,TRNT1,CKAP2L,CCT5,TXNDC9,ARL3,MZT1,APC,ARL2,HAUS1,B9D1,IFT81,MAPRE1,SASS6,KIF2A,NIT2,KIAA0586,NFU1,ANKRD26,MYCBP,CEP70,FGFR1OP,CCNB1,CKAP2,CEP95,CDC20,CKAP5,ACTR1A,DYNLRB1,DHX9,DYNC1LI1,CCDC14,CLASP1,NME7,KIF20B,CSPP1,HOOK3,PSMA1,SCLT1,AAAS,RAB3GAP1,TUBG1,MCM3,IFT80,CEP97,YIF1A,NPM1,CCT8,DYNC1LI2,TCP1,DPF2,AURKA,KDM4A,NCAPG,POC5,MDH1,ANKRD32,CALM2,CCT4,IQCB1,CETN2,BRCA2,DYNLL1,RABGAP1,HAUS8,PCM1,APEX1,HAUS6,SGOL1,DCTN5,AHI1,KIFAP3,DCTN3,KIF23,KIAA1009,UXT",cellular_component,centrosome,138,106,357,20.072421804,13.5430029658
GO:0002474,"ENSG00000170315,ENSG00000100934,ENSG00000100911,ENSG00000163636,ENSG00000110801,ENSG00000041357,ENSG00000108671,ENSG00000108294,ENSG00000125818,ENSG00000152700,ENSG00000100567,ENSG00000138674,ENSG00000161057,ENSG00000087191,ENSG00000106588,ENSG00000256646,ENSG00000179218,ENSG00000099341,ENSG00000221983,ENSG00000092010,ENSG00000165916,ENSG00000100764,ENSG00000077721,ENSG00000185627,ENSG00000100902,ENSG00000173692,ENSG00000100804,ENSG00000129084,ENSG00000100519,ENSG00000008018,ENSG00000082781,ENSG00000101182,ENSG00000143947,ENSG00000175166,ENSG00000143106,ENSG00000136930,ENSG00000141279,ENSG00000142507,ENSG00000101843,ENSG00000126067,ENSG00000159352,ENSG00000159377,ENSG00000115233,ENSG00000167004,ENSG00000197170","UBB,SEC23A,PSME2,PSMD6,PSMD9,PSMA4,PSMD11,PSMB3,PSMF1,SAR1B,PSMA3,SEC31A,PSMC2,PSMC5,PSMA2,PSMA2,CALR,PSMD8,UBA52,PSME1,PSMC3,PSMC1,UBE2A,PSMD13,PSMA6,PSMD1,PSMB5,PSMA1,PSMC6,PSMB1,ITGB5,PSMA7,RPS27A,PSMD2,PSMA5,PSMB7,NPEPPS,PSMB6,PSMD10,PSMB2,PSMD4,PSMB4,PSMD14,PDIA3,PSMD12",biological_process,antigen processing and presentation of peptide antigen via MHC class I,50,45,164,19.7850376402,13.2556188019
GO:0016491,"ENSG00000072042,ENSG00000072210,ENSG00000198431,ENSG00000014641,ENSG00000169738,ENSG00000258653,ENSG00000138796,ENSG00000129422,ENSG00000167996,ENSG00000073578,ENSG00000165672,ENSG00000048392,ENSG00000106853,ENSG00000128928,ENSG00000156709,ENSG00000052802,ENSG00000004487,ENSG00000178035,ENSG00000149485,ENSG00000023228,ENSG00000167815,ENSG00000145439,ENSG00000148834,ENSG00000157181,ENSG00000116791,ENSG00000106605,ENSG00000117450,ENSG00000140374,ENSG00000198189,ENSG00000104325,ENSG00000185624,ENSG00000085662,ENSG00000104549,ENSG00000197894,ENSG00000119471,ENSG00000132196,ENSG00000091140,ENSG00000084754,ENSG00000110717,ENSG00000100823,ENSG00000133835,ENSG00000111716,ENSG00000148672,ENSG00000178127,ENSG00000117118,ENSG00000164904,ENSG00000072506,ENSG00000008311,ENSG00000139697,ENSG00000126432,ENSG00000134333,ENSG00000162496,ENSG00000087086,ENSG00000205758,ENSG00000117054,ENSG00000164038,ENSG00000164039,ENSG00000100612,ENSG00000146701,ENSG00000116005,ENSG00000079459","RDH11,ALDH3A2,TXNRD1,MDH1,DCXR,RP5-1021I20.4,HADH,MTUS1,FTH1,SDHA,PRDX3,RRM2B,PTGR1,IVD,AIFM1,MSMO1,KDM1A,IMPDH2,FADS1,NDUFS1,PRDX2,CBR4,GSTO1,C1orf27,CRYZ,BLVRA,PRDX1,ETFA,HSD17B11,DECR1,P4HB,AKR1B1,SQLE,ADH5,HSDL2,HSD17B7,DLD,HADHA,NDUFS8,APEX1,HSD17B4,LDHB,GLUD1,NDUFV2,SDHB,ALDH7A1,HSD17B10,AASS,SBNO1,PRDX5,LDHA,DHRS3,FTL,CRYZL1,ACADM,SLC9B2,BDH2,DHRS7,MDH2,PCYOX1,FDFT1",molecular_function,oxidoreductase activity,72,61,380,19.7429572169,13.2135383787
GO:0005215,"ENSG00000198356,ENSG00000132718,ENSG00000135390,ENSG00000082898,ENSG00000112984,ENSG00000154518,ENSG00000085719,ENSG00000004864,ENSG00000134262,ENSG00000008282,ENSG00000166426,ENSG00000205339,ENSG00000100372,ENSG00000114115,ENSG00000113732,ENSG00000067715,ENSG00000161203,ENSG00000177879,ENSG00000155097,ENSG00000117410,ENSG00000113569,ENSG00000042753,ENSG00000102898,ENSG00000124789,ENSG00000108559,ENSG00000214078,ENSG00000156875,ENSG00000108433,ENSG00000100575,ENSG00000159199,ENSG00000154723,ENSG00000241837,ENSG00000110955,ENSG00000164687","ASNA1,SYT11,ATP5G2,XPO1,KIF20A,ATP5G3,CPNE3,SLC25A13,AP4B1,SYPL1,CRABP1,IPO7,SLC25A17,RBP1,ATP6V0E1,SYT1,AP2M1,AP3S1,ATP6V1C1,ATP6V0B,NUP155,AP2S1,NUTF2,NUP153,NUP88,CPNE1,HIAT1,GOSR2,TIMM9,ATP5G1,ATP5J,ATP5O,ATP5B,FABP5",molecular_function,transporter activity,36,34,277,19.3534854286,12.8240665903
GO:0003824,"ENSG00000132323,ENSG00000072042,ENSG00000138303,ENSG00000060982,ENSG00000138029,ENSG00000241258,ENSG00000178295,ENSG00000097021,ENSG00000106484,ENSG00000099810,ENSG00000114491,ENSG00000137074,ENSG00000116171,ENSG00000078618,ENSG00000258728,ENSG00000100417,ENSG00000168291,ENSG00000100714,ENSG00000239900,ENSG00000198130,ENSG00000115758,ENSG00000138363,ENSG00000177156,ENSG00000067225,ENSG00000198721,ENSG00000178035,ENSG00000188342,ENSG00000169567,ENSG00000257365,ENSG00000147383,ENSG00000132199,ENSG00000269590,ENSG00000213930,ENSG00000132196,ENSG00000111716,ENSG00000102893,ENSG00000144744,ENSG00000010256,ENSG00000104763,ENSG00000033178,ENSG00000197299,ENSG00000159131,ENSG00000100564,ENSG00000104823,ENSG00000102393,ENSG00000107537,ENSG00000093144,ENSG00000104522,ENSG00000139180,ENSG00000155096,ENSG00000244509,ENSG00000213722,ENSG00000112972,ENSG00000126261,ENSG00000134333,ENSG00000142230,ENSG00000146701,ENSG00000114200,ENSG00000115241,ENSG00000120437,ENSG00000141349,ENSG00000086475,ENSG00000147535,ENSG00000145996,ENSG00000131473,ENSG00000075239,ENSG00000130985,ENSG00000014641,ENSG00000127884,ENSG00000095485,ENSG00000125954,ENSG00000182220,ENSG00000065911,ENSG00000148688,ENSG00000160191,ENSG00000167315,ENSG00000268083,ENSG00000084754,ENSG00000163541,ENSG00000124784,ENSG00000070501,ENSG00000159593,ENSG00000139697,ENSG00000171824,ENSG00000116906,ENSG00000264545,ENSG00000105819,ENSG00000249319","ILKAP,RDH11,ASCC1,BCAT1,HADHB,CRCP,GEN1,ACOT7,MEST,MTAP,UMPS,APTX,SCP2,NRD1,GALT,PMM1,PDHB,MTHFD1,ADSL,HIBCH,ODC1,ATIC,TALDO1,PKM,ECI2,IMPDH2,GTF2F2,HINT1,FNTB,NSDHL,ENOSF1,CTD-2192J16.24,GALT,HSD17B7,LDHB,PHKB,UBA3,UQCRC1,ASAH1,UBA6,BLM,GART,PIGH,ECH1,GLA,PHYH,ECHDC1,TSTA3,NDUFA9,AZIN1,APOBEC3C,DDAH2,HMGCS1,UBA2,LDHA,SAE1,MDH2,BCHE,PPM1G,ACAT2,G6PC3,SEPHS1,PPAPDC1B,CDKAL1,ACLY,ACAT1,UBA1,MDH1,ECHS1,CWF19L1,CHURC1-FNTB,ATP6AP2,MTHFD2,RPP30,PDE9A,ACAA2,AC104534.3,HADHA,SUCLG1,RIOK1,POLB,NAE1,SBNO1,EXOSC10,GNPAT,RP11-145E5.5,PMPCB,AC068533.7",molecular_function,catalytic activity,112,88,678,19.1233654482,12.59394661
GO:0006260,"ENSG00000102054,ENSG00000164815,ENSG00000170312,ENSG00000092201,ENSG00000182185,ENSG00000149554,ENSG00000106028,ENSG00000112118,ENSG00000105486,ENSG00000158402,ENSG00000035928,ENSG00000167085,ENSG00000138346,ENSG00000101751,ENSG00000132383,ENSG00000100865,ENSG00000163918,ENSG00000092853,ENSG00000198646,ENSG00000097046,ENSG00000132780,ENSG00000115355,ENSG00000147862,ENSG00000004700,ENSG00000131747,ENSG00000133119,ENSG00000176890,ENSG00000122008,ENSG00000162521,ENSG00000148229,ENSG00000106628,ENSG00000132646,ENSG00000104889,ENSG00000117748,ENSG00000111653,ENSG00000104738,ENSG00000012048,ENSG00000111445,ENSG00000197299,ENSG00000049541,ENSG00000159593,ENSG00000006634,ENSG00000091651,ENSG00000183207,ENSG00000143476,ENSG00000101003,ENSG00000065328,ENSG00000248643,ENSG00000167900,ENSG00000135336,ENSG00000166803,ENSG00000093009,ENSG00000187109,ENSG00000152942,ENSG00000115947,ENSG00000125686,ENSG00000094804,ENSG00000119335,ENSG00000077514,ENSG00000167325,ENSG00000198900","RBBP7,ORC5,CDK1,SUPT16H,RAD51B,CHEK1,SSBP1,MCM3,LIG1,CDC25C,RFC1,PHB,DNA2,POLI,RPA1,CINP,RFC4,CLSPN,NCOA6,CDC7,NASP,CCDC88A,NFIB,RECQL,TOP2A,RFC3,TYMS,POLK,RBBP4,POLE3,POLD2,PCNA,RNASEH2A,RPA2,ING4,MCM4,BRCA1,RFC5,BLM,RFC2,NAE1,DBF4,ORC6,RUVBL2,DTL,GINS1,MCM10,RBM14-RBM4,TK1,ORC3,KIAA0101,CDC45,NAP1L1,RAD17,ORC4,MED1,CDC6,SET,POLD3,RRM1,TOP1",biological_process,DNA replication,73,61,164,18.5808006517,12.0513818134
GO:0005759,"ENSG00000198130,ENSG00000152234,ENSG00000132591,ENSG00000075239,ENSG00000132676,ENSG00000072506,ENSG00000114956,ENSG00000127884,ENSG00000106268,ENSG00000138796,ENSG00000168393,ENSG00000117054,ENSG00000128928,ENSG00000144381,ENSG00000067829,ENSG00000146282,ENSG00000062485,ENSG00000117593,ENSG00000172171,ENSG00000106246,ENSG00000197448,ENSG00000145439,ENSG00000114054,ENSG00000172053,ENSG00000176890,ENSG00000117450,ENSG00000140374,ENSG00000165629,ENSG00000116459,ENSG00000104325,ENSG00000065427,ENSG00000139180,ENSG00000125656,ENSG00000182199,ENSG00000065154,ENSG00000091140,ENSG00000183044,ENSG00000163541,ENSG00000135441,ENSG00000105379,ENSG00000131828,ENSG00000148672,ENSG00000066427,ENSG00000164904,ENSG00000101365,ENSG00000168291,ENSG00000004779,ENSG00000008311,ENSG00000106105,ENSG00000248919,ENSG00000130414,ENSG00000115541,ENSG00000146701,ENSG00000105819,ENSG00000110955,ENSG00000138777","HIBCH,ATP5A1,ERAL1,ACAT1,DAP3,HSD17B10,DGUOK,ECHS1,NUDT1,HADH,DTYMK,ACADM,IVD,HSPD1,IDH3G,RARS2,CS,DARS2,TEFM,PTCD1,GSTK1,CBR4,PCCB,QARS,TYMS,PRDX1,ETFA,ATP5C1,ATP5F1,DECR1,KARS,NDUFA9,CLPP,SHMT2,OAT,DLD,ABAT,SUCLG1,BLOC1S1,ETFB,PDHA1,GLUD1,ATXN3,ALDH7A1,IDH3B,PDHB,NDUFAB1,AASS,GARS,ATP5J2-PTCD1,NDUFA10,HSPE1,MDH2,PMPCB,ATP5B,PPA2",cellular_component,mitochondrial matrix,66,56,226,18.480605253,11.9511864147
GO:0006457,"ENSG00000166226,ENSG00000102595,ENSG00000131013,ENSG00000100380,ENSG00000113312,ENSG00000153015,ENSG00000167552,ENSG00000240344,ENSG00000123349,ENSG00000088832,ENSG00000136940,ENSG00000173486,ENSG00000114857,ENSG00000074695,ENSG00000115484,ENSG00000084072,ENSG00000143256,ENSG00000142892,ENSG00000205981,ENSG00000171497,ENSG00000171960,ENSG00000104129,ENSG00000179218,ENSG00000100591,ENSG00000146731,ENSG00000188229,ENSG00000117899,ENSG00000025796,ENSG00000096384,ENSG00000075624,ENSG00000116957,ENSG00000171530,ENSG00000143870,ENSG00000150753,ENSG00000185624,ENSG00000109971,ENSG00000090861,ENSG00000086061,ENSG00000080824,ENSG00000126698,ENSG00000138398,ENSG00000156261,ENSG00000166794,ENSG00000163468,ENSG00000164070,ENSG00000105993,ENSG00000183207,ENSG00000168259,ENSG00000113068,ENSG00000153201,ENSG00000166598,ENSG00000135624,ENSG00000164031,ENSG00000196262,ENSG00000141556,ENSG00000115541,ENSG00000066136,ENSG00000069345,ENSG00000118217,ENSG00000023318,ENSG00000120438,ENSG00000167004,ENSG00000126756,ENSG00000100209,ENSG00000113013","CCT2,UGGT2,PPIL4,ST13,TTC1,CWC27,TUBA1A,PPIL3,PFDN5,FKBP1A,PDCL,FKBP2,NKTR,LMAN1,CCT4,PPIE,PFDN2,PIGK,DNAJC19,PPID,PPIH,DNAJC17,CALR,AHSA1,CCT6A,TUBB4B,MESDC2,SEC63,HSP90AB1,ACTB,TBCE,TBCA,PDIA6,CCT5,P4HB,HSPA8,AARS,DNAJA1,HSP90AA1,DNAJC8,PPIG,CCT8,PPIB,CCT3,HSPA4L,DNAJB6,RUVBL2,DNAJC7,PFDN1,RANBP2,HSP90B1,CCT7,DNAJB14,PPIA,TBCD,HSPE1,NFYC,DNAJA2,ATF6,ERP44,TCP1,PDIA3,UXT,HSCB,HSPA9",biological_process,protein folding,79,65,210,18.3025176474,11.7730988091
GO:0003743,"ENSG00000178982,ENSG00000147677,ENSG00000149100,ENSG00000107581,ENSG00000084623,ENSG00000173812,ENSG00000075151,ENSG00000121022,ENSG00000175390,ENSG00000125977,ENSG00000100353,ENSG00000144895,ENSG00000110321,ENSG00000134001,ENSG00000242372,ENSG00000130811,ENSG00000139726,ENSG00000100664,ENSG00000100129,ENSG00000173674,ENSG00000135930,ENSG00000111361,ENSG00000119718,ENSG00000156976,ENSG00000070785,ENSG00000114784,ENSG00000104131,ENSG00000151247,ENSG00000122033,ENSG00000089195,ENSG00000104408,ENSG00000198692","EIF3K,EIF3H,EIF3M,EIF3A,EIF3I,EIF1,EIF4G3,COPS5,EIF3F,EIF2S2,EIF3D,EIF2A,EIF4G2,EIF2S1,EIF6,EIF3G,DENR,EIF5,EIF3L,EIF1AX,EIF4E2,EIF2B1,EIF2B2,EIF4A2,EIF2B3,EIF1B,EIF3J,EIF4E,MTIF3,TRMT6,EIF3E,EIF1AY",molecular_function,translation initiation factor activity,34,32,58,18.1364587475,11.6070399092
GO:0000398,"ENSG00000115524,ENSG00000170144,ENSG00000096746,ENSG00000168438,ENSG00000174891,ENSG00000115875,ENSG00000197111,ENSG00000087365,ENSG00000108654,ENSG00000112081,ENSG00000153187,ENSG00000126698,ENSG00000005075,ENSG00000131876,ENSG00000153015,ENSG00000096401,ENSG00000135829,ENSG00000143977,ENSG00000131795,ENSG00000139343,ENSG00000167088,ENSG00000176102,ENSG00000188342,ENSG00000021776,ENSG00000047315,ENSG00000125835,ENSG00000182004,ENSG00000183431,ENSG00000171960,ENSG00000060339,ENSG00000100603,ENSG00000115128,ENSG00000100142,ENSG00000105258,ENSG00000099817,ENSG00000114503,ENSG00000165119,ENSG00000100941,ENSG00000165934,ENSG00000133226,ENSG00000070756,ENSG00000136527,ENSG00000117614,ENSG00000039123,ENSG00000003756,ENSG00000077312,ENSG00000084072,ENSG00000169813,ENSG00000147669,ENSG00000147274,ENSG00000138668,ENSG00000123136,ENSG00000090060,ENSG00000060688,ENSG00000116754,ENSG00000108883,ENSG00000169045,ENSG00000099783,ENSG00000240344,ENSG00000125870,ENSG00000100410,ENSG00000065978,ENSG00000109536,ENSG00000117360,ENSG00000122566,ENSG00000100028,ENSG00000204392,ENSG00000163882,ENSG00000125944,ENSG00000168002,ENSG00000188529,ENSG00000124562,ENSG00000067596,ENSG00000198563,ENSG00000125351,ENSG00000240682,ENSG00000135316,ENSG00000149532,ENSG00000170860,ENSG00000162385,ENSG00000100650,ENSG00000092199,ENSG00000135486","SF3B1,HNRNPA3,HNRNPH3,CDC40,RSRC1,SRSF7,PCBP2,SF3B2,DDX5,SRSF3,HNRNPU,DNAJC8,POLR2J,SNRPA1,CWC27,CDC5L,DHX9,SNRPG,RBM8A,SNRPF,SNRPD1,CSTF3,GTF2F2,AQR,POLR2B,SNRPB,SNRPE,SF3A3,PPIH,CCAR1,SNW1,SF3B14,POLR2F,POLR2I,POLR2E,NCBP2,HNRNPK,PNN,CPSF2,SRRM1,PABPC1,TRA2B,SYF2,SKIV2L2,RBM5,SNRPA,PPIE,HNRNPF,POLR2K,RBMX,HNRNPD,DDX39A,PAPOLA,SNRNP40,SRSF11,EFTUD2,HNRNPH1,HNRNPM,PPIL3,SNRPB2,PHF5A,YBX1,FRG1,PRPF3,HNRNPA2B1,SNRPD3,LSM2,POLR2H,HNRNPR,POLR2G,SRSF10,SNRPC,DHX8,DDX39B,UPF3B,ISY1,SYNCRIP,CPSF7,LSM3,MAGOH,SRSF5,HNRNPC,HNRNPA1",biological_process,"mRNA splicing, via spliceosome",106,83,196,17.8837882584,11.3543694201
