,features_of_interest_in_go_term,features_of_interest_in_go_term_gene_symbols,go_domain,go_name,n_background_in_go_term,n_features_of_interest_in_go_term,n_features_total_in_go_term,negative_log_p_value,bonferonni_corrected_negative_log_p_value
GO:0006364,"ENSG00000233927,ENSG00000164934,ENSG00000105202,ENSG00000055044,ENSG00000182899,ENSG00000147679,ENSG00000123737,ENSG00000011260,ENSG00000138326,ENSG00000164346,ENSG00000120699,ENSG00000136718,ENSG00000108651,ENSG00000126524,ENSG00000164338,ENSG00000171311,ENSG00000183520,ENSG00000142676,ENSG00000137154,ENSG00000188846,ENSG00000075914,ENSG00000077348,ENSG00000198000,ENSG00000158526,ENSG00000130713,ENSG00000105193,ENSG00000105171,ENSG00000122085,ENSG00000161970,ENSG00000111615,ENSG00000084463,ENSG00000170515,ENSG00000101361,ENSG00000156697,ENSG00000105372,ENSG00000109536,ENSG00000148843,ENSG00000001497,ENSG00000213782,ENSG00000130826,ENSG00000122406,ENSG00000171863,ENSG00000119285,ENSG00000086189,ENSG00000166197","RPS28,DCAF13,FBL,NOP58,RPL35A,UTP23,EXOSC9,UTP18,RPS24,NSA2,EXOSC8,IMP4,UTP6,SBDS,UTP15,EXOSC1,UTP11L,RPL11,RPS6,RPL14,EXOSC7,EXOSC5,NOL8,TSR2,EXOSC2,RPS16,POP4,MTERFD2,RPL26,KRR1,WBP11,PA2G4,NOP56,UTP14A,RPS19,FRG1,PDCD11,LAS1L,DDX47,DKC1,RPL5,RPS7,HEATR1,DIMT1,NOLC1",biological_process,rRNA processing,51,45,103,19.5989400889,13.4045346978
GO:0007067,"ENSG00000113328,ENSG00000170312,ENSG00000143543,ENSG00000176386,ENSG00000159055,ENSG00000120539,ENSG00000164611,ENSG00000146425,ENSG00000130177,ENSG00000197771,ENSG00000121892,ENSG00000175063,ENSG00000079616,ENSG00000158402,ENSG00000204843,ENSG00000136098,ENSG00000111665,ENSG00000075131,ENSG00000010292,ENSG00000108010,ENSG00000168385,ENSG00000144635,ENSG00000153140,ENSG00000163808,ENSG00000108055,ENSG00000110200,ENSG00000169689,ENSG00000129534,ENSG00000088325,ENSG00000113712,ENSG00000138182,ENSG00000011485,ENSG00000141367,ENSG00000064102,ENSG00000137814,ENSG00000166974,ENSG00000089685,ENSG00000180198,ENSG00000147400,ENSG00000115760,ENSG00000184661,ENSG00000092036,ENSG00000100749,ENSG00000175792,ENSG00000124486,ENSG00000103275,ENSG00000135913,ENSG00000136014,ENSG00000175203,ENSG00000147601,ENSG00000101773,ENSG00000164162,ENSG00000053900,ENSG00000108264,ENSG00000156970,ENSG00000127337,ENSG00000152240,ENSG00000165416,ENSG00000121152,ENSG00000119969,ENSG00000136810,ENSG00000198887,ENSG00000186625,ENSG00000139350,ENSG00000163939,ENSG00000156831,ENSG00000196510,ENSG00000094880,ENSG00000147874,ENSG00000143228,ENSG00000113812,ENSG00000164114,ENSG00000007168,ENSG00000137100,ENSG00000182628,ENSG00000087586,ENSG00000141552,ENSG00000062650,ENSG00000165480,ENSG00000132341,ENSG00000094804,ENSG00000166197,ENSG00000058272,ENSG00000146918","CCNG1,CDK1,JTB,CDC26,MIS18A,MASTL,PTTG1,DYNLT1,CDC16,MCMBP,PDS5A,UBE2C,KIF22,CDC25C,DCTN1,NEK3,CDCA3,TIPIN,NCAPD2,GLRX3,SEPT2,DYNC1LI1,CETN3,KIF15,SMC3,ANAPC15,STRA13,MIS18BP1,TPX2,CSNK1A1,KIF20B,PPP5C,CLTC,ASUN,HAUS2,MAPRE2,BIRC5,RCC1,CETN2,BIRC6,CDCA2,HAUS4,VRK1,RUVBL1,USP9X,UBE2I,USP37,USP44,DCTN2,TERF1,RBBP8,ANAPC10,ANAPC4,TADA2A,BUB1B,YEATS4,HAUS1,SUGT1,NCAPH,HELLS,TXN,SMC5,KATNA1,NEDD1,PBRM1,NSMCE2,ANAPC7,CDC23,HAUS6,NUF2,ACTR8,MAP9,PAFAH1B1,DCTN3,SKA2,AURKA,ANAPC11,WAPAL,SKA3,RAN,CDC6,NOLC1,PPP1R12A,NCAPG2",biological_process,mitosis,108,84,204,19.5748739996,13.3804686085
GO:0006200,"ENSG00000152234,ENSG00000116062,ENSG00000131473,ENSG00000133119,ENSG00000106268,ENSG00000241468,ENSG00000138430,ENSG00000138346,ENSG00000215301,ENSG00000119912,ENSG00000095002,ENSG00000166855,ENSG00000087191,ENSG00000163636,ENSG00000138182,ENSG00000119541,ENSG00000100764,ENSG00000112159,ENSG00000071794,ENSG00000163161,ENSG00000165629,ENSG00000076242,ENSG00000116459,ENSG00000138138,ENSG00000144381,ENSG00000080824,ENSG00000171681,ENSG00000197299,ENSG00000183207,ENSG00000064933,ENSG00000167863,ENSG00000169020,ENSG00000153147,ENSG00000100519,ENSG00000154723,ENSG00000161057,ENSG00000241837,ENSG00000131778,ENSG00000047249,ENSG00000186625,ENSG00000110955,ENSG00000127603","ATP5A1,MSH6,ACLY,RFC3,NUDT1,ATP5J2,OLA1,DNA2,DDX3X,IDE,MSH2,CLPX,PSMC5,PSMD6,KIF20B,VPS4B,PSMC1,MDN1,HLTF,ERCC3,ATP5C1,MLH1,ATP5F1,ATAD1,HSPD1,HSP90AA1,ATF7IP,BLM,RUVBL2,PMS1,ATP5H,ATP5I,SMARCA5,PSMC6,ATP5J,PSMC2,ATP5O,CHD1L,ATP6V1H,KATNA1,ATP5B,MACF1",biological_process,ATP catabolic process,47,42,88,19.4658014213,13.2713960302
GO:0006886,"ENSG00000095139,ENSG00000184432,ENSG00000100934,ENSG00000082898,ENSG00000157823,ENSG00000124207,ENSG00000083312,ENSG00000108424,ENSG00000196497,ENSG00000213465,ENSG00000205339,ENSG00000104388,ENSG00000198700,ENSG00000075790,ENSG00000143761,ENSG00000161203,ENSG00000135775,ENSG00000177879,ENSG00000107651,ENSG00000109113,ENSG00000128731,ENSG00000134375,ENSG00000169180,ENSG00000115234,ENSG00000102977,ENSG00000103769,ENSG00000166887,ENSG00000185305,ENSG00000134265,ENSG00000134262,ENSG00000180879,ENSG00000101310,ENSG00000105402,ENSG00000249915,ENSG00000144118,ENSG00000138175,ENSG00000168118,ENSG00000138768,ENSG00000213983,ENSG00000118873,ENSG00000105576,ENSG00000053770,ENSG00000166128,ENSG00000174100,ENSG00000042753,ENSG00000143553,ENSG00000196586,ENSG00000079332,ENSG00000166922,ENSG00000111481,ENSG00000120805,ENSG00000182934,ENSG00000132341,ENSG00000168461,ENSG00000168374,ENSG00000138297,ENSG00000138069,ENSG00000122218,ENSG00000006715,ENSG00000100280,ENSG00000124571,ENSG00000152700,ENSG00000100568,ENSG00000185009,ENSG00000127314,ENSG00000136631,ENSG00000129515,ENSG00000204764,ENSG00000188419,ENSG00000164144,ENSG00000174903,ENSG00000258466,ENSG00000072958,ENSG00000129083,ENSG00000132842,ENSG00000164885,ENSG00000143545,ENSG00000181163,ENSG00000196683,ENSG00000136738,ENSG00000010292,ENSG00000094631,ENSG00000086200,ENSG00000137502,ENSG00000099246,ENSG00000185236,ENSG00000143622,ENSG00000105438,ENSG00000126768,ENSG00000004059,ENSG00000115145,ENSG00000158623,ENSG00000141367,ENSG00000065150,ENSG00000205302,ENSG00000141198,ENSG00000250021,ENSG00000129354","ARCN1,COPB2,SEC23A,XPO1,AP3S2,CSE1L,TNPO1,KPNB1,IPO4,ARL2,IPO7,RAB2A,IPO9,BCAP29,ARF1,AP2M1,COG2,AP3S1,SEC23IP,RAB34,HERC2,TIMM17A,XPO6,SNX17,ACD,RAB11A,VPS39,ARL15,NAPG,AP4B1,SSR4,SEC23B,NAPA,PDCD6,RALB,ARL3,RAB4A,USO1,AP1G2,RAB3GAP2,TNPO2,AP5M1,RAB8B,MRPL45,AP2S1,SNAPIN,MYO6,SAR1A,SCG5,COPZ1,ARL1,SRPR,RAN,RAB31,ARF4,TIMM23,RAB1A,COPA,VPS41,AP1B1,XPO5,SAR1B,VTI1B,AP3M1,RAP1B,VPS45,SNX6,RANBP17,CHM,ARFIP1,RAB1B,RP11-1012A1.4,AP1M1,COPB1,AP3B1,CDK5,RAB13,NPM1,TOMM7,STAM,NCAPD2,HDAC6,IPO11,RAB30,RAB18,RAB11B,RIT1,KDELR1,TIMM17B,ARF5,STAM2,COPG2,CLTC,IPO5,SNX2,TOM1L1,C15orf38-AP3S2,AP1M2",biological_process,intracellular protein transport,130,98,342,19.2943743639,13.0999689728
GO:0045892,"ENSG00000115641,ENSG00000121211,ENSG00000138433,ENSG00000094631,ENSG00000102054,ENSG00000197323,ENSG00000117139,ENSG00000130726,ENSG00000120798,ENSG00000186010,ENSG00000048649,ENSG00000074266,ENSG00000123349,ENSG00000084093,ENSG00000167085,ENSG00000074800,ENSG00000079246,ENSG00000108468,ENSG00000196591,ENSG00000149600,ENSG00000024526,ENSG00000129515,ENSG00000004487,ENSG00000196419,ENSG00000129351,ENSG00000087191,ENSG00000134308,ENSG00000169057,ENSG00000179218,ENSG00000181090,ENSG00000123124,ENSG00000100603,ENSG00000073584,ENSG00000122779,ENSG00000074319,ENSG00000100211,ENSG00000089685,ENSG00000111653,ENSG00000171720,ENSG00000101158,ENSG00000143190,ENSG00000116030,ENSG00000117724,ENSG00000100888,ENSG00000094916,ENSG00000109118,ENSG00000103275,ENSG00000166200,ENSG00000109971,ENSG00000215021,ENSG00000141027,ENSG00000108788,ENSG00000170242,ENSG00000008083,ENSG00000012048,ENSG00000166164,ENSG00000029363,ENSG00000122565,ENSG00000112312,ENSG00000170515,ENSG00000164885,ENSG00000105993,ENSG00000175387,ENSG00000065978,ENSG00000174744,ENSG00000144744,ENSG00000179222,ENSG00000152284,ENSG00000106462,ENSG00000137309,ENSG00000164190,ENSG00000119335,ENSG00000124831,ENSG00000171681,ENSG00000082701,ENSG00000087206,ENSG00000130816,ENSG00000168214,ENSG00000100320,ENSG00000163666,ENSG00000256771,ENSG00000095564,ENSG00000171056,ENSG00000156469,ENSG00000139613","FHL2,MND1,CIR1,HDAC6,RBBP7,TRIM33,KDM5B,TRIM28,NR2C1,NDUFA13,RSF1,EED,PFDN5,REST,PHB,ENO1,XRCC5,CBX1,HDAC2,COMMD7,DEPDC1,SNX6,KDM1A,XRCC6,ILF3,PSMC5,YWHAQ,MECP2,CALR,EHMT1,WWP1,SNW1,SMARCE1,TRIM24,TSG101,CBY1,BIRC5,ING4,HDAC3,NELFCD,POU2F1,SUMO1,CENPF,CHD8,CBX5,PHF12,UBE2I,COPS2,HSPA8,PHB2,NCOR1,MLX,USP47,JARID2,BRCA1,BRD7,BCLAF1,CBX3,GMNN,PA2G4,CDK5,DNAJB6,SMAD2,YBX1,BRMS1,UBA3,MAGED1,TCF7L1,EZH2,HMGA1,NIPBL,SET,LRRFIP1,ATF7IP,GSK3B,UIMC1,DNMT1,RBPJ,RBFOX2,HESX1,ZNF253,BTAF1,SOX7,MTERFD1,SMARCC2",biological_process,"negative regulation of transcription, DNA-dependent",110,85,496,19.1902356623,12.9958302712
GO:0006367,"ENSG00000111358,ENSG00000134480,ENSG00000197323,ENSG00000130726,ENSG00000120798,ENSG00000163882,ENSG00000170315,ENSG00000005075,ENSG00000082258,ENSG00000110768,ENSG00000145736,ENSG00000136807,ENSG00000188342,ENSG00000197780,ENSG00000160563,ENSG00000114126,ENSG00000020426,ENSG00000112592,ENSG00000221983,ENSG00000100603,ENSG00000100142,ENSG00000105258,ENSG00000099817,ENSG00000159479,ENSG00000054118,ENSG00000163161,ENSG00000124486,ENSG00000005339,ENSG00000085231,ENSG00000047315,ENSG00000148572,ENSG00000147669,ENSG00000106290,ENSG00000141027,ENSG00000112237,ENSG00000143799,ENSG00000165417,ENSG00000133997,ENSG00000124641,ENSG00000175387,ENSG00000143947,ENSG00000144231,ENSG00000064313,ENSG00000064995,ENSG00000120656,ENSG00000077809,ENSG00000115216,ENSG00000168002,ENSG00000134058,ENSG00000140307,ENSG00000137947,ENSG00000168214,ENSG00000125686,ENSG00000129315,ENSG00000136146,ENSG00000164758","GTF2H3,CCNH,TRIM33,TRIM28,NR2C1,POLR2H,UBB,POLR2J,CCNT2,GTF2H1,GTF2H2,CDK9,GTF2F2,TAF13,MED27,TFDP2,MNAT1,TBP,UBA52,SNW1,POLR2F,POLR2I,POLR2E,MED8,THRAP3,ERCC3,USP9X,CREBBP,TAF9,POLR2B,NRBF2,POLR2K,TAF6,NCOR1,CCNC,PARP1,GTF2A1,MED6,MED20,SMAD2,RPS27A,POLR2D,TAF2,TAF11,TAF12,GTF2I,NRBP1,POLR2G,CDK7,GTF2A2,GTF2B,RBPJ,MED1,CCNT1,MED4,MED30",biological_process,transcription initiation from RNA polymerase II promoter,67,56,204,18.9142794833,12.7198740922
GO:0055085,"ENSG00000131269,ENSG00000112759,ENSG00000111371,ENSG00000014824,ENSG00000183032,ENSG00000165637,ENSG00000166206,ENSG00000092068,ENSG00000138459,ENSG00000167996,ENSG00000213585,ENSG00000136868,ENSG00000164466,ENSG00000103769,ENSG00000069849,ENSG00000183605,ENSG00000047410,ENSG00000030066,ENSG00000151914,ENSG00000114573,ENSG00000155380,ENSG00000117410,ENSG00000163399,ENSG00000095319,ENSG00000100372,ENSG00000102900,ENSG00000085415,ENSG00000156515,ENSG00000134294,ENSG00000119688,ENSG00000072274,ENSG00000129353,ENSG00000147416,ENSG00000136888,ENSG00000069248,ENSG00000155097,ENSG00000125450,ENSG00000094914,ENSG00000121073,ENSG00000141349,ENSG00000103064,ENSG00000113569,ENSG00000136243,ENSG00000159720,ENSG00000110713,ENSG00000164414,ENSG00000113732,ENSG00000013306,ENSG00000078668,ENSG00000196950,ENSG00000124789,ENSG00000108559,ENSG00000164073,ENSG00000124786,ENSG00000111581,ENSG00000101974,ENSG00000156875,ENSG00000136856,ENSG00000138074,ENSG00000100554,ENSG00000004864,ENSG00000153201,ENSG00000131100,ENSG00000087086,ENSG00000165349,ENSG00000114120,ENSG00000205060,ENSG00000164038,ENSG00000120253,ENSG00000144136,ENSG00000138750,ENSG00000070961,ENSG00000047249,ENSG00000033867,ENSG00000008952,ENSG00000033627,ENSG00000101146,ENSG00000017260,ENSG00000156398,ENSG00000034693","ABCB7,SLC29A1,SLC38A1,SLC30A9,SLC25A21,VDAC2,GABRB3,SLC7A8,SLC35A5,FTH1,VDAC1,SLC31A1,SFXN1,RAB11A,ATP1B3,SFXN4,TPR,NUP160,DST,ATP6V1A,SLC16A1,ATP6V0B,ATP1A1,NUP188,SLC25A17,NUP93,SEH1L,HK1,SLC38A2,ABCD4,TFRC,SLC44A2,ATP6V1B2,ATP6V1G1,NUP133,ATP6V1C1,NUP85,AAAS,SLC35B1,G6PC3,SLC7A6,NUP155,NUPL2,ATP6V0D1,NUP98,SLC35A1,ATP6V0E1,SLC25A39,VDAC3,SLC39A10,NUP153,NUP88,MFSD8,SLC35B3,NUP107,ATP11C,HIAT1,SLC2A8,SLC5A6,ATP6V1D,SLC25A13,RANBP2,ATP6V1E1,FTL,SLC7A3,SLC25A36,SLC35B4,SLC9B2,NUP43,SLC20A1,NUP54,ATP2B1,ATP6V1H,SLC4A7,SEC62,ATP6V0A1,RAE1,ATP2C1,SFXN2,PEX3",biological_process,transmembrane transport,103,80,723,18.6519949916,12.4575896005
GO:0007049,"ENSG00000132780,ENSG00000103769,ENSG00000185236,ENSG00000094880,ENSG00000117399,ENSG00000152359,ENSG00000131931,ENSG00000162493,ENSG00000175063,ENSG00000168393,ENSG00000133134,ENSG00000075131,ENSG00000116741,ENSG00000082258,ENSG00000182149,ENSG00000100865,ENSG00000136807,ENSG00000107949,ENSG00000096401,ENSG00000213465,ENSG00000146872,ENSG00000092853,ENSG00000100014,ENSG00000167670,ENSG00000020426,ENSG00000186522,ENSG00000138175,ENSG00000099956,ENSG00000060339,ENSG00000126581,ENSG00000011454,ENSG00000119541,ENSG00000100393,ENSG00000118971,ENSG00000125354,ENSG00000196235,ENSG00000081154,ENSG00000196504,ENSG00000105058,ENSG00000159140,ENSG00000109971,ENSG00000168385,ENSG00000178999,ENSG00000260916,ENSG00000069956,ENSG00000135249,ENSG00000175054,ENSG00000123975,ENSG00000012048,ENSG00000166164,ENSG00000136098,ENSG00000090316,ENSG00000172531,ENSG00000101266,ENSG00000159593,ENSG00000123485,ENSG00000122952,ENSG00000204628,ENSG00000126249,ENSG00000113068,ENSG00000065243,ENSG00000080345,ENSG00000144118,ENSG00000156970,ENSG00000135164,ENSG00000141446,ENSG00000166946,ENSG00000140525,ENSG00000087586,ENSG00000152942,ENSG00000076382,ENSG00000129315,ENSG00000138758,ENSG00000166197,ENSG00000134057","NASP,RAB11A,RAB11B,CDC23,CDC20,POC5,THAP1,PDPN,UBE2C,DTYMK,BEX2,TIPIN,RGS2,CCNT2,IST1,CINP,CDK9,BCCIP,CDC5L,ARL2,TLK2,CLSPN,SPECC1L,CHAF1A,MNAT1,SEPT10,ARL3,SMARCB1,CCAR1,BECN1,RABGAP1,VPS4B,EP300,CCND2,SEPT6,SUPT5H,PCNP,PRPF40A,FAM32A,SON,HSPA8,SEPT2,AURKB,CCPG1,MAPK6,RINT1,ATR,CKS2,BRCA1,BRD7,NEK3,MAEA,PPP1CA,CSNK2A1,NAE1,HJURP,ZWINT,GNB2L1,PDCD2L,PFDN1,PKN2,RIF1,RALB,BUB1B,DMTF1,ESCO1,CCNDBP1,FANCI,AURKA,RAD17,SPAG5,CCNT1,SEPT11,NOLC1,CCNB1",biological_process,cell cycle,96,75,270,18.126806885,11.9324014939
GO:0006508,"ENSG00000166562,ENSG00000144827,ENSG00000136943,ENSG00000079387,ENSG00000243989,ENSG00000002549,ENSG00000184903,ENSG00000164344,ENSG00000109861,ENSG00000121022,ENSG00000164305,ENSG00000129559,ENSG00000177889,ENSG00000136758,ENSG00000072274,ENSG00000174093,ENSG00000119912,ENSG00000175390,ENSG00000137509,ENSG00000141385,ENSG00000112701,ENSG00000139684,ENSG00000185515,ENSG00000118363,ENSG00000087191,ENSG00000108039,ENSG00000163636,ENSG00000164024,ENSG00000099341,ENSG00000089123,ENSG00000196704,ENSG00000100600,ENSG00000161057,ENSG00000135047,ENSG00000148950,ENSG00000100764,ENSG00000164062,ENSG00000162736,ENSG00000149131,ENSG00000078618,ENSG00000084073,ENSG00000110429,ENSG00000074603,ENSG00000142892,ENSG00000124356,ENSG00000125656,ENSG00000133313,ENSG00000091140,ENSG00000175193,ENSG00000165688,ENSG00000196236,ENSG00000138078,ENSG00000111142,ENSG00000114786,ENSG00000114902,ENSG00000168397,ENSG00000111144,ENSG00000116288,ENSG00000144744,ENSG00000113851,ENSG00000010256,ENSG00000167770,ENSG00000141279,ENSG00000107959,ENSG00000157193,ENSG00000135049,ENSG00000106066,ENSG00000140612,ENSG00000127922,ENSG00000105819,ENSG00000162601,ENSG00000163904,ENSG00000121064","SEC11C,ABHD10,CTSV,SENP1,ACY1,LAP3,IMMP2L,KLKB1,CTSC,COPS5,CASP3,NEDD8,UBE2N,YME1L1,TFRC,RP11-1407O15.2,IDE,EIF3F,PRCP,AFG3L2,SENP6,ESD,BRCC3,SPCS2,PSMC5,XPNPEP1,PSMD6,METAP1,PSMD8,TASP1,AMZ2,LGMN,PSMC2,CTSL,IMMP1L,PSMC1,APEH,NCSTN,SERPING1,NRD1,ZMPSTE24,FBXO3,DPP8,PIGK,STAMBP,CLPP,CNDP2,DLD,PARL,PMPCA,XPNPEP3,PREPL,METAP2,ABHD14A-ACY1,SPCS1,ATG4B,LTA4H,PARK7,UBA3,CRBN,UQCRC1,OTUB1,NPEPPS,PITRM1,LRP8,AGTPBP1,CPVL,SEC11A,SHFM1,PMPCB,MYSM1,SENP2,SCPEP1",biological_process,proteolysis,93,73,537,18.0944944944,11.9000891033
GO:0006511,"ENSG00000013374,ENSG00000185651,ENSG00000108094,ENSG00000177479,ENSG00000078140,ENSG00000078747,ENSG00000114374,ENSG00000094880,ENSG00000110801,ENSG00000041357,ENSG00000108671,ENSG00000175063,ENSG00000129559,ENSG00000177889,ENSG00000166266,ENSG00000100567,ENSG00000101557,ENSG00000094631,ENSG00000164162,ENSG00000182670,ENSG00000114316,ENSG00000130939,ENSG00000145604,ENSG00000109189,ENSG00000256646,ENSG00000100225,ENSG00000159459,ENSG00000154582,ENSG00000102226,ENSG00000129084,ENSG00000135655,ENSG00000077254,ENSG00000124486,ENSG00000103275,ENSG00000090686,ENSG00000135913,ENSG00000100902,ENSG00000136014,ENSG00000168883,ENSG00000161011,ENSG00000053900,ENSG00000055130,ENSG00000170242,ENSG00000163961,ENSG00000100519,ENSG00000119048,ENSG00000104517,ENSG00000118939,ENSG00000167196,ENSG00000066427,ENSG00000155827,ENSG00000106588,ENSG00000070010,ENSG00000143106,ENSG00000143476,ENSG00000103194,ENSG00000140455,ENSG00000154277,ENSG00000142507,ENSG00000187555,ENSG00000161057,ENSG00000115464,ENSG00000125818,ENSG00000135108,ENSG00000089053,ENSG00000115233,ENSG00000138592,ENSG00000256206,ENSG00000162607,ENSG00000051108,ENSG00000101182","NUB1,UBE2L3,CUL2,ARIH2,UBE2K,ITCH,USP9Y,CDC23,PSMD9,PSMA4,PSMD11,UBE2C,NEDD8,UBE2N,CUL5,PSMA3,USP14,HDAC6,ANAPC10,TTC3,USP4,UBE4B,SKP2,USP46,PSMA2,FBXO7,UBR1,TCEB1,USP11,PSMA1,USP15,USP33,USP9X,UBE2I,USP48,USP37,PSMA6,USP44,USP39,SQSTM1,ANAPC4,CUL1,USP47,RNF168,PSMC6,UBE2B,UBR5,UCHL3,FBXO22,ATXN3,RNF20,PSMA2,UFD1L,PSMA5,DTL,USP10,USP3,UCHL1,PSMB6,USP7,PSMC2,USP34,PSMF1,FBXO21,ANAPC5,PSMD14,USP8,PSMA1,USP1,HERPUD1,PSMA7",biological_process,ubiquitin-dependent protein catabolic process,90,71,196,18.0713697878,11.8769643967
