,features_of_interest_in_go_term,features_of_interest_in_go_term_gene_symbols,go_domain,go_name,n_background_in_go_term,n_features_of_interest_in_go_term,n_features_total_in_go_term,negative_log_p_value,bonferonni_corrected_negative_log_p_value
GO:0045944,"ENSG00000198791,ENSG00000064313,ENSG00000123562,ENSG00000014824,ENSG00000134480,ENSG00000196419,ENSG00000175387,ENSG00000140395,ENSG00000067369,ENSG00000091409,ENSG00000087302,ENSG00000187735,ENSG00000099956,ENSG00000089289,ENSG00000104064,ENSG00000137815,ENSG00000143190,ENSG00000100644,ENSG00000128272,ENSG00000163161,ENSG00000100393,ENSG00000143575,ENSG00000146247,ENSG00000253729,ENSG00000188994,ENSG00000140307,ENSG00000082701,ENSG00000114126,ENSG00000168214,ENSG00000101928,ENSG00000058272,ENSG00000170315,ENSG00000248643,ENSG00000118418,ENSG00000110768,ENSG00000099204,ENSG00000136807,ENSG00000004487,ENSG00000113658,ENSG00000101017,ENSG00000213523,ENSG00000221983,ENSG00000131747,ENSG00000163904,ENSG00000100888,ENSG00000170365,ENSG00000260916,ENSG00000085231,ENSG00000117000,ENSG00000012048,ENSG00000164985,ENSG00000133997,ENSG00000196586,ENSG00000078403,ENSG00000143947,ENSG00000083635,ENSG00000161011,ENSG00000134058,ENSG00000068305,ENSG00000147274,ENSG00000101161,ENSG00000129315,ENSG00000136108,ENSG00000079387,ENSG00000006712,ENSG00000108654,ENSG00000165119,ENSG00000196591,ENSG00000020426,ENSG00000022840,ENSG00000100603,ENSG00000173473,ENSG00000063978,ENSG00000054118,ENSG00000123219,ENSG00000241186,ENSG00000096872,ENSG00000101577,ENSG00000105835,ENSG00000152944,ENSG00000100201,ENSG00000125686,ENSG00000160633,ENSG00000124151,ENSG00000121022,ENSG00000169714,ENSG00000082258,ENSG00000215301,ENSG00000196235,ENSG00000183258,ENSG00000141380,ENSG00000136319,ENSG00000160199,ENSG00000133169,ENSG00000005339,ENSG00000119866,ENSG00000112237,ENSG00000115966,ENSG00000108518,ENSG00000183576,ENSG00000025156,ENSG00000135541,ENSG00000166477,ENSG00000118260,ENSG00000118217,ENSG00000189403","CNOT7,TAF2,MORF4L2,SLC30A9,CCNH,XRCC6,SMAD2,WDR61,TP53BP1,ITGA6,C14orf166,TCEA1,SMARCB1,IGBP1,GABPB1,RTF1,POU2F1,HIF1A,ATF4,ERCC3,EP300,HAX1,PHIP,PRKDC,ZNF292,GTF2A2,GSK3B,TFDP2,RBPJ,MOSPD1,PPP1R12A,UBB,RBM14-RBM4,HMGN3,GTF2H1,ABLIM1,CDK9,KDM1A,SMAD5,CD40,SRA1,UBA52,TOP2A,SENP2,CHD8,SMAD1,CCPG1,TAF9,RLF,BRCA1,PSIP1,MED6,MYO6,MLLT10,RPS27A,NUFIP1,SQSTM1,CDK7,MEF2A,RBMX,PRPF6,CCNT1,CKAP2,SENP1,PAF1,DDX5,HNRNPK,HDAC2,MNAT1,RNF10,SNW1,SMARCC1,RNF4,THRAP3,CENPK,TDGF1,IFT74,LPIN2,NAMPT,MED21,DDX17,MED1,SAFB,NCOA3,COPS5,CNBP,CCNT2,DDX3X,SUPT5H,DDX41,SS18,TTC5,PKNOX1,BEX1,CREBBP,BCL11A,CCNC,ATF2,PFN1,SETD3,HSF2,AHI1,LEO1,CREB1,ATF6,HMGB1",biological_process,positive regulation of transcription from RNA polymerase II promoter,141,106,771,20.379918672,13.6264807534
GO:0006396,"ENSG00000096746,ENSG00000105202,ENSG00000173933,ENSG00000088930,ENSG00000163714,ENSG00000067596,ENSG00000138385,ENSG00000153187,ENSG00000108651,ENSG00000003756,ENSG00000107290,ENSG00000153250,ENSG00000059588,ENSG00000152795,ENSG00000139343,ENSG00000176102,ENSG00000183258,ENSG00000075856,ENSG00000079134,ENSG00000135900,ENSG00000144048,ENSG00000185246,ENSG00000198554,ENSG00000163660,ENSG00000138668,ENSG00000165119,ENSG00000111880,ENSG00000072756,ENSG00000102317,ENSG00000100201,ENSG00000169813,ENSG00000160710,ENSG00000138035,ENSG00000060688,ENSG00000131051,ENSG00000113360,ENSG00000084463,ENSG00000090621,ENSG00000083635,ENSG00000148843,ENSG00000248643,ENSG00000171824,ENSG00000130826,ENSG00000137996,ENSG00000171861,ENSG00000135316,ENSG00000101161,ENSG00000169045,ENSG00000004534","HNRNPH3,FBL,RBM4,XRN2,U2SURP,DHX8,SSB,HNRNPU,UTP6,RBM5,SETX,RBMS1,TARBP1,HNRNPDL,SNRPF,CSTF3,DDX41,SART3,THOC1,MRPL44,DUSP11,PRPF39,WDHD1,CCNL1,HNRNPD,HNRNPK,RNGTT,TRNT1,RBM3,DDX17,HNRNPF,ADAR,PNPT1,SNRNP40,RBM39,DROSHA,WBP11,PABPC4,NUFIP1,PDCD11,RBM14-RBM4,EXOSC10,DKC1,RTCA,RNMTL1,SYNCRIP,PRPF6,HNRNPH1,RBM6",biological_process,RNA processing,56,49,97,20.359791592,13.6063536734
GO:0022625,"ENSG00000174444,ENSG00000197958,ENSG00000182899,ENSG00000116251,ENSG00000121766,ENSG00000241343,ENSG00000162244,ENSG00000177600,ENSG00000188846,ENSG00000142676,ENSG00000215472,ENSG00000144713,ENSG00000166441,ENSG00000114391,ENSG00000221983,ENSG00000122026,ENSG00000265681,ENSG00000063177,ENSG00000100316,ENSG00000137818,ENSG00000167526,ENSG00000125691,ENSG00000147403,ENSG00000105640,ENSG00000131469,ENSG00000161970,ENSG00000197756,ENSG00000089157,ENSG00000163682,ENSG00000229117,ENSG00000109475,ENSG00000174748,ENSG00000198755,ENSG00000122406,ENSG00000142541,ENSG00000156482,ENSG00000130255","RPL4,RPL12,RPL35A,RPL22,ZCCHC17,RPL36A,RPL29,RPLP2,RPL14,RPL11,RPL17-C18orf32,RPL32,RPL27A,RPL24,UBA52,RPL21,RPL17,RPL18,RPL3,RPLP1,RPL13,RPL23,RPL10,RPL18A,RPL27,RPL26,RPL37A,RPLP0,RPL9,RPL41,RPL34,RPL15,RPL10A,RPL5,RPL13A,RPL30,RPL36",cellular_component,cytosolic large ribosomal subunit,40,37,55,20.1558242556,13.402386337
GO:0043066,"ENSG00000080815,ENSG00000102265,ENSG00000243678,ENSG00000164305,ENSG00000091409,ENSG00000134248,ENSG00000089289,ENSG00000126581,ENSG00000011052,ENSG00000089685,ENSG00000100644,ENSG00000113328,ENSG00000124356,ENSG00000160710,ENSG00000084207,ENSG00000113013,ENSG00000119969,ENSG00000106052,ENSG00000012061,ENSG00000083093,ENSG00000126432,ENSG00000166598,ENSG00000176171,ENSG00000082701,ENSG00000114125,ENSG00000103429,ENSG00000101843,ENSG00000133112,ENSG00000170312,ENSG00000078747,ENSG00000143384,ENSG00000143543,ENSG00000112096,ENSG00000087884,ENSG00000004487,ENSG00000146247,ENSG00000172113,ENSG00000131238,ENSG00000144381,ENSG00000171720,ENSG00000166181,ENSG00000100888,ENSG00000092140,ENSG00000196975,ENSG00000159140,ENSG00000166333,ENSG00000085231,ENSG00000170242,ENSG00000134982,ENSG00000138376,ENSG00000164111,ENSG00000153774,ENSG00000120885,ENSG00000070669,ENSG00000171862,ENSG00000172757,ENSG00000160049,ENSG00000101966,ENSG00000113161,ENSG00000163697,ENSG00000196591,ENSG00000149089,ENSG00000020426,ENSG00000198625,ENSG00000164109,ENSG00000149311,ENSG00000044115,ENSG00000126226,ENSG00000158234,ENSG00000085721,ENSG00000213722,ENSG00000135541,ENSG00000241186,ENSG00000129562,ENSG00000181163,ENSG00000119048,ENSG00000156502,ENSG00000114209,ENSG00000125686,ENSG00000005194,ENSG00000115641,ENSG00000164924,ENSG00000169398,ENSG00000187325,ENSG00000108443,ENSG00000165672,ENSG00000215301,ENSG00000079246,ENSG00000116761,ENSG00000167815,ENSG00000147649,ENSG00000095002,ENSG00000167315,ENSG00000115760,ENSG00000165060,ENSG00000188976,ENSG00000070501,ENSG00000181061,ENSG00000110330,ENSG00000097033","PSEN1,TIMP1,NME1-NME2,CASP3,ITGA6,LAMTOR5,IGBP1,BECN1,NME2,BIRC5,HIF1A,CCNG1,STAMBP,ADAR,GSTP1,HSPA9,HELLS,TAX1BP1,ERCC1,PALB2,PRDX5,HSP90B1,BNIP3,GSK3B,RNF7,BFAR,PSMD10,TPT1,CDK1,ITCH,MCL1,JTB,SOD2,AAMDC,KDM1A,PHIP,NME6,PPT1,HSPD1,HDAC3,API5,CHD8,G2E3,ANXA4,SON,ILK,TAF9,USP47,APC,BARD1,ANXA5,CFDP1,CLU,ASNS,PTEN,CFL1,DFFA,XIAP,HMGCR,APBB2,HDAC2,APIP,MNAT1,MDM4,MAD2L1,ATM,CTNNA1,PCID2,FAIM,RRN3,DDAH2,AHI1,TDGF1,DAD1,NPM1,UBE2B,SUPV3L1,PDCD10,MED1,CIAPIN1,FHL2,YWHAZ,PTK2,TAF9B,RPS6KB1,PRDX3,DDX3X,XRCC5,CTH,PRDX2,MTDH,MSH2,ACAA2,BIRC6,FXN,NOC2L,POLB,HIGD1A,BIRC2,SH3GLB1",biological_process,negative regulation of apoptotic process,132,100,540,20.1118097902,13.3583718716
GO:0019901,"ENSG00000144451,ENSG00000134480,ENSG00000140694,ENSG00000163660,ENSG00000158402,ENSG00000111725,ENSG00000183765,ENSG00000112984,ENSG00000214517,ENSG00000165672,ENSG00000143543,ENSG00000082258,ENSG00000239672,ENSG00000177885,ENSG00000095002,ENSG00000123983,ENSG00000154096,ENSG00000151849,ENSG00000134759,ENSG00000088325,ENSG00000149269,ENSG00000005700,ENSG00000169398,ENSG00000159346,ENSG00000103995,ENSG00000213066,ENSG00000011052,ENSG00000096384,ENSG00000101391,ENSG00000075624,ENSG00000100644,ENSG00000171862,ENSG00000151422,ENSG00000181929,ENSG00000137154,ENSG00000170365,ENSG00000075711,ENSG00000166333,ENSG00000105173,ENSG00000069956,ENSG00000080824,ENSG00000112029,ENSG00000112237,ENSG00000070831,ENSG00000115966,ENSG00000198901,ENSG00000135913,ENSG00000150093,ENSG00000144034,ENSG00000118971,ENSG00000181163,ENSG00000134758,ENSG00000204392,ENSG00000134982,ENSG00000147065,ENSG00000161011,ENSG00000163399,ENSG00000082701,ENSG00000134057,ENSG00000068305,ENSG00000136238,ENSG00000087586,ENSG00000149273,ENSG00000129315,ENSG00000058272","SPAG16,CCNH,PARN,CCNL1,CDC25C,PRKAB1,CHEK2,KIF20A,PPME1,PRDX3,JTB,CCNT2,NME1,GRB2,MSH2,ACSL3,THY1,CENPJ,ELP2,TPX2,PAK1,IBTK,PTK2,ADIPOR1,CEP152,FGFR1OP,NME2,HSP90AB1,CDK5RAP1,ACTB,HIF1A,PTEN,FER,PRKAG1,RPS6,SMAD1,DLG1,ILK,CCNE1,MAPK6,HSP90AA1,FBXO5,CCNC,CDC42,ATF2,PRC1,USP37,ITGB1,TPRKB,CCND2,NPM1,RNF138,LSM2,APC,MSN,SQSTM1,ATP1A1,GSK3B,CCNB1,MEF2A,RAC1,AURKA,RPS3,CCNT1,PPP1R12A",molecular_function,protein kinase binding,79,65,304,20.1071753691,13.3537374505
GO:0016887,"ENSG00000131269,ENSG00000152234,ENSG00000198356,ENSG00000163636,ENSG00000133119,ENSG00000241468,ENSG00000138346,ENSG00000215301,ENSG00000119912,ENSG00000156802,ENSG00000144381,ENSG00000095002,ENSG00000164163,ENSG00000204574,ENSG00000116062,ENSG00000166855,ENSG00000087191,ENSG00000112159,ENSG00000138182,ENSG00000119688,ENSG00000165916,ENSG00000119541,ENSG00000100764,ENSG00000071794,ENSG00000163161,ENSG00000165629,ENSG00000076242,ENSG00000116459,ENSG00000138138,ENSG00000143748,ENSG00000080824,ENSG00000186625,ENSG00000197102,ENSG00000104738,ENSG00000171681,ENSG00000197299,ENSG00000183207,ENSG00000064933,ENSG00000167863,ENSG00000169020,ENSG00000153147,ENSG00000100519,ENSG00000154723,ENSG00000161057,ENSG00000241837,ENSG00000131778,ENSG00000047249,ENSG00000161204,ENSG00000187240,ENSG00000110955,ENSG00000127603","ABCB7,ATP5A1,ASNA1,PSMD6,RFC3,ATP5J2,DNA2,DDX3X,IDE,ATAD2,HSPD1,MSH2,ABCE1,ABCF1,MSH6,CLPX,PSMC5,MDN1,KIF20B,ABCD4,PSMC3,VPS4B,PSMC1,HLTF,ERCC3,ATP5C1,MLH1,ATP5F1,ATAD1,NVL,HSP90AA1,KATNA1,DYNC1H1,MCM4,ATF7IP,BLM,RUVBL2,PMS1,ATP5H,ATP5I,SMARCA5,PSMC6,ATP5J,PSMC2,ATP5O,CHD1L,ATP6V1H,ABCF3,DYNC2H1,ATP5B,MACF1",molecular_function,ATPase activity,59,51,183,20.0488797751,13.2954418565
GO:0005874,"ENSG00000120694,ENSG00000166226,ENSG00000126934,ENSG00000138095,ENSG00000149557,ENSG00000146425,ENSG00000006715,ENSG00000167552,ENSG00000164114,ENSG00000079616,ENSG00000144451,ENSG00000094631,ENSG00000040341,ENSG00000125971,ENSG00000166037,ENSG00000138778,ENSG00000179051,ENSG00000144635,ENSG00000117632,ENSG00000163808,ENSG00000130294,ENSG00000163539,ENSG00000139116,ENSG00000151849,ENSG00000007168,ENSG00000088325,ENSG00000077380,ENSG00000138182,ENSG00000146731,ENSG00000188229,ENSG00000137814,ENSG00000166974,ENSG00000089685,ENSG00000047849,ENSG00000116957,ENSG00000112984,ENSG00000088986,ENSG00000092036,ENSG00000160753,ENSG00000150753,ENSG00000167110,ENSG00000131462,ENSG00000075711,ENSG00000168280,ENSG00000175203,ENSG00000115484,ENSG00000197102,ENSG00000120438,ENSG00000176014,ENSG00000152240,ENSG00000147874,ENSG00000087470,ENSG00000163468,ENSG00000070501,ENSG00000101367,ENSG00000186625,ENSG00000068796,ENSG00000170759,ENSG00000101558,ENSG00000156261,ENSG00000171530,ENSG00000135624,ENSG00000137821,ENSG00000170296,ENSG00000134779,ENSG00000135720,ENSG00000141556,ENSG00000204843,ENSG00000137807,ENSG00000137804,ENSG00000187240,ENSG00000183137,ENSG00000127603","HSPH1,CCT2,MAP2K2,LRPPRC,FEZ1,DYNLT1,VPS41,TUBA1A,MAP9,KIF22,SPAG16,HDAC6,STAU2,DYNLRB1,CEP57,CENPE,RCC2,DYNC1LI1,STMN1,KIF15,KIF1A,CLASP2,KIF21A,CENPJ,PAFAH1B1,TPX2,DYNC1I2,KIF20B,CCT6A,TUBB4B,HAUS2,MAPRE2,BIRC5,MAP4,TBCE,KIF20A,DYNLL1,HAUS4,RUSC1,CCT5,GOLGA2,TUBG1,DLG1,KIF5C,DCTN2,CCT4,DYNC1H1,TCP1,TUBB6,HAUS1,HAUS6,DNM1L,CCT3,POLB,MAPRE1,KATNA1,KIF2A,KIF5B,VAPA,CCT8,TBCA,CCT7,LRRC49,GABARAP,TPGS2,DYNC1LI2,TBCD,DCTN1,KIF23,NUSAP1,DYNC2H1,CEP57L1,MACF1",cellular_component,microtubule,91,73,310,19.920834687,13.1673967684
GO:0006364,"ENSG00000233927,ENSG00000164934,ENSG00000105202,ENSG00000055044,ENSG00000182899,ENSG00000147679,ENSG00000123737,ENSG00000011260,ENSG00000138326,ENSG00000164346,ENSG00000120699,ENSG00000136718,ENSG00000108651,ENSG00000126524,ENSG00000164338,ENSG00000171311,ENSG00000183520,ENSG00000142676,ENSG00000137154,ENSG00000188846,ENSG00000075914,ENSG00000077348,ENSG00000198000,ENSG00000158526,ENSG00000130713,ENSG00000105193,ENSG00000105171,ENSG00000122085,ENSG00000161970,ENSG00000111615,ENSG00000084463,ENSG00000170515,ENSG00000101361,ENSG00000156697,ENSG00000105372,ENSG00000109536,ENSG00000148843,ENSG00000001497,ENSG00000213782,ENSG00000130826,ENSG00000122406,ENSG00000171863,ENSG00000119285,ENSG00000086189,ENSG00000166197","RPS28,DCAF13,FBL,NOP58,RPL35A,UTP23,EXOSC9,UTP18,RPS24,NSA2,EXOSC8,IMP4,UTP6,SBDS,UTP15,EXOSC1,UTP11L,RPL11,RPS6,RPL14,EXOSC7,EXOSC5,NOL8,TSR2,EXOSC2,RPS16,POP4,MTERFD2,RPL26,KRR1,WBP11,PA2G4,NOP56,UTP14A,RPS19,FRG1,PDCD11,LAS1L,DDX47,DKC1,RPL5,RPS7,HEATR1,DIMT1,NOLC1",biological_process,rRNA processing,51,45,103,19.5989400889,12.8455021703
GO:0007067,"ENSG00000113328,ENSG00000170312,ENSG00000143543,ENSG00000176386,ENSG00000159055,ENSG00000120539,ENSG00000164611,ENSG00000146425,ENSG00000130177,ENSG00000197771,ENSG00000121892,ENSG00000175063,ENSG00000079616,ENSG00000158402,ENSG00000204843,ENSG00000136098,ENSG00000111665,ENSG00000075131,ENSG00000010292,ENSG00000108010,ENSG00000168385,ENSG00000144635,ENSG00000153140,ENSG00000163808,ENSG00000108055,ENSG00000110200,ENSG00000169689,ENSG00000129534,ENSG00000088325,ENSG00000113712,ENSG00000138182,ENSG00000011485,ENSG00000141367,ENSG00000064102,ENSG00000137814,ENSG00000166974,ENSG00000089685,ENSG00000180198,ENSG00000147400,ENSG00000115760,ENSG00000184661,ENSG00000092036,ENSG00000100749,ENSG00000175792,ENSG00000124486,ENSG00000103275,ENSG00000135913,ENSG00000136014,ENSG00000175203,ENSG00000147601,ENSG00000101773,ENSG00000164162,ENSG00000053900,ENSG00000108264,ENSG00000156970,ENSG00000127337,ENSG00000152240,ENSG00000165416,ENSG00000121152,ENSG00000119969,ENSG00000136810,ENSG00000198887,ENSG00000186625,ENSG00000139350,ENSG00000163939,ENSG00000156831,ENSG00000196510,ENSG00000094880,ENSG00000147874,ENSG00000143228,ENSG00000113812,ENSG00000164114,ENSG00000007168,ENSG00000137100,ENSG00000182628,ENSG00000087586,ENSG00000141552,ENSG00000062650,ENSG00000165480,ENSG00000132341,ENSG00000094804,ENSG00000166197,ENSG00000058272,ENSG00000146918","CCNG1,CDK1,JTB,CDC26,MIS18A,MASTL,PTTG1,DYNLT1,CDC16,MCMBP,PDS5A,UBE2C,KIF22,CDC25C,DCTN1,NEK3,CDCA3,TIPIN,NCAPD2,GLRX3,SEPT2,DYNC1LI1,CETN3,KIF15,SMC3,ANAPC15,STRA13,MIS18BP1,TPX2,CSNK1A1,KIF20B,PPP5C,CLTC,ASUN,HAUS2,MAPRE2,BIRC5,RCC1,CETN2,BIRC6,CDCA2,HAUS4,VRK1,RUVBL1,USP9X,UBE2I,USP37,USP44,DCTN2,TERF1,RBBP8,ANAPC10,ANAPC4,TADA2A,BUB1B,YEATS4,HAUS1,SUGT1,NCAPH,HELLS,TXN,SMC5,KATNA1,NEDD1,PBRM1,NSMCE2,ANAPC7,CDC23,HAUS6,NUF2,ACTR8,MAP9,PAFAH1B1,DCTN3,SKA2,AURKA,ANAPC11,WAPAL,SKA3,RAN,CDC6,NOLC1,PPP1R12A,NCAPG2",biological_process,mitosis,108,84,204,19.5748739996,12.821436081
GO:0030529,"ENSG00000174444,ENSG00000170144,ENSG00000096746,ENSG00000213923,ENSG00000083845,ENSG00000082898,ENSG00000111640,ENSG00000197111,ENSG00000115053,ENSG00000108654,ENSG00000138385,ENSG00000153187,ENSG00000136718,ENSG00000131876,ENSG00000145425,ENSG00000149187,ENSG00000135829,ENSG00000198034,ENSG00000164934,ENSG00000164346,ENSG00000124214,ENSG00000172171,ENSG00000213523,ENSG00000143621,ENSG00000147274,ENSG00000138668,ENSG00000165119,ENSG00000075624,ENSG00000122566,ENSG00000070756,ENSG00000079785,ENSG00000077235,ENSG00000137154,ENSG00000109971,ENSG00000138709,ENSG00000135316,ENSG00000175324,ENSG00000181163,ENSG00000131469,ENSG00000161813,ENSG00000012048,ENSG00000124562,ENSG00000111615,ENSG00000128739,ENSG00000116251,ENSG00000142937,ENSG00000170515,ENSG00000170889,ENSG00000089157,ENSG00000183207,ENSG00000065978,ENSG00000117360,ENSG00000090621,ENSG00000100028,ENSG00000125944,ENSG00000248643,ENSG00000082701,ENSG00000129351,ENSG00000122406,ENSG00000171863,ENSG00000149273,ENSG00000142541,ENSG00000119285,ENSG00000136628,ENSG00000135486,ENSG00000159111,ENSG00000092199,ENSG00000126653","RPL4,HNRNPA3,HNRNPH3,CSNK1E,RPS5,XPO1,GAPDH,PCBP2,NCL,DDX5,SSB,HNRNPU,IMP4,SNRPA1,RPS3A,CELF1,DHX9,RPS4X,DCAF13,NSA2,STAU1,TEFM,SRA1,ILF2,RBMX,HNRNPD,HNRNPK,ACTB,HNRNPA2B1,PABPC1,DDX1,GTF3C1,RPS6,HSPA8,LARP1B,SYNCRIP,LSM1,NPM1,RPL27,LARP4,BRCA1,SNRPC,KRR1,SNRPN,RPL22,RPS8,PA2G4,RPS9,RPLP0,RUVBL2,YBX1,PRPF3,PABPC4,SNRPD3,HNRNPR,RBM14-RBM4,GSK3B,ILF3,RPL5,RPS7,RPS3,RPL13A,HEATR1,EPRS,HNRNPA1,MRPL10,HNRNPC,NSRP1",cellular_component,ribonucleoprotein complex,84,68,160,19.4989593875,12.7455214689
