,features_of_interest_in_go_term,features_of_interest_in_go_term_gene_symbols,go_domain,go_name,n_background_in_go_term,n_features_of_interest_in_go_term,n_features_total_in_go_term,negative_log_p_value,bonferonni_corrected_negative_log_p_value
GO:0030529,"ENSG00000125944,ENSG00000138668,ENSG00000248643,ENSG00000197111,ENSG00000135316","HNRNPR,HNRNPD,RBM14-RBM4,PCBP2,SYNCRIP",cellular_component,ribonucleoprotein complex,84,5,160,16.0800837121,13.4410263824
GO:0003723,"ENSG00000131051,ENSG00000173933,ENSG00000135316,ENSG00000248643,ENSG00000197111,ENSG00000125944,ENSG00000138668,ENSG00000101654","RBM39,RBM4,SYNCRIP,RBM14-RBM4,PCBP2,HNRNPR,HNRNPD,RNMT",molecular_function,RNA binding,351,8,703,14.8679519472,12.2288946176
GO:0005634,"ENSG00000010244,ENSG00000131051,ENSG00000154813,ENSG00000151500,ENSG00000147601,ENSG00000173933,ENSG00000143727,ENSG00000135316,ENSG00000248643,ENSG00000197111,ENSG00000125944,ENSG00000168214,ENSG00000129197,ENSG00000138668,ENSG00000101654,ENSG00000112972","ZNF207,RBM39,DPH3,THYN1,TERF1,RBM4,ACP1,SYNCRIP,RBM14-RBM4,PCBP2,HNRNPR,RBPJ,RPAIN,HNRNPD,RNMT,HMGCS1",cellular_component,nucleus,1649,16,5678,14.701551297,12.0624939674
GO:0003676,"ENSG00000131051,ENSG00000173933,ENSG00000248643,ENSG00000125944,ENSG00000156976,ENSG00000138668,ENSG00000135316","RBM39,RBM4,RBM14-RBM4,HNRNPR,EIF4A2,HNRNPD,SYNCRIP",molecular_function,nucleic acid binding,390,7,1364,11.6094750013,8.97041767168
GO:0000166,"ENSG00000131051,ENSG00000173933,ENSG00000248643,ENSG00000125944,ENSG00000138668,ENSG00000135316","RBM39,RBM4,RBM14-RBM4,HNRNPR,HNRNPD,SYNCRIP",molecular_function,nucleotide binding,295,6,818,11.1725849255,8.53352759587
GO:0005515,"ENSG00000147601,ENSG00000131051,ENSG00000154813,ENSG00000138668,ENSG00000169689,ENSG00000173933,ENSG00000143727,ENSG00000135316,ENSG00000248643,ENSG00000197111,ENSG00000125944,ENSG00000168214,ENSG00000156976,ENSG00000141552,ENSG00000101654,ENSG00000111906","TERF1,RBM39,DPH3,HNRNPD,STRA13,RBM4,ACP1,SYNCRIP,RBM14-RBM4,PCBP2,HNRNPR,RBPJ,EIF4A2,ANAPC11,RNMT,HDDC2",molecular_function,protein binding,2290,16,9884,10.1030405553,7.4639832257
GO:0010467,"ENSG00000197111,ENSG00000125944,ENSG00000168214,ENSG00000156976,ENSG00000138668,ENSG00000101654","PCBP2,HNRNPR,RBPJ,EIF4A2,HNRNPD,RNMT",biological_process,gene expression,398,6,771,9.26139842245,6.62234109283
GO:0005730,"ENSG00000173933,ENSG00000168214,ENSG00000101654,ENSG00000248643,ENSG00000129197","RBM4,RBPJ,RNMT,RBM14-RBM4,RPAIN",cellular_component,nucleolus,295,5,691,8.8319636832,6.19290635358
GO:0005737,"ENSG00000154813,ENSG00000147601,ENSG00000173933,ENSG00000143727,ENSG00000248643,ENSG00000197111,ENSG00000125944,ENSG00000168214,ENSG00000129197,ENSG00000135316,ENSG00000112972","DPH3,TERF1,RBM4,ACP1,RBM14-RBM4,PCBP2,HNRNPR,RBPJ,RPAIN,SYNCRIP,HMGCS1",cellular_component,cytoplasm,1454,11,5053,7.92864158069,5.28958425107
GO:0003677,"ENSG00000010244,ENSG00000147601,ENSG00000169689,ENSG00000197111,ENSG00000168214,ENSG00000156976","ZNF207,TERF1,STRA13,PCBP2,RBPJ,EIF4A2",molecular_function,DNA binding,501,6,2282,7.84388016581,5.20482283619
