index,features_of_interest_in_go_term,features_of_interest_in_go_term_gene_symbols,go_domain,go_name,n_background_in_go_term,n_features_of_interest_in_go_term,n_features_total_in_go_term,p_value,bonferonni_corrected_p_value,phenotype
GO:0008380,"ENSG00000163634,ENSG00000173933,ENSG00000108848,ENSG00000115875,ENSG00000197111,ENSG00000067596,ENSG00000165119,ENSG00000111196,ENSG00000131051,ENSG00000138668,ENSG00000122566,ENSG00000054118,ENSG00000196504,ENSG00000125351,ENSG00000047315,ENSG00000125944,ENSG00000116754,ENSG00000125676,ENSG00000147140,ENSG00000204392,ENSG00000168002,ENSG00000248643,ENSG00000100320,ENSG00000135316,ENSG00000092199,ENSG00000126653","THOC7,RBM4,LUC7L3,SRSF7,PCBP2,DHX8,HNRNPK,MAGOHB,RBM39,HNRNPD,HNRNPA2B1,THRAP3,PRPF40A,UPF3B,POLR2B,HNRNPR,SRSF11,THOC2,NONO,LSM2,POLR2G,RBM14-RBM4,RBFOX2,SYNCRIP,HNRNPC,NSRP1",biological_process,RNA splicing,66,26,268,5.30114416718e-08,6.46739588395e-06,MN
GO:0006397,"ENSG00000122566,ENSG00000131051,ENSG00000163634,ENSG00000204392,ENSG00000173933,ENSG00000108848,ENSG00000088930,ENSG00000162374,ENSG00000248643,ENSG00000147140,ENSG00000125944,ENSG00000116754,ENSG00000196504,ENSG00000100320,ENSG00000125676,ENSG00000111196,ENSG00000115875,ENSG00000054118,ENSG00000126653","HNRNPA2B1,RBM39,THOC7,LSM2,RBM4,LUC7L3,XRN2,ELAVL4,RBM14-RBM4,NONO,HNRNPR,SRSF11,PRPF40A,RBFOX2,THOC2,MAGOHB,SRSF7,THRAP3,NSRP1",biological_process,mRNA processing,45,19,240,6.17961193606e-07,7.539126562e-05,MN
GO:0006396,"ENSG00000131051,ENSG00000173933,ENSG00000088930,ENSG00000135316,ENSG00000248643,ENSG00000067596,ENSG00000165119,ENSG00000138668,ENSG00000162374,ENSG00000152795","RBM39,RBM4,XRN2,SYNCRIP,RBM14-RBM4,DHX8,HNRNPK,HNRNPD,ELAVL4,HNRNPDL",biological_process,RNA processing,18,10,97,4.70240874195e-06,0.000573693866518,MN
GO:0006468,"ENSG00000013441,ENSG00000047315,ENSG00000168002,ENSG00000069956,ENSG00000114956,ENSG00000142875,ENSG00000143776,ENSG00000180228,ENSG00000113712,ENSG00000164885","CLK1,POLR2B,POLR2G,MAPK6,DGUOK,PRKACB,CDC42BPA,PRKRA,CSNK1A1,CDK5",biological_process,protein phosphorylation,21,10,648,3.49165883733e-05,0.00425982378155,MN
GO:0016568,"ENSG00000123562,ENSG00000141027,ENSG00000258315,ENSG00000204463,ENSG00000163104","MORF4L2,NCOR1,C17orf49,BAG6,SMARCAD1",biological_process,chromatin modification,7,5,124,4.63055310193e-05,0.00564927478435,MN
GO:0016477,"ENSG00000143776,ENSG00000077254,ENSG00000164885,ENSG00000196504,ENSG00000134982","CDC42BPA,USP33,CDK5,PRPF40A,APC",biological_process,cell migration,7,5,140,4.63055310193e-05,0.00564927478435,MN
GO:0016055,"ENSG00000140395,ENSG00000134982,ENSG00000166477,ENSG00000113712","WDR61,APC,LEO1,CSNK1A1",biological_process,Wnt receptor signaling pathway,5,4,171,5.39698316913e-05,0.00658431946634,MN
GO:0000381,"ENSG00000173933,ENSG00000054118,ENSG00000100320,ENSG00000248643,ENSG00000126653","RBM4,THRAP3,RBFOX2,RBM14-RBM4,NSRP1",biological_process,"regulation of alternative mRNA splicing, via spliceosome",8,5,24,0.00016324176075,0.0199154948115,MN
GO:0030182,"ENSG00000156475,ENSG00000053438,ENSG00000164885,ENSG00000196591","PPP2R2B,NNAT,CDK5,HDAC2",biological_process,neuron differentiation,6,4,115,0.000286277427922,0.0349258462065,MN
GO:0000398,"ENSG00000204392,ENSG00000047315,ENSG00000168002,ENSG00000115875,ENSG00000067596,ENSG00000197111,ENSG00000125944,ENSG00000116754,ENSG00000165119,ENSG00000138668,ENSG00000153015,ENSG00000135316,ENSG00000122566,ENSG00000092199,ENSG00000125351","LSM2,POLR2B,POLR2G,SRSF7,DHX8,PCBP2,HNRNPR,SRSF11,HNRNPK,HNRNPD,CWC27,SYNCRIP,HNRNPA2B1,HNRNPC,UPF3B",biological_process,"mRNA splicing, via spliceosome",47,15,196,0.000398143266891,0.0485734785607,MN
GO:0006355,"ENSG00000147140,ENSG00000010244,ENSG00000131051,ENSG00000138668,ENSG00000079102,ENSG00000088930,ENSG00000189180,ENSG00000115966,ENSG00000152795,ENSG00000107105,ENSG00000108278,ENSG00000137776,ENSG00000168214,ENSG00000104960,ENSG00000025293,ENSG00000085224,ENSG00000009307,ENSG00000123636,ENSG00000171735","NONO,ZNF207,RBM39,HNRNPD,RUNX1T1,XRN2,ZNF33A,ATF2,HNRNPDL,ELAVL2,ZNHIT3,SLTM,RBPJ,PTOV1,PHF20,ATRX,CSDE1,BAZ2B,CAMTA1",biological_process,"regulation of transcription, DNA-dependent",67,19,2106,0.000562596517232,0.0686367751024,MN
GO:0007283,"ENSG00000114374,ENSG00000204463,ENSG00000008294,ENSG00000088930,ENSG00000166171,ENSG00000182985","USP9Y,BAG6,SPAG9,XRN2,DPCD,CADM1",biological_process,spermatogenesis,13,6,367,0.000827230334881,0.100922100855,MN
GO:0006695,"ENSG00000112972,ENSG00000160752,ENSG00000052802,ENSG00000067064","HMGCS1,FDPS,MSMO1,IDI1",biological_process,cholesterol biosynthetic process,7,4,37,0.000886207170177,0.108117274762,MN
GO:0044255,"ENSG00000112972,ENSG00000117054,ENSG00000141027,ENSG00000084754,ENSG00000116171","HMGCS1,ACADM,NCOR1,HADHA,SCP2",biological_process,cellular lipid metabolic process,10,5,156,0.000951972055166,0.11614059073,MN
GO:0007420,"ENSG00000204463,ENSG00000133026,ENSG00000077279,ENSG00000156475,ENSG00000053438,ENSG00000112972,ENSG00000182985","BAG6,MYH10,DCX,PPP2R2B,NNAT,HMGCS1,CADM1",biological_process,brain development,17,7,216,0.00108713494801,0.132630463657,MN
GO:0007165,"ENSG00000164924,ENSG00000148484,ENSG00000160310,ENSG00000133026,ENSG00000134121,ENSG00000069956,ENSG00000138069,ENSG00000156475,ENSG00000141030,ENSG00000185774,ENSG00000127914,ENSG00000113712,ENSG00000165119,ENSG00000159593,ENSG00000142875,ENSG00000143549","YWHAZ,RSU1,PRMT2,MYH10,CHL1,MAPK6,RAB1A,PPP2R2B,COPS3,KCNIP4,AKAP9,CSNK1A1,HNRNPK,NAE1,PRKACB,TPM3",biological_process,signal transduction,57,16,1487,0.00146883725605,0.179198145238,MN
GO:0006351,"ENSG00000123562,ENSG00000138293,ENSG00000005483,ENSG00000117139,ENSG00000140395,ENSG00000104960,ENSG00000196591,ENSG00000131051,ENSG00000189180,ENSG00000137776,ENSG00000138668,ENSG00000047315,ENSG00000079102,ENSG00000141027,ENSG00000062194,ENSG00000168002,ENSG00000166477,ENSG00000147140,ENSG00000152795,ENSG00000129351,ENSG00000025293,ENSG00000123636,ENSG00000171735","MORF4L2,NCOA4,KMT2E,KDM5B,WDR61,PTOV1,HDAC2,RBM39,ZNF33A,SLTM,HNRNPD,POLR2B,RUNX1T1,NCOR1,GPBP1,POLR2G,LEO1,NONO,HNRNPDL,ILF3,PHF20,BAZ2B,CAMTA1",biological_process,"transcription, DNA-dependent",93,23,2018,0.00165857512611,0.202346165385,MN
GO:0009725,"ENSG00000112972,ENSG00000138293,ENSG00000248643","HMGCS1,NCOA4,RBM14-RBM4",biological_process,response to hormone stimulus,5,3,61,0.0017192617851,0.209749937782,MN
GO:0048813,"ENSG00000078018,ENSG00000164885,ENSG00000077279","MAP2,CDK5,DCX",biological_process,dendrite morphogenesis,5,3,26,0.0017192617851,0.209749937782,MN
GO:0016358,"ENSG00000078018,ENSG00000196591,ENSG00000196655","MAP2,HDAC2,TRAPPC4",biological_process,dendrite development,5,3,43,0.0017192617851,0.209749937782,MN
GO:0032008,"ENSG00000116586,ENSG00000134248,ENSG00000109270","LAMTOR2,LAMTOR5,LAMTOR3",biological_process,positive regulation of TOR signaling cascade,5,3,17,0.0017192617851,0.209749937782,MN
GO:0010388,"ENSG00000198612,ENSG00000138663,ENSG00000141030","COPS8,COPS4,COPS3",biological_process,cullin deneddylation,5,3,9,0.0017192617851,0.209749937782,MN
GO:0051149,"ENSG00000173933,ENSG00000248643,ENSG00000008294","RBM4,RBM14-RBM4,SPAG9",biological_process,positive regulation of muscle cell differentiation,5,3,29,0.0017192617851,0.209749937782,MN
GO:0007268,"ENSG00000132639,ENSG00000142875,ENSG00000067715,ENSG00000134294,ENSG00000186469,ENSG00000164885,ENSG00000127914","SNAP25,PRKACB,SYT1,SLC38A2,GNG2,CDK5,AKAP9",biological_process,synaptic transmission,18,7,409,0.00171999687744,0.209839619047,MN
GO:0007049,"ENSG00000107949,ENSG00000213465,ENSG00000122545,ENSG00000081154,ENSG00000069956,ENSG00000196504,ENSG00000159593","BCCIP,ARL2,SEPT7,PCNP,MAPK6,PRPF40A,NAE1",biological_process,cell cycle,18,7,270,0.00171999687744,0.209839619047,MN
GO:0045893,"ENSG00000138293,ENSG00000005483,ENSG00000160310,ENSG00000196591,ENSG00000129351,ENSG00000138668,ENSG00000062194,ENSG00000054118,ENSG00000163104","NCOA4,KMT2E,PRMT2,HDAC2,ILF3,HNRNPD,GPBP1,THRAP3,SMARCAD1",biological_process,"positive regulation of transcription, DNA-dependent",26,9,573,0.00175225149899,0.213774682877,MN
GO:0045892,"ENSG00000144744,ENSG00000032219,ENSG00000160310,ENSG00000129351,ENSG00000117139,ENSG00000141027,ENSG00000073584,ENSG00000168214,ENSG00000100320,ENSG00000164885,ENSG00000196591","UBA3,ARID4A,PRMT2,ILF3,KDM5B,NCOR1,SMARCE1,RBPJ,RBFOX2,CDK5,HDAC2",biological_process,"negative regulation of transcription, DNA-dependent",35,11,496,0.00198258601154,0.241875493408,MN
GO:0006310,"ENSG00000138138,ENSG00000085224,ENSG00000147140,ENSG00000248643,ENSG00000168214,ENSG00000129197","ATAD1,ATRX,NONO,RBM14-RBM4,RBPJ,RPAIN",biological_process,DNA recombination,15,6,111,0.00240461035008,0.293362462709,MN
GO:0006281,"ENSG00000107949,ENSG00000123562,ENSG00000139372,ENSG00000138138,ENSG00000168002,ENSG00000047315,ENSG00000248643,ENSG00000147140,ENSG00000129197,ENSG00000085224,ENSG00000070501","BCCIP,MORF4L2,TDG,ATAD1,POLR2G,POLR2B,RBM14-RBM4,NONO,RPAIN,ATRX,POLB",biological_process,DNA repair,37,11,341,0.00337649954968,0.411932945061,MN
GO:0008152,"ENSG00000182220,ENSG00000084754,ENSG00000117054,ENSG00000101654,ENSG00000112972,ENSG00000116171,ENSG00000138382","ATP6AP2,HADHA,ACADM,RNMT,HMGCS1,SCP2,METTL5",biological_process,metabolic process,20,7,486,0.00382838867369,0.467063418191,MN
GO:0033554,"ENSG00000173933,ENSG00000156475,ENSG00000154582,ENSG00000248643","RBM4,PPP2R2B,TCEB1,RBM14-RBM4",biological_process,cellular response to stress,9,4,44,0.00416538803736,0.508177340558,MN
GO:0006446,"ENSG00000178982,ENSG00000156976,ENSG00000100664,ENSG00000122033","EIF3K,EIF4A2,EIF5,MTIF3",biological_process,regulation of translational initiation,9,4,28,0.00416538803736,0.508177340558,MN
GO:0001764,"ENSG00000164885,ENSG00000134121,ENSG00000077279,ENSG00000133026","CDK5,CHL1,DCX,MYH10",biological_process,neuron migration,9,4,102,0.00416538803736,0.508177340558,MN
GO:0071230,"ENSG00000116586,ENSG00000134248,ENSG00000109270","LAMTOR2,LAMTOR5,LAMTOR3",biological_process,cellular response to amino acid stimulus,6,3,42,0.00458523049947,0.559398120935,MN
GO:0035556,"ENSG00000109046,ENSG00000143776,ENSG00000077279","WSB1,CDC42BPA,DCX",biological_process,intracellular signal transduction,6,3,320,0.00458523049947,0.559398120935,MN
GO:0045116,"ENSG00000144744,ENSG00000159593,ENSG00000114125","UBA3,NAE1,RNF7",biological_process,protein neddylation,6,3,8,0.00458523049947,0.559398120935,MN
GO:0006810,"ENSG00000068697,ENSG00000196655,ENSG00000170310,ENSG00000067596,ENSG00000115540,ENSG00000053438,ENSG00000180957,ENSG00000138757,ENSG00000127914,ENSG00000204463","LAPTM4A,TRAPPC4,STX8,DHX8,MOB4,NNAT,PITPNB,G3BP2,AKAP9,BAG6",biological_process,transport,34,10,561,0.00506370413734,0.617771904755,MN
GO:0008150,"ENSG00000250588,ENSG00000048544,ENSG00000136522,ENSG00000109046,ENSG00000102390,ENSG00000151967,ENSG00000156253,ENSG00000086666,ENSG00000138698,ENSG00000163170","IQCJ-SCHIP1,MRPS10,MRPL47,WSB1,PBDC1,SCHIP1,RWDD2B,ZFAND6,RAP1GDS1,BOLA3",biological_process,biological_process,34,10,749,0.00506370413734,0.617771904755,MN
GO:0006406,"ENSG00000116754,ENSG00000115875,ENSG00000163634,ENSG00000125676,ENSG00000125351","SRSF11,SRSF7,THOC7,THOC2,UPF3B",biological_process,mRNA export from nucleus,13,5,72,0.00534839444825,0.652504122686,MN
