gene_id,U_statistic,p_value,bonferonni_p_value,group
ENSG00000136383,0.0,1.01872631095e-13,1.89421970259e-09,M2_12+M6_07
ENSG00000264672,0.0,1.01872631095e-13,1.89421970259e-09,M2_12+M6_07
ENSG00000130377,0.0,1.01872631095e-13,1.89421970259e-09,M2_12+M6_07
ENSG00000243709,0.0,1.01872631095e-13,1.89421970259e-09,M2_12+M6_07
ENSG00000154734,0.0,1.01872631095e-13,1.89421970259e-09,M2_12+M6_07
ENSG00000255201,0.0,1.01872631095e-13,1.89421970259e-09,M2_12+M6_07
ENSG00000226067,0.0,1.01872631095e-13,1.89421970259e-09,M2_12+M6_07
ENSG00000229206,0.0,1.01872631095e-13,1.89421970259e-09,M2_12+M6_07
ENSG00000185847,0.0,1.01872631095e-13,1.89421970259e-09,M2_12+M6_07
ENSG00000273275,0.0,1.01872631095e-13,1.89421970259e-09,M2_12+M6_07
ENSG00000260664,0.0,1.01872631095e-13,1.89421970259e-09,M2_12+M6_07
ENSG00000256185,0.0,1.01872631095e-13,1.89421970259e-09,M2_12+M6_07
ENSG00000249430,0.0,1.01872631095e-13,1.89421970259e-09,M2_12+M6_07
ENSG00000006062,0.0,1.01872631095e-13,1.89421970259e-09,M2_12+M6_07
ENSG00000261366,0.0,1.01872631095e-13,1.89421970259e-09,M2_12+M6_07
ENSG00000269403,0.0,7.11541748379e-10,1.32304072694e-05,M2_12+M6_07
ENSG00000198053,0.0,7.11541748379e-10,1.32304072694e-05,M2_12+M6_07
ENSG00000145113,0.0,7.11541748379e-10,1.32304072694e-05,M2_12+M6_07
ENSG00000145569,0.0,7.11541748379e-10,1.32304072694e-05,M2_12+M6_07
ENSG00000225932,0.0,7.11541748379e-10,1.32304072694e-05,M2_12+M6_07
ENSG00000271970,0.0,7.11541748379e-10,1.32304072694e-05,M2_12+M6_07
ENSG00000162772,0.0,7.11541748379e-10,1.32304072694e-05,M2_12+M6_07
ENSG00000136732,0.0,7.11541748379e-10,1.32304072694e-05,M2_12+M6_07
ENSG00000141295,0.0,7.11541748379e-10,1.32304072694e-05,M2_12+M6_07
ENSG00000104859,0.0,7.11541748379e-10,1.32304072694e-05,M2_12+M6_07
ENSG00000233073,0.0,7.11541748379e-10,1.32304072694e-05,M2_12+M6_07
ENSG00000130707,0.0,7.11541748379e-10,1.32304072694e-05,M2_12+M6_07
ENSG00000267288,0.0,7.11541748379e-10,1.32304072694e-05,M2_12+M6_07
ENSG00000268400,0.0,7.11541748379e-10,1.32304072694e-05,M2_12+M6_07
ENSG00000112699,0.0,7.11541748379e-10,1.32304072694e-05,M2_12+M6_07
ENSG00000168517,0.0,7.11541748379e-10,1.32304072694e-05,M2_12+M6_07
ENSG00000273294,0.0,7.11541748379e-10,1.32304072694e-05,M2_12+M6_07
ENSG00000245534,0.0,7.11541748379e-10,1.32304072694e-05,M2_12+M6_07
ENSG00000247679,0.0,7.11541748379e-10,1.32304072694e-05,M2_12+M6_07
ENSG00000171786,1.0,1.42763960813e-09,2.65455308736e-05,M2_12+M6_07
ENSG00000186193,2.0,2.82887347017e-09,5.26000733043e-05,M2_12+M6_07
ENSG00000253972,2.0,2.82887347017e-09,5.26000733043e-05,M2_12+M6_07
ENSG00000119703,2.0,2.82887347017e-09,5.26000733043e-05,M2_12+M6_07
ENSG00000197530,2.0,2.82887347017e-09,5.26000733043e-05,M2_12+M6_07
ENSG00000172216,2.0,2.82887347017e-09,5.26000733043e-05,M2_12+M6_07
ENSG00000250614,2.0,2.82887347017e-09,5.26000733043e-05,M2_12+M6_07
ENSG00000248890,2.0,2.82887347017e-09,5.26000733043e-05,M2_12+M6_07
ENSG00000070759,2.0,2.82887347017e-09,5.26000733043e-05,M2_12+M6_07
ENSG00000116117,2.0,2.82887347017e-09,5.26000733043e-05,M2_12+M6_07
ENSG00000269926,0.0,6.11851651624e-08,0.00113767696103,M2_12+M6_07
ENSG00000142798,0.0,6.11851651624e-08,0.00113767696103,M2_12+M6_07
ENSG00000186297,0.0,6.11851651624e-08,0.00113767696103,M2_12+M6_07
ENSG00000212643,0.0,6.11851651624e-08,0.00113767696103,M2_12+M6_07
ENSG00000168209,0.0,6.11851651624e-08,0.00113767696103,M2_12+M6_07
ENSG00000204536,0.0,6.11851651624e-08,0.00113767696103,M2_12+M6_07
ENSG00000196975,0.0,6.11851651624e-08,0.00113767696103,M2_12+M6_07
ENSG00000254835,0.0,6.11851651624e-08,0.00113767696103,M2_12+M6_07
ENSG00000126453,0.0,6.11851651624e-08,0.00113767696103,M2_12+M6_07
ENSG00000176124,0.0,6.11851651624e-08,0.00113767696103,M2_12+M6_07
ENSG00000267242,0.0,6.11851651624e-08,0.00113767696103,M2_12+M6_07
ENSG00000164983,0.0,6.11851651624e-08,0.00113767696103,M2_12+M6_07
ENSG00000134574,0.0,6.11851651624e-08,0.00113767696103,M2_12+M6_07
ENSG00000269151,1.0,1.04560042523e-07,0.00194418943067,M2_12+M6_07
ENSG00000267070,27.0,1.69891912544e-07,0.00315897022184,M2_12+M6_07
ENSG00000172244,27.0,1.69891912544e-07,0.00315897022184,M2_12+M6_07
ENSG00000259264,2.0,1.76998610733e-07,0.00329111216797,M2_12+M6_07
ENSG00000100842,2.0,1.76998610733e-07,0.00329111216797,M2_12+M6_07
ENSG00000267890,2.0,1.76998610733e-07,0.00329111216797,M2_12+M6_07
ENSG00000188931,2.0,1.76998610733e-07,0.00329111216797,M2_12+M6_07
ENSG00000079435,2.0,1.76998610733e-07,0.00329111216797,M2_12+M6_07
ENSG00000229751,2.0,1.76998610733e-07,0.00329111216797,M2_12+M6_07
ENSG00000183798,2.0,1.76998610733e-07,0.00329111216797,M2_12+M6_07
ENSG00000170615,2.0,1.76998610733e-07,0.00329111216797,M2_12+M6_07
ENSG00000256861,2.0,1.76998610733e-07,0.00329111216797,M2_12+M6_07
ENSG00000121101,2.0,1.76998610733e-07,0.00329111216797,M2_12+M6_07
ENSG00000213023,2.0,1.76998610733e-07,0.00329111216797,M2_12+M6_07
ENSG00000107731,2.0,1.76998610733e-07,0.00329111216797,M2_12+M6_07
ENSG00000241839,2.0,1.76998610733e-07,0.00329111216797,M2_12+M6_07
ENSG00000229673,2.0,1.76998610733e-07,0.00329111216797,M2_12+M6_07
ENSG00000187775,2.0,1.76998610733e-07,0.00329111216797,M2_12+M6_07
ENSG00000180694,2.0,1.76998610733e-07,0.00329111216797,M2_12+M6_07
ENSG00000065717,4.0,4.93002101936e-07,0.0091668810834,M2_12+M6_07
ENSG00000172123,4.0,4.93002101936e-07,0.0091668810834,M2_12+M6_07
ENSG00000188566,4.0,4.93002101936e-07,0.0091668810834,M2_12+M6_07
ENSG00000105131,4.0,4.93002101936e-07,0.0091668810834,M2_12+M6_07
ENSG00000237836,4.0,4.93002101936e-07,0.0091668810834,M2_12+M6_07
ENSG00000179041,4.0,4.93002101936e-07,0.0091668810834,M2_12+M6_07
ENSG00000266921,4.0,4.93002101936e-07,0.0091668810834,M2_12+M6_07
ENSG00000064961,4.0,4.93002101936e-07,0.0091668810834,M2_12+M6_07
ENSG00000272851,4.0,4.93002101936e-07,0.0091668810834,M2_12+M6_07
ENSG00000180881,4.0,4.93002101936e-07,0.0091668810834,M2_12+M6_07
ENSG00000168040,4.0,4.93002101936e-07,0.0091668810834,M2_12+M6_07
ENSG00000143552,0.0,8.98419770201e-07,0.0167052172071,M2_12+M6_07
ENSG00000167565,0.0,8.98419770201e-07,0.0167052172071,M2_12+M6_07
ENSG00000214562,0.0,8.98419770201e-07,0.0167052172071,M2_12+M6_07
ENSG00000204311,0.0,8.98419770201e-07,0.0167052172071,M2_12+M6_07
ENSG00000108641,0.0,8.98419770201e-07,0.0167052172071,M2_12+M6_07
ENSG00000258725,0.0,8.98419770201e-07,0.0167052172071,M2_12+M6_07
ENSG00000126767,0.0,8.98419770201e-07,0.0167052172071,M2_12+M6_07
ENSG00000273032,0.0,8.98419770201e-07,0.0167052172071,M2_12+M6_07
ENSG00000175879,0.0,8.98419770201e-07,0.0167052172071,M2_12+M6_07
ENSG00000117691,0.0,8.98419770201e-07,0.0167052172071,M2_12+M6_07
ENSG00000124074,0.0,8.98419770201e-07,0.0167052172071,M2_12+M6_07
ENSG00000268861,0.0,8.98419770201e-07,0.0167052172071,M2_12+M6_07
ENSG00000151929,0.0,8.98419770201e-07,0.0167052172071,M2_12+M6_07
ENSG00000197971,0.0,8.98419770201e-07,0.0167052172071,M2_12+M6_07
ENSG00000105281,0.0,8.98419770201e-07,0.0167052172071,M2_12+M6_07
ENSG00000164620,0.0,8.98419770201e-07,0.0167052172071,M2_12+M6_07
ENSG00000174307,0.0,8.98419770201e-07,0.0167052172071,M2_12+M6_07
ENSG00000119737,1.0,1.39452443789e-06,0.025929787398,M2_12+M6_07
ENSG00000198342,1.0,1.39452443789e-06,0.025929787398,M2_12+M6_07
ENSG00000269693,1.0,1.39452443789e-06,0.025929787398,M2_12+M6_07
ENSG00000113231,2.0,2.1480241796e-06,0.0399403615955,M2_12+M6_07
ENSG00000229851,2.0,2.1480241796e-06,0.0399403615955,M2_12+M6_07
ENSG00000246250,2.0,2.1480241796e-06,0.0399403615955,M2_12+M6_07
ENSG00000175772,2.0,2.1480241796e-06,0.0399403615955,M2_12+M6_07
ENSG00000244342,2.0,2.1480241796e-06,0.0399403615955,M2_12+M6_07
ENSG00000110455,2.0,2.1480241796e-06,0.0399403615955,M2_12+M6_07
ENSG00000144736,2.0,2.1480241796e-06,0.0399403615955,M2_12+M6_07
ENSG00000176890,2.0,2.1480241796e-06,0.0399403615955,M2_12+M6_07
ENSG00000271793,2.0,2.1480241796e-06,0.0399403615955,M2_12+M6_07
ENSG00000272677,2.0,2.1480241796e-06,0.0399403615955,M2_12+M6_07
ENSG00000132394,2.0,2.1480241796e-06,0.0399403615955,M2_12+M6_07
ENSG00000141956,2.0,2.1480241796e-06,0.0399403615955,M2_12+M6_07
ENSG00000113739,2.0,2.1480241796e-06,0.0399403615955,M2_12+M6_07
ENSG00000251503,3.0,3.28338933124e-06,0.061051341225,M2_12+M6_07
ENSG00000128645,4.0,4.9805801385e-06,0.0926089070952,M2_12+M6_07
ENSG00000254721,4.0,4.9805801385e-06,0.0926089070952,M2_12+M6_07
ENSG00000038210,4.0,4.9805801385e-06,0.0926089070952,M2_12+M6_07
ENSG00000165138,4.0,4.9805801385e-06,0.0926089070952,M2_12+M6_07
ENSG00000165195,4.0,4.9805801385e-06,0.0926089070952,M2_12+M6_07
ENSG00000132182,4.0,4.9805801385e-06,0.0926089070952,M2_12+M6_07
ENSG00000230530,4.0,4.9805801385e-06,0.0926089070952,M2_12+M6_07
ENSG00000241322,4.0,4.9805801385e-06,0.0926089070952,M2_12+M6_07
ENSG00000225880,4.0,4.9805801385e-06,0.0926089070952,M2_12+M6_07
ENSG00000272923,4.0,4.9805801385e-06,0.0926089070952,M2_12+M6_07
ENSG00000273478,4.0,4.9805801385e-06,0.0926089070952,M2_12+M6_07
ENSG00000173456,4.0,4.9805801385e-06,0.0926089070952,M2_12+M6_07
ENSG00000167992,4.0,4.9805801385e-06,0.0926089070952,M2_12+M6_07
ENSG00000269591,4.0,4.9805801385e-06,0.0926089070952,M2_12+M6_07
ENSG00000113083,4.0,4.9805801385e-06,0.0926089070952,M2_12+M6_07
ENSG00000132825,0.0,5.4284750812e-06,0.10093706566,M2_12+M6_07
ENSG00000089163,0.0,5.4284750812e-06,0.10093706566,M2_12+M6_07
ENSG00000180917,0.0,5.4284750812e-06,0.10093706566,M2_12+M6_07
ENSG00000118898,0.0,5.4284750812e-06,0.10093706566,M2_12+M6_07
ENSG00000095209,0.0,5.4284750812e-06,0.10093706566,M2_12+M6_07
ENSG00000215417,0.0,5.4284750812e-06,0.10093706566,M2_12+M6_07
ENSG00000187535,0.0,5.4284750812e-06,0.10093706566,M2_12+M6_07
ENSG00000249815,0.0,5.4284750812e-06,0.10093706566,M2_12+M6_07
ENSG00000157911,0.0,5.4284750812e-06,0.10093706566,M2_12+M6_07
