gene_id,U_statistic,p_value,bonferonni_p_value,group,gene_name
ENSG00000136383,0.0,1.01872631095e-13,1.89421970259e-09,M2_12+M6_07,ALPK3
ENSG00000264672,0.0,1.01872631095e-13,1.89421970259e-09,M2_12+M6_07,RP11-112H10.4
ENSG00000130377,0.0,1.01872631095e-13,1.89421970259e-09,M2_12+M6_07,ACSBG2
ENSG00000243709,0.0,1.01872631095e-13,1.89421970259e-09,M2_12+M6_07,LEFTY1
ENSG00000154734,0.0,1.01872631095e-13,1.89421970259e-09,M2_12+M6_07,ADAMTS1
ENSG00000255201,0.0,1.01872631095e-13,1.89421970259e-09,M2_12+M6_07,RP11-350N15.4
ENSG00000226067,0.0,1.01872631095e-13,1.89421970259e-09,M2_12+M6_07,RP11-403I13.7
ENSG00000229206,0.0,1.01872631095e-13,1.89421970259e-09,M2_12+M6_07,RP11-397O4.1
ENSG00000185847,0.0,1.01872631095e-13,1.89421970259e-09,M2_12+M6_07,RP1-46F2.2
ENSG00000273275,0.0,1.01872631095e-13,1.89421970259e-09,M2_12+M6_07,RP11-474G23.2
ENSG00000260664,0.0,1.01872631095e-13,1.89421970259e-09,M2_12+M6_07,AC004158.3
ENSG00000256185,0.0,1.01872631095e-13,1.89421970259e-09,M2_12+M6_07,RP11-612B6.2
ENSG00000249430,0.0,1.01872631095e-13,1.89421970259e-09,M2_12+M6_07,CTD-2231H16.1
ENSG00000006062,0.0,1.01872631095e-13,1.89421970259e-09,M2_12+M6_07,MAP3K14
ENSG00000261366,0.0,1.01872631095e-13,1.89421970259e-09,M2_12+M6_07,MANEA-AS1
ENSG00000269403,0.0,7.11541748379e-10,1.32304072694e-05,M2_12+M6_07,CTD-2616J11.11
ENSG00000198053,0.0,7.11541748379e-10,1.32304072694e-05,M2_12+M6_07,SIRPA
ENSG00000145113,0.0,7.11541748379e-10,1.32304072694e-05,M2_12+M6_07,MUC4
ENSG00000145569,0.0,7.11541748379e-10,1.32304072694e-05,M2_12+M6_07,FAM105A
ENSG00000225932,0.0,7.11541748379e-10,1.32304072694e-05,M2_12+M6_07,CTAGE4
ENSG00000271970,0.0,7.11541748379e-10,1.32304072694e-05,M2_12+M6_07,RP3-337H4.10
ENSG00000162772,0.0,7.11541748379e-10,1.32304072694e-05,M2_12+M6_07,ATF3
ENSG00000136732,0.0,7.11541748379e-10,1.32304072694e-05,M2_12+M6_07,GYPC
ENSG00000141295,0.0,7.11541748379e-10,1.32304072694e-05,M2_12+M6_07,SCRN2
ENSG00000104859,0.0,7.11541748379e-10,1.32304072694e-05,M2_12+M6_07,CLASRP
ENSG00000233073,0.0,7.11541748379e-10,1.32304072694e-05,M2_12+M6_07,AC005009.2
ENSG00000130707,0.0,7.11541748379e-10,1.32304072694e-05,M2_12+M6_07,ASS1
ENSG00000267288,0.0,7.11541748379e-10,1.32304072694e-05,M2_12+M6_07,RP13-890H12.2
ENSG00000268400,0.0,7.11541748379e-10,1.32304072694e-05,M2_12+M6_07,CTD-3214H19.4
ENSG00000112699,0.0,7.11541748379e-10,1.32304072694e-05,M2_12+M6_07,GMDS
ENSG00000168517,0.0,7.11541748379e-10,1.32304072694e-05,M2_12+M6_07,HEXIM2
ENSG00000273294,0.0,7.11541748379e-10,1.32304072694e-05,M2_12+M6_07,RP11-1084J3.4
ENSG00000245534,0.0,7.11541748379e-10,1.32304072694e-05,M2_12+M6_07,RP11-219B17.1
ENSG00000247679,0.0,7.11541748379e-10,1.32304072694e-05,M2_12+M6_07,RP11-1277A3.1
ENSG00000171786,1.0,1.42763960813e-09,2.65455308736e-05,M2_12+M6_07,NHLH1
ENSG00000186193,2.0,2.82887347017e-09,5.26000733043e-05,M2_12+M6_07,SAPCD2
ENSG00000253972,2.0,2.82887347017e-09,5.26000733043e-05,M2_12+M6_07,RP11-4K16.2
ENSG00000119703,2.0,2.82887347017e-09,5.26000733043e-05,M2_12+M6_07,ZC2HC1C
ENSG00000197530,2.0,2.82887347017e-09,5.26000733043e-05,M2_12+M6_07,MIB2
ENSG00000172216,2.0,2.82887347017e-09,5.26000733043e-05,M2_12+M6_07,CEBPB
ENSG00000250614,2.0,2.82887347017e-09,5.26000733043e-05,M2_12+M6_07,AC007078.4
ENSG00000248890,2.0,2.82887347017e-09,5.26000733043e-05,M2_12+M6_07,HHIP-AS1
ENSG00000070759,2.0,2.82887347017e-09,5.26000733043e-05,M2_12+M6_07,TESK2
ENSG00000116117,2.0,2.82887347017e-09,5.26000733043e-05,M2_12+M6_07,PARD3B
ENSG00000269926,0.0,6.11851651624e-08,0.00113767696103,M2_12+M6_07,RP11-442H21.2
ENSG00000142798,0.0,6.11851651624e-08,0.00113767696103,M2_12+M6_07,HSPG2
ENSG00000186297,0.0,6.11851651624e-08,0.00113767696103,M2_12+M6_07,GABRA5
ENSG00000212643,0.0,6.11851651624e-08,0.00113767696103,M2_12+M6_07,ZRSR1
ENSG00000168209,0.0,6.11851651624e-08,0.00113767696103,M2_12+M6_07,DDIT4
ENSG00000204536,0.0,6.11851651624e-08,0.00113767696103,M2_12+M6_07,CCHCR1
ENSG00000196975,0.0,6.11851651624e-08,0.00113767696103,M2_12+M6_07,ANXA4
ENSG00000254835,0.0,6.11851651624e-08,0.00113767696103,M2_12+M6_07,RNF185-AS1
ENSG00000126453,0.0,6.11851651624e-08,0.00113767696103,M2_12+M6_07,BCL2L12
ENSG00000176124,0.0,6.11851651624e-08,0.00113767696103,M2_12+M6_07,DLEU1
ENSG00000267242,0.0,6.11851651624e-08,0.00113767696103,M2_12+M6_07,AC069278.4
ENSG00000164983,0.0,6.11851651624e-08,0.00113767696103,M2_12+M6_07,TMEM65
ENSG00000134574,0.0,6.11851651624e-08,0.00113767696103,M2_12+M6_07,DDB2
ENSG00000269151,1.0,1.04560042523e-07,0.00194418943067,M2_12+M6_07,AC007193.8
ENSG00000267070,27.0,1.69891912544e-07,0.00315897022184,M2_12+M6_07,RP11-10K17.6
ENSG00000172244,27.0,1.69891912544e-07,0.00315897022184,M2_12+M6_07,C5orf34
ENSG00000259264,2.0,1.76998610733e-07,0.00329111216797,M2_12+M6_07,RP11-60L3.1
ENSG00000100842,2.0,1.76998610733e-07,0.00329111216797,M2_12+M6_07,EFS
ENSG00000267890,2.0,1.76998610733e-07,0.00329111216797,M2_12+M6_07,CTD-2126E3.4
ENSG00000188931,2.0,1.76998610733e-07,0.00329111216797,M2_12+M6_07,C1orf192
ENSG00000079435,2.0,1.76998610733e-07,0.00329111216797,M2_12+M6_07,LIPE
ENSG00000229751,2.0,1.76998610733e-07,0.00329111216797,M2_12+M6_07,RP11-142M10.2
ENSG00000183798,2.0,1.76998610733e-07,0.00329111216797,M2_12+M6_07,EMILIN3
ENSG00000170615,2.0,1.76998610733e-07,0.00329111216797,M2_12+M6_07,SLC26A5
ENSG00000256861,2.0,1.76998610733e-07,0.00329111216797,M2_12+M6_07,RP11-512M8.5
ENSG00000121101,2.0,1.76998610733e-07,0.00329111216797,M2_12+M6_07,TEX14
ENSG00000213023,2.0,1.76998610733e-07,0.00329111216797,M2_12+M6_07,SYT3
ENSG00000107731,2.0,1.76998610733e-07,0.00329111216797,M2_12+M6_07,UNC5B
ENSG00000241839,2.0,1.76998610733e-07,0.00329111216797,M2_12+M6_07,PLEKHO2
ENSG00000229673,2.0,1.76998610733e-07,0.00329111216797,M2_12+M6_07,LL22NC01-116C6.1
ENSG00000187775,2.0,1.76998610733e-07,0.00329111216797,M2_12+M6_07,DNAH17
ENSG00000180694,2.0,1.76998610733e-07,0.00329111216797,M2_12+M6_07,TMEM64
ENSG00000065717,4.0,4.93002101936e-07,0.0091668810834,M2_12+M6_07,TLE2
ENSG00000172123,4.0,4.93002101936e-07,0.0091668810834,M2_12+M6_07,SLFN12
ENSG00000188566,4.0,4.93002101936e-07,0.0091668810834,M2_12+M6_07,NDOR1
ENSG00000105131,4.0,4.93002101936e-07,0.0091668810834,M2_12+M6_07,EPHX3
ENSG00000237836,4.0,4.93002101936e-07,0.0091668810834,M2_12+M6_07,PHKA2-AS1
ENSG00000179041,4.0,4.93002101936e-07,0.0091668810834,M2_12+M6_07,RRS1
