,features_of_interest_in_go_term,features_of_interest_in_go_term_gene_symbols,go_domain,go_name,n_background_in_go_term,n_features_of_interest_in_go_term,n_features_total_in_go_term,negative_log_p_value,bonferonni_corrected_negative_log_p_value,modality,phenotype
GO:0006367,"ENSG00000120798,ENSG00000134480,ENSG00000114126,ENSG00000168002,ENSG00000141027,ENSG00000125651,ENSG00000140307,ENSG00000157450,ENSG00000221983,ENSG00000188342,ENSG00000137947,ENSG00000100142,ENSG00000168214,ENSG00000082258,ENSG00000054118,ENSG00000109332","NR2C1,CCNH,TFDP2,POLR2G,NCOR1,GTF2F1,GTF2A2,RNF111,UBA52,GTF2F2,GTF2B,POLR2F,RBPJ,CCNT2,THRAP3,UBE2D3",biological_process,transcription initiation from RNA polymerase II promoter,17,16,204,18.9840510892,13.6417168372,excluded,NPC
GO:0006281,"ENSG00000100387,ENSG00000123562,ENSG00000092201,ENSG00000147140,ENSG00000079246,ENSG00000148153,ENSG00000109332,ENSG00000134480,ENSG00000187778,ENSG00000187735,ENSG00000221983,ENSG00000100142,ENSG00000143748,ENSG00000116030,ENSG00000076242,ENSG00000104343,ENSG00000108384,ENSG00000119048,ENSG00000139372,ENSG00000168002,ENSG00000103194,ENSG00000140455,ENSG00000248643","RBX1,MORF4L2,SUPT16H,NONO,XRCC5,INIP,UBE2D3,CCNH,MCRS1,TCEA1,UBA52,POLR2F,NVL,SUMO1,MLH1,UBE2W,RAD51C,UBE2B,TDG,POLR2G,USP10,USP3,RBM14-RBM4",biological_process,DNA repair,28,23,341,18.4151326587,13.0727984067,excluded,NPC
GO:0000209,"ENSG00000092140,ENSG00000119048,ENSG00000163636,ENSG00000100804,ENSG00000106588,ENSG00000256646,ENSG00000157450,ENSG00000221983,ENSG00000108294,ENSG00000172687,ENSG00000169139,ENSG00000244687,ENSG00000129084,ENSG00000197170,ENSG00000109332","G2E3,UBE2B,PSMD6,PSMB5,PSMA2,PSMA2,RNF111,UBA52,PSMB3,ZNF738,UBE2V2,UBE2V1,PSMA1,PSMD12,UBE2D3",biological_process,protein polyubiquitination,16,15,132,17.8624972313,12.5201629793,excluded,NPC
GO:0006120,"ENSG00000128609,ENSG00000160194,ENSG00000139180,ENSG00000167774,ENSG00000136521,ENSG00000164258,ENSG00000115286,ENSG00000267855,ENSG00000158864,ENSG00000170906,ENSG00000119013,ENSG00000183648,ENSG00000110717,ENSG00000090266","NDUFA5,NDUFV3,NDUFA9,NDUFA7,NDUFB5,NDUFS4,NDUFS7,NDUFA7,NDUFS2,NDUFA3,NDUFB3,NDUFB1,NDUFS8,NDUFB2",biological_process,"mitochondrial electron transport, NADH to ubiquinone",15,14,55,16.7415526165,11.3992183646,excluded,NPC
GO:0016567,"ENSG00000100387,ENSG00000110429,ENSG00000136536,ENSG00000198961,ENSG00000092148,ENSG00000109046,ENSG00000114125,ENSG00000113558,ENSG00000135108,ENSG00000169139,ENSG00000141552,ENSG00000119048,ENSG00000121067,ENSG00000109332","RBX1,FBXO3,MARCH7,PJA2,HECTD1,WSB1,RNF7,SKP1,FBXO21,UBE2V2,ANAPC11,UBE2B,SPOP,UBE2D3",biological_process,protein ubiquitination,15,14,308,16.7415526165,11.3992183646,excluded,NPC
GO:0000122,"ENSG00000108654,ENSG00000141027,ENSG00000141002,ENSG00000139372,ENSG00000196591,ENSG00000113649,ENSG00000120798,ENSG00000221983,ENSG00000140382,ENSG00000168214,ENSG00000167085,ENSG00000168734,ENSG00000101040,ENSG00000033800,ENSG00000189403,ENSG00000109332","DDX5,NCOR1,TCF25,TDG,HDAC2,TCERG1,NR2C1,UBA52,HMG20A,RBPJ,PHB,PKIG,ZMYND8,PIAS1,HMGB1,UBE2D3",biological_process,negative regulation of transcription from RNA polymerase II promoter,18,16,571,16.461107699,11.118773447,excluded,NPC
GO:0051301,"ENSG00000153140,ENSG00000175216,ENSG00000196504,ENSG00000047849,ENSG00000007168,ENSG00000082258,ENSG00000167552,ENSG00000128989,ENSG00000090061,ENSG00000070831,ENSG00000074319,ENSG00000089053,ENSG00000141552,ENSG00000117697,ENSG00000152240,ENSG00000138758,ENSG00000168385,ENSG00000068796,ENSG00000008128","CETN3,CKAP5,PRPF40A,MAP4,PAFAH1B1,CCNT2,TUBA1A,ARPP19,CCNK,CDC42,TSG101,ANAPC5,ANAPC11,NSL1,HAUS1,SEPT11,SEPT2,KIF2A,CDK11A",biological_process,cell division,23,19,330,15.9830888655,10.6407546136,excluded,NPC
GO:0006810,"ENSG00000095139,ENSG00000155368,ENSG00000177879,ENSG00000070718,ENSG00000007168,ENSG00000115947,ENSG00000102900,ENSG00000149557,ENSG00000145907,ENSG00000075415,ENSG00000075142,ENSG00000170348,ENSG00000008952,ENSG00000040341,ENSG00000125971,ENSG00000135720,ENSG00000127914,ENSG00000121073,ENSG00000077380","ARCN1,DBI,AP3S1,AP3M2,PAFAH1B1,ORC4,NUP93,FEZ1,G3BP1,SLC25A3,SRI,TMED10,SEC62,STAU2,DYNLRB1,DYNC1LI2,AKAP9,SLC35B1,DYNC1I2",biological_process,transport,23,19,561,15.9830888655,10.6407546136,excluded,NPC
GO:0006886,"ENSG00000099246,ENSG00000095139,ENSG00000166128,ENSG00000129515,ENSG00000173726,ENSG00000070718,ENSG00000152700,ENSG00000174100,ENSG00000120805,ENSG00000157020,ENSG00000184432,ENSG00000164609,ENSG00000126768,ENSG00000136738,ENSG00000122705,ENSG00000177879,ENSG00000180879,ENSG00000079332,ENSG00000170348","RAB18,ARCN1,RAB8B,SNX6,TOMM20,AP3M2,SAR1B,MRPL45,ARL1,SEC13,COPB2,SLU7,TIMM17B,STAM,CLTA,AP3S1,SSR4,SAR1A,TMED10",biological_process,intracellular protein transport,24,19,342,14.5606205863,9.21828633433,excluded,NPC
GO:0007283,"ENSG00000076242,ENSG00000033800,ENSG00000008294,ENSG00000108384,ENSG00000204256,ENSG00000121989,ENSG00000086061,ENSG00000116918,ENSG00000119048,ENSG00000101079,ENSG00000166171,ENSG00000028839","MLH1,PIAS1,SPAG9,RAD51C,BRD2,ACVR2A,DNAJA1,TSNAX,UBE2B,NDRG3,DPCD,TBPL1",biological_process,spermatogenesis,13,12,367,14.5014882008,9.15915394885,excluded,NPC
