,Splicing Gene,phenotype,Expression Gene,Pearson R,event_id,modality,gene_name,Correlation Direction,gene_type
129470,MDM4,NPC,ENSG00000065060,0.51340291329,exon:chr1:204501319-204501374:+@exon:chr1:204506558-204506625:+@exon:chr1:204507337-204507436:+,bimodal,UHRF1BP1,(+) Positive,protein_coding
130486,MDM4,NPC,ENSG00000100526,-0.512055784574,exon:chr1:204501319-204501374:+@exon:chr1:204506558-204506625:+@exon:chr1:204507337-204507436:+,bimodal,CDKN3,(-) Negative,protein_coding
130624,MDM4,NPC,ENSG00000101444,-0.506347503533,exon:chr1:204501319-204501374:+@exon:chr1:204506558-204506625:+@exon:chr1:204507337-204507436:+,bimodal,AHCY,(-) Negative,protein_coding
130961,MDM4,NPC,ENSG00000105127,-0.567298531422,exon:chr1:204501319-204501374:+@exon:chr1:204506558-204506625:+@exon:chr1:204507337-204507436:+,bimodal,AKAP8,(-) Negative,protein_coding
131322,MDM4,NPC,ENSG00000108528,-0.512755763719,exon:chr1:204501319-204501374:+@exon:chr1:204506558-204506625:+@exon:chr1:204507337-204507436:+,bimodal,SLC25A11,(-) Negative,protein_coding
131792,MDM4,NPC,ENSG00000114054,-0.629394735774,exon:chr1:204501319-204501374:+@exon:chr1:204506558-204506625:+@exon:chr1:204507337-204507436:+,bimodal,PCCB,(-) Negative,protein_coding
131867,MDM4,NPC,ENSG00000115042,-0.51867697882,exon:chr1:204501319-204501374:+@exon:chr1:204506558-204506625:+@exon:chr1:204507337-204507436:+,bimodal,FAHD2A,(-) Negative,protein_coding
132548,MDM4,NPC,ENSG00000123374,-0.509834639505,exon:chr1:204501319-204501374:+@exon:chr1:204506558-204506625:+@exon:chr1:204507337-204507436:+,bimodal,CDK2,(-) Negative,protein_coding
132612,MDM4,NPC,ENSG00000124222,0.528193418904,exon:chr1:204501319-204501374:+@exon:chr1:204506558-204506625:+@exon:chr1:204507337-204507436:+,bimodal,STX16,(+) Positive,protein_coding
132869,MDM4,NPC,ENSG00000127804,-0.515795287365,exon:chr1:204501319-204501374:+@exon:chr1:204506558-204506625:+@exon:chr1:204507337-204507436:+,bimodal,METTL16,(-) Negative,protein_coding
133528,MDM4,NPC,ENSG00000134809,-0.512959646155,exon:chr1:204501319-204501374:+@exon:chr1:204506558-204506625:+@exon:chr1:204507337-204507436:+,bimodal,TIMM10,(-) Negative,protein_coding
133893,MDM4,NPC,ENSG00000137571,-0.517674787891,exon:chr1:204501319-204501374:+@exon:chr1:204506558-204506625:+@exon:chr1:204507337-204507436:+,bimodal,SLCO5A1,(-) Negative,protein_coding
134108,MDM4,NPC,ENSG00000139546,0.511337968125,exon:chr1:204501319-204501374:+@exon:chr1:204506558-204506625:+@exon:chr1:204507337-204507436:+,bimodal,TARBP2,(+) Positive,protein_coding
134280,MDM4,NPC,ENSG00000141446,-0.550164460413,exon:chr1:204501319-204501374:+@exon:chr1:204506558-204506625:+@exon:chr1:204507337-204507436:+,bimodal,ESCO1,(-) Negative,protein_coding
135059,MDM4,NPC,ENSG00000150776,-0.507274727213,exon:chr1:204501319-204501374:+@exon:chr1:204506558-204506625:+@exon:chr1:204507337-204507436:+,bimodal,C11orf57,(-) Negative,protein_coding
135093,MDM4,NPC,ENSG00000151322,0.501707828024,exon:chr1:204501319-204501374:+@exon:chr1:204506558-204506625:+@exon:chr1:204507337-204507436:+,bimodal,NPAS3,(+) Positive,protein_coding
135128,MDM4,NPC,ENSG00000151665,-0.511379618749,exon:chr1:204501319-204501374:+@exon:chr1:204506558-204506625:+@exon:chr1:204507337-204507436:+,bimodal,PIGF,(-) Negative,protein_coding
135289,MDM4,NPC,ENSG00000153707,0.500923237315,exon:chr1:204501319-204501374:+@exon:chr1:204506558-204506625:+@exon:chr1:204507337-204507436:+,bimodal,PTPRD,(+) Positive,protein_coding
135368,MDM4,NPC,ENSG00000154832,0.594707501505,exon:chr1:204501319-204501374:+@exon:chr1:204506558-204506625:+@exon:chr1:204507337-204507436:+,bimodal,CXXC1,(+) Positive,protein_coding
136202,MDM4,NPC,ENSG00000164066,0.529129161814,exon:chr1:204501319-204501374:+@exon:chr1:204506558-204506625:+@exon:chr1:204507337-204507436:+,bimodal,INTU,(+) Positive,protein_coding
136235,MDM4,NPC,ENSG00000164176,0.510784859279,exon:chr1:204501319-204501374:+@exon:chr1:204506558-204506625:+@exon:chr1:204507337-204507436:+,bimodal,EDIL3,(+) Positive,protein_coding
136624,MDM4,NPC,ENSG00000166881,-0.527551035742,exon:chr1:204501319-204501374:+@exon:chr1:204506558-204506625:+@exon:chr1:204507337-204507436:+,bimodal,TMEM194A,(-) Negative,protein_coding
136699,MDM4,NPC,ENSG00000167460,-0.50344313046,exon:chr1:204501319-204501374:+@exon:chr1:204506558-204506625:+@exon:chr1:204507337-204507436:+,bimodal,TPM4,(-) Negative,protein_coding
136850,MDM4,NPC,ENSG00000168411,-0.508339904556,exon:chr1:204501319-204501374:+@exon:chr1:204506558-204506625:+@exon:chr1:204507337-204507436:+,bimodal,RFWD3,(-) Negative,protein_coding
137339,MDM4,NPC,ENSG00000172469,-0.500356354838,exon:chr1:204501319-204501374:+@exon:chr1:204506558-204506625:+@exon:chr1:204507337-204507436:+,bimodal,MANEA,(-) Negative,protein_coding
137460,MDM4,NPC,ENSG00000173715,-0.502549406017,exon:chr1:204501319-204501374:+@exon:chr1:204506558-204506625:+@exon:chr1:204507337-204507436:+,bimodal,C11orf80,(-) Negative,protein_coding
