,Splicing Gene,phenotype,Expression Gene,Pearson R,event_id,modality,gene_name,Correlation Direction,gene_type
42972,DYNC1I2,NPC,ENSG00000003987,0.500056354567,exon:chr2:172563743-172563887:+@exon:chr2:172569277-172569336:+@exon:chr2:172571838-172571878:+,bimodal,MTMR7,(+) Positive,protein_coding
42997,DYNC1I2,NPC,ENSG00000005108,0.731729507385,exon:chr2:172563743-172563887:+@exon:chr2:172569277-172569336:+@exon:chr2:172571838-172571878:+,bimodal,THSD7A,(+) Positive,protein_coding
43129,DYNC1I2,NPC,ENSG00000011009,0.532395586483,exon:chr2:172563743-172563887:+@exon:chr2:172569277-172569336:+@exon:chr2:172571838-172571878:+,bimodal,LYPLA2,(+) Positive,protein_coding
43146,DYNC1I2,NPC,ENSG00000011426,-0.524315788033,exon:chr2:172563743-172563887:+@exon:chr2:172569277-172569336:+@exon:chr2:172571838-172571878:+,bimodal,ANLN,(-) Negative,protein_coding
43196,DYNC1I2,NPC,ENSG00000015592,0.502239688454,exon:chr2:172563743-172563887:+@exon:chr2:172569277-172569336:+@exon:chr2:172571838-172571878:+,bimodal,STMN4,(+) Positive,protein_coding
43226,DYNC1I2,NPC,ENSG00000021645,0.587581700093,exon:chr2:172563743-172563887:+@exon:chr2:172569277-172569336:+@exon:chr2:172571838-172571878:+,bimodal,NRXN3,(+) Positive,protein_coding
43481,DYNC1I2,NPC,ENSG00000056277,0.645916458351,exon:chr2:172563743-172563887:+@exon:chr2:172569277-172569336:+@exon:chr2:172571838-172571878:+,bimodal,ZNF280C,(+) Positive,protein_coding
43526,DYNC1I2,NPC,ENSG00000061337,0.529126319227,exon:chr2:172563743-172563887:+@exon:chr2:172569277-172569336:+@exon:chr2:172571838-172571878:+,bimodal,LZTS1,(+) Positive,protein_coding
43546,DYNC1I2,NPC,ENSG00000063177,0.557755187271,exon:chr2:172563743-172563887:+@exon:chr2:172569277-172569336:+@exon:chr2:172571838-172571878:+,bimodal,RPL18,(+) Positive,protein_coding
43797,DYNC1I2,NPC,ENSG00000072501,-0.528231538968,exon:chr2:172563743-172563887:+@exon:chr2:172569277-172569336:+@exon:chr2:172571838-172571878:+,bimodal,SMC1A,(-) Negative,protein_coding
