,Splicing Gene,phenotype,Expression Gene,Pearson R,event_id,modality,gene_name,Correlation Direction,gene_type
200438,SNAP25,MN,ENSG00000004838,0.503562535979,exon:chr20:10265372-10265420:+@exon:chr20:10273530-10273647:+@exon:chr20:10273809-10273926:+@exon:chr20:10277573-10277698:+,bimodal,ZMYND10,(+) Positive,protein_coding
200615,SNAP25,MN,ENSG00000012232,-0.521837042302,exon:chr20:10265372-10265420:+@exon:chr20:10273530-10273647:+@exon:chr20:10273809-10273926:+@exon:chr20:10277573-10277698:+,bimodal,EXTL3,(-) Negative,protein_coding
200856,SNAP25,MN,ENSG00000048707,-0.548903177915,exon:chr20:10265372-10265420:+@exon:chr20:10273530-10273647:+@exon:chr20:10273809-10273926:+@exon:chr20:10277573-10277698:+,bimodal,VPS13D,(-) Negative,protein_coding
200897,SNAP25,MN,ENSG00000052795,-0.51206695058,exon:chr20:10265372-10265420:+@exon:chr20:10273530-10273647:+@exon:chr20:10273809-10273926:+@exon:chr20:10277573-10277698:+,bimodal,FNIP2,(-) Negative,protein_coding
201092,SNAP25,MN,ENSG00000066583,-0.521497778283,exon:chr20:10265372-10265420:+@exon:chr20:10273530-10273647:+@exon:chr20:10273809-10273926:+@exon:chr20:10277573-10277698:+,bimodal,ISOC1,(-) Negative,protein_coding
201172,SNAP25,MN,ENSG00000069849,-0.504115079618,exon:chr20:10265372-10265420:+@exon:chr20:10273530-10273647:+@exon:chr20:10273809-10273926:+@exon:chr20:10277573-10277698:+,bimodal,ATP1B3,(-) Negative,protein_coding
201328,SNAP25,MN,ENSG00000075336,-0.539128964984,exon:chr20:10265372-10265420:+@exon:chr20:10273530-10273647:+@exon:chr20:10273809-10273926:+@exon:chr20:10277573-10277698:+,bimodal,TIMM21,(-) Negative,protein_coding
202286,SNAP25,MN,ENSG00000102409,-0.505053222561,exon:chr20:10265372-10265420:+@exon:chr20:10273530-10273647:+@exon:chr20:10273809-10273926:+@exon:chr20:10277573-10277698:+,bimodal,BEX4,(-) Negative,protein_coding
202305,SNAP25,MN,ENSG00000102781,0.556253686131,exon:chr20:10265372-10265420:+@exon:chr20:10273530-10273647:+@exon:chr20:10273809-10273926:+@exon:chr20:10277573-10277698:+,bimodal,KATNAL1,(+) Positive,protein_coding
202458,SNAP25,MN,ENSG00000104442,-0.594874006466,exon:chr20:10265372-10265420:+@exon:chr20:10273530-10273647:+@exon:chr20:10273809-10273926:+@exon:chr20:10277573-10277698:+,bimodal,ARMC1,(-) Negative,protein_coding
202560,SNAP25,MN,ENSG00000105364,-0.522151811437,exon:chr20:10265372-10265420:+@exon:chr20:10273530-10273647:+@exon:chr20:10273809-10273926:+@exon:chr20:10277573-10277698:+,bimodal,MRPL4,(-) Negative,protein_coding
202857,SNAP25,MN,ENSG00000108278,-0.543236742851,exon:chr20:10265372-10265420:+@exon:chr20:10273530-10273647:+@exon:chr20:10273809-10273926:+@exon:chr20:10277573-10277698:+,bimodal,ZNHIT3,(-) Negative,protein_coding
202926,SNAP25,MN,ENSG00000108852,-0.569716337014,exon:chr20:10265372-10265420:+@exon:chr20:10273530-10273647:+@exon:chr20:10273809-10273926:+@exon:chr20:10277573-10277698:+,bimodal,MPP2,(-) Negative,protein_coding
203043,SNAP25,MN,ENSG00000110400,-0.533911521458,exon:chr20:10265372-10265420:+@exon:chr20:10273530-10273647:+@exon:chr20:10273809-10273926:+@exon:chr20:10277573-10277698:+,bimodal,PVRL1,(-) Negative,protein_coding
