,Splicing Gene,phenotype,Expression Gene,Pearson R,event_id,modality,gene_name,Correlation Direction,gene_type
66,BRD8-event1,NPC,ENSG00000005436,-0.538948726244,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,GCFC2,(-) Negative,protein_coding
176,BRD8-event1,NPC,ENSG00000010310,-0.519801858844,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,GIPR,(-) Negative,protein_coding
483,BRD8-event1,NPC,ENSG00000050438,-0.509079970758,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,SLC4A8,(-) Negative,protein_coding
875,BRD8-event1,NPC,ENSG00000073060,-0.602361912178,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,SCARB1,(-) Negative,protein_coding
1277,BRD8-event1,NPC,ENSG00000088682,-0.588166468717,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,COQ9,(-) Negative,protein_coding
1346,BRD8-event1,NPC,ENSG00000090372,-0.691314182764,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,STRN4,(-) Negative,protein_coding
1377,BRD8-event1,NPC,ENSG00000091128,-0.559426136126,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,LAMB4,(-) Negative,protein_coding
1455,BRD8-event1,NPC,ENSG00000095066,-0.54211574273,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,HOOK2,(-) Negative,protein_coding
1466,BRD8-event1,NPC,ENSG00000095596,-0.524967167932,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,CYP26A1,(-) Negative,protein_coding
1598,BRD8-event1,NPC,ENSG00000100280,-0.552071896142,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,AP1B1,(-) Negative,protein_coding
1698,BRD8-event1,NPC,ENSG00000100784,-0.547537265973,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,RPS6KA5,(-) Negative,protein_coding
1851,BRD8-event1,NPC,ENSG00000102003,-0.55264712447,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,SYP,(-) Negative,protein_coding
1996,BRD8-event1,NPC,ENSG00000103528,-0.520251350749,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,SYT17,(-) Negative,protein_coding
2059,BRD8-event1,NPC,ENSG00000104413,-0.53659569934,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,ESRP1,(-) Negative,protein_coding
2099,BRD8-event1,NPC,ENSG00000104825,-0.505319979985,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,NFKBIB,(-) Negative,protein_coding
2394,BRD8-event1,NPC,ENSG00000107521,-0.58625286081,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,HPS1,(-) Negative,protein_coding
2942,BRD8-event1,NPC,ENSG00000113658,0.502038022423,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,SMAD5,(+) Positive,protein_coding
2958,BRD8-event1,NPC,ENSG00000113916,-0.554768705628,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,BCL6,(-) Negative,protein_coding
3012,BRD8-event1,NPC,ENSG00000114656,-0.507811996763,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,KIAA1257,(-) Negative,protein_coding
3079,BRD8-event1,NPC,ENSG00000115365,-0.510136674266,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,LANCL1,(-) Negative,protein_coding
3167,BRD8-event1,NPC,ENSG00000116213,-0.630003692642,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,WRAP73,(-) Negative,protein_coding
3417,BRD8-event1,NPC,ENSG00000119421,0.502173988596,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,NDUFA8,(+) Positive,protein_coding
3504,BRD8-event1,NPC,ENSG00000120334,-0.798877598242,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,CENPL,(-) Negative,protein_coding
3851,BRD8-event1,NPC,ENSG00000125144,-0.563903892232,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,MT1G,(-) Negative,protein_coding
4012,BRD8-event1,NPC,ENSG00000127152,-0.532315945832,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,BCL11B,(-) Negative,protein_coding
4169,BRD8-event1,NPC,ENSG00000129460,0.520762984881,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,NGDN,(+) Positive,protein_coding
4298,BRD8-event1,NPC,ENSG00000130772,-0.556299368665,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,MED18,(-) Negative,protein_coding
