,Splicing Gene,phenotype,Expression Gene,Pearson R,event_id,modality,gene_name,Correlation Direction,gene_type
172368,RPN2,MN,ENSG00000063015,0.525713250887,exon:chr20:35864983-35865112:+@exon:chr20:35866805-35866852:+@exon:chr20:35869706-35869820:+,bimodal,SEZ6,(+) Positive,protein_coding
173948,RPN2,MN,ENSG00000105426,0.516372603361,exon:chr20:35864983-35865112:+@exon:chr20:35866805-35866852:+@exon:chr20:35869706-35869820:+,bimodal,PTPRS,(+) Positive,protein_coding
174094,RPN2,MN,ENSG00000106554,-0.535851414874,exon:chr20:35864983-35865112:+@exon:chr20:35866805-35866852:+@exon:chr20:35869706-35869820:+,bimodal,CHCHD3,(-) Negative,protein_coding
176647,RPN2,MN,ENSG00000136108,-0.522888128151,exon:chr20:35864983-35865112:+@exon:chr20:35866805-35866852:+@exon:chr20:35869706-35869820:+,bimodal,CKAP2,(-) Negative,protein_coding
176860,RPN2,MN,ENSG00000137817,0.512871266568,exon:chr20:35864983-35865112:+@exon:chr20:35866805-35866852:+@exon:chr20:35869706-35869820:+,bimodal,PARP6,(+) Positive,protein_coding
177693,RPN2,MN,ENSG00000146457,0.606443675244,exon:chr20:35864983-35865112:+@exon:chr20:35866805-35866852:+@exon:chr20:35869706-35869820:+,bimodal,WTAP,(+) Positive,protein_coding
177960,RPN2,MN,ENSG00000149926,0.581534465776,exon:chr20:35864983-35865112:+@exon:chr20:35866805-35866852:+@exon:chr20:35869706-35869820:+,bimodal,FAM57B,(+) Positive,protein_coding
179171,RPN2,MN,ENSG00000164163,-0.509921060203,exon:chr20:35864983-35865112:+@exon:chr20:35866805-35866852:+@exon:chr20:35869706-35869820:+,bimodal,ABCE1,(-) Negative,protein_coding
180864,RPN2,MN,ENSG00000179059,0.535304855618,exon:chr20:35864983-35865112:+@exon:chr20:35866805-35866852:+@exon:chr20:35869706-35869820:+,bimodal,ZFP42,(+) Positive,protein_coding
182708,RPN2,MN,ENSG00000213977,-0.50335940332,exon:chr20:35864983-35865112:+@exon:chr20:35866805-35866852:+@exon:chr20:35869706-35869820:+,bimodal,TAX1BP3,(-) Negative,protein_coding
183018,RPN2,MN,ENSG00000225885,0.508963414877,exon:chr20:35864983-35865112:+@exon:chr20:35866805-35866852:+@exon:chr20:35869706-35869820:+,bimodal,AC023590.1,(+) Positive,protein_coding
