,Splicing Gene,phenotype,Expression Gene,Pearson R,event_id,modality,gene_name,Correlation Direction
157543,PKM,MN,ENSG00000006327,-0.520701325449,exon:chr15:72499069-72499221:-@exon:chr15:72495363-72495529:-@exon:chr15:72494795-72494961:-@exon:chr15:72492815-72492996:-,bimodal,TNFRSF12A,(-) Negative
157555,PKM,MN,ENSG00000006625,-0.527317207888,exon:chr15:72499069-72499221:-@exon:chr15:72495363-72495529:-@exon:chr15:72494795-72494961:-@exon:chr15:72492815-72492996:-,bimodal,GGCT,(-) Negative
157602,PKM,MN,ENSG00000008394,-0.524712233721,exon:chr15:72499069-72499221:-@exon:chr15:72495363-72495529:-@exon:chr15:72494795-72494961:-@exon:chr15:72492815-72492996:-,bimodal,MGST1,(-) Negative
157654,PKM,MN,ENSG00000011304,-0.547096330668,exon:chr15:72499069-72499221:-@exon:chr15:72495363-72495529:-@exon:chr15:72494795-72494961:-@exon:chr15:72492815-72492996:-,bimodal,PTBP1,(-) Negative
157658,PKM,MN,ENSG00000011426,-0.519070074425,exon:chr15:72499069-72499221:-@exon:chr15:72495363-72495529:-@exon:chr15:72494795-72494961:-@exon:chr15:72492815-72492996:-,bimodal,ANLN,(-) Negative
157719,PKM,MN,ENSG00000018408,-0.504249066037,exon:chr15:72499069-72499221:-@exon:chr15:72495363-72495529:-@exon:chr15:72494795-72494961:-@exon:chr15:72492815-72492996:-,bimodal,WWTR1,(-) Negative
157814,PKM,MN,ENSG00000034063,-0.547873862827,exon:chr15:72499069-72499221:-@exon:chr15:72495363-72495529:-@exon:chr15:72494795-72494961:-@exon:chr15:72492815-72492996:-,bimodal,UHRF1,(-) Negative
157840,PKM,MN,ENSG00000037757,0.502979443674,exon:chr15:72499069-72499221:-@exon:chr15:72495363-72495529:-@exon:chr15:72494795-72494961:-@exon:chr15:72492815-72492996:-,bimodal,MRI1,(+) Positive
157883,PKM,MN,ENSG00000046604,-0.570422859002,exon:chr15:72499069-72499221:-@exon:chr15:72495363-72495529:-@exon:chr15:72494795-72494961:-@exon:chr15:72492815-72492996:-,bimodal,DSG2,(-) Negative
157972,PKM,MN,ENSG00000054523,0.572061369637,exon:chr15:72499069-72499221:-@exon:chr15:72495363-72495529:-@exon:chr15:72494795-72494961:-@exon:chr15:72492815-72492996:-,bimodal,KIF1B,(+) Positive
157980,PKM,MN,ENSG00000055070,-0.569109503765,exon:chr15:72499069-72499221:-@exon:chr15:72495363-72495529:-@exon:chr15:72494795-72494961:-@exon:chr15:72492815-72492996:-,bimodal,SZRD1,(-) Negative
158108,PKM,MN,ENSG00000065357,0.540553894422,exon:chr15:72499069-72499221:-@exon:chr15:72495363-72495529:-@exon:chr15:72494795-72494961:-@exon:chr15:72492815-72492996:-,bimodal,DGKA,(+) Positive
158236,PKM,MN,ENSG00000069998,-0.51363049038,exon:chr15:72499069-72499221:-@exon:chr15:72495363-72495529:-@exon:chr15:72494795-72494961:-@exon:chr15:72492815-72492996:-,bimodal,CECR5,(-) Negative
158264,PKM,MN,ENSG00000070814,-0.55553744307,exon:chr15:72499069-72499221:-@exon:chr15:72495363-72495529:-@exon:chr15:72494795-72494961:-@exon:chr15:72492815-72492996:-,bimodal,TCOF1,(-) Negative
158280,PKM,MN,ENSG00000071462,-0.624004905762,exon:chr15:72499069-72499221:-@exon:chr15:72495363-72495529:-@exon:chr15:72494795-72494961:-@exon:chr15:72492815-72492996:-,bimodal,WBSCR22,(-) Negative
158307,PKM,MN,ENSG00000072415,-0.503531588021,exon:chr15:72499069-72499221:-@exon:chr15:72495363-72495529:-@exon:chr15:72494795-72494961:-@exon:chr15:72492815-72492996:-,bimodal,MPP5,(-) Negative
158351,PKM,MN,ENSG00000074181,-0.505568751804,exon:chr15:72499069-72499221:-@exon:chr15:72495363-72495529:-@exon:chr15:72494795-72494961:-@exon:chr15:72492815-72492996:-,bimodal,NOTCH3,(-) Negative
158457,PKM,MN,ENSG00000078018,0.532089431777,exon:chr15:72499069-72499221:-@exon:chr15:72495363-72495529:-@exon:chr15:72494795-72494961:-@exon:chr15:72492815-72492996:-,bimodal,MAP2,(+) Positive
158465,PKM,MN,ENSG00000078142,0.533900115798,exon:chr15:72499069-72499221:-@exon:chr15:72495363-72495529:-@exon:chr15:72494795-72494961:-@exon:chr15:72492815-72492996:-,bimodal,PIK3C3,(+) Positive
158490,PKM,MN,ENSG00000079102,0.537016718163,exon:chr15:72499069-72499221:-@exon:chr15:72495363-72495529:-@exon:chr15:72494795-72494961:-@exon:chr15:72492815-72492996:-,bimodal,RUNX1T1,(+) Positive
158586,PKM,MN,ENSG00000083444,-0.527566165317,exon:chr15:72499069-72499221:-@exon:chr15:72495363-72495529:-@exon:chr15:72494795-72494961:-@exon:chr15:72492815-72492996:-,bimodal,PLOD1,(-) Negative
158692,PKM,MN,ENSG00000087245,-0.513740538832,exon:chr15:72499069-72499221:-@exon:chr15:72495363-72495529:-@exon:chr15:72494795-72494961:-@exon:chr15:72492815-72492996:-,bimodal,MMP2,(-) Negative
158762,PKM,MN,ENSG00000089159,-0.528209239115,exon:chr15:72499069-72499221:-@exon:chr15:72495363-72495529:-@exon:chr15:72494795-72494961:-@exon:chr15:72492815-72492996:-,bimodal,PXN,(-) Negative
158780,PKM,MN,ENSG00000089685,-0.516468165881,exon:chr15:72499069-72499221:-@exon:chr15:72495363-72495529:-@exon:chr15:72494795-72494961:-@exon:chr15:72492815-72492996:-,bimodal,BIRC5,(-) Negative
158833,PKM,MN,ENSG00000091136,-0.579695853851,exon:chr15:72499069-72499221:-@exon:chr15:72495363-72495529:-@exon:chr15:72494795-72494961:-@exon:chr15:72492815-72492996:-,bimodal,LAMB1,(-) Negative
158880,PKM,MN,ENSG00000092820,-0.561724242493,exon:chr15:72499069-72499221:-@exon:chr15:72495363-72495529:-@exon:chr15:72494795-72494961:-@exon:chr15:72492815-72492996:-,bimodal,EZR,(-) Negative
158884,PKM,MN,ENSG00000092853,-0.535219263521,exon:chr15:72499069-72499221:-@exon:chr15:72495363-72495529:-@exon:chr15:72494795-72494961:-@exon:chr15:72492815-72492996:-,bimodal,CLSPN,(-) Negative
158887,PKM,MN,ENSG00000092964,0.505901840047,exon:chr15:72499069-72499221:-@exon:chr15:72495363-72495529:-@exon:chr15:72494795-72494961:-@exon:chr15:72492815-72492996:-,bimodal,DPYSL2,(+) Positive
158888,PKM,MN,ENSG00000092969,-0.56901839479,exon:chr15:72499069-72499221:-@exon:chr15:72495363-72495529:-@exon:chr15:72494795-72494961:-@exon:chr15:72492815-72492996:-,bimodal,TGFB2,(-) Negative
