,Splicing Gene,phenotype,Expression Gene,Pearson R,event_id,modality,gene_name,Correlation Direction
66,BRD8-event1,NPC,ENSG00000005436,-0.538948726244,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,GCFC2,(-) Negative
176,BRD8-event1,NPC,ENSG00000010310,-0.519801858844,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,GIPR,(-) Negative
483,BRD8-event1,NPC,ENSG00000050438,-0.509079970758,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,SLC4A8,(-) Negative
875,BRD8-event1,NPC,ENSG00000073060,-0.602361912178,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,SCARB1,(-) Negative
1277,BRD8-event1,NPC,ENSG00000088682,-0.588166468717,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,COQ9,(-) Negative
1346,BRD8-event1,NPC,ENSG00000090372,-0.691314182764,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,STRN4,(-) Negative
1377,BRD8-event1,NPC,ENSG00000091128,-0.559426136126,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,LAMB4,(-) Negative
1455,BRD8-event1,NPC,ENSG00000095066,-0.54211574273,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,HOOK2,(-) Negative
1466,BRD8-event1,NPC,ENSG00000095596,-0.524967167932,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,CYP26A1,(-) Negative
1598,BRD8-event1,NPC,ENSG00000100280,-0.552071896142,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,AP1B1,(-) Negative
1698,BRD8-event1,NPC,ENSG00000100784,-0.547537265973,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,RPS6KA5,(-) Negative
1851,BRD8-event1,NPC,ENSG00000102003,-0.55264712447,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,SYP,(-) Negative
1996,BRD8-event1,NPC,ENSG00000103528,-0.520251350749,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,SYT17,(-) Negative
2059,BRD8-event1,NPC,ENSG00000104413,-0.53659569934,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,ESRP1,(-) Negative
2099,BRD8-event1,NPC,ENSG00000104825,-0.505319979985,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,NFKBIB,(-) Negative
2394,BRD8-event1,NPC,ENSG00000107521,-0.58625286081,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,HPS1,(-) Negative
2942,BRD8-event1,NPC,ENSG00000113658,0.502038022423,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,SMAD5,(+) Positive
2958,BRD8-event1,NPC,ENSG00000113916,-0.554768705628,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,BCL6,(-) Negative
3012,BRD8-event1,NPC,ENSG00000114656,-0.507811996763,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,KIAA1257,(-) Negative
