,Splicing Gene,phenotype,Expression Gene,Pearson R,event_id,modality,gene_name,Correlation Direction
200438,SNAP25,MN,ENSG00000004838,0.503562535979,exon:chr20:10265372-10265420:+@exon:chr20:10273530-10273647:+@exon:chr20:10273809-10273926:+@exon:chr20:10277573-10277698:+,bimodal,ZMYND10,(+) Positive
200615,SNAP25,MN,ENSG00000012232,-0.521837042302,exon:chr20:10265372-10265420:+@exon:chr20:10273530-10273647:+@exon:chr20:10273809-10273926:+@exon:chr20:10277573-10277698:+,bimodal,EXTL3,(-) Negative
200856,SNAP25,MN,ENSG00000048707,-0.548903177915,exon:chr20:10265372-10265420:+@exon:chr20:10273530-10273647:+@exon:chr20:10273809-10273926:+@exon:chr20:10277573-10277698:+,bimodal,VPS13D,(-) Negative
200897,SNAP25,MN,ENSG00000052795,-0.51206695058,exon:chr20:10265372-10265420:+@exon:chr20:10273530-10273647:+@exon:chr20:10273809-10273926:+@exon:chr20:10277573-10277698:+,bimodal,FNIP2,(-) Negative
201092,SNAP25,MN,ENSG00000066583,-0.521497778283,exon:chr20:10265372-10265420:+@exon:chr20:10273530-10273647:+@exon:chr20:10273809-10273926:+@exon:chr20:10277573-10277698:+,bimodal,ISOC1,(-) Negative
201172,SNAP25,MN,ENSG00000069849,-0.504115079618,exon:chr20:10265372-10265420:+@exon:chr20:10273530-10273647:+@exon:chr20:10273809-10273926:+@exon:chr20:10277573-10277698:+,bimodal,ATP1B3,(-) Negative
201328,SNAP25,MN,ENSG00000075336,-0.539128964984,exon:chr20:10265372-10265420:+@exon:chr20:10273530-10273647:+@exon:chr20:10273809-10273926:+@exon:chr20:10277573-10277698:+,bimodal,TIMM21,(-) Negative
202286,SNAP25,MN,ENSG00000102409,-0.505053222561,exon:chr20:10265372-10265420:+@exon:chr20:10273530-10273647:+@exon:chr20:10273809-10273926:+@exon:chr20:10277573-10277698:+,bimodal,BEX4,(-) Negative
202305,SNAP25,MN,ENSG00000102781,0.556253686131,exon:chr20:10265372-10265420:+@exon:chr20:10273530-10273647:+@exon:chr20:10273809-10273926:+@exon:chr20:10277573-10277698:+,bimodal,KATNAL1,(+) Positive
202458,SNAP25,MN,ENSG00000104442,-0.594874006466,exon:chr20:10265372-10265420:+@exon:chr20:10273530-10273647:+@exon:chr20:10273809-10273926:+@exon:chr20:10277573-10277698:+,bimodal,ARMC1,(-) Negative
202560,SNAP25,MN,ENSG00000105364,-0.522151811437,exon:chr20:10265372-10265420:+@exon:chr20:10273530-10273647:+@exon:chr20:10273809-10273926:+@exon:chr20:10277573-10277698:+,bimodal,MRPL4,(-) Negative
202857,SNAP25,MN,ENSG00000108278,-0.543236742851,exon:chr20:10265372-10265420:+@exon:chr20:10273530-10273647:+@exon:chr20:10273809-10273926:+@exon:chr20:10277573-10277698:+,bimodal,ZNHIT3,(-) Negative
202926,SNAP25,MN,ENSG00000108852,-0.569716337014,exon:chr20:10265372-10265420:+@exon:chr20:10273530-10273647:+@exon:chr20:10273809-10273926:+@exon:chr20:10277573-10277698:+,bimodal,MPP2,(-) Negative
203043,SNAP25,MN,ENSG00000110400,-0.533911521458,exon:chr20:10265372-10265420:+@exon:chr20:10273530-10273647:+@exon:chr20:10273809-10273926:+@exon:chr20:10277573-10277698:+,bimodal,PVRL1,(-) Negative
203309,SNAP25,MN,ENSG00000113384,-0.55301556724,exon:chr20:10265372-10265420:+@exon:chr20:10273530-10273647:+@exon:chr20:10273809-10273926:+@exon:chr20:10277573-10277698:+,bimodal,GOLPH3,(-) Negative
203724,SNAP25,MN,ENSG00000118094,-0.637935489868,exon:chr20:10265372-10265420:+@exon:chr20:10273530-10273647:+@exon:chr20:10273809-10273926:+@exon:chr20:10277573-10277698:+,bimodal,TREH,(-) Negative
204030,SNAP25,MN,ENSG00000122218,-0.568151904464,exon:chr20:10265372-10265420:+@exon:chr20:10273530-10273647:+@exon:chr20:10273809-10273926:+@exon:chr20:10277573-10277698:+,bimodal,COPA,(-) Negative
204130,SNAP25,MN,ENSG00000123505,0.540801726969,exon:chr20:10265372-10265420:+@exon:chr20:10273530-10273647:+@exon:chr20:10273809-10273926:+@exon:chr20:10277573-10277698:+,bimodal,AMD1,(+) Positive
