,Splicing Gene,phenotype,Expression Gene,Pearson R,event_id,modality,gene_name,Correlation Direction,gene_type
186102,SMARCE1,MN,ENSG00000003056,0.516012533419,exon:chr17:38801828-38801871:-@exon:chr17:38798707-38798811:-@exon:chr17:38793744-38793824:-,bimodal,M6PR,(+) Positive,protein_coding
186259,SMARCE1,MN,ENSG00000010322,0.511057977468,exon:chr17:38801828-38801871:-@exon:chr17:38798707-38798811:-@exon:chr17:38793744-38793824:-,bimodal,NISCH,(+) Positive,protein_coding
186385,SMARCE1,MN,ENSG00000023902,0.510192267812,exon:chr17:38801828-38801871:-@exon:chr17:38798707-38798811:-@exon:chr17:38793744-38793824:-,bimodal,PLEKHO1,(+) Positive,protein_coding
186440,SMARCE1,MN,ENSG00000033867,0.505321908103,exon:chr17:38801828-38801871:-@exon:chr17:38798707-38798811:-@exon:chr17:38793744-38793824:-,bimodal,SLC4A7,(+) Positive,protein_coding
186451,SMARCE1,MN,ENSG00000035403,0.503905820521,exon:chr17:38801828-38801871:-@exon:chr17:38798707-38798811:-@exon:chr17:38793744-38793824:-,bimodal,VCL,(+) Positive,protein_coding
186457,SMARCE1,MN,ENSG00000035928,0.536348413255,exon:chr17:38801828-38801871:-@exon:chr17:38798707-38798811:-@exon:chr17:38793744-38793824:-,bimodal,RFC1,(+) Positive,protein_coding
186479,SMARCE1,MN,ENSG00000039319,0.506512226646,exon:chr17:38801828-38801871:-@exon:chr17:38798707-38798811:-@exon:chr17:38793744-38793824:-,bimodal,ZFYVE16,(+) Positive,protein_coding
186540,SMARCE1,MN,ENSG00000048544,0.504221286551,exon:chr17:38801828-38801871:-@exon:chr17:38798707-38798811:-@exon:chr17:38793744-38793824:-,bimodal,MRPS10,(+) Positive,protein_coding
186607,SMARCE1,MN,ENSG00000055044,0.629949487876,exon:chr17:38801828-38801871:-@exon:chr17:38798707-38798811:-@exon:chr17:38793744-38793824:-,bimodal,NOP58,(+) Positive,protein_coding
186639,SMARCE1,MN,ENSG00000058272,0.548524242049,exon:chr17:38801828-38801871:-@exon:chr17:38798707-38798811:-@exon:chr17:38793744-38793824:-,bimodal,PPP1R12A,(+) Positive,protein_coding
186675,SMARCE1,MN,ENSG00000062485,0.522779820914,exon:chr17:38801828-38801871:-@exon:chr17:38798707-38798811:-@exon:chr17:38793744-38793824:-,bimodal,CS,(+) Positive,protein_coding
186731,SMARCE1,MN,ENSG00000065243,0.503203928453,exon:chr17:38801828-38801871:-@exon:chr17:38798707-38798811:-@exon:chr17:38793744-38793824:-,bimodal,PKN2,(+) Positive,protein_coding
186757,SMARCE1,MN,ENSG00000065911,0.556905848408,exon:chr17:38801828-38801871:-@exon:chr17:38798707-38798811:-@exon:chr17:38793744-38793824:-,bimodal,MTHFD2,(+) Positive,protein_coding
186796,SMARCE1,MN,ENSG00000067167,0.563334718505,exon:chr17:38801828-38801871:-@exon:chr17:38798707-38798811:-@exon:chr17:38793744-38793824:-,bimodal,TRAM1,(+) Positive,protein_coding
186850,SMARCE1,MN,ENSG00000069345,-0.501449680762,exon:chr17:38801828-38801871:-@exon:chr17:38798707-38798811:-@exon:chr17:38793744-38793824:-,bimodal,DNAJA2,(-) Negative,protein_coding
186901,SMARCE1,MN,ENSG00000071082,0.587929950763,exon:chr17:38801828-38801871:-@exon:chr17:38798707-38798811:-@exon:chr17:38793744-38793824:-,bimodal,RPL31,(+) Positive,protein_coding
186912,SMARCE1,MN,ENSG00000071564,0.515933339103,exon:chr17:38801828-38801871:-@exon:chr17:38798707-38798811:-@exon:chr17:38793744-38793824:-,bimodal,TCF3,(+) Positive,protein_coding
186938,SMARCE1,MN,ENSG00000072506,0.563528297315,exon:chr17:38801828-38801871:-@exon:chr17:38798707-38798811:-@exon:chr17:38793744-38793824:-,bimodal,HSD17B10,(+) Positive,protein_coding
187003,SMARCE1,MN,ENSG00000075142,0.564355379071,exon:chr17:38801828-38801871:-@exon:chr17:38798707-38798811:-@exon:chr17:38793744-38793824:-,bimodal,SRI,(+) Positive,protein_coding
187073,SMARCE1,MN,ENSG00000077312,0.503064361579,exon:chr17:38801828-38801871:-@exon:chr17:38798707-38798811:-@exon:chr17:38793744-38793824:-,bimodal,SNRPA,(+) Positive,protein_coding
187101,SMARCE1,MN,ENSG00000078369,0.553385484494,exon:chr17:38801828-38801871:-@exon:chr17:38798707-38798811:-@exon:chr17:38793744-38793824:-,bimodal,GNB1,(+) Positive,protein_coding
187152,SMARCE1,MN,ENSG00000080608,0.501352843072,exon:chr17:38801828-38801871:-@exon:chr17:38798707-38798811:-@exon:chr17:38793744-38793824:-,bimodal,KIAA0020,(+) Positive,protein_coding
187158,SMARCE1,MN,ENSG00000080824,-0.515144467247,exon:chr17:38801828-38801871:-@exon:chr17:38798707-38798811:-@exon:chr17:38793744-38793824:-,bimodal,HSP90AA1,(-) Negative,protein_coding
187181,SMARCE1,MN,ENSG00000081870,0.627149426899,exon:chr17:38801828-38801871:-@exon:chr17:38798707-38798811:-@exon:chr17:38793744-38793824:-,bimodal,HSPB11,(+) Positive,protein_coding
187190,SMARCE1,MN,ENSG00000082258,0.503581615764,exon:chr17:38801828-38801871:-@exon:chr17:38798707-38798811:-@exon:chr17:38793744-38793824:-,bimodal,CCNT2,(+) Positive,protein_coding
187199,SMARCE1,MN,ENSG00000082701,0.584743573505,exon:chr17:38801828-38801871:-@exon:chr17:38798707-38798811:-@exon:chr17:38793744-38793824:-,bimodal,GSK3B,(+) Positive,protein_coding
187294,SMARCE1,MN,ENSG00000086475,0.528787093589,exon:chr17:38801828-38801871:-@exon:chr17:38798707-38798811:-@exon:chr17:38793744-38793824:-,bimodal,SEPHS1,(+) Positive,protein_coding
187325,SMARCE1,MN,ENSG00000087274,0.551439538116,exon:chr17:38801828-38801871:-@exon:chr17:38798707-38798811:-@exon:chr17:38793744-38793824:-,bimodal,ADD1,(+) Positive,protein_coding
187390,SMARCE1,MN,ENSG00000089159,0.642834889822,exon:chr17:38801828-38801871:-@exon:chr17:38798707-38798811:-@exon:chr17:38793744-38793824:-,bimodal,PXN,(+) Positive,protein_coding
187475,SMARCE1,MN,ENSG00000091640,0.514115639001,exon:chr17:38801828-38801871:-@exon:chr17:38798707-38798811:-@exon:chr17:38793744-38793824:-,bimodal,SPAG7,(+) Positive,protein_coding
187495,SMARCE1,MN,ENSG00000092199,0.52633922622,exon:chr17:38801828-38801871:-@exon:chr17:38798707-38798811:-@exon:chr17:38793744-38793824:-,bimodal,HNRNPC,(+) Positive,protein_coding
187497,SMARCE1,MN,ENSG00000092201,0.584134972667,exon:chr17:38801828-38801871:-@exon:chr17:38798707-38798811:-@exon:chr17:38793744-38793824:-,bimodal,SUPT16H,(+) Positive,protein_coding
187509,SMARCE1,MN,ENSG00000092841,0.527334529379,exon:chr17:38801828-38801871:-@exon:chr17:38798707-38798811:-@exon:chr17:38793744-38793824:-,bimodal,MYL6,(+) Positive,protein_coding
187535,SMARCE1,MN,ENSG00000095015,0.546962342264,exon:chr17:38801828-38801871:-@exon:chr17:38798707-38798811:-@exon:chr17:38793744-38793824:-,bimodal,MAP3K1,(+) Positive,protein_coding
187587,SMARCE1,MN,ENSG00000099331,0.52474615818,exon:chr17:38801828-38801871:-@exon:chr17:38798707-38798811:-@exon:chr17:38793744-38793824:-,bimodal,MYO9B,(+) Positive,protein_coding
187681,SMARCE1,MN,ENSG00000100281,0.527357686543,exon:chr17:38801828-38801871:-@exon:chr17:38798707-38798811:-@exon:chr17:38793744-38793824:-,bimodal,HMGXB4,(+) Positive,protein_coding
187700,SMARCE1,MN,ENSG00000100345,0.543673258978,exon:chr17:38801828-38801871:-@exon:chr17:38798707-38798811:-@exon:chr17:38793744-38793824:-,bimodal,MYH9,(+) Positive,protein_coding
187789,SMARCE1,MN,ENSG00000100836,0.517490646468,exon:chr17:38801828-38801871:-@exon:chr17:38798707-38798811:-@exon:chr17:38793744-38793824:-,bimodal,PABPN1,(+) Positive,protein_coding
187835,SMARCE1,MN,ENSG00000101158,0.552073457036,exon:chr17:38801828-38801871:-@exon:chr17:38798707-38798811:-@exon:chr17:38793744-38793824:-,bimodal,NELFCD,(+) Positive,protein_coding
187948,SMARCE1,MN,ENSG00000102172,0.584761688099,exon:chr17:38801828-38801871:-@exon:chr17:38798707-38798811:-@exon:chr17:38793744-38793824:-,bimodal,SMS,(+) Positive,protein_coding
187959,SMARCE1,MN,ENSG00000102265,0.561630616921,exon:chr17:38801828-38801871:-@exon:chr17:38798707-38798811:-@exon:chr17:38793744-38793824:-,bimodal,TIMP1,(+) Positive,protein_coding
188000,SMARCE1,MN,ENSG00000102898,0.511838104933,exon:chr17:38801828-38801871:-@exon:chr17:38798707-38798811:-@exon:chr17:38793744-38793824:-,bimodal,NUTF2,(+) Positive,protein_coding
188045,SMARCE1,MN,ENSG00000103202,0.519246374278,exon:chr17:38801828-38801871:-@exon:chr17:38798707-38798811:-@exon:chr17:38793744-38793824:-,bimodal,NME4,(+) Positive,protein_coding
188064,SMARCE1,MN,ENSG00000103404,0.544562926119,exon:chr17:38801828-38801871:-@exon:chr17:38798707-38798811:-@exon:chr17:38793744-38793824:-,bimodal,USP31,(+) Positive,protein_coding
