,Splicing Gene,phenotype,Expression Gene,Pearson R,event_id,modality,gene_name,Correlation Direction
172368,RPN2,MN,ENSG00000063015,0.525713250887,exon:chr20:35864983-35865112:+@exon:chr20:35866805-35866852:+@exon:chr20:35869706-35869820:+,bimodal,SEZ6,(+) Positive
173948,RPN2,MN,ENSG00000105426,0.516372603361,exon:chr20:35864983-35865112:+@exon:chr20:35866805-35866852:+@exon:chr20:35869706-35869820:+,bimodal,PTPRS,(+) Positive
174094,RPN2,MN,ENSG00000106554,-0.535851414874,exon:chr20:35864983-35865112:+@exon:chr20:35866805-35866852:+@exon:chr20:35869706-35869820:+,bimodal,CHCHD3,(-) Negative
176647,RPN2,MN,ENSG00000136108,-0.522888128151,exon:chr20:35864983-35865112:+@exon:chr20:35866805-35866852:+@exon:chr20:35869706-35869820:+,bimodal,CKAP2,(-) Negative
176860,RPN2,MN,ENSG00000137817,0.512871266568,exon:chr20:35864983-35865112:+@exon:chr20:35866805-35866852:+@exon:chr20:35869706-35869820:+,bimodal,PARP6,(+) Positive
177693,RPN2,MN,ENSG00000146457,0.606443675244,exon:chr20:35864983-35865112:+@exon:chr20:35866805-35866852:+@exon:chr20:35869706-35869820:+,bimodal,WTAP,(+) Positive
177960,RPN2,MN,ENSG00000149926,0.581534465776,exon:chr20:35864983-35865112:+@exon:chr20:35866805-35866852:+@exon:chr20:35869706-35869820:+,bimodal,FAM57B,(+) Positive
179171,RPN2,MN,ENSG00000164163,-0.509921060203,exon:chr20:35864983-35865112:+@exon:chr20:35866805-35866852:+@exon:chr20:35869706-35869820:+,bimodal,ABCE1,(-) Negative
180864,RPN2,MN,ENSG00000179059,0.535304855618,exon:chr20:35864983-35865112:+@exon:chr20:35866805-35866852:+@exon:chr20:35869706-35869820:+,bimodal,ZFP42,(+) Positive
182708,RPN2,MN,ENSG00000213977,-0.50335940332,exon:chr20:35864983-35865112:+@exon:chr20:35866805-35866852:+@exon:chr20:35869706-35869820:+,bimodal,TAX1BP3,(-) Negative
182922,RPN2,MN,ENSG00000224086,0.500140512631,exon:chr20:35864983-35865112:+@exon:chr20:35866805-35866852:+@exon:chr20:35869706-35869820:+,bimodal,LL22NC03-86G7.1,(+) Positive
183018,RPN2,MN,ENSG00000225885,0.508963414877,exon:chr20:35864983-35865112:+@exon:chr20:35866805-35866852:+@exon:chr20:35869706-35869820:+,bimodal,AC023590.1,(+) Positive
184050,RPN2,MN,ENSG00000247699,0.546425961715,exon:chr20:35864983-35865112:+@exon:chr20:35866805-35866852:+@exon:chr20:35869706-35869820:+,bimodal,CTB-127C13.1,(+) Positive
184149,RPN2,MN,ENSG00000249667,0.533575958804,exon:chr20:35864983-35865112:+@exon:chr20:35866805-35866852:+@exon:chr20:35869706-35869820:+,bimodal,RP11-213G21.1,(+) Positive
184286,RPN2,MN,ENSG00000251666,0.543440911748,exon:chr20:35864983-35865112:+@exon:chr20:35866805-35866852:+@exon:chr20:35869706-35869820:+,bimodal,ZNF346-IT1,(+) Positive
184927,RPN2,MN,ENSG00000260086,0.551488497799,exon:chr20:35864983-35865112:+@exon:chr20:35866805-35866852:+@exon:chr20:35869706-35869820:+,bimodal,RP11-42I10.1,(+) Positive
185007,RPN2,MN,ENSG00000260751,0.537763378999,exon:chr20:35864983-35865112:+@exon:chr20:35866805-35866852:+@exon:chr20:35869706-35869820:+,bimodal,CTD-2196E14.6,(+) Positive
185383,RPN2,MN,ENSG00000266527,0.548038515477,exon:chr20:35864983-35865112:+@exon:chr20:35866805-35866852:+@exon:chr20:35869706-35869820:+,bimodal,RP11-138P22.1,(+) Positive
