,Splicing Gene,phenotype,Expression Gene,Pearson R,event_id,modality,gene_name,Correlation Direction
71592,EIF5,MN,ENSG00000003147,-0.543981410381,exon:chr14:103800339-103800597:+@exon:chr14:103800726-103800934:+@exon:chr14:103801990-103802269:+,bimodal,ICA1,(-) Negative
71593,EIF5,MN,ENSG00000003249,-0.550341867496,exon:chr14:103800339-103800597:+@exon:chr14:103800726-103800934:+@exon:chr14:103801990-103802269:+,bimodal,DBNDD1,(-) Negative
71698,EIF5,MN,ENSG00000007541,-0.536905258328,exon:chr14:103800339-103800597:+@exon:chr14:103800726-103800934:+@exon:chr14:103801990-103802269:+,bimodal,PIGQ,(-) Negative
71724,EIF5,MN,ENSG00000008869,-0.504438931259,exon:chr14:103800339-103800597:+@exon:chr14:103800726-103800934:+@exon:chr14:103801990-103802269:+,bimodal,HEATR5B,(-) Negative
71765,EIF5,MN,ENSG00000011243,-0.559133728932,exon:chr14:103800339-103800597:+@exon:chr14:103800726-103800934:+@exon:chr14:103801990-103802269:+,bimodal,AKAP8L,(-) Negative
71984,EIF5,MN,ENSG00000042088,-0.69446528456,exon:chr14:103800339-103800597:+@exon:chr14:103800726-103800934:+@exon:chr14:103801990-103802269:+,bimodal,TDP1,(-) Negative
72098,EIF5,MN,ENSG00000055147,-0.589033644644,exon:chr14:103800339-103800597:+@exon:chr14:103800726-103800934:+@exon:chr14:103801990-103802269:+,bimodal,FAM114A2,(-) Negative
72138,EIF5,MN,ENSG00000059691,-0.632061481584,exon:chr14:103800339-103800597:+@exon:chr14:103800726-103800934:+@exon:chr14:103801990-103802269:+,bimodal,PET112,(-) Negative
72181,EIF5,MN,ENSG00000063761,-0.519932002729,exon:chr14:103800339-103800597:+@exon:chr14:103800726-103800934:+@exon:chr14:103801990-103802269:+,bimodal,ADCK1,(-) Negative
72212,EIF5,MN,ENSG00000065029,-0.666138208117,exon:chr14:103800339-103800597:+@exon:chr14:103800726-103800934:+@exon:chr14:103801990-103802269:+,bimodal,ZNF76,(-) Negative
72333,EIF5,MN,ENSG00000069020,-0.518596173479,exon:chr14:103800339-103800597:+@exon:chr14:103800726-103800934:+@exon:chr14:103801990-103802269:+,bimodal,MAST4,(-) Negative
72419,EIF5,MN,ENSG00000072274,-0.571333955068,exon:chr14:103800339-103800597:+@exon:chr14:103800726-103800934:+@exon:chr14:103801990-103802269:+,bimodal,TFRC,(-) Negative
72576,EIF5,MN,ENSG00000078061,-0.57923476862,exon:chr14:103800339-103800597:+@exon:chr14:103800726-103800934:+@exon:chr14:103801990-103802269:+,bimodal,ARAF,(-) Negative
72583,EIF5,MN,ENSG00000078237,-0.501760091723,exon:chr14:103800339-103800597:+@exon:chr14:103800726-103800934:+@exon:chr14:103801990-103802269:+,bimodal,C12orf5,(-) Negative
72630,EIF5,MN,ENSG00000079974,-0.529067697451,exon:chr14:103800339-103800597:+@exon:chr14:103800726-103800934:+@exon:chr14:103801990-103802269:+,bimodal,RABL2B,(-) Negative
72645,EIF5,MN,ENSG00000080823,-0.502030622134,exon:chr14:103800339-103800597:+@exon:chr14:103800726-103800934:+@exon:chr14:103801990-103802269:+,bimodal,MOK,(-) Negative
72855,EIF5,MN,ENSG00000088876,-0.590520114117,exon:chr14:103800339-103800597:+@exon:chr14:103800726-103800934:+@exon:chr14:103801990-103802269:+,bimodal,ZNF343,(-) Negative
72868,EIF5,MN,ENSG00000089050,-0.571419985039,exon:chr14:103800339-103800597:+@exon:chr14:103800726-103800934:+@exon:chr14:103801990-103802269:+,bimodal,RBBP9,(-) Negative
72954,EIF5,MN,ENSG00000091317,-0.523903655052,exon:chr14:103800339-103800597:+@exon:chr14:103800726-103800934:+@exon:chr14:103801990-103802269:+,bimodal,CMTM6,(-) Negative
72981,EIF5,MN,ENSG00000092140,-0.507783302602,exon:chr14:103800339-103800597:+@exon:chr14:103800726-103800934:+@exon:chr14:103801990-103802269:+,bimodal,G2E3,(-) Negative
73001,EIF5,MN,ENSG00000092871,-0.512518644343,exon:chr14:103800339-103800597:+@exon:chr14:103800726-103800934:+@exon:chr14:103801990-103802269:+,bimodal,RFFL,(-) Negative
73029,EIF5,MN,ENSG00000095319,-0.562995364576,exon:chr14:103800339-103800597:+@exon:chr14:103800726-103800934:+@exon:chr14:103801990-103802269:+,bimodal,NUP188,(-) Negative
73062,EIF5,MN,ENSG00000097096,-0.533739301273,exon:chr14:103800339-103800597:+@exon:chr14:103800726-103800934:+@exon:chr14:103801990-103802269:+,bimodal,SYDE2,(-) Negative
73111,EIF5,MN,ENSG00000100014,-0.582224213025,exon:chr14:103800339-103800597:+@exon:chr14:103800726-103800934:+@exon:chr14:103801990-103802269:+,bimodal,SPECC1L,(-) Negative
73151,EIF5,MN,ENSG00000100218,-0.5091369282,exon:chr14:103800339-103800597:+@exon:chr14:103800726-103800934:+@exon:chr14:103801990-103802269:+,bimodal,RTDR1,(-) Negative
73170,EIF5,MN,ENSG00000100284,-0.595018239815,exon:chr14:103800339-103800597:+@exon:chr14:103800726-103800934:+@exon:chr14:103801990-103802269:+,bimodal,TOM1,(-) Negative
73220,EIF5,MN,ENSG00000100478,-0.577142020907,exon:chr14:103800339-103800597:+@exon:chr14:103800726-103800934:+@exon:chr14:103801990-103802269:+,bimodal,AP4S1,(-) Negative
73303,EIF5,MN,ENSG00000101003,-0.503570231893,exon:chr14:103800339-103800597:+@exon:chr14:103800726-103800934:+@exon:chr14:103801990-103802269:+,bimodal,GINS1,(-) Negative
73318,EIF5,MN,ENSG00000101138,-0.500015501426,exon:chr14:103800339-103800597:+@exon:chr14:103800726-103800934:+@exon:chr14:103801990-103802269:+,bimodal,CSTF1,(-) Negative
73428,EIF5,MN,ENSG00000102078,-0.553702541872,exon:chr14:103800339-103800597:+@exon:chr14:103800726-103800934:+@exon:chr14:103801990-103802269:+,bimodal,SLC25A14,(-) Negative
73511,EIF5,MN,ENSG00000103044,-0.549335155889,exon:chr14:103800339-103800597:+@exon:chr14:103800726-103800934:+@exon:chr14:103801990-103802269:+,bimodal,HAS3,(-) Negative
73617,EIF5,MN,ENSG00000104331,-0.596455854481,exon:chr14:103800339-103800597:+@exon:chr14:103800726-103800934:+@exon:chr14:103801990-103802269:+,bimodal,IMPAD1,(-) Negative
73680,EIF5,MN,ENSG00000104885,-0.570944960673,exon:chr14:103800339-103800597:+@exon:chr14:103800726-103800934:+@exon:chr14:103801990-103802269:+,bimodal,DOT1L,(-) Negative
73790,EIF5,MN,ENSG00000105698,-0.512572576033,exon:chr14:103800339-103800597:+@exon:chr14:103800726-103800934:+@exon:chr14:103801990-103802269:+,bimodal,USF2,(-) Negative
73794,EIF5,MN,ENSG00000105705,-0.629101212142,exon:chr14:103800339-103800597:+@exon:chr14:103800726-103800934:+@exon:chr14:103801990-103802269:+,bimodal,SUGP1,(-) Negative
