,Splicing Gene,phenotype,Expression Gene,Pearson R,event_id,modality,gene_name,Correlation Direction,gene_type
71592,EIF5,MN,ENSG00000003147,-0.543981410381,exon:chr14:103800339-103800597:+@exon:chr14:103800726-103800934:+@exon:chr14:103801990-103802269:+,bimodal,ICA1,(-) Negative,protein_coding
71593,EIF5,MN,ENSG00000003249,-0.550341867496,exon:chr14:103800339-103800597:+@exon:chr14:103800726-103800934:+@exon:chr14:103801990-103802269:+,bimodal,DBNDD1,(-) Negative,protein_coding
71698,EIF5,MN,ENSG00000007541,-0.536905258328,exon:chr14:103800339-103800597:+@exon:chr14:103800726-103800934:+@exon:chr14:103801990-103802269:+,bimodal,PIGQ,(-) Negative,protein_coding
71724,EIF5,MN,ENSG00000008869,-0.504438931259,exon:chr14:103800339-103800597:+@exon:chr14:103800726-103800934:+@exon:chr14:103801990-103802269:+,bimodal,HEATR5B,(-) Negative,protein_coding
71765,EIF5,MN,ENSG00000011243,-0.559133728932,exon:chr14:103800339-103800597:+@exon:chr14:103800726-103800934:+@exon:chr14:103801990-103802269:+,bimodal,AKAP8L,(-) Negative,protein_coding
71984,EIF5,MN,ENSG00000042088,-0.69446528456,exon:chr14:103800339-103800597:+@exon:chr14:103800726-103800934:+@exon:chr14:103801990-103802269:+,bimodal,TDP1,(-) Negative,protein_coding
72098,EIF5,MN,ENSG00000055147,-0.589033644644,exon:chr14:103800339-103800597:+@exon:chr14:103800726-103800934:+@exon:chr14:103801990-103802269:+,bimodal,FAM114A2,(-) Negative,protein_coding
72138,EIF5,MN,ENSG00000059691,-0.632061481584,exon:chr14:103800339-103800597:+@exon:chr14:103800726-103800934:+@exon:chr14:103801990-103802269:+,bimodal,PET112,(-) Negative,protein_coding
72181,EIF5,MN,ENSG00000063761,-0.519932002729,exon:chr14:103800339-103800597:+@exon:chr14:103800726-103800934:+@exon:chr14:103801990-103802269:+,bimodal,ADCK1,(-) Negative,protein_coding
72212,EIF5,MN,ENSG00000065029,-0.666138208117,exon:chr14:103800339-103800597:+@exon:chr14:103800726-103800934:+@exon:chr14:103801990-103802269:+,bimodal,ZNF76,(-) Negative,protein_coding
72333,EIF5,MN,ENSG00000069020,-0.518596173479,exon:chr14:103800339-103800597:+@exon:chr14:103800726-103800934:+@exon:chr14:103801990-103802269:+,bimodal,MAST4,(-) Negative,protein_coding
72419,EIF5,MN,ENSG00000072274,-0.571333955068,exon:chr14:103800339-103800597:+@exon:chr14:103800726-103800934:+@exon:chr14:103801990-103802269:+,bimodal,TFRC,(-) Negative,protein_coding
72576,EIF5,MN,ENSG00000078061,-0.57923476862,exon:chr14:103800339-103800597:+@exon:chr14:103800726-103800934:+@exon:chr14:103801990-103802269:+,bimodal,ARAF,(-) Negative,protein_coding
72583,EIF5,MN,ENSG00000078237,-0.501760091723,exon:chr14:103800339-103800597:+@exon:chr14:103800726-103800934:+@exon:chr14:103801990-103802269:+,bimodal,C12orf5,(-) Negative,protein_coding
72630,EIF5,MN,ENSG00000079974,-0.529067697451,exon:chr14:103800339-103800597:+@exon:chr14:103800726-103800934:+@exon:chr14:103801990-103802269:+,bimodal,RABL2B,(-) Negative,protein_coding
72645,EIF5,MN,ENSG00000080823,-0.502030622134,exon:chr14:103800339-103800597:+@exon:chr14:103800726-103800934:+@exon:chr14:103801990-103802269:+,bimodal,MOK,(-) Negative,protein_coding
72855,EIF5,MN,ENSG00000088876,-0.590520114117,exon:chr14:103800339-103800597:+@exon:chr14:103800726-103800934:+@exon:chr14:103801990-103802269:+,bimodal,ZNF343,(-) Negative,protein_coding
72868,EIF5,MN,ENSG00000089050,-0.571419985039,exon:chr14:103800339-103800597:+@exon:chr14:103800726-103800934:+@exon:chr14:103801990-103802269:+,bimodal,RBBP9,(-) Negative,protein_coding
72954,EIF5,MN,ENSG00000091317,-0.523903655052,exon:chr14:103800339-103800597:+@exon:chr14:103800726-103800934:+@exon:chr14:103801990-103802269:+,bimodal,CMTM6,(-) Negative,protein_coding
72981,EIF5,MN,ENSG00000092140,-0.507783302602,exon:chr14:103800339-103800597:+@exon:chr14:103800726-103800934:+@exon:chr14:103801990-103802269:+,bimodal,G2E3,(-) Negative,protein_coding
73001,EIF5,MN,ENSG00000092871,-0.512518644343,exon:chr14:103800339-103800597:+@exon:chr14:103800726-103800934:+@exon:chr14:103801990-103802269:+,bimodal,RFFL,(-) Negative,protein_coding
73029,EIF5,MN,ENSG00000095319,-0.562995364576,exon:chr14:103800339-103800597:+@exon:chr14:103800726-103800934:+@exon:chr14:103801990-103802269:+,bimodal,NUP188,(-) Negative,protein_coding
73062,EIF5,MN,ENSG00000097096,-0.533739301273,exon:chr14:103800339-103800597:+@exon:chr14:103800726-103800934:+@exon:chr14:103801990-103802269:+,bimodal,SYDE2,(-) Negative,protein_coding
73111,EIF5,MN,ENSG00000100014,-0.582224213025,exon:chr14:103800339-103800597:+@exon:chr14:103800726-103800934:+@exon:chr14:103801990-103802269:+,bimodal,SPECC1L,(-) Negative,protein_coding
