,Splicing Gene,phenotype,Expression Gene,Pearson R,event_id,modality,gene_name,Correlation Direction,gene_type
214742,SUGT1,MN,ENSG00000004059,0.556680550043,exon:chr13:53233314-53233384:+@exon:chr13:53235610-53235705:+@exon:chr13:53236784-53236837:+,bimodal,ARF5,(+) Positive,protein_coding
214780,SUGT1,MN,ENSG00000005486,0.556525831314,exon:chr13:53233314-53233384:+@exon:chr13:53235610-53235705:+@exon:chr13:53236784-53236837:+,bimodal,RHBDD2,(+) Positive,protein_coding
214793,SUGT1,MN,ENSG00000006118,0.611162248002,exon:chr13:53233314-53233384:+@exon:chr13:53235610-53235705:+@exon:chr13:53236784-53236837:+,bimodal,TMEM132A,(+) Positive,protein_coding
214808,SUGT1,MN,ENSG00000006576,0.519656738553,exon:chr13:53233314-53233384:+@exon:chr13:53235610-53235705:+@exon:chr13:53236784-53236837:+,bimodal,PHTF2,(+) Positive,protein_coding
214905,SUGT1,MN,ENSG00000011243,0.621224628889,exon:chr13:53233314-53233384:+@exon:chr13:53235610-53235705:+@exon:chr13:53236784-53236837:+,bimodal,AKAP8L,(+) Positive,protein_coding
214909,SUGT1,MN,ENSG00000011295,0.532080463101,exon:chr13:53233314-53233384:+@exon:chr13:53235610-53235705:+@exon:chr13:53236784-53236837:+,bimodal,TTC19,(+) Positive,protein_coding
214959,SUGT1,MN,ENSG00000015171,0.508725500494,exon:chr13:53233314-53233384:+@exon:chr13:53235610-53235705:+@exon:chr13:53236784-53236837:+,bimodal,ZMYND11,(+) Positive,protein_coding
214970,SUGT1,MN,ENSG00000017373,0.51489245352,exon:chr13:53233314-53233384:+@exon:chr13:53235610-53235705:+@exon:chr13:53236784-53236837:+,bimodal,SRCIN1,(+) Positive,protein_coding
214983,SUGT1,MN,ENSG00000019995,0.574236429729,exon:chr13:53233314-53233384:+@exon:chr13:53235610-53235705:+@exon:chr13:53236784-53236837:+,bimodal,ZRANB1,(+) Positive,protein_coding
214998,SUGT1,MN,ENSG00000022556,0.550309944678,exon:chr13:53233314-53233384:+@exon:chr13:53235610-53235705:+@exon:chr13:53236784-53236837:+,bimodal,NLRP2,(+) Positive,protein_coding
215028,SUGT1,MN,ENSG00000026025,-0.537243389918,exon:chr13:53233314-53233384:+@exon:chr13:53235610-53235705:+@exon:chr13:53236784-53236837:+,bimodal,VIM,(-) Negative,protein_coding
215065,SUGT1,MN,ENSG00000033327,0.572218462747,exon:chr13:53233314-53233384:+@exon:chr13:53235610-53235705:+@exon:chr13:53236784-53236837:+,bimodal,GAB2,(+) Positive,protein_coding
215105,SUGT1,MN,ENSG00000039068,0.519361994565,exon:chr13:53233314-53233384:+@exon:chr13:53235610-53235705:+@exon:chr13:53236784-53236837:+,bimodal,CDH1,(+) Positive,protein_coding
215126,SUGT1,MN,ENSG00000042304,0.596400335826,exon:chr13:53233314-53233384:+@exon:chr13:53235610-53235705:+@exon:chr13:53236784-53236837:+,bimodal,C2orf83,(+) Positive,protein_coding
215139,SUGT1,MN,ENSG00000046604,-0.520680361559,exon:chr13:53233314-53233384:+@exon:chr13:53235610-53235705:+@exon:chr13:53236784-53236837:+,bimodal,DSG2,(-) Negative,protein_coding
215254,SUGT1,MN,ENSG00000056998,0.512053334715,exon:chr13:53233314-53233384:+@exon:chr13:53235610-53235705:+@exon:chr13:53236784-53236837:+,bimodal,GYG2,(+) Positive,protein_coding
215318,SUGT1,MN,ENSG00000063438,0.548798753067,exon:chr13:53233314-53233384:+@exon:chr13:53235610-53235705:+@exon:chr13:53236784-53236837:+,bimodal,AHRR,(+) Positive,protein_coding
215339,SUGT1,MN,ENSG00000064607,0.542004937661,exon:chr13:53233314-53233384:+@exon:chr13:53235610-53235705:+@exon:chr13:53236784-53236837:+,bimodal,SUGP2,(+) Positive,protein_coding
215393,SUGT1,MN,ENSG00000066117,0.524430330675,exon:chr13:53233314-53233384:+@exon:chr13:53235610-53235705:+@exon:chr13:53236784-53236837:+,bimodal,SMARCD1,(+) Positive,protein_coding
215402,SUGT1,MN,ENSG00000066427,0.519862630656,exon:chr13:53233314-53233384:+@exon:chr13:53235610-53235705:+@exon:chr13:53236784-53236837:+,bimodal,ATXN3,(+) Positive,protein_coding
215495,SUGT1,MN,ENSG00000070047,0.539692350396,exon:chr13:53233314-53233384:+@exon:chr13:53235610-53235705:+@exon:chr13:53236784-53236837:+,bimodal,PHRF1,(+) Positive,protein_coding
215499,SUGT1,MN,ENSG00000070214,-0.571165905607,exon:chr13:53233314-53233384:+@exon:chr13:53235610-53235705:+@exon:chr13:53236784-53236837:+,bimodal,SLC44A1,(-) Negative,protein_coding
215539,SUGT1,MN,ENSG00000071553,0.663230310468,exon:chr13:53233314-53233384:+@exon:chr13:53235610-53235705:+@exon:chr13:53236784-53236837:+,bimodal,ATP6AP1,(+) Positive,protein_coding
215545,SUGT1,MN,ENSG00000071859,0.541006347389,exon:chr13:53233314-53233384:+@exon:chr13:53235610-53235705:+@exon:chr13:53236784-53236837:+,bimodal,FAM50A,(+) Positive,protein_coding
215618,SUGT1,MN,ENSG00000074621,0.69895894478,exon:chr13:53233314-53233384:+@exon:chr13:53235610-53235705:+@exon:chr13:53236784-53236837:+,bimodal,SLC24A1,(+) Positive,protein_coding
215663,SUGT1,MN,ENSG00000075975,0.579935234533,exon:chr13:53233314-53233384:+@exon:chr13:53235610-53235705:+@exon:chr13:53236784-53236837:+,bimodal,MKRN2,(+) Positive,protein_coding
215676,SUGT1,MN,ENSG00000076554,0.715767026689,exon:chr13:53233314-53233384:+@exon:chr13:53235610-53235705:+@exon:chr13:53236784-53236837:+,bimodal,TPD52,(+) Positive,protein_coding
215698,SUGT1,MN,ENSG00000077254,0.526200672909,exon:chr13:53233314-53233384:+@exon:chr13:53235610-53235705:+@exon:chr13:53236784-53236837:+,bimodal,USP33,(+) Positive,protein_coding
215721,SUGT1,MN,ENSG00000078142,0.668873530549,exon:chr13:53233314-53233384:+@exon:chr13:53235610-53235705:+@exon:chr13:53236784-53236837:+,bimodal,PIK3C3,(+) Positive,protein_coding
215728,SUGT1,MN,ENSG00000078328,0.507864502744,exon:chr13:53233314-53233384:+@exon:chr13:53235610-53235705:+@exon:chr13:53236784-53236837:+,bimodal,RBFOX1,(+) Positive,protein_coding
215744,SUGT1,MN,ENSG00000078967,0.511943313219,exon:chr13:53233314-53233384:+@exon:chr13:53235610-53235705:+@exon:chr13:53236784-53236837:+,bimodal,UBE2D4,(+) Positive,protein_coding
215893,SUGT1,MN,ENSG00000085433,0.572872488841,exon:chr13:53233314-53233384:+@exon:chr13:53235610-53235705:+@exon:chr13:53236784-53236837:+,bimodal,WDR47,(+) Positive,protein_coding
215898,SUGT1,MN,ENSG00000085644,0.541275384972,exon:chr13:53233314-53233384:+@exon:chr13:53235610-53235705:+@exon:chr13:53236784-53236837:+,bimodal,ZNF213,(+) Positive,protein_coding
215970,SUGT1,MN,ENSG00000088035,0.569736787587,exon:chr13:53233314-53233384:+@exon:chr13:53235610-53235705:+@exon:chr13:53236784-53236837:+,bimodal,ALG6,(+) Positive,protein_coding
216037,SUGT1,MN,ENSG00000089693,0.530582791444,exon:chr13:53233314-53233384:+@exon:chr13:53235610-53235705:+@exon:chr13:53236784-53236837:+,bimodal,MLF2,(+) Positive,protein_coding
216046,SUGT1,MN,ENSG00000090020,0.578968759986,exon:chr13:53233314-53233384:+@exon:chr13:53235610-53235705:+@exon:chr13:53236784-53236837:+,bimodal,SLC9A1,(+) Positive,protein_coding
216051,SUGT1,MN,ENSG00000090238,0.533899441022,exon:chr13:53233314-53233384:+@exon:chr13:53235610-53235705:+@exon:chr13:53236784-53236837:+,bimodal,YPEL3,(+) Positive,protein_coding
