,Splicing Gene,phenotype,Expression Gene,Pearson R,event_id,modality,gene_name,Correlation Direction,gene_type
143185,MEAF6,NPC,ENSG00000004866,0.57718322706,exon:chr1:37967405-37967597:-@exon:chr1:37962308-37962337:-@exon:chr1:37961475-37961519:-,bimodal,ST7,(+) Positive,protein_coding
143536,MEAF6,NPC,ENSG00000039123,-0.503108627962,exon:chr1:37967405-37967597:-@exon:chr1:37962308-37962337:-@exon:chr1:37961475-37961519:-,bimodal,SKIV2L2,(-) Negative,protein_coding
143925,MEAF6,NPC,ENSG00000070047,0.551101997102,exon:chr1:37967405-37967597:-@exon:chr1:37962308-37962337:-@exon:chr1:37961475-37961519:-,bimodal,PHRF1,(+) Positive,protein_coding
144054,MEAF6,NPC,ENSG00000074800,-0.547712829279,exon:chr1:37967405-37967597:-@exon:chr1:37962308-37962337:-@exon:chr1:37961475-37961519:-,bimodal,ENO1,(-) Negative,protein_coding
144159,MEAF6,NPC,ENSG00000078369,-0.508804020366,exon:chr1:37967405-37967597:-@exon:chr1:37962308-37962337:-@exon:chr1:37961475-37961519:-,bimodal,GNB1,(-) Negative,protein_coding
144166,MEAF6,NPC,ENSG00000078687,-0.589472009153,exon:chr1:37967405-37967597:-@exon:chr1:37962308-37962337:-@exon:chr1:37961475-37961519:-,bimodal,TNRC6C,(-) Negative,protein_coding
144206,MEAF6,NPC,ENSG00000080371,-0.525095876627,exon:chr1:37967405-37967597:-@exon:chr1:37962308-37962337:-@exon:chr1:37961475-37961519:-,bimodal,RAB21,(-) Negative,protein_coding
144523,MEAF6,NPC,ENSG00000091262,0.594680520789,exon:chr1:37967405-37967597:-@exon:chr1:37962308-37962337:-@exon:chr1:37961475-37961519:-,bimodal,ABCC6,(+) Positive,protein_coding
144880,MEAF6,NPC,ENSG00000101082,0.505045671,exon:chr1:37967405-37967597:-@exon:chr1:37962308-37962337:-@exon:chr1:37961475-37961519:-,bimodal,SLA2,(+) Positive,protein_coding
145269,MEAF6,NPC,ENSG00000105048,0.536744070445,exon:chr1:37967405-37967597:-@exon:chr1:37962308-37962337:-@exon:chr1:37961475-37961519:-,bimodal,TNNT1,(+) Positive,protein_coding
145447,MEAF6,NPC,ENSG00000106355,-0.516102131675,exon:chr1:37967405-37967597:-@exon:chr1:37962308-37962337:-@exon:chr1:37961475-37961519:-,bimodal,LSM5,(-) Negative,protein_coding
145845,MEAF6,NPC,ENSG00000111237,-0.638508080885,exon:chr1:37967405-37967597:-@exon:chr1:37962308-37962337:-@exon:chr1:37961475-37961519:-,bimodal,VPS29,(-) Negative,protein_coding
145891,MEAF6,NPC,ENSG00000111678,-0.530876604715,exon:chr1:37967405-37967597:-@exon:chr1:37962308-37962337:-@exon:chr1:37961475-37961519:-,bimodal,C12orf57,(-) Negative,protein_coding
145904,MEAF6,NPC,ENSG00000111775,-0.502127982492,exon:chr1:37967405-37967597:-@exon:chr1:37962308-37962337:-@exon:chr1:37961475-37961519:-,bimodal,COX6A1,(-) Negative,protein_coding
146091,MEAF6,NPC,ENSG00000113790,0.52163207182,exon:chr1:37967405-37967597:-@exon:chr1:37962308-37962337:-@exon:chr1:37961475-37961519:-,bimodal,EHHADH,(+) Positive,protein_coding
146171,MEAF6,NPC,ENSG00000114933,-0.501095648176,exon:chr1:37967405-37967597:-@exon:chr1:37962308-37962337:-@exon:chr1:37961475-37961519:-,bimodal,INO80D,(-) Negative,protein_coding
146321,MEAF6,NPC,ENSG00000116459,-0.506666337276,exon:chr1:37967405-37967597:-@exon:chr1:37962308-37962337:-@exon:chr1:37961475-37961519:-,bimodal,ATP5F1,(-) Negative,protein_coding
146419,MEAF6,NPC,ENSG00000117419,-0.55525037779,exon:chr1:37967405-37967597:-@exon:chr1:37962308-37962337:-@exon:chr1:37961475-37961519:-,bimodal,ERI3,(-) Negative,protein_coding
146509,MEAF6,NPC,ENSG00000118680,-0.542720494626,exon:chr1:37967405-37967597:-@exon:chr1:37962308-37962337:-@exon:chr1:37961475-37961519:-,bimodal,MYL12B,(-) Negative,protein_coding
