gene_id,U_statistic,p_value,bonferonni_p_value,group,gene_name
ENSG00000136383,0.0,1.01872631095e-13,1.89421970259e-09,M2_12+M6_07,ALPK3
ENSG00000264672,0.0,1.01872631095e-13,1.89421970259e-09,M2_12+M6_07,RP11-112H10.4
ENSG00000130377,0.0,1.01872631095e-13,1.89421970259e-09,M2_12+M6_07,ACSBG2
ENSG00000243709,0.0,1.01872631095e-13,1.89421970259e-09,M2_12+M6_07,LEFTY1
ENSG00000154734,0.0,1.01872631095e-13,1.89421970259e-09,M2_12+M6_07,ADAMTS1
ENSG00000255201,0.0,1.01872631095e-13,1.89421970259e-09,M2_12+M6_07,RP11-350N15.4
ENSG00000226067,0.0,1.01872631095e-13,1.89421970259e-09,M2_12+M6_07,RP11-403I13.7
ENSG00000229206,0.0,1.01872631095e-13,1.89421970259e-09,M2_12+M6_07,RP11-397O4.1
ENSG00000185847,0.0,1.01872631095e-13,1.89421970259e-09,M2_12+M6_07,RP1-46F2.2
ENSG00000273275,0.0,1.01872631095e-13,1.89421970259e-09,M2_12+M6_07,RP11-474G23.2
ENSG00000260664,0.0,1.01872631095e-13,1.89421970259e-09,M2_12+M6_07,AC004158.3
ENSG00000256185,0.0,1.01872631095e-13,1.89421970259e-09,M2_12+M6_07,RP11-612B6.2
ENSG00000249430,0.0,1.01872631095e-13,1.89421970259e-09,M2_12+M6_07,CTD-2231H16.1
ENSG00000006062,0.0,1.01872631095e-13,1.89421970259e-09,M2_12+M6_07,MAP3K14
ENSG00000261366,0.0,1.01872631095e-13,1.89421970259e-09,M2_12+M6_07,MANEA-AS1
ENSG00000269403,0.0,7.11541748379e-10,1.32304072694e-05,M2_12+M6_07,CTD-2616J11.11
ENSG00000198053,0.0,7.11541748379e-10,1.32304072694e-05,M2_12+M6_07,SIRPA
ENSG00000145113,0.0,7.11541748379e-10,1.32304072694e-05,M2_12+M6_07,MUC4
ENSG00000145569,0.0,7.11541748379e-10,1.32304072694e-05,M2_12+M6_07,FAM105A
ENSG00000225932,0.0,7.11541748379e-10,1.32304072694e-05,M2_12+M6_07,CTAGE4
ENSG00000271970,0.0,7.11541748379e-10,1.32304072694e-05,M2_12+M6_07,RP3-337H4.10
ENSG00000162772,0.0,7.11541748379e-10,1.32304072694e-05,M2_12+M6_07,ATF3
ENSG00000136732,0.0,7.11541748379e-10,1.32304072694e-05,M2_12+M6_07,GYPC
ENSG00000141295,0.0,7.11541748379e-10,1.32304072694e-05,M2_12+M6_07,SCRN2
ENSG00000104859,0.0,7.11541748379e-10,1.32304072694e-05,M2_12+M6_07,CLASRP
ENSG00000233073,0.0,7.11541748379e-10,1.32304072694e-05,M2_12+M6_07,AC005009.2
ENSG00000130707,0.0,7.11541748379e-10,1.32304072694e-05,M2_12+M6_07,ASS1
ENSG00000267288,0.0,7.11541748379e-10,1.32304072694e-05,M2_12+M6_07,RP13-890H12.2
ENSG00000268400,0.0,7.11541748379e-10,1.32304072694e-05,M2_12+M6_07,CTD-3214H19.4
ENSG00000112699,0.0,7.11541748379e-10,1.32304072694e-05,M2_12+M6_07,GMDS
ENSG00000168517,0.0,7.11541748379e-10,1.32304072694e-05,M2_12+M6_07,HEXIM2
ENSG00000273294,0.0,7.11541748379e-10,1.32304072694e-05,M2_12+M6_07,RP11-1084J3.4
ENSG00000245534,0.0,7.11541748379e-10,1.32304072694e-05,M2_12+M6_07,RP11-219B17.1
ENSG00000247679,0.0,7.11541748379e-10,1.32304072694e-05,M2_12+M6_07,RP11-1277A3.1
ENSG00000171786,1.0,1.42763960813e-09,2.65455308736e-05,M2_12+M6_07,NHLH1
ENSG00000186193,2.0,2.82887347017e-09,5.26000733043e-05,M2_12+M6_07,SAPCD2
ENSG00000253972,2.0,2.82887347017e-09,5.26000733043e-05,M2_12+M6_07,RP11-4K16.2
ENSG00000119703,2.0,2.82887347017e-09,5.26000733043e-05,M2_12+M6_07,ZC2HC1C
ENSG00000197530,2.0,2.82887347017e-09,5.26000733043e-05,M2_12+M6_07,MIB2
ENSG00000172216,2.0,2.82887347017e-09,5.26000733043e-05,M2_12+M6_07,CEBPB
ENSG00000250614,2.0,2.82887347017e-09,5.26000733043e-05,M2_12+M6_07,AC007078.4
ENSG00000248890,2.0,2.82887347017e-09,5.26000733043e-05,M2_12+M6_07,HHIP-AS1
ENSG00000070759,2.0,2.82887347017e-09,5.26000733043e-05,M2_12+M6_07,TESK2
ENSG00000116117,2.0,2.82887347017e-09,5.26000733043e-05,M2_12+M6_07,PARD3B
ENSG00000136383,0.0,1.01872631095e-13,1.89421970259e-09,M1_09+M6_06,ALPK3
ENSG00000225697,0.0,1.01872631095e-13,1.89421970259e-09,M1_09+M6_06,SLC26A6
ENSG00000259992,0.0,1.01872631095e-13,1.89421970259e-09,M1_09+M6_06,RP11-77K12.8
ENSG00000161958,0.0,1.01872631095e-13,1.89421970259e-09,M1_09+M6_06,FGF11
ENSG00000267503,0.0,1.01872631095e-13,1.89421970259e-09,M1_09+M6_06,RP11-53B2.4
ENSG00000183067,0.0,1.01872631095e-13,1.89421970259e-09,M1_09+M6_06,IGSF5
ENSG00000105137,0.0,1.01872631095e-13,1.89421970259e-09,M1_09+M6_06,SYDE1
ENSG00000119698,0.0,1.01872631095e-13,1.89421970259e-09,M1_09+M6_06,PPP4R4
ENSG00000170439,0.0,1.01872631095e-13,1.89421970259e-09,M1_09+M6_06,METTL7B
ENSG00000249430,0.0,1.01872631095e-13,1.89421970259e-09,M1_09+M6_06,CTD-2231H16.1
ENSG00000272846,0.0,1.01872631095e-13,1.89421970259e-09,M1_09+M6_06,RP11-701H24.10
ENSG00000215183,0.0,7.11541748379e-10,1.32304072694e-05,M1_09+M6_06,MSMP
ENSG00000236003,0.0,7.11541748379e-10,1.32304072694e-05,M1_09+M6_06,AC007050.17
ENSG00000135686,0.0,7.11541748379e-10,1.32304072694e-05,M1_09+M6_06,KLHL36
ENSG00000176734,0.0,7.11541748379e-10,1.32304072694e-05,M1_09+M6_06,TRIL
ENSG00000272086,0.0,7.11541748379e-10,1.32304072694e-05,M1_09+M6_06,CTD-2186M15.3
ENSG00000196365,0.0,7.11541748379e-10,1.32304072694e-05,M1_09+M6_06,LONP1
ENSG00000271970,0.0,7.11541748379e-10,1.32304072694e-05,M1_09+M6_06,RP3-337H4.10
ENSG00000145864,0.0,7.11541748379e-10,1.32304072694e-05,M1_09+M6_06,GABRB2
ENSG00000239906,0.0,7.11541748379e-10,1.32304072694e-05,M1_09+M6_06,RP11-34P13.14
ENSG00000196363,0.0,7.11541748379e-10,1.32304072694e-05,M1_09+M6_06,WDR5
ENSG00000124224,0.0,7.11541748379e-10,1.32304072694e-05,M1_09+M6_06,PPP4R1L
ENSG00000062038,0.0,7.11541748379e-10,1.32304072694e-05,M1_09+M6_06,CDH3
ENSG00000139219,0.0,7.11541748379e-10,1.32304072694e-05,M1_09+M6_06,COL2A1
ENSG00000197905,1.0,1.42763960813e-09,2.65455308736e-05,M1_09+M6_06,TEAD4
ENSG00000250614,2.0,2.82887347017e-09,5.26000733043e-05,M1_09+M6_06,AC007078.4
ENSG00000150990,2.0,2.82887347017e-09,5.26000733043e-05,M1_09+M6_06,DHX37
ENSG00000010539,2.0,2.82887347017e-09,5.26000733043e-05,M1_09+M6_06,ZNF200
ENSG00000172638,2.0,2.82887347017e-09,5.26000733043e-05,M1_09+M6_06,EFEMP2
ENSG00000260899,2.0,2.82887347017e-09,5.26000733043e-05,M1_09+M6_06,RP11-2C24.4
ENSG00000267767,2.0,2.82887347017e-09,5.26000733043e-05,M1_09+M6_06,CTC-523E23.4
ENSG00000232998,2.0,2.82887347017e-09,5.26000733043e-05,M1_09+M6_06,VPS13A-AS1
ENSG00000173567,2.0,2.82887347017e-09,5.26000733043e-05,M1_09+M6_06,GPR113
ENSG00000135424,2.0,2.82887347017e-09,5.26000733043e-05,M1_09+M6_06,ITGA7
ENSG00000135763,2.0,2.82887347017e-09,5.26000733043e-05,M1_09+M6_06,URB2
ENSG00000078900,0.0,1.01872631095e-13,1.89421970259e-09,M1_08+M6_04,TP73
