,Splicing Gene,phenotype,Expression Gene,Pearson R,event_id,modality,gene_name,Correlation Direction
143185,MEAF6,NPC,ENSG00000004866,0.57718322706,exon:chr1:37967405-37967597:-@exon:chr1:37962308-37962337:-@exon:chr1:37961475-37961519:-,bimodal,ST7,(+) Positive
143536,MEAF6,NPC,ENSG00000039123,-0.503108627962,exon:chr1:37967405-37967597:-@exon:chr1:37962308-37962337:-@exon:chr1:37961475-37961519:-,bimodal,SKIV2L2,(-) Negative
143925,MEAF6,NPC,ENSG00000070047,0.551101997102,exon:chr1:37967405-37967597:-@exon:chr1:37962308-37962337:-@exon:chr1:37961475-37961519:-,bimodal,PHRF1,(+) Positive
144054,MEAF6,NPC,ENSG00000074800,-0.547712829279,exon:chr1:37967405-37967597:-@exon:chr1:37962308-37962337:-@exon:chr1:37961475-37961519:-,bimodal,ENO1,(-) Negative
144159,MEAF6,NPC,ENSG00000078369,-0.508804020366,exon:chr1:37967405-37967597:-@exon:chr1:37962308-37962337:-@exon:chr1:37961475-37961519:-,bimodal,GNB1,(-) Negative
144166,MEAF6,NPC,ENSG00000078687,-0.589472009153,exon:chr1:37967405-37967597:-@exon:chr1:37962308-37962337:-@exon:chr1:37961475-37961519:-,bimodal,TNRC6C,(-) Negative
144206,MEAF6,NPC,ENSG00000080371,-0.525095876627,exon:chr1:37967405-37967597:-@exon:chr1:37962308-37962337:-@exon:chr1:37961475-37961519:-,bimodal,RAB21,(-) Negative
144523,MEAF6,NPC,ENSG00000091262,0.594680520789,exon:chr1:37967405-37967597:-@exon:chr1:37962308-37962337:-@exon:chr1:37961475-37961519:-,bimodal,ABCC6,(+) Positive
144880,MEAF6,NPC,ENSG00000101082,0.505045671,exon:chr1:37967405-37967597:-@exon:chr1:37962308-37962337:-@exon:chr1:37961475-37961519:-,bimodal,SLA2,(+) Positive
145269,MEAF6,NPC,ENSG00000105048,0.536744070445,exon:chr1:37967405-37967597:-@exon:chr1:37962308-37962337:-@exon:chr1:37961475-37961519:-,bimodal,TNNT1,(+) Positive
145447,MEAF6,NPC,ENSG00000106355,-0.516102131675,exon:chr1:37967405-37967597:-@exon:chr1:37962308-37962337:-@exon:chr1:37961475-37961519:-,bimodal,LSM5,(-) Negative
145845,MEAF6,NPC,ENSG00000111237,-0.638508080885,exon:chr1:37967405-37967597:-@exon:chr1:37962308-37962337:-@exon:chr1:37961475-37961519:-,bimodal,VPS29,(-) Negative
145891,MEAF6,NPC,ENSG00000111678,-0.530876604715,exon:chr1:37967405-37967597:-@exon:chr1:37962308-37962337:-@exon:chr1:37961475-37961519:-,bimodal,C12orf57,(-) Negative
145904,MEAF6,NPC,ENSG00000111775,-0.502127982492,exon:chr1:37967405-37967597:-@exon:chr1:37962308-37962337:-@exon:chr1:37961475-37961519:-,bimodal,COX6A1,(-) Negative
146091,MEAF6,NPC,ENSG00000113790,0.52163207182,exon:chr1:37967405-37967597:-@exon:chr1:37962308-37962337:-@exon:chr1:37961475-37961519:-,bimodal,EHHADH,(+) Positive
146171,MEAF6,NPC,ENSG00000114933,-0.501095648176,exon:chr1:37967405-37967597:-@exon:chr1:37962308-37962337:-@exon:chr1:37961475-37961519:-,bimodal,INO80D,(-) Negative
146321,MEAF6,NPC,ENSG00000116459,-0.506666337276,exon:chr1:37967405-37967597:-@exon:chr1:37962308-37962337:-@exon:chr1:37961475-37961519:-,bimodal,ATP5F1,(-) Negative
146419,MEAF6,NPC,ENSG00000117419,-0.55525037779,exon:chr1:37967405-37967597:-@exon:chr1:37962308-37962337:-@exon:chr1:37961475-37961519:-,bimodal,ERI3,(-) Negative
146509,MEAF6,NPC,ENSG00000118680,-0.542720494626,exon:chr1:37967405-37967597:-@exon:chr1:37962308-37962337:-@exon:chr1:37961475-37961519:-,bimodal,MYL12B,(-) Negative
146576,MEAF6,NPC,ENSG00000119655,-0.586657333528,exon:chr1:37967405-37967597:-@exon:chr1:37962308-37962337:-@exon:chr1:37961475-37961519:-,bimodal,NPC2,(-) Negative
147228,MEAF6,NPC,ENSG00000128524,-0.591105372123,exon:chr1:37967405-37967597:-@exon:chr1:37962308-37962337:-@exon:chr1:37961475-37961519:-,bimodal,ATP6V1F,(-) Negative
147321,MEAF6,NPC,ENSG00000129595,0.525691429517,exon:chr1:37967405-37967597:-@exon:chr1:37962308-37962337:-@exon:chr1:37961475-37961519:-,bimodal,EPB41L4A,(+) Positive
147578,MEAF6,NPC,ENSG00000132300,-0.529156687293,exon:chr1:37967405-37967597:-@exon:chr1:37962308-37962337:-@exon:chr1:37961475-37961519:-,bimodal,PTCD3,(-) Negative
148175,MEAF6,NPC,ENSG00000137288,-0.547315754396,exon:chr1:37967405-37967597:-@exon:chr1:37962308-37962337:-@exon:chr1:37961475-37961519:-,bimodal,UQCC2,(-) Negative
148459,MEAF6,NPC,ENSG00000139921,-0.566684888934,exon:chr1:37967405-37967597:-@exon:chr1:37962308-37962337:-@exon:chr1:37961475-37961519:-,bimodal,TMX1,(-) Negative
149274,MEAF6,NPC,ENSG00000149136,-0.565318021625,exon:chr1:37967405-37967597:-@exon:chr1:37962308-37962337:-@exon:chr1:37961475-37961519:-,bimodal,SSRP1,(-) Negative
149440,MEAF6,NPC,ENSG00000151650,0.520502286887,exon:chr1:37967405-37967597:-@exon:chr1:37962308-37962337:-@exon:chr1:37961475-37961519:-,bimodal,VENTX,(+) Positive
149572,MEAF6,NPC,ENSG00000153130,-0.510054445897,exon:chr1:37967405-37967597:-@exon:chr1:37962308-37962337:-@exon:chr1:37961475-37961519:-,bimodal,SCOC,(-) Negative
149615,MEAF6,NPC,ENSG00000153904,-0.512588873867,exon:chr1:37967405-37967597:-@exon:chr1:37962308-37962337:-@exon:chr1:37961475-37961519:-,bimodal,DDAH1,(-) Negative
149672,MEAF6,NPC,ENSG00000154723,-0.566521730836,exon:chr1:37967405-37967597:-@exon:chr1:37962308-37962337:-@exon:chr1:37961475-37961519:-,bimodal,ATP5J,(-) Negative
149758,MEAF6,NPC,ENSG00000155974,0.531133111618,exon:chr1:37967405-37967597:-@exon:chr1:37962308-37962337:-@exon:chr1:37961475-37961519:-,bimodal,GRIP1,(+) Positive
