,Splicing Gene,phenotype,Expression Gene,Pearson R,event_id,modality,gene_name,Correlation Direction,gene_type
14337,BRD8-event1,iPSC,ENSG00000003249,-0.576119970853,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,DBNDD1,(-) Negative,protein_coding
14398,BRD8-event1,iPSC,ENSG00000006125,-0.530307681391,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,AP2B1,(-) Negative,protein_coding
14451,BRD8-event1,iPSC,ENSG00000008128,0.54812509912,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,CDK11A,(+) Positive,protein_coding
14590,BRD8-event1,iPSC,ENSG00000020256,-0.659419561502,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,ZFP64,(-) Negative,protein_coding
14670,BRD8-event1,iPSC,ENSG00000033627,-0.514580044277,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,ATP6V0A1,(-) Negative,protein_coding
14782,BRD8-event1,iPSC,ENSG00000049323,-0.531702509242,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,LTBP1,(-) Negative,protein_coding
14795,BRD8-event1,iPSC,ENSG00000050405,0.518429732209,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,LIMA1,(+) Positive,protein_coding
14814,BRD8-event1,iPSC,ENSG00000052749,0.599648570126,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,RRP12,(+) Positive,protein_coding
14880,BRD8-event1,iPSC,ENSG00000059573,-0.621719629462,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,ALDH18A1,(-) Negative,protein_coding
14897,BRD8-event1,iPSC,ENSG00000061273,0.569479367499,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,HDAC7,(+) Positive,protein_coding
14958,BRD8-event1,iPSC,ENSG00000065060,0.60110342945,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,UHRF1BP1,(+) Positive,protein_coding
14979,BRD8-event1,iPSC,ENSG00000065600,0.665534250539,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,TMEM206,(+) Positive,protein_coding
15010,BRD8-event1,iPSC,ENSG00000066583,-0.61812653389,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,ISOC1,(-) Negative,protein_coding
15114,BRD8-event1,iPSC,ENSG00000070610,0.516637110513,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,GBA2,(+) Positive,protein_coding
15182,BRD8-event1,iPSC,ENSG00000072849,-0.542340135849,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,DERL2,(-) Negative,protein_coding
15208,BRD8-event1,iPSC,ENSG00000074047,-0.574351679096,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,GLI2,(-) Negative,protein_coding
15218,BRD8-event1,iPSC,ENSG00000074410,0.559025147752,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,CA12,(+) Positive,protein_coding
15236,BRD8-event1,iPSC,ENSG00000075151,-0.602138149245,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,EIF4G3,(-) Negative,protein_coding
15237,BRD8-event1,iPSC,ENSG00000075188,-0.526746553992,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,NUP37,(-) Negative,protein_coding
15257,BRD8-event1,iPSC,ENSG00000075618,0.54815266627,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,FSCN1,(+) Positive,protein_coding
15274,BRD8-event1,iPSC,ENSG00000076248,-0.535091374579,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,UNG,(-) Negative,protein_coding
15381,BRD8-event1,iPSC,ENSG00000080503,-0.506007053126,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,SMARCA2,(-) Negative,protein_coding
15411,BRD8-event1,iPSC,ENSG00000081791,-0.594438173209,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,KIAA0141,(-) Negative,protein_coding
15497,BRD8-event1,iPSC,ENSG00000085433,0.508301115067,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,WDR47,(+) Positive,protein_coding
15527,BRD8-event1,iPSC,ENSG00000086504,0.507562738839,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,MRPL28,(+) Positive,protein_coding
