,Splicing Gene,phenotype,Expression Gene,Pearson R,event_id,modality,gene_name,Correlation Direction
42972,DYNC1I2,NPC,ENSG00000003987,0.500056354567,exon:chr2:172563743-172563887:+@exon:chr2:172569277-172569336:+@exon:chr2:172571838-172571878:+,bimodal,MTMR7,(+) Positive
42997,DYNC1I2,NPC,ENSG00000005108,0.731729507385,exon:chr2:172563743-172563887:+@exon:chr2:172569277-172569336:+@exon:chr2:172571838-172571878:+,bimodal,THSD7A,(+) Positive
43129,DYNC1I2,NPC,ENSG00000011009,0.532395586483,exon:chr2:172563743-172563887:+@exon:chr2:172569277-172569336:+@exon:chr2:172571838-172571878:+,bimodal,LYPLA2,(+) Positive
43146,DYNC1I2,NPC,ENSG00000011426,-0.524315788033,exon:chr2:172563743-172563887:+@exon:chr2:172569277-172569336:+@exon:chr2:172571838-172571878:+,bimodal,ANLN,(-) Negative
43196,DYNC1I2,NPC,ENSG00000015592,0.502239688454,exon:chr2:172563743-172563887:+@exon:chr2:172569277-172569336:+@exon:chr2:172571838-172571878:+,bimodal,STMN4,(+) Positive
43226,DYNC1I2,NPC,ENSG00000021645,0.587581700093,exon:chr2:172563743-172563887:+@exon:chr2:172569277-172569336:+@exon:chr2:172571838-172571878:+,bimodal,NRXN3,(+) Positive
43481,DYNC1I2,NPC,ENSG00000056277,0.645916458351,exon:chr2:172563743-172563887:+@exon:chr2:172569277-172569336:+@exon:chr2:172571838-172571878:+,bimodal,ZNF280C,(+) Positive
43526,DYNC1I2,NPC,ENSG00000061337,0.529126319227,exon:chr2:172563743-172563887:+@exon:chr2:172569277-172569336:+@exon:chr2:172571838-172571878:+,bimodal,LZTS1,(+) Positive
43546,DYNC1I2,NPC,ENSG00000063177,0.557755187271,exon:chr2:172563743-172563887:+@exon:chr2:172569277-172569336:+@exon:chr2:172571838-172571878:+,bimodal,RPL18,(+) Positive
43797,DYNC1I2,NPC,ENSG00000072501,-0.528231538968,exon:chr2:172563743-172563887:+@exon:chr2:172569277-172569336:+@exon:chr2:172571838-172571878:+,bimodal,SMC1A,(-) Negative
43867,DYNC1I2,NPC,ENSG00000075218,-0.506066775172,exon:chr2:172563743-172563887:+@exon:chr2:172569277-172569336:+@exon:chr2:172571838-172571878:+,bimodal,GTSE1,(-) Negative
43881,DYNC1I2,NPC,ENSG00000075420,-0.52132372043,exon:chr2:172563743-172563887:+@exon:chr2:172569277-172569336:+@exon:chr2:172571838-172571878:+,bimodal,FNDC3B,(-) Negative
43931,DYNC1I2,NPC,ENSG00000077264,0.509508070139,exon:chr2:172563743-172563887:+@exon:chr2:172569277-172569336:+@exon:chr2:172571838-172571878:+,bimodal,PAK3,(+) Positive
43932,DYNC1I2,NPC,ENSG00000077279,0.583906765235,exon:chr2:172563743-172563887:+@exon:chr2:172569277-172569336:+@exon:chr2:172571838-172571878:+,bimodal,DCX,(+) Positive
43953,DYNC1I2,NPC,ENSG00000078142,0.544987624245,exon:chr2:172563743-172563887:+@exon:chr2:172569277-172569336:+@exon:chr2:172571838-172571878:+,bimodal,PIK3C3,(+) Positive
43969,DYNC1I2,NPC,ENSG00000078699,0.634989762963,exon:chr2:172563743-172563887:+@exon:chr2:172569277-172569336:+@exon:chr2:172571838-172571878:+,bimodal,CBFA2T2,(+) Positive
43978,DYNC1I2,NPC,ENSG00000079102,0.580712201773,exon:chr2:172563743-172563887:+@exon:chr2:172569277-172569336:+@exon:chr2:172571838-172571878:+,bimodal,RUNX1T1,(+) Positive
44038,DYNC1I2,NPC,ENSG00000081760,0.578854029913,exon:chr2:172563743-172563887:+@exon:chr2:172569277-172569336:+@exon:chr2:172571838-172571878:+,bimodal,AACS,(+) Positive
44105,DYNC1I2,NPC,ENSG00000084628,0.521952292183,exon:chr2:172563743-172563887:+@exon:chr2:172569277-172569336:+@exon:chr2:172571838-172571878:+,bimodal,NKAIN1,(+) Positive
