,Splicing Gene,phenotype,Expression Gene,Pearson R,event_id,modality,gene_name,Correlation Direction
14337,BRD8-event1,iPSC,ENSG00000003249,-0.576119970853,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,DBNDD1,(-) Negative
14398,BRD8-event1,iPSC,ENSG00000006125,-0.530307681391,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,AP2B1,(-) Negative
14451,BRD8-event1,iPSC,ENSG00000008128,0.54812509912,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,CDK11A,(+) Positive
14590,BRD8-event1,iPSC,ENSG00000020256,-0.659419561502,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,ZFP64,(-) Negative
14670,BRD8-event1,iPSC,ENSG00000033627,-0.514580044277,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,ATP6V0A1,(-) Negative
14782,BRD8-event1,iPSC,ENSG00000049323,-0.531702509242,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,LTBP1,(-) Negative
14795,BRD8-event1,iPSC,ENSG00000050405,0.518429732209,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,LIMA1,(+) Positive
14814,BRD8-event1,iPSC,ENSG00000052749,0.599648570126,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,RRP12,(+) Positive
14880,BRD8-event1,iPSC,ENSG00000059573,-0.621719629462,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,ALDH18A1,(-) Negative
14897,BRD8-event1,iPSC,ENSG00000061273,0.569479367499,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,HDAC7,(+) Positive
14958,BRD8-event1,iPSC,ENSG00000065060,0.60110342945,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,UHRF1BP1,(+) Positive
14979,BRD8-event1,iPSC,ENSG00000065600,0.665534250539,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,TMEM206,(+) Positive
15010,BRD8-event1,iPSC,ENSG00000066583,-0.61812653389,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,ISOC1,(-) Negative
15114,BRD8-event1,iPSC,ENSG00000070610,0.516637110513,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,GBA2,(+) Positive
15182,BRD8-event1,iPSC,ENSG00000072849,-0.542340135849,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,DERL2,(-) Negative
15208,BRD8-event1,iPSC,ENSG00000074047,-0.574351679096,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,GLI2,(-) Negative
15218,BRD8-event1,iPSC,ENSG00000074410,0.559025147752,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,CA12,(+) Positive
15236,BRD8-event1,iPSC,ENSG00000075151,-0.602138149245,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,EIF4G3,(-) Negative
15237,BRD8-event1,iPSC,ENSG00000075188,-0.526746553992,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,NUP37,(-) Negative
15257,BRD8-event1,iPSC,ENSG00000075618,0.54815266627,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,FSCN1,(+) Positive
15274,BRD8-event1,iPSC,ENSG00000076248,-0.535091374579,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,UNG,(-) Negative
15381,BRD8-event1,iPSC,ENSG00000080503,-0.506007053126,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,SMARCA2,(-) Negative
15411,BRD8-event1,iPSC,ENSG00000081791,-0.594438173209,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,KIAA0141,(-) Negative
15497,BRD8-event1,iPSC,ENSG00000085433,0.508301115067,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,WDR47,(+) Positive
15527,BRD8-event1,iPSC,ENSG00000086504,0.507562738839,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,MRPL28,(+) Positive
15622,BRD8-event1,iPSC,ENSG00000089159,0.507798302892,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,PXN,(+) Positive
15649,BRD8-event1,iPSC,ENSG00000090013,0.649541203114,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,BLVRB,(+) Positive
15760,BRD8-event1,iPSC,ENSG00000094804,-0.62222967709,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,CDC6,(-) Negative
15828,BRD8-event1,iPSC,ENSG00000099624,-0.543600520998,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,ATP5D,(-) Negative
15943,BRD8-event1,iPSC,ENSG00000100387,-0.518475321144,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,RBX1,(-) Negative
16080,BRD8-event1,iPSC,ENSG00000101220,-0.533360715224,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,C20orf27,(-) Negative
16106,BRD8-event1,iPSC,ENSG00000101413,0.5623615564,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,RPRD1B,(+) Positive
16142,BRD8-event1,iPSC,ENSG00000101782,-0.571908363799,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,RIOK3,(-) Negative
16177,BRD8-event1,iPSC,ENSG00000102119,-0.507216905072,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,EMD,(-) Negative
16217,BRD8-event1,iPSC,ENSG00000102710,0.50900980702,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,SUPT20H,(+) Positive
16379,BRD8-event1,iPSC,ENSG00000104490,0.550070408356,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,NCALD,(+) Positive
16440,BRD8-event1,iPSC,ENSG00000104980,-0.64536864728,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,TIMM44,(-) Negative
16445,BRD8-event1,iPSC,ENSG00000105058,-0.554713430002,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,FAM32A,(-) Negative
16454,BRD8-event1,iPSC,ENSG00000105171,-0.533077296826,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,POP4,(-) Negative
16457,BRD8-event1,iPSC,ENSG00000105185,-0.551139789207,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,PDCD5,(-) Negative
16524,BRD8-event1,iPSC,ENSG00000105647,-0.526086991576,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,PIK3R2,(-) Negative
16727,BRD8-event1,iPSC,ENSG00000107779,0.650210800934,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,BMPR1A,(+) Positive
16752,BRD8-event1,iPSC,ENSG00000107960,0.572300461864,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,OBFC1,(+) Positive
16897,BRD8-event1,iPSC,ENSG00000109606,-0.545251402467,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,DHX15,(-) Negative
16946,BRD8-event1,iPSC,ENSG00000110104,-0.661715852108,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,CCDC86,(-) Negative
16982,BRD8-event1,iPSC,ENSG00000110721,0.558978150011,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,CHKA,(+) Positive
17026,BRD8-event1,iPSC,ENSG00000111275,0.62807457046,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,ALDH2,(+) Positive
17105,BRD8-event1,iPSC,ENSG00000111961,0.594196389517,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,SASH1,(+) Positive
17162,BRD8-event1,iPSC,ENSG00000112514,-0.563001246727,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,CUTA,(-) Negative
17257,BRD8-event1,iPSC,ENSG00000113712,0.53529598455,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,CSNK1A1,(+) Positive
17374,BRD8-event1,iPSC,ENSG00000115239,-0.500401331661,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,GPR75-ASB3,(-) Negative
17419,BRD8-event1,iPSC,ENSG00000115568,-0.503170947046,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,ZNF142,(-) Negative
17441,BRD8-event1,iPSC,ENSG00000115839,-0.559579867432,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,RAB3GAP1,(-) Negative
17526,BRD8-event1,iPSC,ENSG00000116750,0.508134122401,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,UCHL5,(+) Positive
17654,BRD8-event1,iPSC,ENSG00000118263,-0.564784943562,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,KLF7,(-) Negative
17770,BRD8-event1,iPSC,ENSG00000119778,0.520608514594,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,ATAD2B,(+) Positive
17777,BRD8-event1,iPSC,ENSG00000119862,-0.560276692884,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,LGALSL,(-) Negative
17954,BRD8-event1,iPSC,ENSG00000122376,0.576213570273,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,FAM35A,(+) Positive
18061,BRD8-event1,iPSC,ENSG00000123700,0.717678310462,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,KCNJ2,(+) Positive
18086,BRD8-event1,iPSC,ENSG00000124164,-0.630425933268,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,VAPB,(-) Negative
18090,BRD8-event1,iPSC,ENSG00000124181,-0.585135796269,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,PLCG1,(-) Negative
18151,BRD8-event1,iPSC,ENSG00000124782,-0.605530581466,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,RREB1,(-) Negative
18266,BRD8-event1,iPSC,ENSG00000126067,-0.59193068318,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,PSMB2,(-) Negative
