,Splicing Gene,phenotype,Expression Gene,Pearson R,event_id,modality,gene_name,Correlation Direction
214742,SUGT1,MN,ENSG00000004059,0.556680550043,exon:chr13:53233314-53233384:+@exon:chr13:53235610-53235705:+@exon:chr13:53236784-53236837:+,bimodal,ARF5,(+) Positive
214771,SUGT1,MN,ENSG00000005206,0.57817582309,exon:chr13:53233314-53233384:+@exon:chr13:53235610-53235705:+@exon:chr13:53236784-53236837:+,bimodal,SPPL2B,(+) Positive
214780,SUGT1,MN,ENSG00000005486,0.556525831314,exon:chr13:53233314-53233384:+@exon:chr13:53235610-53235705:+@exon:chr13:53236784-53236837:+,bimodal,RHBDD2,(+) Positive
214793,SUGT1,MN,ENSG00000006118,0.611162248002,exon:chr13:53233314-53233384:+@exon:chr13:53235610-53235705:+@exon:chr13:53236784-53236837:+,bimodal,TMEM132A,(+) Positive
214808,SUGT1,MN,ENSG00000006576,0.519656738553,exon:chr13:53233314-53233384:+@exon:chr13:53235610-53235705:+@exon:chr13:53236784-53236837:+,bimodal,PHTF2,(+) Positive
214905,SUGT1,MN,ENSG00000011243,0.621224628889,exon:chr13:53233314-53233384:+@exon:chr13:53235610-53235705:+@exon:chr13:53236784-53236837:+,bimodal,AKAP8L,(+) Positive
214909,SUGT1,MN,ENSG00000011295,0.532080463101,exon:chr13:53233314-53233384:+@exon:chr13:53235610-53235705:+@exon:chr13:53236784-53236837:+,bimodal,TTC19,(+) Positive
214959,SUGT1,MN,ENSG00000015171,0.508725500494,exon:chr13:53233314-53233384:+@exon:chr13:53235610-53235705:+@exon:chr13:53236784-53236837:+,bimodal,ZMYND11,(+) Positive
214970,SUGT1,MN,ENSG00000017373,0.51489245352,exon:chr13:53233314-53233384:+@exon:chr13:53235610-53235705:+@exon:chr13:53236784-53236837:+,bimodal,SRCIN1,(+) Positive
214983,SUGT1,MN,ENSG00000019995,0.574236429729,exon:chr13:53233314-53233384:+@exon:chr13:53235610-53235705:+@exon:chr13:53236784-53236837:+,bimodal,ZRANB1,(+) Positive
214998,SUGT1,MN,ENSG00000022556,0.550309944678,exon:chr13:53233314-53233384:+@exon:chr13:53235610-53235705:+@exon:chr13:53236784-53236837:+,bimodal,NLRP2,(+) Positive
215028,SUGT1,MN,ENSG00000026025,-0.537243389918,exon:chr13:53233314-53233384:+@exon:chr13:53235610-53235705:+@exon:chr13:53236784-53236837:+,bimodal,VIM,(-) Negative
215065,SUGT1,MN,ENSG00000033327,0.572218462747,exon:chr13:53233314-53233384:+@exon:chr13:53235610-53235705:+@exon:chr13:53236784-53236837:+,bimodal,GAB2,(+) Positive
215105,SUGT1,MN,ENSG00000039068,0.519361994565,exon:chr13:53233314-53233384:+@exon:chr13:53235610-53235705:+@exon:chr13:53236784-53236837:+,bimodal,CDH1,(+) Positive
