event_id,ensembl_id,gene_name,gerstberger2014_tf,gerstberger2014_rbp,phenotype,modality
exon:chr10:103360960-103361093:+@exon:chr10:103364897-103364969:+@exon:chr10:103368592-103368694:+,ENSG00000166171,DPCD,False,False,MN,bimodal
exon:chr10:103563492-103563776:-@exon:chr10:103559999-103560157:-@exon:chr10:103558599-103559212:-,ENSG00000198408,MGEA5,False,False,MN,bimodal
exon:chr10:104209950-104210087:+@exon:chr10:104211156-104211312:+@exon:chr10:104215094-104215184:+,ENSG00000269609,RP11-18I14.10,False,False,MN,bimodal
exon:chr10:1094804-1095110:-@exon:chr10:1089939-1090111:-@exon:chr10:1089241-1089333:-,ENSG00000067064,IDI1,False,False,MN,bimodal
exon:chr10:120101782-120101827:-@exon:chr10:120101239-120101439:-@exon:chr10:120095694-120095935:-,ENSG00000165669,FAM204A,False,False,MN,bimodal
exon:chr10:127512115-127512291:+@exon:chr10:127515160-127515234:+@exon:chr10:127516127-127516207:+,ENSG00000107949,BCCIP,False,False,MN,bimodal
exon:chr10:16859314-16859453:-@exon:chr10:16858972-16859083:-@exon:chr10:16824033-16824083:-,ENSG00000148484,RSU1,False,False,MN,bimodal
exon:chr10:38299598-38299711:+@exon:chr10:38301226-38301278:+@exon:chr10:38305799-38305943:+,ENSG00000189180,ZNF33A,True,False,MN,bimodal
exon:chr10:51565108-51565296:+@exon:chr10:51568294-51568390:+@exon:chr10:51579128-51579282:+,ENSG00000138293,NCOA4,False,False,MN,bimodal
exon:chr10:51580556-51580696:+@exon:chr10:51580880-51580968:+@exon:chr10:51581270-51581378:+,ENSG00000138293,NCOA4,False,False,MN,bimodal
exon:chr10:70161377-70161494:-@exon:chr10:70156537-70156638:-@exon:chr10:70154085-70154208:-,ENSG00000204130,RUFY2,False,False,MN,bimodal
exon:chr10:7844721-7844817:+@exon:chr10:7848937-7848973:+@exon:chr10:7849622-7849778:+,ENSG00000165629,ATP5C1,False,False,MN,bimodal
exon:chr10:89536078-89536184:-@exon:chr10:89530709-89530798:-@exon:chr10:89527430-89527480:-,ENSG00000138138,ATAD1,False,False,MN,bimodal
exon:chr11:111957364-111957446:-@exon:chr11:111956702-111957034:-@exon:chr11:111955873-111956186:-,ENSG00000150779,TIMM8B,False,False,MN,bimodal
exon:chr11:115069126-115069158:-@exon:chr11:115061608-115061661:-@exon:chr11:115049364-115049495:-,ENSG00000182985,CADM1,False,False,MN,bimodal
exon:chr11:118638931-118639060:-@exon:chr11:118635917-118636063:-@exon:chr11:118633921-118634015:-,ENSG00000110367,DDX6,False,False,MN,bimodal
exon:chr11:118889853-118890027:+@exon:chr11:118890860-118890963:+@exon:chr11:118892470-118892596:+,ENSG00000196655,TRAPPC4,False,False,MN,bimodal
exon:chr11:134119061-134119156:-@exon:chr11:134118703-134118853:-@exon:chr11:134118173-134118378:-,ENSG00000151500,THYN1,False,False,MN,bimodal
exon:chr11:13484639-13484844:-@exon:chr11:13466571-13466728:-@exon:chr11:13443189-13443385:-,ENSG00000148925,BTBD10,False,False,MN,bimodal
exon:chr11:17304336-17304490:+@exon:chr11:17308181-17308260:+@exon:chr11:17316871-17316971:+,ENSG00000070081,NUCB2,False,False,MN,bimodal
exon:chr11:17304336-17304490:+@exon:chr11:17308181-17308264:+@exon:chr11:17316871-17316972:+,ENSG00000070081,NUCB2,False,False,MN,bimodal
exon:chr11:238998-239076:+@exon:chr11:244041-244075:+@exon:chr11:244161-244216:+,ENSG00000185627,PSMD13,False,False,MN,bimodal
exon:chr11:33757928-33757954:-@exon:chr11:33752970-33753014:-@exon:chr11:33743925-33744009:-,ENSG00000085063,CD59,False,False,MN,bimodal
exon:chr11:36654834-36654988:+@exon:chr11:36657601-36657667:+@exon:chr11:36669566-36669705:+,ENSG00000166352,C11orf74,False,False,MN,bimodal
exon:chr11:62529109-62529376:+@exon:chr11:62530014-62530338:+@exon:chr11:62530339-62530498:+@exon:chr11:62532654-62532704:+,ENSG00000168002,POLR2G,False,True,MN,bimodal
exon:chr11:64085560-64085858:+@exon:chr11:64087206-64087340:+@exon:chr11:64088133-64088264:+,ENSG00000126432,PRDX5,False,False,MN,bimodal
exon:chr11:64085560-64085858:+@exon:chr11:64087206-64087340:+@exon:chr11:64088337-64088375:+,ENSG00000126432,PRDX5,False,False,MN,bimodal
exon:chr11:64085654-64085858:+@exon:chr11:64088133-64088264:+@exon:chr11:64088337-64088375:+,ENSG00000126432,PRDX5,False,False,MN,bimodal
exon:chr11:64786043-64786205:+@exon:chr11:64787891-64787971:+@exon:chr11:64789193-64789656:+,"ENSG00000213465,ENSG00000273003","ARL2,RP11-399J13.3",,,MN,bimodal
exon:chr11:66406406-66407594:+@exon:chr11:66410921-66410999:+@exon:chr11:66413498-66413938:+,"ENSG00000173933,ENSG00000248643","RBM14-RBM4,RBM4",,,MN,bimodal
exon:chr11:66407171-66407594:+@exon:chr11:66410921-66411611:+@exon:chr11:66413498-66413939:+,"ENSG00000173933,ENSG00000248643","RBM14-RBM4,RBM4",,,MN,bimodal
exon:chr11:73516072-73516124:+@exon:chr11:73519358-73519395:+@exon:chr11:73536753-73536841:+,ENSG00000175581,MRPL48,False,True,MN,bimodal
exon:chr11:73519358-73519395:+@exon:chr11:73536753-73536841:+@exon:chr11:73555852-73556021:+,ENSG00000175581,MRPL48,False,True,MN,bimodal
exon:chr11:73536753-73536841:+@exon:chr11:73554292-73554412:+@exon:chr11:73555852-73555986:+,ENSG00000175581,MRPL48,False,True,MN,bimodal
exon:chr11:73555852-73556021:+@exon:chr11:73570952-73571054:+@exon:chr11:73574217-73574306:+,ENSG00000175581,MRPL48,False,True,MN,bimodal
exon:chr11:82984690-82984743:-@exon:chr11:82976907-82977021:-@exon:chr11:82972504-82973008:-,ENSG00000137500,CCDC90B,False,False,MN,bimodal
exon:chr11:82991184-82991303:-@exon:chr11:82989769-82989872:-@exon:chr11:82984994-82985783:-,ENSG00000137500,CCDC90B,False,False,MN,bimodal
exon:chr11:86013265-86013520:+@exon:chr11:86017287-86017524:+@exon:chr11:86048421-86048572:+,ENSG00000149196,C11orf73,False,False,MN,bimodal
exon:chr11:95523823-95523907:+@exon:chr11:95528680-95528723:+@exon:chr11:95532396-95532552:+,ENSG00000166037,CEP57,False,False,MN,bimodal
exon:chr12:104359600-104359838:+@exon:chr12:104370696-104370838:+@exon:chr12:104373609-104373850:+,ENSG00000139372,TDG,False,False,MN,bimodal
exon:chr12:10766038-10766222:-@exon:chr12:10765239-10765577:-@exon:chr12:10763221-10763279:-,ENSG00000111196,MAGOHB,False,True,MN,bimodal
exon:chr12:122992765-122992953:-@exon:chr12:122991381-122991470:-@exon:chr12:122989927-122990253:-,ENSG00000111011,RSRC2,False,False,MN,bimodal
exon:chr12:123005932-123005975:-@exon:chr12:123005051-123005128:-@exon:chr12:123003386-123003576:-,ENSG00000111011,RSRC2,False,False,MN,bimodal
exon:chr12:31850295-31850351:-@exon:chr12:31841941-31842052:-@exon:chr12:31825212-31825311:-,ENSG00000151743,AMN1,False,False,MN,bimodal
exon:chr12:39745579-39745782:-@exon:chr12:39740268-39740306:-@exon:chr12:39735836-39735926:-,ENSG00000139116,KIF21A,False,False,MN,bimodal
exon:chr12:42729685-42729776:+@exon:chr12:42745687-42745851:+@exon:chr12:42748963-42749024:+,ENSG00000134283,PPHLN1,False,False,MN,bimodal
exon:chr12:46764559-46764640:-@exon:chr12:46764295-46764410:-@exon:chr12:46761050-46761123:-,ENSG00000134294,SLC38A2,False,False,MN,bimodal
exon:chr12:49761303-49761370:+@exon:chr12:49765011-49765073:+@exon:chr12:49854553-49854811:+,ENSG00000123352,SPATS2,False,True,MN,bimodal
