,features_of_interest_in_go_term,features_of_interest_in_go_term_gene_symbols,go_domain,go_name,n_background_in_go_term,n_features_of_interest_in_go_term,n_features_total_in_go_term,negative_log_p_value,bonferonni_corrected_negative_log_p_value
GO:0006521,"ENSG00000100911,ENSG00000163636,ENSG00000110801,ENSG00000041357,ENSG00000108671,ENSG00000108294,ENSG00000125818,ENSG00000104904,ENSG00000100567,ENSG00000161057,ENSG00000087191,ENSG00000106588,ENSG00000256646,ENSG00000092010,ENSG00000099341,ENSG00000180304,ENSG00000165916,ENSG00000100764,ENSG00000131467,ENSG00000185627,ENSG00000100902,ENSG00000173692,ENSG00000100804,ENSG00000155096,ENSG00000129084,ENSG00000100519,ENSG00000008018,ENSG00000101182,ENSG00000175166,ENSG00000143106,ENSG00000136930,ENSG00000142507,ENSG00000126067,ENSG00000159352,ENSG00000159377,ENSG00000115233,ENSG00000101843","PSME2,PSMD6,PSMD9,PSMA4,PSMD11,PSMB3,PSMF1,OAZ1,PSMA3,PSMC2,PSMC5,PSMA2,PSMA2,PSME1,PSMD8,OAZ2,PSMC3,PSMC1,PSME3,PSMD13,PSMA6,PSMD1,PSMB5,AZIN1,PSMA1,PSMC6,PSMB1,PSMA7,PSMD2,PSMA5,PSMB7,PSMB6,PSMB2,PSMD4,PSMB4,PSMD14,PSMD10",biological_process,regulation of cellular amino acid metabolic process,38,37,66,19.441744179,13.3040171249
GO:0000082,"ENSG00000164815,ENSG00000170315,ENSG00000100911,ENSG00000163636,ENSG00000110801,ENSG00000041357,ENSG00000108671,ENSG00000108294,ENSG00000125818,ENSG00000100567,ENSG00000097046,ENSG00000161057,ENSG00000134480,ENSG00000134058,ENSG00000020426,ENSG00000106588,ENSG00000256646,ENSG00000099341,ENSG00000221983,ENSG00000092010,ENSG00000165916,ENSG00000117748,ENSG00000115947,ENSG00000100764,ENSG00000131467,ENSG00000185627,ENSG00000100902,ENSG00000173692,ENSG00000100804,ENSG00000129084,ENSG00000100519,ENSG00000008018,ENSG00000101182,ENSG00000143947,ENSG00000175166,ENSG00000143106,ENSG00000136930,ENSG00000151247,ENSG00000142507,ENSG00000126067,ENSG00000087191,ENSG00000119414,ENSG00000159352,ENSG00000159377,ENSG00000115233,ENSG00000101843,ENSG00000135336","ORC5,UBB,PSME2,PSMD6,PSMD9,PSMA4,PSMD11,PSMB3,PSMF1,PSMA3,CDC7,PSMC2,CCNH,CDK7,MNAT1,PSMA2,PSMA2,PSMD8,UBA52,PSME1,PSMC3,RPA2,ORC4,PSMC1,PSME3,PSMD13,PSMA6,PSMD1,PSMB5,PSMA1,PSMC6,PSMB1,PSMA7,RPS27A,PSMD2,PSMA5,PSMB7,EIF4E,PSMB6,PSMB2,PSMC5,PPP6C,PSMD4,PSMB4,PSMD14,PSMD10,ORC3",biological_process,G1/S transition of mitotic cell cycle,50,47,169,19.2234983751,13.085771321
GO:0031145,"ENSG00000170315,ENSG00000100911,ENSG00000163636,ENSG00000110801,ENSG00000041357,ENSG00000108671,ENSG00000108294,ENSG00000176386,ENSG00000125818,ENSG00000100567,ENSG00000159377,ENSG00000161057,ENSG00000154473,ENSG00000087191,ENSG00000106588,ENSG00000256646,ENSG00000099341,ENSG00000221983,ENSG00000092010,ENSG00000165916,ENSG00000100764,ENSG00000159352,ENSG00000131467,ENSG00000185627,ENSG00000100902,ENSG00000173692,ENSG00000100804,ENSG00000129084,ENSG00000100519,ENSG00000008018,ENSG00000101182,ENSG00000143947,ENSG00000175166,ENSG00000143106,ENSG00000136930,ENSG00000094880,ENSG00000142507,ENSG00000126067,ENSG00000089053,ENSG00000141552,ENSG00000115233,ENSG00000101843","UBB,PSME2,PSMD6,PSMD9,PSMA4,PSMD11,PSMB3,CDC26,PSMF1,PSMA3,PSMB4,PSMC2,BUB3,PSMC5,PSMA2,PSMA2,PSMD8,UBA52,PSME1,PSMC3,PSMC1,PSMD4,PSME3,PSMD13,PSMA6,PSMD1,PSMB5,PSMA1,PSMC6,PSMB1,PSMA7,RPS27A,PSMD2,PSMA5,PSMB7,CDC23,PSMB6,PSMB2,ANAPC5,ANAPC11,PSMD14,PSMD10",biological_process,anaphase-promoting complex-dependent proteasomal ubiquitin-dependent protein catabolic process,44,42,95,19.1005583607,12.9628313066
GO:0051439,"ENSG00000170315,ENSG00000100911,ENSG00000163636,ENSG00000110801,ENSG00000041357,ENSG00000108671,ENSG00000108294,ENSG00000176386,ENSG00000125818,ENSG00000100567,ENSG00000159377,ENSG00000161057,ENSG00000154473,ENSG00000087191,ENSG00000106588,ENSG00000256646,ENSG00000099341,ENSG00000221983,ENSG00000092010,ENSG00000165916,ENSG00000100764,ENSG00000159352,ENSG00000131467,ENSG00000185627,ENSG00000100902,ENSG00000173692,ENSG00000100804,ENSG00000129084,ENSG00000100519,ENSG00000008018,ENSG00000101182,ENSG00000143947,ENSG00000175166,ENSG00000143106,ENSG00000136930,ENSG00000094880,ENSG00000142507,ENSG00000126067,ENSG00000089053,ENSG00000141552,ENSG00000115233,ENSG00000101843","UBB,PSME2,PSMD6,PSMD9,PSMA4,PSMD11,PSMB3,CDC26,PSMF1,PSMA3,PSMB4,PSMC2,BUB3,PSMC5,PSMA2,PSMA2,PSMD8,UBA52,PSME1,PSMC3,PSMC1,PSMD4,PSME3,PSMD13,PSMA6,PSMD1,PSMB5,PSMA1,PSMC6,PSMB1,PSMA7,RPS27A,PSMD2,PSMA5,PSMB7,CDC23,PSMB6,PSMB2,ANAPC5,ANAPC11,PSMD14,PSMD10",biological_process,regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle,44,42,90,19.1005583607,12.9628313066
GO:0043066,"ENSG00000113328,ENSG00000133112,ENSG00000160049,ENSG00000167815,ENSG00000243678,ENSG00000164305,ENSG00000165672,ENSG00000113161,ENSG00000215301,ENSG00000079246,ENSG00000196591,ENSG00000095002,ENSG00000149089,ENSG00000102265,ENSG00000020426,ENSG00000004487,ENSG00000146247,ENSG00000134248,ENSG00000172113,ENSG00000089289,ENSG00000131238,ENSG00000147649,ENSG00000011052,ENSG00000144381,ENSG00000171720,ENSG00000106052,ENSG00000100644,ENSG00000044115,ENSG00000092140,ENSG00000159140,ENSG00000166333,ENSG00000085231,ENSG00000170242,ENSG00000134982,ENSG00000138376,ENSG00000084207,ENSG00000113013,ENSG00000213722,ENSG00000164924,ENSG00000070501,ENSG00000135541,ENSG00000129562,ENSG00000181163,ENSG00000119048,ENSG00000181061,ENSG00000126432,ENSG00000166598,ENSG00000164111,ENSG00000153774,ENSG00000097033,ENSG00000176171,ENSG00000082701,ENSG00000070669,ENSG00000114125,ENSG00000114209,ENSG00000172757,ENSG00000101843,ENSG00000005194","CCNG1,TPT1,DFFA,PRDX2,NME1-NME2,CASP3,PRDX3,HMGCR,DDX3X,XRCC5,HDAC2,MSH2,APIP,TIMP1,MNAT1,KDM1A,PHIP,LAMTOR5,NME6,IGBP1,PPT1,MTDH,NME2,HSPD1,HDAC3,TAX1BP1,HIF1A,CTNNA1,G2E3,SON,ILK,TAF9,USP47,APC,BARD1,GSTP1,HSPA9,DDAH2,YWHAZ,POLB,AHI1,DAD1,NPM1,UBE2B,HIGD1A,PRDX5,HSP90B1,ANXA5,CFDP1,SH3GLB1,BNIP3,GSK3B,ASNS,RNF7,PDCD10,CFL1,PSMD10,CIAPIN1",biological_process,negative regulation of apoptotic process,64,58,540,18.8008661476,12.6631390936
GO:0051437,"ENSG00000170315,ENSG00000100911,ENSG00000163636,ENSG00000110801,ENSG00000041357,ENSG00000108671,ENSG00000108294,ENSG00000176386,ENSG00000125818,ENSG00000100567,ENSG00000159377,ENSG00000161057,ENSG00000087191,ENSG00000106588,ENSG00000256646,ENSG00000099341,ENSG00000221983,ENSG00000092010,ENSG00000165916,ENSG00000100764,ENSG00000159352,ENSG00000131467,ENSG00000185627,ENSG00000100902,ENSG00000173692,ENSG00000100804,ENSG00000129084,ENSG00000100519,ENSG00000008018,ENSG00000101182,ENSG00000143947,ENSG00000175166,ENSG00000143106,ENSG00000136930,ENSG00000094880,ENSG00000142507,ENSG00000126067,ENSG00000089053,ENSG00000141552,ENSG00000115233,ENSG00000101843","UBB,PSME2,PSMD6,PSMD9,PSMA4,PSMD11,PSMB3,CDC26,PSMF1,PSMA3,PSMB4,PSMC2,PSMC5,PSMA2,PSMA2,PSMD8,UBA52,PSME1,PSMC3,PSMC1,PSMD4,PSME3,PSMD13,PSMA6,PSMD1,PSMB5,PSMA1,PSMC6,PSMB1,PSMA7,RPS27A,PSMD2,PSMA5,PSMB7,CDC23,PSMB6,PSMB2,ANAPC5,ANAPC11,PSMD14,PSMD10",biological_process,positive regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle,43,41,86,18.6101768611,12.472449807
GO:0000209,"ENSG00000131467,ENSG00000170315,ENSG00000094631,ENSG00000100911,ENSG00000163636,ENSG00000110801,ENSG00000041357,ENSG00000108671,ENSG00000108294,ENSG00000125818,ENSG00000086758,ENSG00000185651,ENSG00000100567,ENSG00000198919,ENSG00000161057,ENSG00000087191,ENSG00000106588,ENSG00000256646,ENSG00000099341,ENSG00000221983,ENSG00000092010,ENSG00000165916,ENSG00000169139,ENSG00000244687,ENSG00000100764,ENSG00000077721,ENSG00000092140,ENSG00000185627,ENSG00000100902,ENSG00000173692,ENSG00000100804,ENSG00000160753,ENSG00000172687,ENSG00000100519,ENSG00000119048,ENSG00000008018,ENSG00000101182,ENSG00000143947,ENSG00000175166,ENSG00000143106,ENSG00000136930,ENSG00000142507,ENSG00000129084,ENSG00000126067,ENSG00000159352,ENSG00000159377,ENSG00000115233,ENSG00000101843","PSME3,UBB,HDAC6,PSME2,PSMD6,PSMD9,PSMA4,PSMD11,PSMB3,PSMF1,HUWE1,UBE2L3,PSMA3,DZIP3,PSMC2,PSMC5,PSMA2,PSMA2,PSMD8,UBA52,PSME1,PSMC3,UBE2V2,UBE2V1,PSMC1,UBE2A,G2E3,PSMD13,PSMA6,PSMD1,PSMB5,RUSC1,ZNF738,PSMC6,UBE2B,PSMB1,PSMA7,RPS27A,PSMD2,PSMA5,PSMB7,PSMB6,PSMA1,PSMB2,PSMD4,PSMB4,PSMD14,PSMD10",biological_process,protein polyubiquitination,52,48,132,17.727073833,11.5893467789
GO:0006357,"ENSG00000204256,ENSG00000160199,ENSG00000111642,ENSG00000175792,ENSG00000112983,ENSG00000160563,ENSG00000124795,ENSG00000255526,ENSG00000196235,ENSG00000150459,ENSG00000111596,ENSG00000004487,ENSG00000196233,ENSG00000073584,ENSG00000020426,ENSG00000099956,ENSG00000100603,ENSG00000173473,ENSG00000152944,ENSG00000159479,ENSG00000173575,ENSG00000067560,ENSG00000141027,ENSG00000146109,ENSG00000115966,ENSG00000179222,ENSG00000133997,ENSG00000108518,ENSG00000113387,ENSG00000154582,ENSG00000153147,ENSG00000129559,ENSG00000164754,ENSG00000128272,ENSG00000187735,ENSG00000136146,ENSG00000102241,ENSG00000189403,ENSG00000139613","BRD2,PKNOX1,CHD4,RUVBL1,BRD8,MED27,DEK,NEDD8-MDP1,SUPT5H,SAP18,CNOT2,KDM1A,LCOR,SMARCE1,MNAT1,SMARCB1,SNW1,SMARCC1,MED21,MED8,CHD2,RHOA,NCOR1,ABT1,ATF2,MAGED1,MED6,PFN1,SUB1,TCEB1,SMARCA5,NEDD8,RAD21,ATF4,TCEA1,MED4,HTATSF1,HMGB1,SMARCC2",biological_process,regulation of transcription from RNA polymerase II promoter,41,39,327,17.6310865291,11.493359475
GO:0008150,"ENSG00000048544,ENSG00000132305,ENSG00000168000,ENSG00000135900,ENSG00000141076,ENSG00000109046,ENSG00000133983,ENSG00000121741,ENSG00000120699,ENSG00000068400,ENSG00000118418,ENSG00000214265,ENSG00000138698,ENSG00000138381,ENSG00000129625,ENSG00000115514,ENSG00000139684,ENSG00000156411,ENSG00000213337,ENSG00000128595,ENSG00000062582,ENSG00000102390,ENSG00000115685,ENSG00000186566,ENSG00000266967,ENSG00000022277,ENSG00000173436,ENSG00000154719,ENSG00000112308,ENSG00000198258,ENSG00000122203,ENSG00000134697,ENSG00000054267,ENSG00000105058,ENSG00000114021,ENSG00000106460,ENSG00000213593,ENSG00000006715,ENSG00000136522,ENSG00000163463,ENSG00000166797,ENSG00000071462,ENSG00000086666,ENSG00000110696,ENSG00000162384,ENSG00000043093,ENSG00000149806,ENSG00000163170,ENSG00000139697,ENSG00000124593,ENSG00000124380,ENSG00000133935,ENSG00000153774,ENSG00000156253,ENSG00000134291,ENSG00000108825,ENSG00000137726,ENSG00000109184,ENSG00000125037,ENSG00000140264,ENSG00000137720,ENSG00000127603","MRPS10,IMMT,BSCL2,MRPL44,CIRH1A,WSB1,COX16,ZMYM2,EXOSC8,GRIPAP1,HMGN3,SNURF,RAP1GDS1,ASNSD1,REEP5,TXNDC9,ESD,C14orf2,ANKRD39,CALU,MRPS24,PBDC1,PPP1R7,GPATCH8,AARSD1,RTFDC1,MINOS1,MRPL39,C6orf62,UBL5,KIAA1191,GNL2,ARID4B,FAM32A,NIT2,TMEM106B,TMX2,VPS41,MRPL47,KRTCAP2,FAM96A,WBSCR22,ZFAND6,C11orf58,C1orf123,DCUN1D1,FAU,BOLA3,SBNO1,PRICKLE4,SNRNP27,C14orf1,CFDP1,RWDD2B,TMEM106C,PTGES3L-AARSD1,FXYD6,DCUN1D4,EMC3,SERF2,C11orf1,MACF1",biological_process,biological_process,70,62,749,17.5773525578,11.4396255037
GO:0045892,"ENSG00000094631,ENSG00000197323,ENSG00000117139,ENSG00000166200,ENSG00000186010,ENSG00000048649,ENSG00000105993,ENSG00000123349,ENSG00000167085,ENSG00000074800,ENSG00000079246,ENSG00000108468,ENSG00000196591,ENSG00000129515,ENSG00000004487,ENSG00000196419,ENSG00000087191,ENSG00000134308,ENSG00000160310,ENSG00000181090,ENSG00000100603,ENSG00000073584,ENSG00000074319,ENSG00000130816,ENSG00000171720,ENSG00000101158,ENSG00000116030,ENSG00000094916,ENSG00000120798,ENSG00000109971,ENSG00000111653,ENSG00000141027,ENSG00000170242,ENSG00000108788,ENSG00000170515,ENSG00000164885,ENSG00000065978,ENSG00000138433,ENSG00000144744,ENSG00000179222,ENSG00000029363,ENSG00000082701,ENSG00000129351,ENSG00000168214,ENSG00000100320,ENSG00000122565,ENSG00000139613","HDAC6,TRIM33,KDM5B,COPS2,NDUFA13,RSF1,DNAJB6,PFDN5,PHB,ENO1,XRCC5,CBX1,HDAC2,SNX6,KDM1A,XRCC6,PSMC5,YWHAQ,PRMT2,EHMT1,SNW1,SMARCE1,TSG101,DNMT1,HDAC3,NELFCD,SUMO1,CBX5,NR2C1,HSPA8,ING4,NCOR1,USP47,MLX,PA2G4,CDK5,YBX1,CIR1,UBA3,MAGED1,BCLAF1,GSK3B,ILF3,RBPJ,RBFOX2,CBX3,SMARCC2",biological_process,"negative regulation of transcription, DNA-dependent",51,47,496,17.2718768869,11.1341498328
