,Splicing Gene,phenotype,Expression Gene,Pearson R,event_id,modality,gene_name,Correlation Direction,gene_type
157543,PKM,MN,ENSG00000006327,-0.520701325449,exon:chr15:72499069-72499221:-@exon:chr15:72495363-72495529:-@exon:chr15:72494795-72494961:-@exon:chr15:72492815-72492996:-,bimodal,TNFRSF12A,(-) Negative,protein_coding
157555,PKM,MN,ENSG00000006625,-0.527317207888,exon:chr15:72499069-72499221:-@exon:chr15:72495363-72495529:-@exon:chr15:72494795-72494961:-@exon:chr15:72492815-72492996:-,bimodal,GGCT,(-) Negative,protein_coding
157602,PKM,MN,ENSG00000008394,-0.524712233721,exon:chr15:72499069-72499221:-@exon:chr15:72495363-72495529:-@exon:chr15:72494795-72494961:-@exon:chr15:72492815-72492996:-,bimodal,MGST1,(-) Negative,protein_coding
157654,PKM,MN,ENSG00000011304,-0.547096330668,exon:chr15:72499069-72499221:-@exon:chr15:72495363-72495529:-@exon:chr15:72494795-72494961:-@exon:chr15:72492815-72492996:-,bimodal,PTBP1,(-) Negative,protein_coding
157658,PKM,MN,ENSG00000011426,-0.519070074425,exon:chr15:72499069-72499221:-@exon:chr15:72495363-72495529:-@exon:chr15:72494795-72494961:-@exon:chr15:72492815-72492996:-,bimodal,ANLN,(-) Negative,protein_coding
157719,PKM,MN,ENSG00000018408,-0.504249066037,exon:chr15:72499069-72499221:-@exon:chr15:72495363-72495529:-@exon:chr15:72494795-72494961:-@exon:chr15:72492815-72492996:-,bimodal,WWTR1,(-) Negative,protein_coding
157840,PKM,MN,ENSG00000037757,0.502979443674,exon:chr15:72499069-72499221:-@exon:chr15:72495363-72495529:-@exon:chr15:72494795-72494961:-@exon:chr15:72492815-72492996:-,bimodal,MRI1,(+) Positive,protein_coding
157883,PKM,MN,ENSG00000046604,-0.570422859002,exon:chr15:72499069-72499221:-@exon:chr15:72495363-72495529:-@exon:chr15:72494795-72494961:-@exon:chr15:72492815-72492996:-,bimodal,DSG2,(-) Negative,protein_coding
157972,PKM,MN,ENSG00000054523,0.572061369637,exon:chr15:72499069-72499221:-@exon:chr15:72495363-72495529:-@exon:chr15:72494795-72494961:-@exon:chr15:72492815-72492996:-,bimodal,KIF1B,(+) Positive,protein_coding
157980,PKM,MN,ENSG00000055070,-0.569109503765,exon:chr15:72499069-72499221:-@exon:chr15:72495363-72495529:-@exon:chr15:72494795-72494961:-@exon:chr15:72492815-72492996:-,bimodal,SZRD1,(-) Negative,protein_coding
158108,PKM,MN,ENSG00000065357,0.540553894422,exon:chr15:72499069-72499221:-@exon:chr15:72495363-72495529:-@exon:chr15:72494795-72494961:-@exon:chr15:72492815-72492996:-,bimodal,DGKA,(+) Positive,protein_coding
158236,PKM,MN,ENSG00000069998,-0.51363049038,exon:chr15:72499069-72499221:-@exon:chr15:72495363-72495529:-@exon:chr15:72494795-72494961:-@exon:chr15:72492815-72492996:-,bimodal,CECR5,(-) Negative,protein_coding
158264,PKM,MN,ENSG00000070814,-0.55553744307,exon:chr15:72499069-72499221:-@exon:chr15:72495363-72495529:-@exon:chr15:72494795-72494961:-@exon:chr15:72492815-72492996:-,bimodal,TCOF1,(-) Negative,protein_coding
158280,PKM,MN,ENSG00000071462,-0.624004905762,exon:chr15:72499069-72499221:-@exon:chr15:72495363-72495529:-@exon:chr15:72494795-72494961:-@exon:chr15:72492815-72492996:-,bimodal,WBSCR22,(-) Negative,protein_coding
158307,PKM,MN,ENSG00000072415,-0.503531588021,exon:chr15:72499069-72499221:-@exon:chr15:72495363-72495529:-@exon:chr15:72494795-72494961:-@exon:chr15:72492815-72492996:-,bimodal,MPP5,(-) Negative,protein_coding
158351,PKM,MN,ENSG00000074181,-0.505568751804,exon:chr15:72499069-72499221:-@exon:chr15:72495363-72495529:-@exon:chr15:72494795-72494961:-@exon:chr15:72492815-72492996:-,bimodal,NOTCH3,(-) Negative,protein_coding
