,Splicing Gene,phenotype,Expression Gene,Pearson R,event_id,modality,gene_name,Correlation Direction
57278,DYNC1I2,iPSC,ENSG00000003147,-0.639471857574,exon:chr2:172563743-172563887:+@exon:chr2:172569277-172569336:+@exon:chr2:172571838-172571878:+,bimodal,ICA1,(-) Negative
57288,DYNC1I2,iPSC,ENSG00000004059,-0.513720082516,exon:chr2:172563743-172563887:+@exon:chr2:172569277-172569336:+@exon:chr2:172571838-172571878:+,bimodal,ARF5,(-) Negative
57350,DYNC1I2,iPSC,ENSG00000006468,-0.532026501156,exon:chr2:172563743-172563887:+@exon:chr2:172569277-172569336:+@exon:chr2:172571838-172571878:+,bimodal,ETV1,(-) Negative
57357,DYNC1I2,iPSC,ENSG00000006625,-0.701830715807,exon:chr2:172563743-172563887:+@exon:chr2:172569277-172569336:+@exon:chr2:172571838-172571878:+,bimodal,GGCT,(-) Negative
57358,DYNC1I2,iPSC,ENSG00000006634,-0.565843056339,exon:chr2:172563743-172563887:+@exon:chr2:172569277-172569336:+@exon:chr2:172571838-172571878:+,bimodal,DBF4,(-) Negative
57364,DYNC1I2,iPSC,ENSG00000006715,-0.530802228198,exon:chr2:172563743-172563887:+@exon:chr2:172569277-172569336:+@exon:chr2:172571838-172571878:+,bimodal,VPS41,(-) Negative
57411,DYNC1I2,iPSC,ENSG00000008952,0.551171930297,exon:chr2:172563743-172563887:+@exon:chr2:172569277-172569336:+@exon:chr2:172571838-172571878:+,bimodal,SEC62,(+) Positive
57429,DYNC1I2,iPSC,ENSG00000010278,-0.55410695805,exon:chr2:172563743-172563887:+@exon:chr2:172569277-172569336:+@exon:chr2:172571838-172571878:+,bimodal,CD9,(-) Negative
57442,DYNC1I2,iPSC,ENSG00000011007,-0.517331592181,exon:chr2:172563743-172563887:+@exon:chr2:172569277-172569336:+@exon:chr2:172571838-172571878:+,bimodal,TCEB3,(-) Negative
57465,DYNC1I2,iPSC,ENSG00000011485,-0.512562763378,exon:chr2:172563743-172563887:+@exon:chr2:172569277-172569336:+@exon:chr2:172571838-172571878:+,bimodal,PPP5C,(-) Negative
57607,DYNC1I2,iPSC,ENSG00000033050,-0.558392197015,exon:chr2:172563743-172563887:+@exon:chr2:172569277-172569336:+@exon:chr2:172571838-172571878:+,bimodal,ABCF2,(-) Negative
57671,DYNC1I2,iPSC,ENSG00000042286,0.658823112352,exon:chr2:172563743-172563887:+@exon:chr2:172569277-172569336:+@exon:chr2:172571838-172571878:+,bimodal,AIFM2,(+) Positive
57679,DYNC1I2,iPSC,ENSG00000043514,0.571832243178,exon:chr2:172563743-172563887:+@exon:chr2:172569277-172569336:+@exon:chr2:172571838-172571878:+,bimodal,TRIT1,(+) Positive
57685,DYNC1I2,iPSC,ENSG00000046604,-0.534480649053,exon:chr2:172563743-172563887:+@exon:chr2:172569277-172569336:+@exon:chr2:172571838-172571878:+,bimodal,DSG2,(-) Negative
57707,DYNC1I2,iPSC,ENSG00000048140,0.505515008302,exon:chr2:172563743-172563887:+@exon:chr2:172569277-172569336:+@exon:chr2:172571838-172571878:+,bimodal,TSPAN17,(+) Positive
57709,DYNC1I2,iPSC,ENSG00000048342,0.575237677232,exon:chr2:172563743-172563887:+@exon:chr2:172569277-172569336:+@exon:chr2:172571838-172571878:+,bimodal,CC2D2A,(+) Positive
