,features_of_interest_in_go_term,features_of_interest_in_go_term_gene_symbols,go_domain,go_name,n_background_in_go_term,n_features_of_interest_in_go_term,n_features_total_in_go_term,negative_log_p_value,bonferonni_corrected_negative_log_p_value,modality,phenotype
GO:0006281,"ENSG00000100387,ENSG00000123562,ENSG00000092201,ENSG00000104517,ENSG00000147140,ENSG00000079246,ENSG00000148153,ENSG00000109332,ENSG00000187778,ENSG00000187735,ENSG00000221983,ENSG00000100142,ENSG00000143748,ENSG00000116030,ENSG00000076242,ENSG00000108384,ENSG00000129197,ENSG00000119048,ENSG00000139372,ENSG00000169189,ENSG00000168002,ENSG00000103194,ENSG00000248643","RBX1,MORF4L2,SUPT16H,UBR5,NONO,XRCC5,INIP,UBE2D3,MCRS1,TCEA1,UBA52,POLR2F,NVL,SUMO1,MLH1,RAD51C,RPAIN,UBE2B,TDG,NSMCE1,POLR2G,USP10,RBM14-RBM4",biological_process,DNA repair,28,23,341,19.0440844745,13.7113656813,excluded,MN
GO:0006457,"ENSG00000126698,ENSG00000168259,ENSG00000166598,ENSG00000101132,ENSG00000135624,ENSG00000086061,ENSG00000196262,ENSG00000120438,ENSG00000167552,ENSG00000123349,ENSG00000127022,ENSG00000156261,ENSG00000100442,ENSG00000163468,ENSG00000170946,ENSG00000171530,ENSG00000075624","DNAJC8,DNAJC7,HSP90B1,PFDN4,CCT7,DNAJA1,PPIA,TCP1,TUBA1A,PFDN5,CANX,CCT8,FKBP3,CCT3,DNAJC24,TBCA,ACTB",biological_process,protein folding,19,17,210,18.0261145179,12.6933957246,excluded,MN
GO:0016567,"ENSG00000100387,ENSG00000110429,ENSG00000136536,ENSG00000198961,ENSG00000092148,ENSG00000109046,ENSG00000169189,ENSG00000113558,ENSG00000135108,ENSG00000169139,ENSG00000141552,ENSG00000119048,ENSG00000121067,ENSG00000109332","RBX1,FBXO3,MARCH7,PJA2,HECTD1,WSB1,NSMCE1,SKP1,FBXO21,UBE2V2,ANAPC11,UBE2B,SPOP,UBE2D3",biological_process,protein ubiquitination,15,14,308,17.1645066781,11.8317878848,excluded,MN
GO:0034641,"ENSG00000198130,ENSG00000163636,ENSG00000075239,ENSG00000100804,ENSG00000106588,ENSG00000256646,ENSG00000065154,ENSG00000008311,ENSG00000108294,ENSG00000129596,ENSG00000135821,ENSG00000130066,ENSG00000129084,ENSG00000197170","HIBCH,PSMD6,ACAT1,PSMB5,PSMA2,PSMA2,OAT,AASS,PSMB3,CDO1,GLUL,SAT1,PSMA1,PSMD12",biological_process,cellular nitrogen compound metabolic process,15,14,214,17.1645066781,11.8317878848,excluded,MN
GO:0000082,"ENSG00000113558,ENSG00000256646,ENSG00000163636,ENSG00000100804,ENSG00000151247,ENSG00000106588,ENSG00000221983,ENSG00000108294,ENSG00000129084,ENSG00000119414,ENSG00000115947,ENSG00000150093,ENSG00000197170,ENSG00000135336","SKP1,PSMA2,PSMD6,PSMB5,EIF4E,PSMA2,UBA52,PSMB3,PSMA1,PPP6C,ORC4,ITGB1,PSMD12,ORC3",biological_process,G1/S transition of mitotic cell cycle,15,14,169,17.1645066781,11.8317878848,excluded,MN
GO:0000122,"ENSG00000108654,ENSG00000141002,ENSG00000139372,ENSG00000196591,ENSG00000197372,ENSG00000113649,ENSG00000120798,ENSG00000221983,ENSG00000140382,ENSG00000168214,ENSG00000167085,ENSG00000168734,ENSG00000130816,ENSG00000033800,ENSG00000189403,ENSG00000109332","DDX5,TCF25,TDG,HDAC2,ZNF675,TCERG1,NR2C1,UBA52,HMG20A,RBPJ,PHB,PKIG,DNMT1,PIAS1,HMGB1,UBE2D3",biological_process,negative regulation of transcription from RNA polymerase II promoter,18,16,571,16.9285145713,11.595795778,excluded,MN
GO:0006511,"ENSG00000066427,ENSG00000113558,ENSG00000104517,ENSG00000103194,ENSG00000256646,ENSG00000119048,ENSG00000154582,ENSG00000129559,ENSG00000135108,ENSG00000089053,ENSG00000129084,ENSG00000118939,ENSG00000138592,ENSG00000256206,ENSG00000106588,ENSG00000109332","ATXN3,SKP1,UBR5,USP10,PSMA2,UBE2B,TCEB1,NEDD8,FBXO21,ANAPC5,PSMA1,UCHL3,USP8,PSMA1,PSMA2,UBE2D3",biological_process,ubiquitin-dependent protein catabolic process,18,16,196,16.9285145713,11.595795778,excluded,MN
GO:0045893,"ENSG00000120533,ENSG00000120837,ENSG00000179222,ENSG00000033800,ENSG00000005483,ENSG00000187735,ENSG00000244687,ENSG00000108064,ENSG00000125651,ENSG00000157450,ENSG00000196591,ENSG00000108654,ENSG00000167085,ENSG00000138668,ENSG00000172660,ENSG00000102038,ENSG00000128245,ENSG00000054118,ENSG00000163104","ENY2,NFYB,MAGED1,PIAS1,KMT2E,TCEA1,UBE2V1,TFAM,GTF2F1,RNF111,HDAC2,DDX5,PHB,HNRNPD,TAF15,SMARCA1,YWHAH,THRAP3,SMARCAD1",biological_process,"positive regulation of transcription, DNA-dependent",23,19,573,16.5108245501,11.1781057568,excluded,MN
GO:0006396,"ENSG00000131051,ENSG00000102317,ENSG00000148843,ENSG00000173933,ENSG00000163660,ENSG00000248643,ENSG00000060688,ENSG00000108651,ENSG00000138668,ENSG00000084463,ENSG00000064607,ENSG00000004534,ENSG00000176102","RBM39,RBM3,PDCD11,RBM4,CCNL1,RBM14-RBM4,SNRNP40,UTP6,HNRNPD,WBP11,SUGP2,RBM6,CSTF3",biological_process,RNA processing,14,13,97,16.015793387,10.6830745938,excluded,MN
GO:0006357,"ENSG00000111596,ENSG00000106245,ENSG00000067560,ENSG00000108946,ENSG00000187735,ENSG00000154582,ENSG00000113387,ENSG00000073584,ENSG00000115966,ENSG00000129559,ENSG00000112983,ENSG00000124795,ENSG00000255526,ENSG00000189403,ENSG00000179222","CNOT2,BUD31,RHOA,PRKAR1A,TCEA1,TCEB1,SUB1,SMARCE1,ATF2,NEDD8,BRD8,DEK,NEDD8-MDP1,HMGB1,MAGED1",biological_process,regulation of transcription from RNA polymerase II promoter,17,15,327,15.8344859699,10.5017671766,excluded,MN
