,Splicing Gene,phenotype,Expression Gene,Pearson R,event_id,modality,gene_name,Correlation Direction,gene_type
57278,DYNC1I2,iPSC,ENSG00000003147,-0.639471857574,exon:chr2:172563743-172563887:+@exon:chr2:172569277-172569336:+@exon:chr2:172571838-172571878:+,bimodal,ICA1,(-) Negative,protein_coding
57288,DYNC1I2,iPSC,ENSG00000004059,-0.513720082516,exon:chr2:172563743-172563887:+@exon:chr2:172569277-172569336:+@exon:chr2:172571838-172571878:+,bimodal,ARF5,(-) Negative,protein_coding
57350,DYNC1I2,iPSC,ENSG00000006468,-0.532026501156,exon:chr2:172563743-172563887:+@exon:chr2:172569277-172569336:+@exon:chr2:172571838-172571878:+,bimodal,ETV1,(-) Negative,protein_coding
57357,DYNC1I2,iPSC,ENSG00000006625,-0.701830715807,exon:chr2:172563743-172563887:+@exon:chr2:172569277-172569336:+@exon:chr2:172571838-172571878:+,bimodal,GGCT,(-) Negative,protein_coding
57358,DYNC1I2,iPSC,ENSG00000006634,-0.565843056339,exon:chr2:172563743-172563887:+@exon:chr2:172569277-172569336:+@exon:chr2:172571838-172571878:+,bimodal,DBF4,(-) Negative,protein_coding
57364,DYNC1I2,iPSC,ENSG00000006715,-0.530802228198,exon:chr2:172563743-172563887:+@exon:chr2:172569277-172569336:+@exon:chr2:172571838-172571878:+,bimodal,VPS41,(-) Negative,protein_coding
57411,DYNC1I2,iPSC,ENSG00000008952,0.551171930297,exon:chr2:172563743-172563887:+@exon:chr2:172569277-172569336:+@exon:chr2:172571838-172571878:+,bimodal,SEC62,(+) Positive,protein_coding
57429,DYNC1I2,iPSC,ENSG00000010278,-0.55410695805,exon:chr2:172563743-172563887:+@exon:chr2:172569277-172569336:+@exon:chr2:172571838-172571878:+,bimodal,CD9,(-) Negative,protein_coding
57442,DYNC1I2,iPSC,ENSG00000011007,-0.517331592181,exon:chr2:172563743-172563887:+@exon:chr2:172569277-172569336:+@exon:chr2:172571838-172571878:+,bimodal,TCEB3,(-) Negative,protein_coding
57465,DYNC1I2,iPSC,ENSG00000011485,-0.512562763378,exon:chr2:172563743-172563887:+@exon:chr2:172569277-172569336:+@exon:chr2:172571838-172571878:+,bimodal,PPP5C,(-) Negative,protein_coding
57607,DYNC1I2,iPSC,ENSG00000033050,-0.558392197015,exon:chr2:172563743-172563887:+@exon:chr2:172569277-172569336:+@exon:chr2:172571838-172571878:+,bimodal,ABCF2,(-) Negative,protein_coding
57671,DYNC1I2,iPSC,ENSG00000042286,0.658823112352,exon:chr2:172563743-172563887:+@exon:chr2:172569277-172569336:+@exon:chr2:172571838-172571878:+,bimodal,AIFM2,(+) Positive,protein_coding
57679,DYNC1I2,iPSC,ENSG00000043514,0.571832243178,exon:chr2:172563743-172563887:+@exon:chr2:172569277-172569336:+@exon:chr2:172571838-172571878:+,bimodal,TRIT1,(+) Positive,protein_coding
57685,DYNC1I2,iPSC,ENSG00000046604,-0.534480649053,exon:chr2:172563743-172563887:+@exon:chr2:172569277-172569336:+@exon:chr2:172571838-172571878:+,bimodal,DSG2,(-) Negative,protein_coding
