,Splicing Gene,phenotype,Expression Gene,Pearson R,event_id,modality,gene_name,Correlation Direction,gene_type
229422,SUGT1,NPC,ENSG00000039523,0.592836266806,exon:chr13:53233314-53233384:+@exon:chr13:53235610-53235705:+@exon:chr13:53236784-53236837:+,bimodal,FAM65A,(+) Positive,protein_coding
229534,SUGT1,NPC,ENSG00000053770,-0.521839756928,exon:chr13:53233314-53233384:+@exon:chr13:53235610-53235705:+@exon:chr13:53236784-53236837:+,bimodal,AP5M1,(-) Negative,protein_coding
229697,SUGT1,NPC,ENSG00000065882,0.60323154097,exon:chr13:53233314-53233384:+@exon:chr13:53235610-53235705:+@exon:chr13:53236784-53236837:+,bimodal,TBC1D1,(+) Positive,protein_coding
229800,SUGT1,NPC,ENSG00000069849,-0.537992537212,exon:chr13:53233314-53233384:+@exon:chr13:53235610-53235705:+@exon:chr13:53236784-53236837:+,bimodal,ATP1B3,(-) Negative,protein_coding
231479,SUGT1,NPC,ENSG00000108219,-0.712124108479,exon:chr13:53233314-53233384:+@exon:chr13:53235610-53235705:+@exon:chr13:53236784-53236837:+,bimodal,TSPAN14,(-) Negative,protein_coding
231812,SUGT1,NPC,ENSG00000111911,-0.501930014658,exon:chr13:53233314-53233384:+@exon:chr13:53235610-53235705:+@exon:chr13:53236784-53236837:+,bimodal,HINT3,(-) Negative,protein_coding
231868,SUGT1,NPC,ENSG00000112419,-0.569555884987,exon:chr13:53233314-53233384:+@exon:chr13:53235610-53235705:+@exon:chr13:53236784-53236837:+,bimodal,PHACTR2,(-) Negative,protein_coding
232369,SUGT1,NPC,ENSG00000118402,0.541572821227,exon:chr13:53233314-53233384:+@exon:chr13:53235610-53235705:+@exon:chr13:53236784-53236837:+,bimodal,ELOVL4,(+) Positive,protein_coding
232539,SUGT1,NPC,ENSG00000120549,-0.519193578817,exon:chr13:53233314-53233384:+@exon:chr13:53235610-53235705:+@exon:chr13:53236784-53236837:+,bimodal,KIAA1217,(-) Negative,protein_coding
233967,SUGT1,NPC,ENSG00000136682,-0.551893049533,exon:chr13:53233314-53233384:+@exon:chr13:53235610-53235705:+@exon:chr13:53236784-53236837:+,bimodal,CBWD2,(-) Negative,protein_coding
235119,SUGT1,NPC,ENSG00000148516,-0.507194939518,exon:chr13:53233314-53233384:+@exon:chr13:53235610-53235705:+@exon:chr13:53236784-53236837:+,bimodal,ZEB1,(-) Negative,protein_coding
235175,SUGT1,NPC,ENSG00000149313,-0.511070538668,exon:chr13:53233314-53233384:+@exon:chr13:53235610-53235705:+@exon:chr13:53236784-53236837:+,bimodal,AASDHPPT,(-) Negative,protein_coding
235653,SUGT1,NPC,ENSG00000156103,-0.618365818368,exon:chr13:53233314-53233384:+@exon:chr13:53235610-53235705:+@exon:chr13:53236784-53236837:+,bimodal,MMP16,(-) Negative,protein_coding
235724,SUGT1,NPC,ENSG00000157036,-0.545422920359,exon:chr13:53233314-53233384:+@exon:chr13:53235610-53235705:+@exon:chr13:53236784-53236837:+,bimodal,EXOG,(-) Negative,protein_coding
235858,SUGT1,NPC,ENSG00000159063,-0.53096716681,exon:chr13:53233314-53233384:+@exon:chr13:53235610-53235705:+@exon:chr13:53236784-53236837:+,bimodal,ALG8,(-) Negative,protein_coding
236060,SUGT1,NPC,ENSG00000161671,0.557372640389,exon:chr13:53233314-53233384:+@exon:chr13:53235610-53235705:+@exon:chr13:53236784-53236837:+,bimodal,EMC10,(+) Positive,protein_coding
236225,SUGT1,NPC,ENSG00000163162,0.507037452283,exon:chr13:53233314-53233384:+@exon:chr13:53235610-53235705:+@exon:chr13:53236784-53236837:+,bimodal,RNF149,(+) Positive,protein_coding
236251,SUGT1,NPC,ENSG00000163378,0.528353566315,exon:chr13:53233314-53233384:+@exon:chr13:53235610-53235705:+@exon:chr13:53236784-53236837:+,bimodal,EOGT,(+) Positive,protein_coding
236375,SUGT1,NPC,ENSG00000163956,-0.542550196297,exon:chr13:53233314-53233384:+@exon:chr13:53235610-53235705:+@exon:chr13:53236784-53236837:+,bimodal,LRPAP1,(-) Negative,protein_coding
236472,SUGT1,NPC,ENSG00000164366,0.541056925117,exon:chr13:53233314-53233384:+@exon:chr13:53235610-53235705:+@exon:chr13:53236784-53236837:+,bimodal,CCDC127,(+) Positive,protein_coding
236835,SUGT1,NPC,ENSG00000166946,-0.505926631275,exon:chr13:53233314-53233384:+@exon:chr13:53235610-53235705:+@exon:chr13:53236784-53236837:+,bimodal,CCNDBP1,(-) Negative,protein_coding
237187,SUGT1,NPC,ENSG00000169564,-0.504197345285,exon:chr13:53233314-53233384:+@exon:chr13:53235610-53235705:+@exon:chr13:53236784-53236837:+,bimodal,PCBP1,(-) Negative,protein_coding
237379,SUGT1,NPC,ENSG00000171130,0.577519945304,exon:chr13:53233314-53233384:+@exon:chr13:53235610-53235705:+@exon:chr13:53236784-53236837:+,bimodal,ATP6V0E2,(+) Positive,protein_coding
237867,SUGT1,NPC,ENSG00000176105,-0.51492395375,exon:chr13:53233314-53233384:+@exon:chr13:53235610-53235705:+@exon:chr13:53236784-53236837:+,bimodal,YES1,(-) Negative,protein_coding
238888,SUGT1,NPC,ENSG00000187672,0.520028046336,exon:chr13:53233314-53233384:+@exon:chr13:53235610-53235705:+@exon:chr13:53236784-53236837:+,bimodal,ERC2,(+) Positive,protein_coding
