,features_of_interest_in_go_term,features_of_interest_in_go_term_gene_symbols,go_domain,go_name,n_background_in_go_term,n_features_of_interest_in_go_term,n_features_total_in_go_term,negative_log_p_value,bonferonni_corrected_negative_log_p_value,modality,phenotype
GO:0016044,"ENSG00000184432,ENSG00000170315,ENSG00000138674,ENSG00000160948,ENSG00000122218,ENSG00000009844,ENSG00000167996,ENSG00000152700,ENSG00000136738,ENSG00000221983,ENSG00000074319,ENSG00000143761,ENSG00000161203,ENSG00000129083,ENSG00000109971,ENSG00000141367,ENSG00000086065,ENSG00000135441,ENSG00000143947,ENSG00000111481,ENSG00000087086,ENSG00000115355,ENSG00000116906","COPB2,UBB,SEC31A,VPS28,COPA,VTA1,FTH1,SAR1B,STAM,UBA52,TSG101,ARF1,AP2M1,COPB1,HSPA8,CLTC,CHMP5,BLOC1S1,RPS27A,COPZ1,FTL,CCDC88A,GNPAT",biological_process,cellular membrane organization,27,23,100,19.6005785295,13.6091139824,included,NPC
GO:0007283,"ENSG00000118816,ENSG00000076242,ENSG00000028839,ENSG00000075151,ENSG00000108384,ENSG00000204256,ENSG00000121989,ENSG00000086061,ENSG00000112592,ENSG00000116741,ENSG00000005955,ENSG00000175792,ENSG00000147400,ENSG00000116918,ENSG00000101079,ENSG00000108666,ENSG00000166171,ENSG00000119048,ENSG00000088930","CCNI,MLH1,TBPL1,EIF4G3,RAD51C,BRD2,ACVR2A,DNAJA1,TBP,RGS2,GGNBP2,RUVBL1,CETN2,TSNAX,NDRG3,C17orf75,DPCD,UBE2B,XRN2",biological_process,spermatogenesis,21,19,367,19.354144857,13.3626803099,included,NPC
GO:0008284,"ENSG00000169714,ENSG00000198034,ENSG00000102265,ENSG00000146247,ENSG00000166333,ENSG00000077721,ENSG00000254999,ENSG00000113161,ENSG00000005022,ENSG00000257365,ENSG00000114209,ENSG00000187109,ENSG00000165672,ENSG00000134419,ENSG00000151465,ENSG00000170889,ENSG00000097046,ENSG00000196591,ENSG00000069345","CNBP,RPS4X,TIMP1,PHIP,ILK,UBE2A,BRK1,HMGCR,SLC25A5,FNTB,PDCD10,NAP1L1,PRDX3,RPS15A,CDC123,RPS9,CDC7,HDAC2,DNAJA2",biological_process,positive regulation of cell proliferation,21,19,455,19.354144857,13.3626803099,included,NPC
GO:0043065,"ENSG00000179222,ENSG00000003756,ENSG00000160049,ENSG00000071243,ENSG00000253729,ENSG00000111653,ENSG00000184047,ENSG00000176171,ENSG00000029363,ENSG00000204628,ENSG00000134982,ENSG00000094631,ENSG00000144381,ENSG00000215301,ENSG00000171497,ENSG00000167004,ENSG00000101109,ENSG00000189403,ENSG00000137154","MAGED1,RBM5,DFFA,ING3,PRKDC,ING4,DIABLO,BNIP3,BCLAF1,GNB2L1,APC,HDAC6,HSPD1,DDX3X,PPID,PDIA3,STK4,HMGB1,RPS6",biological_process,positive regulation of apoptotic process,21,19,235,19.354144857,13.3626803099,included,NPC
GO:0000288,"ENSG00000080802,ENSG00000075914,ENSG00000204392,ENSG00000198791,ENSG00000151247,ENSG00000123737,ENSG00000120699,ENSG00000114127,ENSG00000077348,ENSG00000156976,ENSG00000171311,ENSG00000110367,ENSG00000111596,ENSG00000170860,ENSG00000172239,ENSG00000070756","CNOT4,EXOSC7,LSM2,CNOT7,EIF4E,EXOSC9,EXOSC8,XRN1,EXOSC5,EIF4A2,EXOSC1,DDX6,CNOT2,LSM3,PAIP1,PABPC1",biological_process,"nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay",17,16,65,18.7103837905,12.7189192434,included,NPC
GO:0000086,"ENSG00000108953,ENSG00000131462,ENSG00000074054,ENSG00000134058,ENSG00000020426,ENSG00000127914,ENSG00000078674,ENSG00000147601,ENSG00000080824,ENSG00000167552,ENSG00000138107,ENSG00000007168,ENSG00000137100,ENSG00000147400,ENSG00000175216,ENSG00000134480,ENSG00000077380,ENSG00000101367,ENSG00000088986,ENSG00000089053","YWHAE,TUBG1,CLASP1,CDK7,MNAT1,AKAP9,PCM1,TERF1,HSP90AA1,TUBA1A,ACTR1A,PAFAH1B1,DCTN3,CETN2,CKAP5,CCNH,DYNC1I2,MAPRE1,DYNLL1,ANAPC5",biological_process,G2/M transition of mitotic cell cycle,23,20,126,18.3498289328,12.3583643857,included,NPC
GO:0007155,"ENSG00000153774,ENSG00000067560,ENSG00000083457,ENSG00000092148,ENSG00000243678,ENSG00000149557,ENSG00000081870,ENSG00000168028,ENSG00000134982,ENSG00000151914,ENSG00000136238,ENSG00000011052,ENSG00000115963,ENSG00000100941,ENSG00000044115","CFDP1,RHOA,ITGAE,HECTD1,NME1-NME2,FEZ1,HSPB11,RPSA,APC,DST,RAC1,NME2,RND3,PNN,CTNNA1",biological_process,cell adhesion,16,15,494,17.6079920398,11.6165274927,included,NPC
GO:0008219,"ENSG00000101558,ENSG00000116288,ENSG00000108518,ENSG00000107951,ENSG00000110321,ENSG00000087086,ENSG00000112592,ENSG00000168000,ENSG00000154277,ENSG00000176171,ENSG00000130294,ENSG00000204120,ENSG00000130638,ENSG00000070501,ENSG00000101361,ENSG00000066427,ENSG00000130985,ENSG00000104763,ENSG00000106105","VAPA,PARK7,PFN1,MTPAP,EIF4G2,FTL,TBP,BSCL2,UCHL1,BNIP3,KIF1A,GIGYF2,ATXN10,POLB,NOP56,ATXN3,UBA1,ASAH1,GARS",biological_process,cell death,22,19,160,17.3355810968,11.3441165497,included,NPC
GO:0007399,"ENSG00000068796,ENSG00000183520,ENSG00000136261,ENSG00000173473,ENSG00000270136,ENSG00000100393,ENSG00000149557,ENSG00000133169,ENSG00000073584,ENSG00000131238,ENSG00000130638,ENSG00000110492,ENSG00000178127,ENSG00000066427,ENSG00000113657,ENSG00000115310,ENSG00000139613","KIF2A,UTP11L,BZW2,SMARCC1,MINOS1-NBL1,EP300,FEZ1,BEX1,SMARCE1,PPT1,ATXN10,MDK,NDUFV2,ATXN3,DPYSL3,RTN4,SMARCC2",biological_process,nervous system development,19,17,334,17.246104948,11.2546404009,included,NPC
GO:0006928,"ENSG00000136810,ENSG00000026025,ENSG00000111229,ENSG00000077549,ENSG00000165209,ENSG00000136238,ENSG00000136754,ENSG00000163466,ENSG00000116489,ENSG00000198898,ENSG00000143549,ENSG00000138071,ENSG00000075624,ENSG00000172757","TXN,VIM,ARPC3,CAPZB,STRBP,RAC1,ABI1,ARPC2,CAPZA1,CAPZA2,TPM3,ACTR2,ACTB,CFL1",biological_process,cellular component movement,15,14,108,16.5058234015,10.5143588544,included,NPC
